Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,70.41,70.51,70.00,70.24,2009300,70.24
2013-12-30,70.40,70.56,69.91,70.19,2387000,70.19
2013-12-27,70.41,70.79,70.21,70.60,3162100,70.60
2013-12-26,69.76,70.26,69.65,70.13,3676300,70.13
2013-12-24,69.80,69.94,69.29,69.52,1143800,69.52
2013-12-23,69.40,70.00,69.07,69.98,3281300,69.98
2013-12-20,68.20,69.16,67.91,68.96,8623500,68.96
2013-12-19,67.98,67.98,67.20,67.89,3664000,67.89
2013-12-18,66.91,68.00,66.48,67.98,4665800,67.98
2013-12-17,67.20,67.21,66.59,66.89,3918600,66.89
2013-12-16,66.98,67.46,66.69,67.41,2971300,67.41
2013-12-13,67.38,67.57,66.41,66.62,3683300,66.62
2013-12-12,67.03,67.35,66.54,66.71,3701000,66.71
2013-12-11,67.51,67.72,67.17,67.24,5079900,67.24
2013-12-10,67.41,68.52,67.40,67.73,4896100,67.73
2013-12-09,67.30,67.33,66.86,67.16,3141000,67.16
2013-12-06,67.56,67.64,66.90,66.95,3243200,66.95
2013-12-05,67.01,67.27,66.48,66.77,4294600,66.77
2013-12-04,66.51,67.40,66.15,67.18,4877100,67.18
2013-12-03,66.71,67.00,66.60,66.65,3388700,66.65
2013-12-02,67.32,67.37,66.68,67.03,3903200,67.03
2013-11-29,67.53,67.95,67.32,67.35,2454900,67.35
2013-11-27,67.35,67.92,66.97,67.50,3847500,67.50
2013-11-26,66.50,67.92,66.35,67.26,6069600,67.26
2013-11-25,66.94,67.00,66.40,66.64,3743600,66.64
2013-11-22,66.00,66.45,65.57,66.39,3744200,66.39
2013-11-21,65.27,65.97,65.27,65.89,3330100,65.89
2013-11-20,65.05,65.36,64.90,65.18,5108800,65.18
2013-11-19,65.16,65.21,64.69,64.89,5652000,64.89
2013-11-18,65.34,65.40,64.66,64.99,5642900,64.99
2013-11-15,66.35,66.40,65.28,65.34,5975700,65.34
2013-11-14,65.80,66.55,65.80,66.44,4802900,66.44
2013-11-13,64.22,65.94,63.99,65.93,5265100,65.93
2013-11-12,64.52,65.20,64.36,64.66,5389400,64.66
2013-11-11,64.06,64.90,63.97,64.82,3693500,64.82
2013-11-08,64.25,64.64,63.89,64.20,5125200,64.20
2013-11-07,65.02,65.49,64.04,64.08,5532400,64.08
2013-11-06,63.71,64.95,63.39,64.86,6325200,64.86
2013-11-05,62.07,63.68,61.90,63.46,6066800,63.46
2013-11-04,62.42,62.70,61.89,62.25,5635800,62.25
2013-11-01,62.93,62.94,62.03,62.37,6608200,62.37
2013-10-31,62.56,62.93,62.29,62.52,5874500,62.52
2013-10-30,61.98,62.69,61.66,62.32,4623800,62.32
2013-10-29,62.15,62.50,61.46,61.88,6589200,61.88
2013-10-28,61.22,61.94,60.51,61.91,6071800,61.91
2013-10-25,61.99,62.50,59.20,60.88,20811300,60.88
2013-10-24,64.33,64.50,63.63,63.74,5357800,63.74
2013-10-23,63.91,64.39,63.58,63.85,3430500,63.85
2013-10-22,64.50,65.23,64.28,64.38,4189500,64.38
2013-10-21,63.51,64.48,63.50,64.29,3123700,64.29
2013-10-18,64.16,64.16,63.00,63.76,4832400,63.76
2013-10-17,63.80,64.23,63.65,64.18,3650300,64.18
2013-10-16,63.86,64.01,63.49,63.94,3948000,63.94
2013-10-15,63.12,63.94,62.91,63.42,3405800,63.42
2013-10-14,62.77,63.10,62.40,63.07,2348300,63.07
2013-10-11,62.21,63.19,62.21,63.06,2990100,63.06
2013-10-10,62.20,62.63,62.00,62.54,3562200,62.54
2013-10-09,61.90,62.19,61.06,61.55,4332000,61.55
2013-10-08,62.52,62.74,61.72,61.80,3955400,61.80
2013-10-07,61.96,63.06,61.82,62.60,3708100,62.60
2013-10-04,61.80,62.57,61.69,62.53,4383100,62.53
2013-10-03,62.14,62.48,61.57,61.63,4579800,61.63
2013-10-02,62.23,62.51,61.76,62.41,3984200,62.41
2013-10-01,62.01,62.75,61.82,62.63,3815500,62.63
2013-09-30,61.62,62.15,61.20,61.80,5386400,61.80
2013-09-27,62.12,62.32,61.80,61.93,3754600,61.93
2013-09-26,62.98,63.01,62.00,62.54,5093300,62.54
2013-09-25,61.17,63.47,61.02,62.63,10060500,62.63
2013-09-24,62.31,62.42,60.80,60.94,8017400,60.94
2013-09-23,62.14,62.67,61.17,62.28,7459800,62.28
2013-09-20,62.11,62.50,61.89,62.05,10101900,62.05
2013-09-19,63.33,63.66,61.81,61.94,12418200,61.94
2013-09-18,65.78,65.91,62.74,62.89,16278300,62.89
2013-09-17,65.85,65.98,65.44,65.95,2875100,65.95
2013-09-16,66.51,66.51,65.72,65.77,2304700,65.77
2013-09-13,65.99,65.99,65.48,65.73,1995500,65.73
2013-09-12,66.02,66.29,65.59,65.63,1700200,65.63
2013-09-11,65.83,66.23,65.70,66.10,3431200,66.10
2013-09-10,65.00,65.69,64.71,65.61,4027900,65.61
2013-09-09,65.35,65.50,63.79,64.77,6309700,64.77
2013-09-06,65.24,65.88,64.20,65.52,3052000,65.52
2013-09-05,64.33,65.11,64.24,64.92,2196800,64.92
2013-09-04,64.26,64.83,64.08,64.56,3163300,64.56
2013-09-03,64.48,65.20,64.27,64.50,3662400,64.50
2013-08-30,64.01,64.15,63.61,63.88,2502800,63.88
2013-08-29,63.63,64.61,63.53,63.85,2198000,63.85
2013-08-28,64.00,64.16,63.66,63.95,3164700,63.95
2013-08-27,64.25,64.29,63.50,64.03,4472200,64.03
2013-08-26,65.14,65.41,64.67,64.72,2679500,64.72
2013-08-23,64.51,64.98,64.44,64.84,2153400,64.84
2013-08-22,64.11,65.00,64.00,64.65,2644500,64.65
2013-08-21,64.24,64.65,63.95,64.14,2856500,64.14
2013-08-20,64.20,65.10,64.00,64.64,2534000,64.64
2013-08-19,64.42,65.24,64.24,64.26,3248300,64.26
2013-08-16,63.92,64.81,63.70,64.61,4515000,64.61
2013-08-15,64.94,65.00,63.93,63.97,3561000,63.97
2013-08-14,65.57,65.86,65.20,65.43,3218700,65.43
2013-08-13,65.05,65.46,64.53,65.42,3806100,65.42
2013-08-12,64.80,65.39,64.60,65.14,3180500,65.14
2013-08-09,65.65,66.03,65.11,65.18,5556100,65.18
2013-08-08,66.41,66.74,65.83,65.88,7389900,65.88
2013-08-07,66.14,66.20,65.62,65.93,3607400,65.93
2013-08-06,65.69,66.30,65.55,66.27,3616900,66.27
2013-08-05,65.23,65.93,65.03,65.83,3704900,65.83
2013-08-02,65.51,65.75,64.86,65.15,5873500,65.15
2013-08-01,66.20,66.62,65.28,65.56,4910000,65.56
2013-07-31,65.23,66.17,65.19,65.55,6963900,65.55
2013-07-30,65.50,66.50,64.24,64.94,9233600,64.94
2013-07-29,67.21,67.66,66.35,66.93,5415400,66.93
2013-07-26,66.45,67.66,66.20,67.66,4043500,67.66
2013-07-25,66.57,67.00,66.32,66.73,2841100,66.73
2013-07-24,67.17,67.56,66.66,66.82,3713700,66.82
2013-07-23,67.18,67.40,66.57,67.27,2732400,67.27
