Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,56.80,57.24,56.61,57.18,1283800,56.37
2013-12-30,56.60,56.90,56.40,56.61,1448800,55.80
2013-12-27,56.12,56.66,56.00,56.59,1257000,55.78
2013-12-26,56.37,56.48,55.85,55.94,1331600,55.14
2013-12-24,54.87,56.50,54.85,56.08,1428500,55.28
2013-12-23,55.25,55.45,54.66,54.83,2658700,54.05
2013-12-20,55.22,55.75,54.93,54.98,8397200,54.20
2013-12-19,55.85,56.03,55.10,55.51,3926900,54.72
2013-12-18,57.66,57.71,55.42,56.07,6695200,55.27
2013-12-17,58.50,58.64,57.50,58.02,1746500,57.19
2013-12-16,58.14,58.82,57.95,58.65,2273500,57.82
2013-12-13,58.07,58.24,57.47,57.65,1513800,56.83
2013-12-12,57.99,58.37,57.15,58.08,2303200,57.25
2013-12-11,59.10,59.41,57.76,57.91,1937000,57.09
2013-12-10,59.60,59.82,58.94,59.26,1405100,58.42
2013-12-09,58.95,60.28,58.70,59.78,2294000,58.93
2013-12-06,59.39,59.72,58.61,59.05,2038000,58.21
2013-12-05,59.49,59.49,58.71,59.04,2237100,58.20
2013-12-04,59.30,60.41,58.98,60.19,2299700,58.59
2013-12-03,59.29,59.48,58.83,59.31,3065400,57.74
2013-12-02,59.25,59.95,59.17,59.24,2273500,57.67
2013-11-29,59.65,59.80,59.04,59.08,1083800,57.51
2013-11-27,59.60,60.01,59.24,59.72,1173200,58.14
2013-11-26,59.70,60.04,58.87,59.92,3210100,58.33
2013-11-25,60.88,61.00,59.11,59.69,2358400,58.11
2013-11-22,61.18,61.56,60.69,61.09,1902900,59.47
2013-11-21,61.74,61.88,60.21,61.06,3109000,59.44
2013-11-20,61.47,62.06,61.41,61.70,1987100,60.06
2013-11-19,61.30,61.50,60.81,61.42,1380900,59.79
2013-11-18,62.05,62.08,60.87,61.21,1492900,59.59
2013-11-15,61.84,62.07,61.29,61.88,1791200,60.24
2013-11-14,62.13,62.25,61.59,61.83,1356800,60.19
2013-11-13,60.96,62.06,60.61,62.05,2307000,60.41
2013-11-12,61.82,61.98,61.07,61.33,1674400,59.70
2013-11-11,61.50,62.17,61.39,61.98,2424400,60.34
2013-11-08,59.95,61.53,59.95,61.48,2830300,59.85
2013-11-07,59.75,60.35,58.88,59.95,4023800,58.36
2013-11-06,59.62,61.53,59.04,59.55,7889800,57.97
2013-11-05,57.41,57.76,56.63,57.07,1726800,55.56
2013-11-04,57.55,57.80,57.15,57.44,2020200,55.92
2013-11-01,57.69,57.98,56.96,57.39,1971900,55.87
2013-10-31,58.02,58.27,57.65,57.65,1638900,56.12
2013-10-30,58.17,58.75,57.84,58.06,2711100,56.52
2013-10-29,58.00,58.52,57.91,58.19,3141300,56.65
2013-10-28,57.14,58.11,57.00,57.86,2929300,56.33
2013-10-25,55.51,57.06,55.51,57.02,2964400,55.51
2013-10-24,55.58,55.73,54.17,55.39,2824400,53.92
2013-10-23,55.67,55.75,54.84,55.30,1907000,53.83
2013-10-22,55.40,56.18,55.16,56.03,1968900,54.54
2013-10-21,55.12,55.56,55.00,55.11,1561000,53.65
2013-10-18,55.33,55.41,54.93,55.04,2333200,53.58
2013-10-17,54.89,55.58,54.56,55.00,1412600,53.54
2013-10-16,54.84,55.04,54.17,54.81,1908300,53.36
2013-10-15,54.86,55.07,54.52,54.76,1299400,53.31
2013-10-14,54.28,55.19,54.19,55.12,1196200,53.66
2013-10-11,54.92,55.03,54.46,54.77,2021400,53.32
2013-10-10,54.82,55.18,54.41,55.18,1429100,53.72
2013-10-09,53.93,54.48,53.49,54.08,1553500,52.65
2013-10-08,54.55,54.96,53.98,54.00,1270600,52.57
2013-10-07,54.70,54.99,54.42,54.62,1120400,53.17
2013-10-04,54.82,55.50,54.42,55.32,1259100,53.85
2013-10-03,54.98,55.14,54.14,54.71,1256900,53.26
2013-10-02,53.85,55.32,53.65,55.01,2659200,53.55
2013-10-01,53.90,54.56,53.89,54.22,1829800,52.78
2013-09-30,54.06,54.41,53.64,53.75,2894600,52.33
2013-09-27,55.00,55.22,54.49,54.50,1330000,53.06
2013-09-26,55.09,55.42,54.71,55.25,1374000,53.79
2013-09-25,54.63,55.58,54.50,55.01,2096600,53.55
2013-09-24,54.45,55.03,54.14,54.72,2353000,53.27
2013-09-23,54.66,54.82,54.11,54.54,1807000,53.09
2013-09-20,55.59,55.59,54.72,54.76,2527500,53.31
2013-09-19,56.70,56.71,55.30,55.53,2016400,54.06
2013-09-18,56.14,56.47,55.86,56.47,2462300,54.97
2013-09-17,55.89,56.57,55.75,56.27,1539800,54.78
2013-09-16,56.01,56.23,55.51,55.71,1679700,54.23
2013-09-13,56.57,56.62,55.29,55.48,2622700,54.01
2013-09-12,57.09,57.14,56.25,56.71,1632000,55.21
2013-09-11,57.03,57.59,56.83,57.15,1098300,55.63
2013-09-10,56.98,57.35,56.24,57.05,1649100,55.54
2013-09-09,56.52,57.01,56.28,56.73,1332900,55.23
2013-09-06,55.95,56.75,55.32,56.20,2046000,54.71
2013-09-05,54.08,56.13,54.07,55.63,2678900,54.16
2013-09-04,54.22,55.05,54.16,54.46,4086800,52.53
2013-09-03,56.07,56.22,53.91,54.47,3953600,52.54
2013-08-30,55.89,55.93,55.39,55.56,1967600,53.59
2013-08-29,56.02,56.34,55.52,55.67,2047900,53.70
