Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,19.41,19.67,19.29,19.64,1812900,19.64
2013-12-30,19.45,19.45,19.27,19.37,1520900,19.37
2013-12-27,19.45,19.58,19.40,19.45,1887900,19.45
2013-12-26,19.45,19.55,19.40,19.46,1618400,19.46
2013-12-24,19.52,19.54,19.30,19.41,1006700,19.41
2013-12-23,19.42,19.50,19.34,19.48,2070700,19.48
2013-12-20,19.41,19.50,19.22,19.34,3717900,19.34
2013-12-19,19.09,19.36,19.04,19.33,4522200,19.33
2013-12-18,18.75,19.16,18.59,19.14,5391600,19.14
2013-12-17,18.64,18.71,18.43,18.65,2050800,18.65
2013-12-16,18.57,18.75,18.47,18.65,2802900,18.65
2013-12-13,18.48,18.64,18.40,18.53,1288800,18.53
2013-12-12,18.45,18.55,18.27,18.40,2640500,18.40
2013-12-11,18.70,18.74,18.38,18.47,2161200,18.47
2013-12-10,18.23,18.75,18.20,18.69,3710000,18.69
2013-12-09,18.36,18.40,18.10,18.21,2359000,18.21
2013-12-06,18.21,18.34,18.03,18.28,1273500,18.28
2013-12-05,18.00,18.12,17.83,18.03,1775600,18.03
2013-12-04,18.08,18.22,17.74,18.05,2219500,18.05
2013-12-03,18.00,18.24,17.90,18.11,3715400,18.11
2013-12-02,17.96,18.29,17.90,18.10,3035300,18.10
2013-11-29,17.98,17.99,17.88,17.92,717600,17.92
2013-11-27,17.92,17.95,17.81,17.89,1043000,17.89
2013-11-26,17.70,17.94,17.57,17.90,1968000,17.90
2013-11-25,17.79,17.85,17.66,17.69,1996100,17.69
2013-11-22,17.64,17.81,17.59,17.75,1991700,17.75
2013-11-21,17.50,17.72,17.40,17.60,3075600,17.60
2013-11-20,17.43,17.68,17.27,17.42,2479200,17.42
2013-11-19,17.68,17.83,17.32,17.38,2956800,17.38
2013-11-18,17.63,17.93,17.53,17.63,2007700,17.63
2013-11-15,17.69,17.83,17.62,17.64,2672000,17.64
2013-11-14,18.00,18.05,17.65,17.68,3545800,17.68
2013-11-13,17.49,17.95,17.45,17.93,2262300,17.93
2013-11-12,17.93,17.99,17.50,17.63,3035800,17.63
2013-11-11,17.69,18.04,17.65,17.93,3678100,17.93
2013-11-08,16.88,17.76,16.87,17.76,5200200,17.76
2013-11-07,17.27,17.40,16.84,16.87,3047900,16.87
2013-11-06,17.30,17.34,17.04,17.27,2192500,17.27
2013-11-05,17.19,17.32,17.04,17.25,2586500,17.25
2013-11-04,17.20,17.25,17.05,17.22,1599700,17.22
2013-11-01,16.97,17.19,16.91,17.13,3559200,17.13
2013-10-31,17.03,17.21,16.84,16.91,3689300,16.91
2013-10-30,17.36,17.40,16.97,17.05,2597500,17.05
2013-10-29,17.28,17.36,17.16,17.35,2827000,17.35
2013-10-28,17.34,17.40,17.12,17.21,2796300,17.21
2013-10-25,16.85,17.37,16.85,17.31,10691800,17.31
2013-10-24,16.42,16.85,16.26,16.81,11243600,16.81
2013-10-23,17.41,17.55,17.20,17.34,3056900,17.34
2013-10-22,17.49,17.53,17.22,17.44,3621700,17.44
2013-10-21,17.56,17.58,17.28,17.43,1797400,17.43
2013-10-18,17.38,17.71,17.22,17.49,3159100,17.49
2013-10-17,17.22,17.41,17.16,17.32,2459200,17.32
2013-10-16,17.08,17.51,16.92,17.35,3878100,17.35
2013-10-15,16.92,17.18,16.81,16.88,3504800,16.88
2013-10-14,16.83,17.00,16.63,16.92,2659300,16.92
2013-10-11,16.69,17.01,16.55,17.00,2584400,17.00
2013-10-10,16.51,16.94,16.51,16.75,3181100,16.75
2013-10-09,15.54,16.39,15.54,16.26,4217700,16.26
2013-10-08,16.74,16.88,16.02,16.19,3965300,16.19
2013-10-07,16.94,17.06,16.75,16.76,1568900,16.76
2013-10-04,16.89,17.30,16.82,17.13,3572300,17.13
2013-10-03,16.62,17.00,16.48,16.87,3865600,16.87
2013-10-02,16.65,16.76,16.54,16.68,2220700,16.68
2013-10-01,16.51,16.82,16.51,16.80,2836700,16.80
2013-09-30,16.49,16.66,16.34,16.50,2297400,16.50
2013-09-27,16.61,16.79,16.52,16.76,1310700,16.76
2013-09-26,16.79,16.94,16.65,16.80,1788200,16.80
2013-09-25,16.73,16.98,16.70,16.79,3219100,16.79
2013-09-24,16.50,16.84,16.38,16.66,2677400,16.66
2013-09-23,16.64,16.69,16.41,16.47,3067600,16.47
2013-09-20,16.95,16.99,16.65,16.71,6897300,16.71
2013-09-19,17.14,17.40,16.70,16.86,5710400,16.86
2013-09-18,17.47,17.73,16.63,16.98,7516400,16.98
2013-09-17,17.10,17.52,17.05,17.48,2269000,17.48
2013-09-16,17.37,17.38,16.96,17.07,3230400,17.07
2013-09-13,17.00,17.14,16.84,17.11,1769900,17.11
2013-09-12,17.01,17.11,16.80,17.00,1737000,17.00
2013-09-11,17.03,17.10,16.63,17.02,3721800,17.02
2013-09-10,16.87,17.47,16.84,17.10,6937900,17.10
2013-09-09,16.30,16.52,16.22,16.51,2236900,16.51
2013-09-06,16.07,16.47,15.64,16.26,7548700,16.26
2013-09-05,15.75,15.76,15.53,15.55,5739200,15.55
2013-09-04,15.18,15.97,14.81,15.71,10183400,15.71
2013-09-03,14.27,14.62,14.27,14.54,3220500,14.54
2013-08-30,14.33,14.33,13.94,14.04,1756400,14.04
2013-08-29,14.10,14.45,14.07,14.34,1103200,14.34
2013-08-28,14.08,14.34,14.00,14.11,2300500,14.11
2013-08-27,14.34,14.40,13.93,14.06,3302800,14.06
2013-08-26,14.66,14.70,14.51,14.53,1683500,14.53
2013-08-23,14.69,14.69,14.52,14.65,1084700,14.65
2013-08-22,14.50,14.73,14.44,14.69,1329200,14.69
2013-08-21,14.55,14.67,14.35,14.43,1619300,14.43
2013-08-20,14.35,14.67,14.31,14.59,2679500,14.59
2013-08-19,14.50,14.64,14.37,14.37,2406200,14.37
2013-08-16,14.46,14.70,14.46,14.56,2525800,14.56
2013-08-15,14.56,14.65,14.45,14.55,2285100,14.55
2013-08-14,14.58,14.79,14.56,14.74,2938700,14.74
2013-08-13,14.51,14.73,14.45,14.61,2338100,14.61
2013-08-12,14.59,14.67,14.44,14.51,2435400,14.51
2013-08-09,14.65,14.77,14.48,14.68,1786600,14.68
2013-08-08,14.65,14.87,14.53,14.63,2244000,14.63
2013-08-07,15.02,15.07,14.30,14.62,5696300,14.62
2013-08-06,15.29,15.33,15.04,15.14,1386100,15.14
2013-08-05,15.25,15.39,15.11,15.31,2135800,15.31
2013-08-02,15.17,15.35,15.12,15.29,2105600,15.29
2013-08-01,15.01,15.25,15.01,15.21,3475000,15.21
2013-07-31,14.93,15.31,14.89,14.90,5025800,14.90
2013-07-30,14.89,15.24,14.89,14.91,4897800,14.91
2013-07-29,14.83,15.00,14.74,14.88,4243200,14.88
2013-07-26,14.49,15.01,14.32,14.85,7613500,14.85
2013-07-25,14.25,14.75,14.19,14.69,12742000,14.69
2013-07-24,13.71,13.71,13.45,13.62,4495800,13.62
2013-07-23,13.65,13.79,13.57,13.61,2639700,13.61
2013-07-22,13.47,13.60,13.35,13.58,2689300,13.58
2013-07-19,13.42,13.55,13.29,13.49,1921100,13.49
2013-07-18,13.39,13.53,13.36,13.45,1919400,13.45
2013-07-17,13.26,13.38,13.17,13.34,2427900,13.34
2013-07-16,13.48,13.55,13.16,13.21,3220200,13.21
2013-07-15,13.49,13.60,13.34,13.51,1442900,13.51
2013-07-12,13.33,13.43,13.20,13.42,3358200,13.42
2013-07-11,13.68,13.70,13.21,13.36,4219900,13.36
2013-07-10,13.46,13.57,13.35,13.53,2016300,13.53
2013-07-09,13.51,13.59,13.33,13.51,2069900,13.51
2013-07-08,13.19,13.49,13.17,13.40,3161400,13.40
2013-07-05,13.01,13.17,12.97,13.16,4039700,13.16
2013-07-03,12.78,12.89,12.69,12.86,1780100,12.86
2013-07-02,12.81,13.20,12.72,12.90,5079700,12.90
2013-07-01,12.66,13.04,12.66,12.82,3653200,12.82
2013-06-28,12.53,12.73,12.33,12.66,5346600,12.66
2013-06-27,12.35,12.62,12.35,12.59,3300300,12.59
2013-06-26,12.06,12.38,11.99,12.24,3365100,12.24
2013-06-25,12.12,12.23,11.93,11.93,5215500,11.93
2013-06-24,12.06,12.15,11.61,11.89,6378000,11.89
2013-06-21,12.18,12.34,12.00,12.24,5164100,12.24
2013-06-20,11.94,12.21,11.82,12.14,5712900,12.14
2013-06-19,12.09,12.29,11.98,12.05,3661100,12.05
2013-06-18,11.94,12.18,11.87,12.09,5723500,12.09
2013-06-17,11.54,11.97,11.51,11.90,3696300,11.90
2013-06-14,11.69,11.70,11.28,11.44,2690100,11.44
2013-06-13,11.46,11.69,11.41,11.68,4617400,11.68
2013-06-12,11.64,11.73,11.45,11.50,2756600,11.50
2013-06-11,11.72,11.87,11.48,11.53,2691200,11.53
2013-06-10,11.78,11.88,11.66,11.87,2394000,11.87
2013-06-07,11.50,11.76,11.44,11.76,2985700,11.76
2013-06-06,11.14,11.39,11.10,11.39,3108800,11.39
2013-06-05,11.43,11.45,11.10,11.10,3498600,11.10
2013-06-04,11.60,11.74,11.30,11.46,3994900,11.46
2013-06-03,11.67,11.81,11.37,11.58,3461200,11.58
2013-05-31,11.75,11.93,11.62,11.62,3179000,11.62
2013-05-30,11.76,11.99,11.68,11.80,3380800,11.80
2013-05-29,11.66,11.88,11.61,11.75,4018700,11.75
2013-05-28,11.45,11.86,11.45,11.76,4390400,11.76
2013-05-24,11.37,11.47,11.25,11.31,1854600,11.31
2013-05-23,11.25,11.44,11.02,11.40,3284000,11.40
2013-05-22,11.50,11.80,11.27,11.32,5868800,11.32
2013-05-21,11.50,11.60,11.44,11.47,2283600,11.47
2013-05-20,11.47,11.68,11.44,11.52,4314800,11.52
2013-05-17,11.37,11.55,11.36,11.53,4913300,11.53
2013-05-16,11.24,11.40,11.12,11.32,4056800,11.32
2013-05-15,11.32,11.42,11.17,11.34,4779900,11.34
2013-05-14,11.23,11.56,11.14,11.52,5631700,11.52
2013-05-13,11.13,11.23,11.08,11.19,2039000,11.19
2013-05-10,10.88,11.19,10.74,11.16,5498200,11.16
2013-05-09,10.87,11.04,10.82,10.89,4620200,10.89
2013-05-08,10.89,10.96,10.82,10.89,4698700,10.89
2013-05-07,10.90,10.98,10.72,10.91,3080000,10.91
2013-05-06,10.83,10.96,10.78,10.86,3614600,10.86
2013-05-03,10.53,10.96,10.52,10.85,5863300,10.85
2013-05-02,10.12,10.46,10.05,10.43,3452900,10.43
2013-05-01,10.31,10.32,10.02,10.08,2921200,10.08
2013-04-30,10.33,10.36,10.18,10.29,2889200,10.29
2013-04-29,10.23,10.36,10.19,10.31,2895800,10.31
2013-04-26,10.23,10.27,10.13,10.20,2722600,10.20
2013-04-25,10.25,10.41,10.12,10.27,3440900,10.27
2013-04-24,9.95,10.18,9.92,10.18,3390300,10.18
2013-04-23,9.84,10.00,9.78,9.95,4561600,9.95
2013-04-22,9.81,9.84,9.72,9.75,3779600,9.75
2013-04-19,9.69,9.88,9.56,9.83,9656300,9.83
2013-04-18,9.72,9.77,9.54,9.54,4036500,9.54
2013-04-17,9.60,9.81,9.52,9.71,6804900,9.71
2013-04-16,9.82,9.99,9.68,9.72,4823800,9.72
2013-04-15,10.10,10.17,9.68,9.75,5493000,9.75
2013-04-12,10.30,10.40,10.15,10.17,2101900,10.17
2013-04-11,10.35,10.47,10.27,10.39,3896600,10.39
2013-04-10,10.24,10.42,10.19,10.30,2725200,10.30
2013-04-09,10.16,10.28,10.06,10.18,3010800,10.18
2013-04-08,9.91,10.13,9.86,10.13,4550400,10.13
2013-04-05,9.98,10.01,9.87,9.95,4110700,9.95
2013-04-04,10.18,10.32,10.06,10.11,3767500,10.11
2013-04-03,10.32,10.36,10.15,10.21,4377700,10.21
2013-04-02,10.47,10.53,10.33,10.37,2766400,10.37
2013-04-01,10.79,10.79,10.37,10.39,3903300,10.39
2013-03-28,10.62,10.72,10.57,10.71,2778200,10.71
2013-03-27,10.52,10.66,10.36,10.65,4301100,10.65
2013-03-26,10.62,10.68,10.52,10.61,3128600,10.61
2013-03-25,10.75,10.82,10.49,10.56,3734600,10.56
2013-03-22,10.70,10.80,10.65,10.66,9097200,10.66
2013-03-21,10.76,10.85,10.60,10.64,8073300,10.64
2013-03-20,10.55,10.86,10.53,10.79,7939900,10.79
2013-03-19,10.51,10.70,10.34,10.44,11561000,10.44
2013-03-18,10.60,10.70,10.45,10.50,10032700,10.50
2013-03-15,10.88,10.92,10.63,10.66,13203300,10.66
2013-03-14,10.99,11.22,10.75,10.85,52013200,10.85
2013-03-13,11.40,11.82,11.36,11.82,6988400,11.82
2013-03-12,11.33,11.44,11.25,11.40,2546200,11.40
2013-03-11,11.28,11.45,11.22,11.37,1997300,11.37
2013-03-08,11.33,11.40,11.21,11.30,2607700,11.30
2013-03-07,11.04,11.32,10.94,11.31,4275300,11.31
2013-03-06,10.93,11.05,10.86,11.00,3092500,11.00
2013-03-05,10.86,11.03,10.84,10.89,1629300,10.89
2013-03-04,10.58,10.82,10.57,10.79,2398400,10.79
2013-03-01,10.64,10.72,10.46,10.63,2354700,10.63
2013-02-28,10.72,10.82,10.54,10.71,4614700,10.71
2013-02-27,10.57,10.78,10.56,10.72,2640600,10.72
2013-02-26,10.67,10.74,10.46,10.55,4174000,10.55
2013-02-25,10.94,11.03,10.59,10.64,4261300,10.64
