Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,44.37,44.48,44.03,44.25,561900,44.25
2013-12-30,44.16,44.26,44.03,44.15,427300,44.15
2013-12-27,43.70,44.20,43.57,44.16,817300,44.16
2013-12-26,43.55,43.71,43.42,43.63,478600,43.63
2013-12-24,43.72,43.85,43.35,43.47,303300,43.47
2013-12-23,43.02,43.87,43.02,43.58,915900,43.58
2013-12-20,43.07,43.58,42.86,43.55,1660200,43.55
2013-12-19,43.03,43.20,42.81,42.96,899700,42.96
2013-12-18,42.65,43.11,42.28,43.10,873300,43.10
2013-12-17,42.69,42.80,42.29,42.70,1175000,42.70
2013-12-16,43.16,43.40,42.78,42.80,793700,42.80
2013-12-13,42.78,43.12,42.59,43.02,919500,43.02
2013-12-12,42.49,42.82,42.41,42.63,930400,42.63
2013-12-11,42.74,42.85,42.32,42.50,1899100,42.50
2013-12-10,43.29,43.48,42.64,42.81,1198600,42.81
2013-12-09,43.52,43.69,43.37,43.41,855500,43.41
2013-12-06,43.82,43.82,43.37,43.44,929800,43.44
2013-12-05,43.21,43.52,43.05,43.18,1282700,43.18
2013-12-04,42.97,43.57,42.88,43.31,1003900,43.31
2013-12-03,43.26,43.40,42.97,43.27,803300,43.27
2013-12-02,43.91,43.91,43.31,43.43,993300,43.43
2013-11-29,43.31,43.86,43.30,43.44,490300,43.44
2013-11-27,43.32,43.61,43.17,43.52,701300,43.52
2013-11-26,43.77,43.88,43.36,43.45,988600,43.15
2013-11-25,43.80,43.90,43.45,43.77,869200,43.47
2013-11-22,43.88,43.88,43.44,43.62,957300,43.32
2013-11-21,43.51,43.86,43.47,43.79,794300,43.49
2013-11-20,43.37,43.56,43.18,43.43,1129900,43.13
2013-11-19,43.17,43.50,43.04,43.35,1694200,43.05
2013-11-18,43.39,43.53,43.17,43.31,665300,43.01
2013-11-15,43.32,43.40,42.86,43.33,795500,43.03
2013-11-14,43.05,43.43,42.85,43.23,837000,42.93
2013-11-13,42.47,43.10,42.29,43.10,935600,42.80
2013-11-12,42.50,42.83,42.21,42.61,939400,42.32
2013-11-11,42.28,42.67,42.14,42.52,861300,42.23
2013-11-08,42.15,42.59,42.08,42.42,1412700,42.13
2013-11-07,42.95,42.97,42.07,42.17,1857800,41.88
2013-11-06,42.84,43.04,42.34,42.61,2258800,42.32
2013-11-05,44.50,45.00,42.56,43.41,3390600,43.11
2013-11-04,45.45,46.31,45.45,46.29,1161800,45.97
2013-11-01,45.51,45.79,45.18,45.40,1277900,45.09
2013-10-31,46.46,46.48,45.01,45.29,1760500,44.98
2013-10-30,46.51,46.90,46.13,46.34,888800,46.02
2013-10-29,46.64,46.87,46.29,46.64,715100,46.32
2013-10-28,46.01,46.90,45.89,46.63,1625800,46.31
2013-10-25,46.30,46.49,45.59,45.88,1081300,45.56
2013-10-24,44.65,46.67,44.54,46.30,2930100,45.98
2013-10-23,44.25,44.65,43.95,44.14,936100,43.84
2013-10-22,44.53,44.83,44.14,44.54,1071700,44.23
2013-10-21,43.84,44.45,43.76,44.35,841200,44.04
2013-10-18,43.22,43.92,43.13,43.91,974500,43.61
2013-10-17,43.07,43.30,42.92,43.14,1000600,42.84
2013-10-16,43.33,43.72,43.06,43.41,1074600,43.11
2013-10-15,43.42,43.56,43.11,43.16,1394100,42.86
2013-10-14,43.07,43.68,43.02,43.58,660100,43.28
2013-10-11,42.75,43.45,42.75,43.45,547400,43.15
2013-10-10,41.98,43.20,41.79,43.12,932700,42.82
2013-10-09,42.06,42.48,41.84,42.41,1359200,42.12
2013-10-08,42.81,43.00,42.00,42.06,1279000,41.77
2013-10-07,42.68,43.12,42.38,42.90,925400,42.60
2013-10-04,43.07,43.11,42.51,43.03,1391700,42.73
2013-10-03,43.77,43.85,42.76,43.02,1279700,42.72
2013-10-02,44.02,44.25,43.70,44.06,697700,43.76
2013-10-01,43.90,44.61,43.90,44.51,765500,44.20
2013-09-30,43.76,44.16,43.45,44.06,868200,43.76
2013-09-27,44.12,44.39,43.95,44.14,646900,43.84
2013-09-26,44.41,44.67,44.13,44.32,757400,44.01
2013-09-25,44.64,44.89,44.06,44.18,1145400,43.87
2013-09-24,44.65,45.00,44.58,44.70,994200,44.39
2013-09-23,44.76,44.87,44.34,44.57,1216300,44.26
2013-09-20,45.01,45.40,44.80,44.81,2902200,44.50
2013-09-19,45.22,45.48,44.88,44.93,1840900,44.62
2013-09-18,44.06,45.39,44.04,45.23,2534400,44.92
2013-09-17,44.68,44.77,43.68,43.89,1907200,43.59
2013-09-16,44.74,45.00,44.51,44.64,1466200,44.33
2013-09-13,44.44,44.47,44.17,44.28,1499400,43.97
2013-09-12,44.55,44.69,44.23,44.34,1587100,44.03
2013-09-11,44.10,44.75,44.10,44.74,1607300,44.43
2013-09-10,43.81,44.50,43.65,44.29,1992800,43.98
2013-09-09,42.93,43.69,42.91,43.62,2034500,43.32
2013-09-06,42.32,43.04,41.75,42.90,2739600,42.60
2013-09-05,42.02,42.30,41.58,42.14,1932900,41.85
2013-09-04,40.49,42.09,40.49,41.98,1716300,41.69
2013-09-03,40.91,41.56,40.91,41.46,2169200,41.17
2013-08-30,40.43,40.65,40.23,40.56,1165300,40.28
2013-08-29,40.50,40.95,40.38,40.45,778300,40.17
2013-08-28,40.79,40.87,40.52,40.65,718100,40.37
2013-08-27,41.05,41.22,40.41,40.67,1669300,40.39
2013-08-26,41.23,42.00,41.06,41.62,1428600,41.33
2013-08-23,41.25,41.43,40.97,41.25,1397800,40.97
2013-08-22,40.60,41.35,40.50,41.26,714300,40.98
2013-08-21,40.32,40.80,39.92,40.51,1067700,40.23
2013-08-20,40.12,40.75,39.83,40.55,987100,40.27
2013-08-19,40.00,40.33,39.91,39.92,1068900,39.64
2013-08-16,39.75,40.22,39.73,40.03,1047800,39.75
2013-08-15,40.11,40.34,39.68,39.84,901200,39.56
2013-08-14,40.73,40.75,40.25,40.51,724800,40.23
2013-08-13,40.78,40.97,40.47,40.71,757200,40.43
2013-08-12,40.59,41.00,40.50,40.80,699800,40.52
2013-08-09,41.10,41.10,40.60,40.79,1026900,40.51
