Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,47.76,47.98,47.26,47.51,1318200,47.24
2013-12-30,47.50,48.23,47.31,47.66,1195500,47.39
2013-12-27,47.25,47.50,47.00,47.39,800800,47.12
2013-12-26,46.63,47.38,46.41,47.13,1582500,46.86
2013-12-24,45.92,46.42,45.77,46.30,570300,46.04
2013-12-23,45.61,46.29,45.40,46.14,2687500,45.88
2013-12-20,45.60,45.99,44.01,45.62,8721600,45.36
2013-12-19,48.10,48.10,47.41,48.01,1274000,47.74
2013-12-18,47.00,48.02,46.58,48.02,1863000,47.75
2013-12-17,46.92,47.26,46.83,47.10,1724800,46.83
2013-12-16,46.32,47.06,46.32,47.01,1341200,46.75
2013-12-13,46.69,46.73,45.78,46.24,2118800,45.98
2013-12-12,46.92,47.18,46.16,46.41,2029200,46.15
2013-12-11,47.74,47.99,46.99,47.05,1652200,46.79
2013-12-10,47.49,48.13,47.26,47.79,1323500,47.52
2013-12-09,47.62,48.12,47.35,47.50,1384200,47.23
2013-12-06,47.18,47.70,46.95,47.45,1579600,47.18
2013-12-05,46.82,46.95,46.22,46.57,1147000,46.31
2013-12-04,47.62,47.64,46.05,46.75,2669400,46.49
2013-12-03,47.19,47.71,46.75,47.32,2922600,47.05
2013-12-02,46.71,47.57,46.11,47.11,2174700,46.84
2013-11-29,46.54,46.68,46.23,46.53,865600,46.27
2013-11-27,46.54,46.83,46.10,46.42,1693000,46.16
2013-11-26,46.86,47.00,46.43,46.58,1415000,46.32
2013-11-25,47.46,47.53,46.45,46.75,1306900,46.49
2013-11-22,47.29,47.60,47.05,47.36,1207300,47.09
2013-11-21,46.53,47.23,46.05,47.11,1584300,46.84
2013-11-20,46.53,46.77,46.02,46.14,1609300,45.88
2013-11-19,46.96,47.07,46.27,46.45,1819400,46.19
2013-11-18,47.23,47.24,46.87,46.89,1402800,46.63
2013-11-15,46.85,47.30,46.39,46.96,1625100,46.70
2013-11-14,46.59,46.76,46.12,46.60,1579000,46.34
2013-11-13,46.52,46.69,45.86,46.49,2700900,46.23
2013-11-12,46.63,47.25,46.63,47.00,1499800,46.74
2013-11-11,47.22,47.25,46.71,46.83,1596200,46.57
