Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,143.01,144.13,143.00,143.77,1102600,143.61
2013-12-30,143.48,143.88,142.86,143.05,889300,142.89
2013-12-27,143.28,143.86,142.74,143.43,923500,143.27
2013-12-26,142.65,143.52,142.33,143.30,1246400,143.14
2013-12-24,142.24,142.38,141.14,142.00,750600,141.84
2013-12-23,143.31,143.44,141.62,142.19,1461000,142.03
2013-12-20,139.52,143.73,139.23,142.71,3350200,142.55
2013-12-19,139.61,140.02,137.76,139.69,2688900,139.54
2013-12-18,138.10,140.24,137.36,139.72,4825100,139.57
2013-12-17,139.80,140.17,138.50,139.09,2697000,138.94
2013-12-16,139.59,140.97,138.88,139.85,3549800,139.70
2013-12-13,138.01,138.88,137.01,137.90,2583700,137.75
2013-12-12,136.56,137.53,136.27,136.34,1795700,136.19
2013-12-11,138.88,139.00,136.35,136.51,1451900,136.36
2013-12-10,139.66,140.18,138.22,138.49,1538700,138.34
2013-12-09,139.82,140.00,139.11,139.81,1349300,139.51
2013-12-06,139.99,140.17,139.07,139.39,1216500,139.09
2013-12-05,137.90,139.67,137.67,138.22,1161200,137.92
2013-12-04,137.66,140.00,136.81,138.71,1187900,138.41
2013-12-03,139.46,140.00,137.68,138.04,1927300,137.74
2013-12-02,139.15,140.96,138.73,140.21,1953400,139.91
2013-11-29,140.45,140.55,138.51,138.70,733100,138.40
2013-11-27,138.70,140.28,138.51,139.86,1358600,139.56
2013-11-26,137.30,138.62,137.01,137.81,1495000,137.51
2013-11-25,137.81,137.98,136.71,137.22,1234500,136.92
2013-11-22,138.10,138.45,135.94,137.07,1680100,136.77
2013-11-21,135.32,138.86,135.25,138.38,2920800,138.08
2013-11-20,134.35,135.74,134.19,134.58,1716000,134.29
2013-11-19,137.17,137.32,133.93,134.00,2960600,133.71
2013-11-18,138.59,139.77,136.79,137.14,2965700,136.84
2013-11-15,138.46,139.94,137.89,138.65,3644900,138.35
2013-11-14,135.41,136.50,135.04,136.44,3123700,136.14
2013-11-13,134.12,135.89,133.33,135.29,3447600,135.00
2013-11-12,131.80,136.10,130.81,134.63,4789000,134.34
2013-11-11,131.98,133.17,131.60,132.52,1805000,132.23
2013-11-08,130.29,132.73,130.28,132.57,2676700,132.28
2013-11-07,133.05,133.35,130.25,130.55,2846400,130.27
2013-11-06,136.81,136.98,131.92,132.77,5439500,132.48
2013-11-05,134.37,136.89,133.79,136.23,2670600,135.94
2013-11-04,134.65,136.06,134.09,135.12,2474500,134.83
2013-11-01,131.77,134.74,131.58,134.65,3728600,134.36
2013-10-31,132.02,132.56,129.81,131.00,3417500,130.72
2013-10-30,133.05,133.84,132.12,132.81,2302000,132.52
2013-10-29,133.29,133.39,132.00,133.14,1826700,132.85
2013-10-28,131.42,133.64,131.23,132.53,3100600,132.24
2013-10-25,131.96,132.55,131.17,132.06,2464100,131.77
2013-10-24,130.48,131.99,130.07,131.57,2299400,131.29
2013-10-23,128.67,130.10,128.26,129.82,2649900,129.54
2013-10-22,128.87,132.30,128.86,129.69,4792200,129.41
2013-10-21,126.22,127.87,125.92,127.41,2227800,127.13
2013-10-18,125.27,126.63,124.71,126.44,2023900,126.17
2013-10-17,121.98,125.27,121.57,125.19,4344800,124.92
2013-10-16,119.87,124.35,119.70,123.26,4127600,122.99
2013-10-15,116.91,122.50,116.85,120.08,6195500,119.82
2013-10-14,115.29,115.48,114.33,115.37,899800,115.12
2013-10-11,114.46,115.89,114.01,115.87,1041400,115.62
2013-10-10,113.90,115.11,113.22,115.06,1246900,114.81
2013-10-09,112.33,113.14,111.25,112.58,1518900,112.34
