Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,32.81,33.02,32.80,32.98,3355100,32.60
2013-12-30,32.70,32.98,32.63,32.77,3159600,32.39
2013-12-27,32.50,32.99,32.31,32.79,4879400,32.41
2013-12-26,32.25,32.45,32.01,32.07,2252500,31.70
2013-12-24,32.21,32.42,32.09,32.22,1426300,31.85
2013-12-23,32.65,32.71,32.28,32.31,4852700,31.93
2013-12-20,31.76,32.69,31.71,32.61,14000800,32.23
2013-12-19,31.78,31.97,31.29,31.60,6867800,31.23
2013-12-18,31.93,32.15,31.52,31.98,4774000,31.61
2013-12-17,31.83,32.02,31.75,31.94,3604200,31.57
2013-12-16,31.84,32.04,31.60,31.82,3797600,31.45
2013-12-13,32.06,32.06,31.59,31.71,3097500,31.34
2013-12-12,32.15,32.46,32.11,32.19,4192300,31.82
2013-12-11,32.30,32.60,32.03,32.13,3800400,31.76
2013-12-10,32.41,32.43,32.11,32.19,3267100,31.82
2013-12-09,32.39,32.65,32.32,32.48,3633500,32.10
2013-12-06,32.24,32.45,32.01,32.44,4838100,32.06
2013-12-05,32.47,32.50,32.07,32.08,4006300,31.71
2013-12-04,32.42,32.53,32.12,32.52,3900400,32.14
2013-12-03,32.51,32.70,32.44,32.53,4882700,32.15
2013-12-02,32.91,32.94,32.54,32.58,6882200,32.20
2013-11-29,32.50,32.76,32.42,32.63,2698300,32.25
2013-11-27,32.90,32.98,32.39,32.50,4640900,32.12
2013-11-26,33.29,33.29,32.76,32.95,4774700,32.57
2013-11-25,33.45,33.64,33.29,33.29,6476800,32.90
2013-11-22,33.56,33.56,33.22,33.35,6774100,32.96
2013-11-21,34.30,34.30,33.53,33.57,7641200,33.18
2013-11-20,35.08,35.08,33.95,33.96,8101200,33.56
2013-11-19,35.41,35.49,34.83,34.97,5451900,34.56
2013-11-18,35.50,35.61,35.40,35.41,6152200,35.00
2013-11-15,35.87,35.97,35.29,35.47,8859200,35.06
2013-11-14,35.96,36.53,35.89,35.89,5656300,35.47
2013-11-13,36.49,36.52,35.81,36.07,5122600,35.65
2013-11-12,36.65,36.96,36.46,36.69,4635500,36.26
2013-11-11,38.01,38.01,36.53,36.62,9135600,36.19
2013-11-08,38.12,38.92,37.66,38.84,8637200,38.39
2013-11-07,38.12,38.65,38.12,38.32,4908000,37.87
2013-11-06,37.44,38.13,37.44,38.11,7360300,37.67
2013-11-05,37.31,37.52,36.81,37.14,5302400,36.71
2013-11-04,38.20,38.30,37.80,38.12,4152000,37.13
2013-11-01,37.93,38.23,37.71,38.12,3231700,37.13
2013-10-31,38.00,38.09,37.38,37.87,2829800,36.89
2013-10-30,38.14,38.35,37.85,37.97,2806100,36.99
2013-10-29,37.94,38.32,37.60,38.00,4138500,37.02
2013-10-28,37.80,38.10,37.68,37.82,10800900,36.84
2013-10-25,37.38,37.95,37.20,37.88,8245000,36.90
2013-10-24,38.02,38.02,37.30,37.43,9489400,36.46
2013-10-23,38.34,38.90,37.93,38.01,5432200,37.03
2013-10-22,37.98,38.61,37.96,38.40,3211800,37.41
2013-10-21,37.94,38.06,37.70,38.00,3158000,37.02
2013-10-18,37.57,38.03,37.51,37.94,3314300,36.96
2013-10-17,36.90,37.64,36.47,37.57,3596300,36.60
2013-10-16,37.31,37.60,36.64,37.04,4315600,36.08
2013-10-15,37.74,37.83,37.20,37.27,2434900,36.30
2013-10-14,37.81,37.99,37.33,37.93,2789700,36.95
2013-10-11,37.90,38.11,37.78,37.91,5369800,36.93
2013-10-10,37.85,37.97,37.28,37.96,2819300,36.98
2013-10-09,37.56,38.26,37.50,37.68,2981200,36.70
2013-10-08,37.11,37.83,37.01,37.45,3171500,36.48
2013-10-07,36.82,37.55,36.82,37.19,2576600,36.23
2013-10-04,36.72,37.06,36.67,36.97,2104900,36.01
2013-10-03,36.91,36.95,36.52,36.72,2474100,35.77
2013-10-02,36.76,37.32,36.72,37.07,2331400,36.11
2013-10-01,36.75,37.18,36.62,36.93,3228400,35.97
2013-09-30,36.52,36.89,36.30,36.45,2433800,35.51
2013-09-27,36.84,37.21,36.51,36.59,1960700,35.64
2013-09-26,37.12,37.33,36.86,36.94,1489300,35.98
2013-09-25,37.40,37.54,37.09,37.09,1671200,36.13
2013-09-24,37.51,37.75,37.07,37.41,2334900,36.44
2013-09-23,36.53,37.70,36.43,37.64,3837800,36.67
2013-09-20,37.93,37.96,36.62,36.66,4929500,35.71
2013-09-19,38.40,38.53,37.70,37.91,3147500,36.93
2013-09-18,37.74,38.59,37.47,38.38,3910300,37.39
2013-09-17,37.29,37.75,37.25,37.74,1513200,36.76
2013-09-16,37.46,37.86,37.17,37.29,2262100,36.32
2013-09-13,36.90,37.21,36.84,37.11,1338600,36.15
2013-09-12,37.54,37.83,36.83,36.90,2119900,35.94
2013-09-11,37.89,37.90,37.21,37.49,3199000,36.52
2013-09-10,37.40,37.87,37.27,37.87,2776700,36.89
2013-09-09,37.01,37.23,36.76,37.17,1942300,36.21
2013-09-06,36.73,37.46,36.70,36.99,3708200,36.03
2013-09-05,36.73,36.86,36.30,36.56,2495600,35.61
2013-09-04,36.84,37.04,36.53,36.78,3405200,35.83
2013-09-03,37.69,38.00,36.87,36.94,1851400,35.98
2013-08-30,37.35,37.67,37.30,37.47,1490900,36.50
2013-08-29,37.51,37.61,37.20,37.36,1375300,36.39
2013-08-28,37.59,37.82,37.30,37.65,1364700,36.68
2013-08-27,37.53,37.88,37.36,37.57,2106300,36.60
2013-08-26,38.11,38.29,37.81,37.83,1204600,36.85
2013-08-23,38.17,38.34,37.98,38.13,2835900,37.14
2013-08-22,37.68,38.27,37.48,38.18,3096500,37.19
2013-08-21,37.63,38.21,37.20,37.56,4852800,36.59
2013-08-20,36.40,37.38,36.38,37.23,3253100,36.27
2013-08-19,36.76,37.07,36.30,36.39,1865300,35.45
2013-08-16,37.04,37.10,36.46,36.81,4749800,35.86
2013-08-15,37.05,37.20,36.85,37.12,2881400,36.16
2013-08-14,36.94,37.27,36.78,37.18,2315000,36.22
2013-08-13,37.30,37.39,36.95,36.97,2872800,36.01
2013-08-12,37.75,37.80,36.98,37.34,3083000,36.37
2013-08-09,38.32,38.55,37.86,37.90,3145100,36.92
2013-08-08,38.26,38.47,37.98,38.41,3094200,37.42
2013-08-07,37.58,38.27,37.35,38.21,5149600,37.22
2013-08-06,37.49,39.01,36.41,38.01,8865400,37.03
2013-08-05,37.51,37.62,37.02,37.04,4160500,36.08
2013-08-02,38.36,38.44,37.80,38.13,2676600,36.61
