Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,90.20,91.28,89.77,90.86,953100,90.86
2013-12-30,89.27,90.79,88.89,89.89,930200,89.89
2013-12-27,89.22,89.83,89.00,89.22,702100,89.22
2013-12-26,89.50,89.85,89.10,89.28,905800,89.28
2013-12-24,89.50,89.95,89.33,89.44,533000,89.44
2013-12-23,88.50,89.85,87.92,89.51,2078000,89.51
2013-12-20,85.82,88.50,85.15,88.10,3313700,88.10
2013-12-19,83.58,85.53,83.58,84.98,1367100,84.98
2013-12-18,83.95,84.26,82.53,84.11,1435300,84.11
2013-12-17,83.73,85.14,83.63,84.25,1701000,84.25
2013-12-16,82.42,84.17,81.79,83.44,1962000,83.44
2013-12-13,82.40,82.47,81.22,81.47,982500,81.47
2013-12-12,83.92,84.43,81.71,81.99,1493800,81.99
2013-12-11,85.50,85.50,84.14,84.24,1955500,84.24
2013-12-10,84.81,85.31,84.49,84.72,1162500,84.72
2013-12-09,83.94,85.61,83.69,85.18,1581800,85.18
2013-12-06,82.56,84.04,81.20,83.59,1772300,83.59
2013-12-05,82.62,82.84,81.48,81.50,1586300,81.50
2013-12-04,81.58,83.25,81.53,82.81,2270700,82.81
2013-12-03,81.36,82.27,81.25,82.08,1289900,82.08
2013-12-02,82.11,82.55,81.80,82.05,935300,82.05
2013-11-29,82.56,82.68,81.78,82.26,625400,82.26
2013-11-27,81.88,82.65,81.36,82.38,1276100,82.38
2013-11-26,81.22,82.69,80.76,81.84,2178000,81.84
2013-11-25,82.97,83.01,80.82,80.90,1401400,80.90
2013-11-22,83.20,83.43,81.67,82.94,1228800,82.94
2013-11-21,82.07,83.18,81.60,82.91,918400,82.91
2013-11-20,82.29,83.32,81.39,81.56,906400,81.56
2013-11-19,83.71,84.00,81.05,82.02,1785200,82.02
2013-11-18,84.74,85.41,83.78,83.89,1654900,83.89
2013-11-15,84.23,85.49,83.93,84.62,1673500,84.62
2013-11-14,83.32,85.12,82.06,84.05,2406100,84.05
2013-11-13,83.85,85.31,83.81,84.64,2064400,84.64
2013-11-12,83.50,84.87,83.50,84.13,1981800,84.13
2013-11-11,82.23,83.18,81.33,82.86,1577600,82.86
2013-11-08,80.37,82.13,80.34,82.02,1911900,82.02
2013-11-07,81.11,81.79,80.12,80.39,1618500,80.39
2013-11-06,80.34,81.42,79.90,81.20,1594100,81.20
2013-11-05,79.60,80.56,79.11,79.74,1962700,79.74
2013-11-04,79.73,80.47,78.14,79.55,2533200,79.55
2013-11-01,81.47,81.90,78.74,79.43,7302400,79.43
2013-10-31,83.33,83.50,81.07,81.54,2737600,81.54
2013-10-30,84.64,84.75,83.00,83.49,1326800,83.49
2013-10-29,84.50,85.32,83.16,84.16,2091900,84.16
2013-10-28,82.55,84.86,82.52,84.28,2697800,84.28
2013-10-25,85.50,85.88,82.36,82.71,3222200,82.71
2013-10-24,88.04,91.68,84.20,85.15,6629900,85.15
2013-10-23,90.49,90.83,85.58,86.31,5614100,86.31
2013-10-22,91.23,91.71,89.53,90.65,2046500,90.65
2013-10-21,88.18,90.12,88.01,90.11,1687800,90.11
2013-10-18,86.64,88.06,85.92,87.81,1877500,87.81
2013-10-17,87.50,88.06,85.87,85.92,2228300,85.92
2013-10-16,88.36,88.60,87.41,88.52,1322300,88.52
2013-10-15,89.90,90.37,87.51,87.55,2005300,87.55
2013-10-14,89.62,90.59,88.98,90.21,1081200,90.21
2013-10-11,88.77,91.10,88.32,90.50,1105700,90.50
2013-10-10,87.73,89.50,87.51,89.22,1529000,89.22
2013-10-09,89.27,89.89,86.02,87.90,1472400,87.90
2013-10-08,91.99,92.73,88.70,88.79,1782300,88.79
2013-10-07,90.86,93.25,90.51,92.02,1592900,92.02
2013-10-04,89.89,91.68,89.50,91.54,1408600,91.54
2013-10-03,89.96,91.14,87.65,88.45,1245100,88.45
2013-10-02,88.18,89.96,87.94,89.88,1095500,89.88
2013-10-01,86.10,89.10,85.58,88.97,1533000,88.97
2013-09-30,86.00,86.87,85.31,85.81,964500,85.81
2013-09-27,87.46,87.98,86.37,86.80,715200,86.80
2013-09-26,88.20,89.57,87.31,88.10,943500,88.10
2013-09-25,86.97,88.35,86.04,87.99,1130400,87.99
2013-09-24,87.49,87.97,86.05,87.07,2232900,87.07
2013-09-23,93.59,93.77,89.13,89.17,1795300,89.17
2013-09-20,94.33,94.66,93.33,93.62,1674200,93.62
2013-09-19,93.19,93.49,92.43,93.10,697500,93.10
2013-09-18,91.65,93.32,90.88,92.94,964600,92.94
2013-09-17,91.07,92.43,90.57,91.63,780800,91.63
2013-09-16,93.00,93.18,90.57,90.88,988100,90.88
2013-09-13,91.02,92.04,90.40,92.01,1166900,92.01
2013-09-12,91.94,92.29,90.58,90.63,1491100,90.63
2013-09-11,89.23,93.20,89.15,92.02,2209200,92.02
2013-09-10,88.88,90.22,88.40,89.96,1428400,89.96
2013-09-09,87.51,88.79,87.15,88.44,990200,88.44
2013-09-06,86.75,87.82,85.74,86.88,1214600,86.88
2013-09-05,85.43,87.18,85.28,86.52,1408900,86.52
2013-09-04,85.10,86.00,84.11,85.40,1160200,85.40
2013-09-03,84.22,86.11,84.16,85.02,1502800,85.02
2013-08-30,84.50,84.63,82.78,83.38,818700,83.38
2013-08-29,83.29,84.92,83.29,84.12,607700,84.12
2013-08-28,82.78,83.75,82.27,83.22,699800,83.22
2013-08-27,84.24,84.89,82.60,82.84,1436700,82.84
2013-08-26,86.86,87.39,85.67,85.86,843900,85.86
2013-08-23,88.22,88.30,86.66,87.10,1047400,87.10
2013-08-22,86.17,88.09,85.77,87.69,1206400,87.69
2013-08-21,86.08,86.76,85.25,85.38,1254300,85.38
2013-08-20,85.82,87.02,85.39,86.81,1037100,86.81
2013-08-19,87.86,88.11,85.63,85.70,1333900,85.70
2013-08-16,89.30,89.72,87.46,87.49,1299700,87.49
2013-08-15,90.37,90.39,87.63,89.23,2386400,89.23
2013-08-14,92.39,93.65,92.25,92.50,906400,92.50
2013-08-13,92.57,93.69,91.72,93.00,1147600,93.00
2013-08-12,91.93,94.33,91.53,92.70,2668900,92.70
2013-08-09,89.93,91.17,89.69,89.88,1771100,89.88
2013-08-08,88.80,91.00,88.64,90.22,1800000,90.22
2013-08-07,88.42,89.58,87.66,88.38,1535700,88.38
2013-08-06,88.78,89.07,88.03,88.46,1455600,88.46
2013-08-05,87.99,89.22,87.66,88.73,1474000,88.73
2013-08-02,87.82,88.50,87.02,88.45,1251700,88.45
2013-08-01,88.26,89.19,87.39,89.04,2084400,89.04
2013-07-31,88.00,88.38,86.84,87.80,1514600,87.80
2013-07-30,86.81,88.45,86.57,87.89,1440800,87.89
2013-07-29,87.29,87.84,85.62,86.80,1178600,86.80
2013-07-26,86.76,88.20,86.34,87.65,2077600,87.65
2013-07-25,87.97,92.79,87.26,87.29,7381400,87.29
2013-07-24,81.69,82.49,80.81,81.42,2835100,81.42
2013-07-23,80.61,80.78,79.60,79.91,1133500,79.91
2013-07-22,81.60,81.60,79.88,80.34,1030400,80.34
2013-07-19,81.35,81.79,79.95,80.29,1427000,80.29
2013-07-18,80.96,82.55,80.41,81.74,1295600,81.74
2013-07-17,80.76,81.38,80.43,80.90,1129900,80.90
2013-07-16,81.47,82.00,79.77,80.43,1783300,80.43
2013-07-15,79.68,81.95,79.24,81.41,2776300,81.41
2013-07-12,77.38,79.83,76.86,79.79,3133100,79.79
2013-07-11,74.60,76.18,74.49,76.09,3204400,76.09
2013-07-10,69.44,72.34,69.36,71.95,3667900,71.95
2013-07-09,68.99,69.71,68.48,69.36,2158600,69.36
2013-07-08,69.55,69.69,68.22,68.52,1692900,68.52
2013-07-05,69.78,69.90,68.78,69.19,1692900,69.19
2013-07-03,68.53,69.90,68.40,69.32,1347400,69.32
2013-07-02,69.70,69.97,68.69,68.94,2427900,68.94
2013-07-01,70.00,70.46,69.30,69.61,1886900,69.61
2013-06-28,71.12,71.22,68.69,68.80,2876200,68.80
2013-06-27,68.80,70.15,68.58,70.05,1397900,70.05
2013-06-26,69.22,69.22,68.17,68.58,1201400,68.58
2013-06-25,68.67,69.29,67.84,68.50,1596100,68.50
2013-06-24,70.23,70.32,67.53,68.02,2239700,68.02
2013-06-21,71.90,72.35,70.02,70.92,2831200,70.92
2013-06-20,73.95,74.12,72.03,72.32,1970200,72.32
2013-06-19,76.33,76.62,74.40,74.45,970000,74.45
2013-06-18,74.51,76.74,74.51,76.06,1095800,76.06
2013-06-17,74.60,75.31,74.05,74.53,1181000,74.53
2013-06-14,74.92,75.46,73.66,73.99,1186000,73.99
2013-06-13,73.86,75.27,73.42,74.97,2132500,74.97
2013-06-12,75.92,76.07,73.67,74.10,1337300,74.10
2013-06-11,76.57,77.82,75.25,75.34,1244200,75.34
2013-06-10,78.18,78.61,76.67,77.47,1338300,77.47
2013-06-07,79.18,79.20,77.11,78.07,1385400,78.07
2013-06-06,78.12,79.05,77.47,79.00,1600000,79.00
2013-06-05,77.25,78.18,75.75,76.83,1685300,76.83
2013-06-04,79.31,80.00,76.74,77.32,1551700,77.32
2013-06-03,80.60,80.95,77.22,79.16,2903800,79.16
2013-05-31,83.64,84.33,82.90,83.21,1217300,83.21
2013-05-30,83.14,84.69,83.04,84.12,1250200,84.12
2013-05-29,83.31,83.72,82.37,83.29,1407300,83.29
2013-05-28,82.51,83.72,82.50,83.67,1229500,83.67
2013-05-24,80.72,81.78,80.08,81.56,802700,81.56
2013-05-23,81.19,81.59,80.13,81.22,964100,81.22
2013-05-22,83.09,84.50,81.65,82.02,1540700,82.02
2013-05-21,83.21,83.48,82.50,82.66,1169300,82.66
2013-05-20,82.18,83.55,81.40,82.88,1081400,82.88
2013-05-17,82.55,83.18,81.72,82.63,1310200,82.63
2013-05-16,82.57,86.22,82.00,82.60,2719500,82.60
2013-05-15,78.60,80.08,77.60,79.91,1793700,79.91
2013-05-14,78.50,79.13,77.52,78.86,1193000,78.86
2013-05-13,80.24,80.41,78.22,78.34,1922200,78.34
2013-05-10,79.39,80.03,79.16,79.99,1279900,79.99
2013-05-09,78.78,79.87,78.22,79.17,1855600,79.17
2013-05-08,76.64,78.71,76.57,78.70,1647200,78.70
2013-05-07,78.22,79.00,76.71,76.96,1434300,76.96
2013-05-06,75.50,77.55,75.10,77.52,1364500,77.52
2013-05-03,75.65,76.04,75.04,75.37,1074300,75.37
2013-05-02,73.31,76.12,73.00,74.50,1938500,74.50
2013-05-01,76.10,76.32,73.77,74.12,1903000,74.12
2013-04-30,75.31,77.25,74.28,76.43,1676000,76.43
2013-04-29,74.27,77.03,73.65,75.96,1840400,75.96
2013-04-26,73.74,75.20,73.23,74.20,1626600,74.20
2013-04-25,76.68,81.30,74.31,74.89,5904700,74.89
2013-04-24,72.20,72.74,71.21,72.35,1747100,72.35
2013-04-23,71.71,72.98,71.71,72.33,1214900,72.33
2013-04-22,71.73,71.99,70.60,71.43,1311300,71.43
2013-04-19,72.47,72.48,71.14,71.38,1434800,71.38
2013-04-18,73.74,74.18,72.20,72.54,1068800,72.54
2013-04-17,73.45,74.64,72.98,73.49,1407700,73.49
2013-04-16,73.44,74.56,73.09,73.94,1263300,73.94
2013-04-15,74.57,75.13,72.80,73.00,1409300,73.00
2013-04-12,75.61,75.85,73.86,74.98,1418500,74.98
2013-04-11,73.38,76.76,72.96,75.90,2503200,75.90
2013-04-10,72.93,73.79,72.12,73.40,1959100,73.40
2013-04-09,72.75,73.43,72.07,72.45,2672300,72.45
2013-04-08,73.37,73.40,71.65,72.77,3425600,72.77
2013-04-05,73.33,75.79,71.95,73.21,12459200,73.21
2013-04-04,90.11,91.00,89.69,90.42,2179800,90.42
2013-04-03,90.75,92.57,89.88,90.52,1931300,90.52
2013-04-02,89.88,90.00,88.92,89.83,1542900,89.83
2013-04-01,88.84,89.39,87.61,87.91,861700,87.91
2013-03-28,88.43,89.81,87.83,89.08,1130300,89.08
2013-03-27,88.45,89.05,87.51,88.72,1427300,88.72
2013-03-26,87.84,88.00,87.03,87.57,807100,87.57
2013-03-25,87.44,88.15,86.97,87.48,1219300,87.48
2013-03-22,89.11,89.70,86.33,87.01,1803400,87.01
2013-03-21,90.00,91.20,88.66,89.03,1003300,89.03
2013-03-20,90.63,91.10,89.89,90.95,1056600,90.95
2013-03-19,90.34,90.36,88.10,89.70,1261300,89.70
2013-03-18,89.53,90.44,87.97,90.24,1709200,90.24
2013-03-15,91.14,92.54,90.65,90.91,1867000,90.91
2013-03-14,93.00,93.10,91.07,91.31,2155000,91.31
2013-03-13,93.55,95.00,92.12,92.79,1262600,92.79
2013-03-12,94.43,95.22,92.85,93.46,1145300,93.46
2013-03-11,93.90,94.87,93.40,94.74,1049300,94.74
2013-03-08,94.68,95.40,93.79,94.01,1713800,94.01
2013-03-07,94.03,95.67,93.08,94.23,1315500,94.23
2013-03-06,94.02,94.40,92.71,93.11,869400,93.11
2013-03-05,93.27,93.94,92.57,93.43,1597200,93.43
2013-03-04,93.07,93.56,92.18,92.65,1495500,92.65
2013-03-01,94.22,94.46,92.80,93.58,1261900,93.58
