Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,58.78,59.28,58.78,59.05,550300,59.05
2013-12-30,58.59,58.97,58.50,58.72,557200,58.72
2013-12-27,59.07,59.12,58.56,58.61,555600,58.61
2013-12-26,58.52,59.00,58.28,58.88,754000,58.88
2013-12-24,58.52,58.52,58.22,58.37,277100,58.37
2013-12-23,58.04,58.44,57.87,58.39,945200,58.39
2013-12-20,57.47,58.06,57.16,57.83,2330800,57.83
2013-12-19,57.53,57.84,57.19,57.27,1045800,57.27
2013-12-18,56.59,57.47,55.90,57.47,1160800,57.47
2013-12-17,56.84,57.00,55.96,56.61,1259300,56.61
2013-12-16,112.06,113.62,112.06,113.38,1181000,56.69
2013-12-13,112.76,112.76,111.54,111.84,856400,55.92
2013-12-12,110.94,112.44,110.33,111.98,1342200,55.99
2013-12-11,110.90,111.45,110.26,110.39,891000,55.19
2013-12-10,110.58,111.65,110.58,111.13,770200,55.56
2013-12-09,112.41,112.87,110.26,111.12,731600,55.56
2013-12-06,109.39,111.19,108.48,111.16,934800,55.58
2013-12-05,108.98,109.34,108.25,108.28,750600,54.14
2013-12-04,109.28,110.12,108.19,109.11,663200,54.56
2013-12-03,110.24,111.28,109.97,110.10,995600,55.05
2013-12-02,110.47,111.37,109.95,111.00,1847200,55.50
2013-11-29,110.27,111.12,109.86,109.89,790600,54.94
2013-11-27,116.37,116.37,110.30,110.75,640200,55.38
2013-11-26,110.34,110.60,109.67,110.26,1420600,55.13
2013-11-25,110.70,110.73,109.43,109.50,904400,54.75
2013-11-22,110.36,110.58,109.78,110.11,907400,55.06
2013-11-21,109.21,110.10,108.73,109.98,912600,54.99
2013-11-20,108.89,109.55,108.03,108.30,738600,54.15
2013-11-19,109.50,110.52,108.97,109.04,1107800,54.52
2013-11-18,108.50,109.62,108.47,109.49,1077800,54.74
2013-11-15,106.93,108.68,106.80,108.61,1254600,54.31
2013-11-14,107.55,108.06,106.93,107.20,841200,53.60
2013-11-13,104.94,107.22,104.86,107.19,1039200,53.60
2013-11-12,104.90,105.70,104.43,105.63,885800,52.81
2013-11-11,105.40,105.65,105.03,105.38,461600,52.69
2013-11-08,103.80,105.67,103.64,105.62,841400,52.81
2013-11-07,105.80,105.81,103.73,103.86,649000,51.93
2013-11-06,104.37,105.33,104.37,105.31,636200,52.65
2013-11-05,104.41,104.81,104.05,104.69,1053200,52.35
2013-11-04,105.10,105.50,104.71,105.10,626600,52.55
2013-11-01,104.83,105.03,104.26,104.85,989200,52.42
2013-10-31,105.08,105.29,104.55,104.73,2067600,52.37
2013-10-30,105.50,106.58,104.75,105.19,1581800,52.60
2013-10-29,107.45,108.00,106.13,106.64,1612000,53.32
2013-10-28,106.75,107.13,106.04,106.66,836200,53.33
2013-10-25,105.03,106.30,104.97,106.30,738600,53.15
2013-10-24,105.95,105.95,105.06,105.60,463200,52.80
2013-10-23,105.77,106.12,104.93,105.36,465400,52.68
2013-10-22,105.80,106.39,105.20,106.23,612000,53.12
2013-10-21,104.53,105.39,104.30,105.37,688200,52.69
2013-10-18,104.39,104.89,104.12,104.62,788200,52.31
2013-10-17,103.27,104.31,103.13,104.23,831600,52.12
2013-10-16,102.58,103.72,102.37,103.71,885600,51.85
2013-10-15,102.07,102.46,101.71,101.94,712800,50.97
2013-10-14,101.34,102.48,101.16,102.37,616000,51.19
2013-10-11,99.63,101.73,99.63,101.73,591400,50.87
2013-10-10,99.48,100.53,98.91,100.42,861800,50.21
2013-10-09,99.04,99.32,97.90,98.36,1028000,49.18
2013-10-08,99.21,99.87,98.50,98.54,948400,49.27
2013-10-07,100.04,100.40,99.39,99.42,882000,49.71
2013-10-04,100.32,101.28,100.13,101.00,709000,50.50
2013-10-03,101.40,101.62,100.08,100.32,1022400,50.16
2013-10-02,101.79,102.17,100.77,101.79,1151800,50.90
2013-10-01,101.37,102.54,101.05,102.54,988400,51.27
2013-09-30,100.46,101.22,100.06,101.05,971000,50.53
2013-09-27,100.63,101.14,100.31,101.09,723000,50.54
2013-09-26,101.48,101.71,100.61,100.94,909200,50.47
2013-09-25,101.82,102.17,101.01,101.42,994600,50.71
2013-09-24,101.15,102.19,100.57,101.81,1275400,50.90
2013-09-23,102.78,102.78,100.89,100.90,1297200,50.45
2013-09-20,102.05,102.60,101.13,101.84,2650400,50.92
2013-09-19,103.10,103.21,101.94,101.94,734200,50.97
2013-09-18,102.25,103.17,101.21,102.95,964800,51.47
2013-09-17,101.34,102.26,101.03,101.91,729200,50.96
2013-09-16,101.23,101.50,100.62,101.24,715000,50.62
2013-09-13,100.54,100.86,99.83,100.37,551800,50.19
2013-09-12,100.59,101.52,100.00,100.15,821600,50.08
2013-09-11,99.76,101.35,99.59,101.05,720000,50.53
2013-09-10,99.89,100.11,99.10,99.98,1060600,49.99
2013-09-09,98.65,99.56,98.36,99.52,930400,49.76
2013-09-06,98.15,99.20,96.73,98.57,1246400,49.28
2013-09-05,93.09,97.91,92.69,97.70,680800,48.85
2013-09-04,96.38,97.76,95.87,97.70,1322600,48.85
2013-09-03,97.86,99.15,96.07,96.54,1294400,48.27
2013-08-30,96.37,96.59,95.83,96.27,1012600,48.13
2013-08-29,95.74,96.89,94.81,96.36,988200,48.18
2013-08-28,96.81,97.05,96.18,96.22,674000,48.11
2013-08-27,97.69,98.22,96.37,96.50,865800,48.25
2013-08-26,99.06,99.79,98.74,98.81,616600,49.40
2013-08-23,99.60,99.90,99.19,99.47,1173400,49.74
2013-08-22,98.45,99.97,98.32,99.11,957800,49.56
2013-08-21,98.48,99.24,98.05,98.30,756600,49.15
2013-08-20,98.76,99.53,98.36,99.17,685800,49.58
2013-08-19,99.21,100.04,98.52,98.82,1138800,49.41
2013-08-16,99.06,100.00,99.06,99.35,990600,49.67
2013-08-15,100.08,100.14,98.94,99.23,1569000,49.62
2013-08-14,101.64,101.64,100.65,101.00,844000,50.50
2013-08-13,101.41,102.23,100.58,101.54,502800,50.77
2013-08-12,100.76,101.72,100.26,101.47,784800,50.74
2013-08-09,101.11,101.60,100.43,101.12,564400,50.56
2013-08-08,101.59,101.85,100.45,101.15,1119000,50.58
2013-08-07,100.93,101.21,100.10,100.96,1197400,50.48
2013-08-06,100.45,101.30,100.18,100.79,1746000,50.40
2013-08-05,97.78,100.52,97.70,100.35,1750600,50.17
2013-08-02,97.00,98.19,96.43,98.18,1591800,49.09
2013-08-01,96.58,97.41,96.30,96.88,1889200,48.44
2013-07-31,95.73,99.88,95.73,96.24,4868200,48.12
2013-07-30,93.00,93.00,92.07,92.51,1560400,46.26
2013-07-29,92.38,92.89,92.02,92.40,1013000,46.20
2013-07-26,91.95,92.83,91.71,92.79,987200,46.40
2013-07-25,91.76,92.83,91.57,92.71,677800,46.35
2013-07-24,92.28,92.64,91.78,92.01,676600,46.01
2013-07-23,93.64,93.64,91.22,91.88,778600,45.94
2013-07-22,92.06,92.38,91.45,92.15,784000,46.08
2013-07-19,91.61,91.94,91.11,91.78,1225000,45.89
2013-07-18,91.18,91.99,90.98,91.61,901600,45.81
2013-07-17,91.47,91.77,90.80,90.96,765400,45.48
2013-07-16,91.39,91.72,90.76,91.03,910800,45.51
2013-07-15,90.85,91.82,90.62,91.24,925400,45.62
2013-07-12,91.09,91.83,90.67,91.06,1667600,45.53
2013-07-11,90.95,91.37,90.68,91.14,1080000,45.57
2013-07-10,89.51,90.44,89.51,90.29,1074200,45.15
2013-07-09,89.95,90.11,89.38,89.47,1307000,44.74
2013-07-08,90.00,90.51,89.44,89.45,1565000,44.72
2013-07-05,88.46,89.51,88.08,88.96,793600,44.48
2013-07-03,86.28,88.60,86.28,87.92,627000,43.96
2013-07-02,86.94,87.98,86.61,86.85,850200,43.42
2013-07-01,87.70,88.67,87.13,87.29,1097200,43.65
2013-06-28,87.32,88.19,86.85,87.41,2160200,43.71
2013-06-27,87.01,88.16,86.74,88.06,972000,44.03
2013-06-26,87.01,87.34,86.51,86.74,891200,43.37
2013-06-25,86.11,86.65,85.06,86.42,706000,43.21
2013-06-24,86.04,86.41,85.45,85.45,1335200,42.72
2013-06-21,86.49,86.97,84.99,86.50,2380400,43.25
2013-06-20,87.38,87.38,85.98,86.03,1099800,43.01
2013-06-19,88.66,89.34,88.05,88.16,1243800,44.08
2013-06-18,87.67,88.73,87.67,88.64,870000,44.32
2013-06-17,87.29,88.50,86.77,87.89,1052400,43.94
2013-06-14,87.99,87.99,86.60,86.98,875000,43.49
2013-06-13,86.05,88.07,85.55,87.89,894600,43.94
2013-06-12,87.17,87.40,85.93,85.93,950000,42.97
2013-06-11,85.78,87.43,85.49,86.66,985000,43.33
2013-06-10,86.55,86.63,85.96,86.42,962200,43.21
2013-06-07,86.10,86.89,85.95,86.52,1070200,43.26
2013-06-06,85.37,85.67,84.60,85.48,1172000,42.74
2013-06-05,86.13,86.44,85.04,85.21,1313200,42.60
2013-06-04,87.51,87.59,85.94,86.31,1641800,43.15
2013-06-03,87.67,87.96,86.38,87.21,1939000,43.60
2013-05-31,88.21,88.96,87.05,87.16,2360600,43.58
2013-05-30,87.77,88.78,87.72,88.50,1445800,44.25
2013-05-29,88.79,89.03,87.70,87.79,1070200,43.90
2013-05-28,88.70,89.62,88.51,89.39,840800,44.69
2013-05-24,88.21,88.24,87.59,88.09,1142000,44.04
2013-05-23,89.09,89.44,88.68,88.80,986200,44.40
2013-05-22,90.17,90.41,88.97,89.35,1957800,44.67
2013-05-21,90.11,90.73,89.85,90.00,1046400,45.00
2013-05-20,90.17,90.68,89.82,90.20,1030200,45.10
2013-05-17,89.63,90.60,89.18,90.59,1199200,45.29
2013-05-16,89.74,90.55,88.92,88.95,860600,44.47
2013-05-15,89.73,90.30,89.35,90.26,957400,45.13
2013-05-14,89.26,89.88,89.15,89.80,1145600,44.90
2013-05-13,89.63,89.86,89.09,89.39,692400,44.69
2013-05-10,88.95,89.57,88.90,89.52,925600,44.76
2013-05-09,88.78,89.56,88.76,88.99,1088000,44.49
2013-05-08,87.95,88.77,87.71,88.73,1550600,44.37
2013-05-07,86.52,88.13,86.40,88.00,1940000,44.00
2013-05-06,86.98,87.34,86.34,86.52,1803200,43.26
2013-05-03,87.00,87.14,86.61,86.80,2049200,43.40
2013-05-02,87.27,87.65,86.25,86.30,2190600,43.15
2013-05-01,86.83,89.50,86.72,86.93,3165600,43.47
2013-04-30,90.78,91.16,90.40,91.11,1662800,45.56
2013-04-29,90.10,90.93,90.02,90.84,1180600,45.42
2013-04-26,90.29,90.61,89.93,90.13,1009200,45.06
2013-04-25,89.80,90.41,89.43,90.17,1168400,45.08
2013-04-24,88.23,89.40,87.95,89.33,780400,44.67
2013-04-23,87.90,88.50,87.23,88.27,882400,44.13
2013-04-22,87.49,87.88,86.37,87.67,638800,43.83
2013-04-19,85.58,87.44,85.41,87.32,1089600,43.66
2013-04-18,86.86,87.16,85.60,86.00,731600,43.00
2013-04-17,87.07,87.07,86.04,86.74,1063600,43.37
2013-04-16,86.01,87.53,85.54,87.48,1047400,43.74
2013-04-15,87.51,87.81,85.70,85.71,941000,42.85
2013-04-12,87.86,88.08,87.28,87.83,890000,43.92
2013-04-11,88.25,88.77,87.94,88.39,989600,44.19
2013-04-10,86.21,88.39,86.10,88.35,1186200,44.17
2013-04-09,86.07,86.40,85.22,86.23,823200,43.12
2013-04-08,84.72,85.66,84.71,85.66,573800,42.83
2013-04-05,85.06,85.44,84.38,84.84,773800,42.42
2013-04-04,86.03,86.51,85.81,86.24,717200,43.12
2013-04-03,87.09,87.09,85.54,85.83,1000800,42.92
2013-04-02,87.32,87.49,86.74,87.05,759800,43.53
2013-04-01,87.96,87.99,86.86,87.01,655800,43.51
2013-03-28,86.13,87.91,86.10,87.86,1409000,43.93
2013-03-27,86.17,86.57,85.45,86.32,486600,43.16
2013-03-26,86.38,86.78,85.81,86.52,570000,43.26
