Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,29.79,30.13,29.74,30.10,489600,30.00
2013-12-30,29.72,29.79,29.66,29.75,360500,29.65
2013-12-27,29.68,29.87,29.63,29.76,307700,29.66
2013-12-26,29.50,29.86,29.50,29.67,458800,29.57
2013-12-24,29.52,29.76,29.43,29.48,191800,29.38
2013-12-23,29.38,29.89,29.23,29.57,578700,29.47
2013-12-20,28.80,29.17,28.52,29.14,1711100,29.05
2013-12-19,28.69,28.79,28.54,28.67,585700,28.58
2013-12-18,28.80,28.82,28.29,28.77,987900,28.68
2013-12-17,28.35,28.80,28.03,28.72,914300,28.63
2013-12-16,28.79,28.88,28.29,28.46,1229700,28.37
2013-12-13,28.83,28.94,28.56,28.70,841000,28.61
2013-12-12,28.56,28.87,28.39,28.78,766900,28.69
2013-12-11,29.02,29.25,28.53,28.59,697700,28.50
2013-12-10,28.92,29.16,28.89,29.04,817900,28.95
2013-12-09,29.46,29.59,28.94,28.98,707500,28.89
2013-12-06,29.29,29.46,29.11,29.38,632500,29.29
2013-12-05,29.30,29.43,28.98,29.04,936200,28.95
2013-12-04,29.46,29.69,29.39,29.41,1101400,29.31
2013-12-03,30.00,30.00,29.47,29.57,1457700,29.47
2013-12-02,29.61,29.61,29.32,29.35,703400,29.26
2013-11-29,29.76,29.92,29.62,29.67,317400,29.57
2013-11-27,29.90,30.00,29.67,29.77,452000,29.67
2013-11-26,29.79,29.98,29.64,29.86,625300,29.76
2013-11-25,29.78,29.93,29.62,29.72,491100,29.62
2013-11-22,29.60,29.90,29.42,29.74,469400,29.64
2013-11-21,29.25,29.64,29.25,29.60,858900,29.50
2013-11-20,29.21,29.36,29.06,29.08,518900,28.99
2013-11-19,29.33,29.39,29.15,29.17,1185900,29.08
2013-11-18,29.57,29.70,29.38,29.39,829000,29.30
2013-11-15,29.47,29.53,29.32,29.53,950100,29.43
2013-11-14,29.46,29.52,29.13,29.51,470000,29.41
2013-11-13,28.95,29.52,28.89,29.52,495400,29.33
2013-11-12,29.16,29.44,28.95,29.04,649000,28.86
2013-11-11,29.11,29.45,29.00,29.27,1068600,29.09
2013-11-08,28.25,29.10,28.21,29.06,830500,28.88
2013-11-07,28.47,28.92,28.19,28.22,1146500,28.04
2013-11-06,28.62,28.65,28.24,28.36,749000,28.18
2013-11-05,28.36,28.77,28.15,28.58,823300,28.40
2013-11-04,28.51,28.63,28.31,28.48,695500,28.30
2013-11-01,28.48,28.81,28.24,28.38,965700,28.20
2013-10-31,28.52,28.81,28.41,28.48,998000,28.30
2013-10-30,28.71,28.74,28.41,28.53,737600,28.35
2013-10-29,28.30,28.60,28.17,28.59,998800,28.41
2013-10-28,28.54,28.66,28.09,28.17,1015800,27.99
2013-10-25,28.58,28.74,28.18,28.54,1454800,28.36
2013-10-24,28.78,29.09,28.05,28.66,1099300,28.48
2013-10-23,28.95,29.05,28.53,28.78,953600,28.60
2013-10-22,28.95,29.41,28.95,29.03,1387700,28.85
2013-10-21,29.47,29.62,28.76,28.90,1082500,28.72
2013-10-18,29.12,29.45,28.79,29.43,1124400,29.25
2013-10-17,28.32,29.03,28.20,28.99,2106100,28.81
2013-10-16,28.50,28.60,27.91,28.37,2714800,28.19
2013-10-15,30.44,30.80,28.54,28.59,8333100,28.41
2013-10-14,32.96,33.20,32.36,33.17,729300,32.96
2013-10-11,32.08,32.68,31.85,32.67,572100,32.47
2013-10-10,31.98,32.34,31.67,32.20,784100,32.00
2013-10-09,31.74,31.88,31.40,31.66,781700,31.46
2013-10-08,32.14,32.20,31.67,31.79,866100,31.59
2013-10-07,32.02,32.37,31.73,32.12,585400,31.92
2013-10-04,32.36,32.53,32.07,32.41,777100,32.21
2013-10-03,31.52,32.38,31.51,32.36,2019300,32.16
2013-10-02,31.41,31.72,31.28,31.70,528700,31.50
2013-10-01,31.28,31.71,31.06,31.66,817000,31.46
2013-09-30,31.12,31.61,30.93,31.40,909800,31.20
2013-09-27,31.28,31.49,31.18,31.32,391000,31.12
2013-09-26,31.33,31.90,31.19,31.48,666400,31.28
2013-09-25,31.54,31.70,31.17,31.18,626200,30.98
2013-09-24,31.25,31.77,31.02,31.58,961900,31.38
2013-09-23,32.01,32.01,31.08,31.17,679400,30.97
2013-09-20,32.12,32.29,31.56,31.59,1254700,31.39
2013-09-19,32.00,32.32,31.79,32.15,751000,31.95
2013-09-18,31.79,31.97,31.53,31.91,1364400,31.71
2013-09-17,32.05,32.08,31.64,31.86,1203200,31.66
2013-09-16,32.33,32.36,31.59,31.89,1355700,31.69
2013-09-13,31.96,32.03,31.67,31.85,544500,31.65
2013-09-12,32.30,32.30,31.86,31.88,601500,31.68
2013-09-11,32.31,32.58,32.18,32.31,604900,32.11
2013-09-10,32.20,32.41,32.14,32.39,1202100,32.19
2013-09-09,31.75,32.16,31.65,32.02,743900,31.82
2013-09-06,32.05,32.11,31.42,31.69,654800,31.49
2013-09-05,31.86,32.20,31.76,31.92,501900,31.72
2013-09-04,31.37,31.95,31.27,31.91,759000,31.71
2013-09-03,31.72,31.94,31.10,31.32,847200,31.12
2013-08-30,31.79,31.79,31.26,31.28,917400,31.08
2013-08-29,31.47,32.03,31.32,31.77,518200,31.57
2013-08-28,31.40,31.63,31.25,31.51,506400,31.31
2013-08-27,32.00,32.07,31.27,31.33,575100,31.13
2013-08-26,32.31,32.56,32.08,32.35,808800,32.15
2013-08-23,33.00,33.08,32.25,32.31,662500,32.11
2013-08-22,32.24,32.98,32.23,32.94,556800,32.73
2013-08-21,32.05,32.40,31.97,32.21,883100,32.01
2013-08-20,32.00,32.32,31.72,32.09,886200,31.89
2013-08-19,32.26,32.41,31.94,31.96,860500,31.76
2013-08-16,32.04,32.66,32.00,32.20,1160300,32.00
2013-08-15,32.53,32.91,32.13,32.19,781900,31.99
2013-08-14,33.04,33.21,32.85,32.91,617100,32.61
2013-08-13,33.18,33.33,32.88,33.20,548300,32.90
2013-08-12,32.86,33.37,32.85,33.18,722800,32.88
2013-08-09,32.69,33.23,32.51,32.99,1083900,32.69
2013-08-08,33.00,33.08,32.56,32.65,1075200,32.36
2013-08-07,33.02,33.14,32.70,32.88,760200,32.58
2013-08-06,33.14,33.33,32.86,33.04,1142200,32.74
2013-08-05,33.55,33.75,33.04,33.16,2040700,32.86
2013-08-02,32.86,33.81,32.77,33.75,1605900,33.45
2013-08-01,32.74,32.95,32.51,32.82,1313800,32.53
2013-07-31,32.19,32.82,32.13,32.47,1407200,32.18
2013-07-30,31.73,32.59,31.50,32.11,1554300,31.82
2013-07-29,31.76,32.61,31.00,31.89,2159700,31.60
2013-07-26,31.16,32.79,30.67,32.44,2820900,32.15
2013-07-25,29.95,32.28,28.81,31.91,3586000,31.62
2013-07-24,29.18,29.28,28.95,29.09,806300,28.83
2013-07-23,29.20,29.25,28.98,29.00,766500,28.74
2013-07-22,29.11,29.19,28.89,29.08,766300,28.82
2013-07-19,29.07,29.07,28.68,28.97,1025700,28.71
2013-07-18,29.15,29.23,28.90,29.04,763200,28.78
2013-07-17,29.23,29.29,29.03,29.15,544200,28.89
2013-07-16,29.47,29.55,29.01,29.04,698500,28.78
2013-07-15,29.24,29.58,29.21,29.36,652600,29.10
2013-07-12,28.96,29.27,28.83,29.19,568000,28.93
2013-07-11,29.05,29.21,28.90,29.12,598200,28.86
2013-07-10,28.72,28.92,28.55,28.89,763800,28.63
2013-07-09,28.58,28.96,28.58,28.78,1434200,28.52
2013-07-08,28.16,28.49,27.98,28.48,1333000,28.22
2013-07-05,27.54,28.00,27.50,27.91,852200,27.66
