Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,78.00,78.89,78.00,78.83,1367200,78.66
2013-12-30,76.98,77.81,76.94,77.70,1071200,77.54
2013-12-27,76.92,77.06,76.44,76.90,643800,76.74
2013-12-26,76.57,77.08,76.10,76.95,706400,76.79
2013-12-24,76.00,76.58,76.00,76.53,411500,76.37
2013-12-23,76.03,76.79,75.78,76.10,1064400,75.80
2013-12-20,75.39,76.41,75.13,75.73,1728700,75.43
2013-12-19,74.78,75.31,74.16,75.22,1260000,74.92
2013-12-18,73.12,74.82,72.73,74.80,1081400,74.51
2013-12-17,73.88,73.95,72.85,73.16,808700,72.87
2013-12-16,72.80,73.89,72.73,73.66,1110800,73.37
2013-12-13,72.21,72.56,71.67,72.36,1067200,72.08
2013-12-12,72.10,72.57,71.97,72.09,1485900,71.81
2013-12-11,72.07,72.91,71.81,72.20,2983600,71.92
2013-12-10,71.72,72.21,71.58,72.08,1212500,71.80
2013-12-09,71.21,72.03,71.06,71.82,1301800,71.54
2013-12-06,70.54,70.95,70.04,70.94,867800,70.66
2013-12-05,69.45,69.96,69.12,69.61,971600,69.34
2013-12-04,69.95,70.47,68.79,69.43,1746000,69.16
2013-12-03,70.57,70.94,70.08,70.62,975100,70.34
2013-12-02,71.53,72.17,70.54,70.67,997300,70.39
2013-11-29,71.34,72.11,71.28,71.38,568500,71.10
2013-11-27,71.71,71.91,70.87,71.27,664100,70.99
2013-11-26,71.81,71.93,71.10,71.73,1063800,71.45
2013-11-25,72.15,73.04,71.27,71.84,1034400,71.56
2013-11-22,70.63,71.06,70.19,71.00,809100,70.72
2013-11-21,69.96,70.90,69.67,70.73,899300,70.45
2013-11-20,70.12,70.88,69.37,69.66,945000,69.39
2013-11-19,70.69,70.85,69.50,69.68,916100,69.41
2013-11-18,71.75,71.94,70.24,70.60,683800,70.32
2013-11-15,71.27,71.50,70.69,71.26,683000,70.98
2013-11-14,71.13,71.56,70.63,71.30,729200,71.02
2013-11-13,69.80,71.07,69.67,71.06,1334800,70.78
2013-11-12,70.40,70.71,70.01,70.19,866700,69.91
2013-11-11,69.67,70.45,69.40,70.41,826500,70.13
2013-11-08,68.69,69.59,68.40,69.58,1282500,69.31
2013-11-07,70.14,70.73,68.25,68.45,884300,68.18
2013-11-06,70.55,70.91,69.62,69.97,693800,69.69
2013-11-05,70.25,70.78,69.43,70.30,1246300,70.02
2013-11-04,70.02,70.49,69.79,70.46,878100,70.18
2013-11-01,69.73,69.89,68.58,69.65,958800,69.38
2013-10-31,69.68,69.95,69.02,69.47,993200,69.20
2013-10-30,70.77,70.92,69.46,69.65,877100,69.38
2013-10-29,69.92,70.87,69.75,70.73,1291600,70.45
2013-10-28,71.34,71.45,69.26,69.78,2268600,69.51
2013-10-25,66.59,71.49,65.82,71.22,4119600,70.94
2013-10-24,63.70,64.10,63.24,63.49,1966300,63.24
2013-10-23,63.90,64.09,63.21,63.72,1217700,63.47
2013-10-22,64.47,64.88,63.98,64.26,865100,64.01
2013-10-21,64.40,64.63,63.68,64.11,984300,63.86
2013-10-18,64.06,64.33,63.59,64.28,766600,64.03
2013-10-17,62.61,63.52,62.42,63.50,925600,63.25
2013-10-16,63.28,63.28,62.16,62.74,1205500,62.49
2013-10-15,63.28,63.28,62.09,62.41,841100,62.16
2013-10-14,62.47,63.44,62.34,63.41,913100,63.16
2013-10-11,61.83,62.88,61.77,62.87,1153000,62.62
