Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,120.74,120.74,119.51,119.94,388300,119.94
2013-12-30,120.46,122.38,119.38,120.30,784900,120.30
2013-12-27,120.72,121.95,119.36,120.12,883000,120.12
2013-12-26,120.36,122.27,120.32,121.59,1203600,121.59
2013-12-24,119.64,120.68,119.60,120.02,425400,120.02
2013-12-23,120.47,121.37,119.34,119.93,873000,119.93
2013-12-20,119.17,119.22,117.50,118.85,4447100,118.85
2013-12-19,120.19,120.65,118.61,118.81,774600,118.81
2013-12-18,120.90,121.43,117.87,120.49,1129100,120.49
2013-12-17,120.91,121.35,119.35,120.72,697500,120.72
2013-12-16,122.16,123.90,120.61,121.18,564300,121.18
2013-12-13,121.46,122.37,121.04,121.61,627900,121.61
2013-12-12,118.19,122.74,118.19,120.55,748400,120.55
2013-12-11,122.99,123.82,120.98,121.19,552000,121.19
2013-12-10,121.67,124.16,120.45,123.19,608500,123.19
2013-12-09,124.09,124.38,121.97,122.30,755700,122.30
2013-12-06,125.79,126.21,123.08,123.38,836800,123.38
2013-12-05,122.40,124.43,121.66,124.06,834600,124.06
2013-12-04,123.33,125.35,120.88,122.84,788100,122.84
2013-12-03,124.43,125.43,123.34,124.47,643000,124.47
2013-12-02,126.50,127.25,124.86,125.14,536400,125.14
2013-11-29,126.87,127.89,125.86,127.27,256700,127.27
2013-11-27,127.54,127.61,125.64,126.25,345300,126.25
2013-11-26,126.10,127.80,126.10,126.99,654200,126.99
2013-11-25,126.77,127.76,124.66,125.47,446600,125.47
2013-11-22,128.31,128.31,125.30,126.26,441500,126.26
2013-11-21,126.93,127.54,126.16,127.29,377700,127.29
2013-11-20,128.05,129.19,125.11,125.76,430500,125.76
2013-11-19,127.85,129.63,127.41,127.48,888800,127.48
2013-11-18,128.85,129.63,127.72,128.41,604700,128.41
2013-11-15,129.61,129.79,128.14,129.56,642700,129.56
2013-11-14,129.61,129.68,127.88,128.92,596200,128.92
2013-11-13,126.00,129.15,125.71,129.14,1037300,129.14
2013-11-12,127.20,127.38,125.43,126.08,759600,126.08
2013-11-11,127.35,128.89,126.01,127.32,420000,127.32
2013-11-08,125.15,128.40,124.72,127.91,685200,127.91
2013-11-07,129.17,129.17,124.69,125.57,919100,125.57
2013-11-06,132.12,134.99,126.42,128.46,1953100,128.46
2013-11-05,131.30,134.35,130.00,134.02,1983300,134.02
2013-11-04,128.77,131.15,128.26,130.20,871400,130.20
2013-11-01,127.45,128.77,126.38,128.66,1024000,128.66
2013-10-31,126.90,128.47,125.57,126.94,683800,126.94
2013-10-30,128.07,128.91,126.82,127.24,691300,127.24
2013-10-29,125.70,127.83,125.36,127.81,441900,127.81
2013-10-28,126.37,126.37,124.72,125.73,458500,125.73
2013-10-25,127.15,127.30,125.21,126.25,487200,126.25
2013-10-24,125.96,128.28,125.76,126.58,800800,126.58
2013-10-23,125.97,127.58,125.15,125.79,912300,125.79
2013-10-22,121.92,124.99,121.88,124.21,854000,124.21
2013-10-21,122.29,122.68,120.34,121.14,370800,121.14
2013-10-18,119.62,121.78,119.36,121.75,419400,121.75
2013-10-17,118.15,120.64,118.15,119.11,555300,119.11
2013-10-16,117.90,119.66,116.86,119.40,645300,119.40
2013-10-15,120.13,120.45,116.23,116.82,522300,116.82
2013-10-14,118.17,120.46,117.58,120.25,417300,120.25
2013-10-11,118.68,119.48,118.02,118.89,538000,118.89
2013-10-10,117.01,119.51,116.43,119.38,652600,119.38
