Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,35.00,35.21,34.99,35.17,6649600,35.04
2013-12-30,34.57,35.23,34.51,35.02,7546500,34.89
2013-12-27,35.07,35.14,34.86,34.96,11248300,34.83
2013-12-26,34.77,35.04,34.56,34.98,5422400,34.85
2013-12-24,34.59,34.80,34.35,34.79,2714300,34.66
2013-12-23,34.50,34.60,34.24,34.59,6592900,34.46
2013-12-20,34.09,34.56,33.98,34.30,20909100,34.17
2013-12-19,33.50,34.07,33.32,33.97,14270300,33.84
2013-12-18,33.06,33.51,32.65,33.46,14051800,33.34
2013-12-17,32.99,32.99,32.44,32.86,9955400,32.74
2013-12-16,33.18,33.25,32.77,32.84,8359300,32.72
2013-12-13,32.72,33.16,32.43,32.93,8325500,32.81
2013-12-12,32.41,32.82,32.25,32.66,9865700,32.54
2013-12-11,33.18,33.29,32.62,32.69,9368000,32.57
2013-12-10,32.89,33.34,32.89,33.16,8126800,33.04
2013-12-09,33.36,33.40,33.00,33.10,7737300,32.98
2013-12-06,33.30,33.44,32.76,33.14,8753200,33.02
2013-12-05,32.87,32.98,32.56,32.74,9883300,32.62
2013-12-04,32.95,33.31,32.75,32.91,12886600,32.79
2013-12-03,33.30,33.59,32.96,33.22,8420000,33.10
2013-12-02,33.52,33.78,33.46,33.53,9328400,33.41
2013-11-29,33.40,33.80,33.28,33.49,5016500,33.37
2013-11-27,33.32,33.55,33.02,33.50,7536500,33.38
2013-11-26,32.88,33.44,32.88,33.20,10033100,33.08
2013-11-25,33.47,33.64,33.15,33.20,5333200,33.08
2013-11-22,33.46,33.51,33.27,33.40,6969600,33.28
2013-11-21,33.18,33.51,33.09,33.26,7878900,33.14
2013-11-20,33.30,33.47,32.96,33.12,8550300,33.00
2013-11-19,33.67,33.82,33.17,33.26,10364900,33.14
2013-11-18,34.12,34.28,33.50,33.75,9427600,33.63
2013-11-15,34.08,34.40,34.00,34.19,7596000,34.06
2013-11-14,33.80,34.36,33.59,34.13,9606300,34.00
2013-11-13,32.90,33.74,32.86,33.69,11256600,33.57
2013-11-12,33.28,33.36,32.85,33.17,13788900,33.05
2013-11-11,33.74,33.84,33.40,33.46,6687900,33.34
2013-11-08,33.04,33.89,32.87,33.84,13908800,33.72
2013-11-07,33.89,34.10,32.64,32.80,19983100,32.68
2013-11-06,34.42,35.44,33.78,33.92,18028800,33.79
2013-11-05,31.71,34.15,31.71,34.09,9557500,33.96
2013-11-04,34.50,34.52,33.95,34.15,6574400,34.02
2013-11-01,34.50,34.50,34.04,34.37,8492300,34.24
2013-10-31,34.07,34.45,33.97,34.08,11359300,33.95
2013-10-30,34.84,34.95,33.76,33.94,16362000,33.81
2013-10-29,34.68,34.96,34.56,34.82,6008300,34.69
2013-10-28,34.88,35.03,34.71,34.83,8458700,34.70
2013-10-25,35.30,35.33,34.80,34.86,15476400,34.73
2013-10-24,34.91,35.23,34.78,35.18,12017700,35.05
2013-10-23,34.61,34.93,34.53,34.77,7647900,34.64
2013-10-22,34.54,35.04,34.43,34.87,9596800,34.74
2013-10-21,34.21,34.56,34.20,34.40,6972100,34.27
2013-10-18,34.55,34.59,34.22,34.26,8056800,34.13
2013-10-17,33.83,34.42,33.74,34.32,8908900,34.19
2013-10-16,33.73,34.11,33.63,33.94,7124800,33.81
2013-10-15,33.46,33.73,33.36,33.42,9302800,33.30
2013-10-14,32.99,33.78,32.94,33.69,8285600,33.57
2013-10-11,32.89,33.24,32.64,33.23,6911200,33.11
2013-10-10,32.55,33.02,32.32,32.87,11045000,32.75
2013-10-09,32.40,32.62,32.01,32.20,10553500,32.08
2013-10-08,33.11,33.22,32.40,32.44,8865800,32.32
2013-10-07,33.71,33.72,33.02,33.09,7760500,32.97
2013-10-04,33.33,33.83,33.20,33.65,10079100,33.53
2013-10-03,33.56,33.73,33.00,33.15,13198300,33.03
2013-10-02,33.63,33.97,33.54,33.71,20347800,33.59
2013-10-01,33.62,34.12,33.43,33.98,16656900,33.85
2013-09-30,33.07,33.58,32.80,33.51,12143100,33.39
2013-09-27,32.78,33.43,32.73,33.26,9957100,33.14
2013-09-26,32.70,33.04,32.65,33.02,5901000,32.90
2013-09-25,32.39,32.80,32.25,32.67,11223700,32.55
2013-09-24,32.86,32.94,32.50,32.55,7639900,32.43
2013-09-23,32.75,33.03,32.67,32.74,5864400,32.62
2013-09-20,32.91,33.29,32.87,33.01,11680700,32.89
2013-09-19,32.86,32.92,32.41,32.81,8086900,32.69
2013-09-18,32.52,33.01,32.30,32.73,10120800,32.61
2013-09-17,32.60,32.78,32.48,32.59,8954400,32.47
2013-09-16,33.10,33.36,32.52,32.60,10750200,32.48
2013-09-13,32.56,32.66,32.09,32.63,9180100,32.51
2013-09-12,32.46,32.56,32.15,32.31,9198300,32.19
2013-09-11,32.61,32.63,32.23,32.47,8337900,32.35
2013-09-10,32.25,32.44,32.08,32.22,8393200,32.10
2013-09-09,32.11,32.20,31.79,32.13,6165500,32.01
2013-09-06,31.88,32.41,31.43,32.10,7272900,31.86
2013-09-05,31.88,32.15,31.48,31.95,6264100,31.71
2013-09-04,31.84,32.19,31.63,31.95,8258500,31.71
2013-09-03,32.32,32.34,31.59,31.71,10975300,31.47
2013-08-30,31.58,31.70,31.14,31.33,6514700,31.09
2013-08-29,31.32,31.89,31.22,31.42,9552200,31.18
2013-08-28,31.67,31.75,31.22,31.57,8633900,31.33
2013-08-27,31.73,31.90,31.38,31.60,9588700,31.36
2013-08-26,32.16,32.56,32.01,32.08,7939800,31.84
2013-08-23,32.11,32.33,32.01,32.19,9010900,31.95
2013-08-22,31.61,33.61,31.51,32.08,5742100,31.84
2013-08-21,31.69,31.93,31.42,31.45,11422700,31.21
2013-08-20,31.59,31.97,31.45,31.89,10865800,31.65
2013-08-19,32.10,32.10,31.41,31.44,8998000,31.20
2013-08-16,31.69,32.20,31.69,31.97,8386500,31.73
2013-08-15,32.20,32.20,31.52,31.84,9567500,31.60
2013-08-14,32.52,32.74,32.12,32.27,9055800,32.03
2013-08-13,32.70,32.71,32.31,32.52,9872700,32.27
2013-08-12,32.56,32.84,32.54,32.66,9447800,32.41
2013-08-09,32.90,33.10,32.63,32.77,16200000,32.52
2013-08-08,31.80,33.84,31.77,32.79,28237700,32.54
2013-08-07,32.00,32.89,31.48,31.81,26365100,31.57
