Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,4.70,4.70,4.62,4.65,6763200,4.56
2013-12-30,4.68,4.71,4.68,4.70,5424800,4.60
2013-12-27,4.70,4.70,4.67,4.70,3569100,4.60
2013-12-26,4.70,4.71,4.67,4.70,4418800,4.60
2013-12-24,4.73,4.74,4.67,4.70,3949200,4.60
2013-12-23,4.69,4.72,4.68,4.69,6659900,4.59
2013-12-20,4.75,4.75,4.66,4.69,8493300,4.59
2013-12-19,4.73,4.76,4.64,4.73,12560900,4.63
2013-12-18,4.78,4.79,4.68,4.70,12857200,4.60
2013-12-17,4.94,4.94,4.61,4.78,53060300,4.68
2013-12-16,4.44,4.47,4.39,4.40,7191800,4.31
2013-12-13,4.45,4.49,4.43,4.44,6203300,4.35
2013-12-12,4.50,4.51,4.44,4.45,6669900,4.36
2013-12-11,4.60,4.64,4.53,4.53,8626300,4.44
2013-12-10,4.53,4.62,4.52,4.61,6213900,4.52
2013-12-09,4.52,4.62,4.48,4.57,14678800,4.48
2013-12-06,4.54,4.56,4.45,4.56,7866200,4.47
2013-12-05,4.54,4.55,4.40,4.43,11938200,4.34
2013-12-04,4.62,4.68,4.60,4.64,22154300,4.45
2013-12-03,4.64,4.67,4.61,4.65,11396200,4.46
2013-12-02,4.68,4.69,4.61,4.62,10813300,4.43
2013-11-29,4.70,4.72,4.66,4.68,3565200,4.49
2013-11-27,4.68,4.71,4.67,4.69,4933600,4.50
2013-11-26,4.69,4.73,4.64,4.64,12750000,4.45
2013-11-25,4.70,4.72,4.62,4.67,10681500,4.48
2013-11-22,4.77,4.80,4.70,4.70,8693000,4.51
2013-11-21,4.89,4.89,4.76,4.80,7367700,4.60
2013-11-20,5.00,5.02,4.80,4.84,12558500,4.64
2013-11-19,4.89,4.99,4.89,4.98,7447100,4.77
2013-11-18,4.91,4.95,4.86,4.90,15798100,4.70
2013-11-15,4.84,4.92,4.83,4.90,15996500,4.70
2013-11-14,4.70,4.84,4.70,4.82,6605500,4.62
2013-11-13,4.66,4.81,4.66,4.78,12893000,4.58
2013-11-12,4.72,4.73,4.67,4.70,7048100,4.51
2013-11-11,4.69,4.75,4.69,4.72,10209100,4.52
2013-11-08,4.69,4.70,4.57,4.69,9877800,4.50
2013-11-07,4.73,4.74,4.58,4.64,15368300,4.45
2013-11-06,4.50,4.74,4.50,4.72,24149000,4.52
2013-11-05,4.43,4.51,4.41,4.48,9388100,4.29
2013-11-04,4.42,4.48,4.42,4.46,4943200,4.28
2013-11-01,4.36,4.46,4.36,4.45,6220100,4.27
2013-10-31,4.43,4.46,4.39,4.41,7652600,4.23
2013-10-30,4.49,4.49,4.40,4.43,4065100,4.25
2013-10-29,4.50,4.50,4.46,4.49,4770900,4.30
2013-10-28,4.48,4.50,4.46,4.49,3975100,4.30
2013-10-25,4.41,4.48,4.39,4.48,3594600,4.29
2013-10-24,4.39,4.43,4.38,4.42,2965500,4.24
2013-10-23,4.48,4.48,4.41,4.42,4549800,4.24
2013-10-22,4.45,4.49,4.45,4.48,3612300,4.29
2013-10-21,4.47,4.50,4.45,4.46,4546200,4.28
2013-10-18,4.46,4.49,4.44,4.47,3355500,4.28
2013-10-17,4.40,4.45,4.39,4.44,4362000,4.26
2013-10-16,4.40,4.44,4.37,4.41,6311500,4.23
2013-10-15,4.37,4.45,4.35,4.37,5204000,4.19
2013-10-14,4.36,4.42,4.35,4.38,4548700,4.20
2013-10-11,4.28,4.42,4.28,4.41,8187600,4.23
2013-10-10,4.28,4.32,4.24,4.31,5996700,4.13
2013-10-09,4.22,4.28,4.21,4.22,7028000,4.04
2013-10-08,4.26,4.29,4.21,4.22,10558600,4.04
2013-10-07,4.23,4.30,4.22,4.28,4851500,4.10
2013-10-04,4.23,4.29,4.23,4.28,4833400,4.10
2013-10-03,4.27,4.33,4.23,4.23,8435400,4.05
2013-10-02,4.22,4.32,4.20,4.29,8274000,4.11
2013-10-01,4.24,4.29,4.16,4.25,9092900,4.07
2013-09-30,4.26,4.32,4.09,4.18,22057300,4.01
2013-09-27,4.28,4.33,4.24,4.29,6047100,4.11
