Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,94.74,95.76,94.36,95.55,1078900,94.44
2013-12-30,94.97,95.10,94.66,95.10,1015100,93.99
2013-12-27,94.49,95.04,94.45,95.00,944600,93.90
2013-12-26,93.95,94.94,93.95,94.84,786800,93.74
2013-12-24,93.32,93.77,93.14,93.77,358400,92.68
2013-12-23,93.85,93.91,93.01,93.18,1019500,92.10
2013-12-20,92.64,93.91,92.64,93.37,1832100,92.28
2013-12-19,92.95,93.13,92.05,92.66,1365600,91.58
2013-12-18,91.40,93.61,91.01,93.55,1926800,92.46
2013-12-17,91.27,91.50,91.01,91.44,1124200,90.38
2013-12-16,90.48,91.34,90.29,90.92,1200800,89.86
2013-12-13,89.89,90.62,89.38,90.26,1178100,89.21
2013-12-12,89.47,90.10,89.41,89.89,1141100,88.84
2013-12-11,90.74,90.90,89.18,89.70,1924600,88.66
2013-12-10,90.23,90.96,89.99,90.55,893000,89.50
2013-12-09,90.89,90.98,90.41,90.53,690200,89.48
2013-12-06,90.06,90.79,89.78,90.79,1042700,89.73
2013-12-05,89.28,90.26,89.10,89.23,882000,88.19
2013-12-04,90.00,90.77,88.85,89.48,1597700,88.44
2013-12-03,91.09,91.36,90.02,90.34,1198600,89.29
2013-12-02,91.40,92.08,91.02,91.22,1136900,90.16
2013-11-29,92.33,92.50,91.57,91.66,776200,90.59
2013-11-27,91.99,92.75,91.92,92.27,886300,91.20
2013-11-26,91.72,92.29,91.69,91.92,1004700,90.85
2013-11-25,92.31,92.49,91.30,91.68,1122900,90.61
2013-11-22,90.94,92.22,90.72,92.15,1538400,91.08
2013-11-21,90.00,91.16,89.83,91.10,1796900,90.04
2013-11-20,89.90,90.42,89.30,89.62,1688900,88.58
2013-11-19,89.17,89.93,89.05,89.81,1796600,88.77
2013-11-18,89.00,89.93,88.91,89.30,1407500,88.26
2013-11-15,87.82,88.78,87.29,88.71,1588600,87.68
2013-11-14,87.50,87.94,87.21,87.94,2238800,86.92
2013-11-13,86.51,87.15,86.36,87.08,1846200,86.07
2013-11-12,86.76,87.25,86.64,86.73,1014000,85.72
2013-11-11,87.22,87.31,87.04,87.17,989400,86.16
2013-11-08,86.76,87.46,86.59,87.20,1427900,86.19
2013-11-07,87.71,87.99,86.74,86.80,1349900,85.79
2013-11-06,87.59,87.85,87.20,87.67,1192200,86.65
2013-11-05,87.05,87.54,86.76,87.10,1081500,86.09
2013-11-04,87.46,87.57,86.96,87.08,800900,86.07
2013-11-01,86.85,87.73,86.66,87.15,877700,86.14
2013-10-31,86.62,86.93,86.13,86.63,1446800,85.62
2013-10-30,88.09,88.45,86.35,86.49,2055100,85.48
2013-10-29,87.82,87.92,87.10,87.88,1762700,86.86
2013-10-28,88.11,88.16,87.34,87.65,1750100,86.63
2013-10-25,86.92,88.30,86.55,88.26,1907600,87.23
2013-10-24,86.20,87.15,85.79,87.12,2036300,86.11
2013-10-23,88.89,88.98,85.83,86.23,2410100,85.23
2013-10-22,88.45,88.69,87.99,88.16,2098200,87.13
2013-10-21,88.60,88.74,87.93,88.00,1980300,86.98
2013-10-18,88.47,88.55,87.92,88.40,1360300,87.37
2013-10-17,87.47,88.50,87.18,88.38,801400,87.35
2013-10-16,87.16,87.63,86.94,87.55,1025000,86.53
2013-10-15,87.89,88.00,86.51,86.85,787900,85.84
2013-10-14,87.13,87.94,86.79,87.81,709500,86.79
2013-10-11,87.41,87.77,87.14,87.76,963500,86.74
2013-10-10,85.03,87.41,84.95,87.41,1765800,86.39
2013-10-09,84.52,84.90,83.61,84.28,1513200,83.30
2013-10-08,86.31,86.49,84.92,84.97,1491300,83.43
2013-10-07,85.36,86.81,85.25,86.17,1232400,84.61
2013-10-04,85.87,86.28,85.41,85.91,911400,84.35
2013-10-03,87.46,87.46,85.19,85.98,1472700,84.42
2013-10-02,88.04,88.04,86.67,87.51,1303300,85.92
2013-10-01,87.45,88.49,87.44,88.48,1127400,86.87
2013-09-30,86.25,87.91,86.17,87.52,1695600,85.93
2013-09-27,87.90,88.38,87.73,88.29,1126100,86.69
2013-09-26,87.68,88.46,87.57,88.25,823300,86.65
2013-09-25,88.04,88.16,87.58,87.74,1288100,86.15
2013-09-24,87.85,88.33,87.77,87.93,1536000,86.33
2013-09-23,88.06,88.61,87.61,87.91,1293700,86.31
2013-09-20,89.62,89.71,88.10,88.15,1688900,86.55
2013-09-19,89.38,89.94,88.90,89.65,1279800,88.02
2013-09-18,89.00,89.78,88.09,89.39,1319800,87.77
2013-09-17,86.65,89.20,86.65,89.14,1315800,87.52
2013-09-16,87.57,88.33,87.43,88.07,1209000,86.47
2013-09-13,86.86,87.28,86.31,87.13,922300,85.55
2013-09-12,87.02,87.13,86.39,86.63,931400,85.06
2013-09-11,86.30,86.99,86.11,86.90,1072900,85.32
2013-09-10,85.60,86.76,85.52,86.74,1348700,85.17
2013-09-09,84.76,85.49,84.76,85.28,1101100,83.73
2013-09-06,85.11,85.17,83.76,84.57,973800,83.04
2013-09-05,84.84,85.05,84.33,84.99,838500,83.45
2013-09-04,84.13,85.09,84.02,84.99,2013800,83.45
2013-09-03,84.32,84.74,83.97,84.35,1239500,82.82
2013-08-30,83.64,83.71,83.01,83.25,1178700,81.74
2013-08-29,82.69,83.77,82.46,83.58,1011300,82.06
2013-08-28,82.87,83.36,82.23,82.85,1265600,81.35
2013-08-27,83.74,84.35,82.73,82.91,1275400,81.41
2013-08-26,84.67,85.20,84.24,84.24,1534100,82.71
2013-08-23,84.47,84.71,84.19,84.61,954500,83.07
2013-08-22,84.00,84.69,83.87,84.50,1022200,82.97
2013-08-21,84.00,84.27,83.54,83.71,1084600,82.19
2013-08-20,84.14,84.78,84.06,84.11,882900,82.58
2013-08-19,83.43,84.55,83.41,84.15,1299800,82.62
2013-08-16,83.48,84.30,83.41,83.75,1466300,82.23
2013-08-15,84.44,84.78,83.72,83.81,1171700,82.29
2013-08-14,86.03,86.04,85.16,85.29,1384400,83.74
2013-08-13,85.81,86.19,85.28,86.00,1266100,84.44
2013-08-12,86.63,86.71,85.74,85.77,1265400,84.21
2013-08-09,87.03,87.28,86.46,86.92,1337700,85.34
2013-08-08,87.38,87.80,86.86,87.02,998500,85.44
2013-08-07,87.30,87.54,86.79,87.02,2125300,85.44
2013-08-06,87.28,87.85,87.23,87.34,1658600,85.76
2013-08-05,87.04,87.82,86.55,87.69,1547900,86.10
2013-08-02,86.68,87.54,86.44,87.49,1761700,85.90
2013-08-01,85.80,86.97,85.76,86.81,1524400,85.23
2013-07-31,85.50,86.17,85.07,85.34,2853400,83.79
2013-07-30,85.17,86.01,85.00,85.65,1496400,84.10
2013-07-29,84.80,85.33,83.99,85.02,2024900,83.48
2013-07-26,85.32,85.86,85.05,85.86,1142900,84.30
2013-07-25,85.40,85.92,84.63,85.80,1605500,84.24
2013-07-24,85.02,86.60,84.94,85.31,2996300,83.76
2013-07-23,84.45,84.56,83.78,84.03,1469800,82.51
2013-07-22,84.16,84.81,83.93,84.23,1897500,82.70
