Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,20.04,20.39,20.01,20.07,7078400,19.93
2013-12-30,20.16,20.23,20.07,20.20,4301100,20.06
2013-12-27,20.29,20.29,20.04,20.16,3918100,20.02
2013-12-26,20.71,20.71,20.20,20.24,3448700,20.10
2013-12-24,20.38,20.46,20.19,20.34,1849000,20.20
2013-12-23,20.52,20.56,20.34,20.39,3979900,20.25
2013-12-20,20.10,20.40,20.06,20.40,9440600,20.26
2013-12-19,20.32,20.40,19.99,20.17,5633000,20.03
2013-12-18,20.20,20.50,19.77,20.45,6306600,20.31
2013-12-17,20.17,20.30,20.06,20.25,6139400,20.11
2013-12-16,20.37,20.43,20.07,20.21,6718800,20.07
2013-12-13,20.60,20.78,20.32,20.40,7434800,20.26
2013-12-12,20.63,20.71,20.40,20.49,7570400,20.35
2013-12-11,21.00,21.05,20.56,20.61,9787600,20.47
2013-12-10,21.23,21.32,20.94,21.15,11947000,20.87
2013-12-09,21.23,21.52,21.04,21.17,116835700,20.89
2013-12-06,20.95,21.20,20.95,21.14,14394100,20.86
2013-12-05,21.22,21.27,20.69,20.82,20769200,20.54
2013-12-04,20.11,20.40,20.00,20.28,6070300,20.01
2013-12-03,20.36,20.44,20.15,20.26,2967400,19.99
2013-12-02,20.61,20.66,20.34,20.50,3586200,20.23
2013-11-29,21.09,21.18,20.66,20.75,1618500,20.47
2013-11-27,20.94,21.07,20.89,20.97,3283600,20.69
2013-11-26,20.70,21.00,20.57,20.89,4817200,20.61
2013-11-25,20.67,20.84,20.65,20.74,2387800,20.46
2013-11-22,20.87,20.90,20.58,20.67,2305100,20.39
2013-11-21,20.64,20.94,20.57,20.87,2680900,20.59
2013-11-20,20.63,20.94,20.52,20.57,2931100,20.30
2013-11-19,20.73,20.78,20.42,20.56,2239400,20.29
2013-11-18,20.81,21.06,20.72,20.79,3238700,20.51
2013-11-15,20.77,20.88,20.66,20.79,3059000,20.51
2013-11-14,20.67,20.95,20.57,20.80,2361200,20.52
2013-11-13,20.51,20.69,20.41,20.65,2590800,20.38
2013-11-12,20.63,20.70,20.43,20.61,5192200,20.34
2013-11-11,20.37,20.75,20.19,20.62,2789500,20.35
2013-11-08,20.24,20.49,19.91,20.47,5347700,20.20
2013-11-07,20.78,20.88,20.35,20.36,6807000,20.09
2013-11-06,21.12,21.18,20.77,20.79,5743100,20.51
2013-11-05,21.37,21.39,20.84,20.87,6678200,20.59
2013-11-04,21.60,21.76,21.31,21.41,4222300,21.12
2013-11-01,21.85,21.85,21.35,21.56,4138400,21.27
2013-10-31,21.61,21.66,21.11,21.23,5313800,20.95
2013-10-30,21.26,21.62,21.19,21.61,4500400,21.32
2013-10-29,21.78,22.25,21.03,21.28,5715800,21.00
2013-10-28,21.35,21.39,21.06,21.33,3002800,21.05
2013-10-25,21.46,21.62,21.21,21.34,2972000,21.06
2013-10-24,21.31,21.41,21.22,21.33,3182800,21.05
2013-10-23,21.03,21.33,20.95,21.19,2824700,20.91
2013-10-22,20.86,21.22,20.74,21.11,2838700,20.83
2013-10-21,21.05,21.10,20.67,20.81,3229800,20.53
2013-10-18,21.16,21.16,20.87,21.04,2088700,20.76
2013-10-17,20.65,21.08,20.62,21.05,2828200,20.77
2013-10-16,20.25,20.73,20.19,20.67,3400200,20.39
2013-10-15,20.05,20.27,19.96,20.14,2405700,19.87
2013-10-14,19.91,20.11,19.83,20.08,1950700,19.81
2013-10-11,19.93,20.07,19.73,20.07,2648100,19.80
2013-10-10,19.53,19.99,19.50,19.93,3482700,19.66
