Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,661.44,664.50,661.00,663.32,17800,658.15
2013-12-30,659.00,662.12,655.71,662.12,17100,656.96
2013-12-27,657.30,658.48,655.01,658.27,8800,653.14
2013-12-26,653.66,657.50,651.91,656.52,12100,651.40
2013-12-24,651.74,654.00,651.05,652.97,11200,647.88
2013-12-23,640.41,652.15,640.41,652.00,25000,646.92
2013-12-20,635.98,646.43,635.00,643.55,67700,638.54
2013-12-19,636.06,639.46,630.79,633.70,46900,628.76
2013-12-18,625.82,639.95,621.55,639.62,28800,634.64
2013-12-17,626.88,628.18,619.50,627.37,32300,622.48
2013-12-16,613.00,629.65,613.00,625.25,23700,620.38
2013-12-13,608.91,623.72,608.21,616.43,25000,611.63
2013-12-12,609.44,613.00,606.02,610.60,31600,605.84
2013-12-11,620.94,622.82,608.89,609.01,32600,604.26
2013-12-10,606.99,625.91,605.01,620.39,62200,615.56
2013-12-09,621.43,623.70,604.09,607.48,37200,602.75
2013-12-06,626.05,627.49,614.03,625.95,26000,621.07
2013-12-05,622.45,627.70,619.12,622.53,21700,617.68
2013-12-04,642.00,642.00,613.55,622.45,34500,617.60
2013-12-03,656.21,656.21,623.65,637.19,29900,632.22
2013-12-02,656.80,656.80,656.80,656.80,000,651.68
2013-11-29,656.80,656.80,656.80,656.80,000,651.68
2013-11-27,658.00,660.34,656.48,660.34,7400,655.19
2013-11-26,651.56,657.39,650.00,657.04,12000,651.92
2013-11-25,656.61,661.61,651.09,653.51,7800,648.42
2013-11-22,658.80,661.44,655.21,658.20,19600,653.07
2013-11-21,650.00,662.91,649.96,658.80,14200,653.67
2013-11-20,644.89,647.91,642.70,647.85,7200,642.80
2013-11-19,644.75,649.94,639.15,644.14,25000,639.12
2013-11-18,652.57,653.85,644.10,644.75,24000,639.73
2013-11-15,648.00,654.77,642.51,654.59,28200,649.49
2013-11-14,660.00,661.80,647.00,648.00,42100,642.95
2013-11-13,654.00,665.39,651.08,660.94,51200,655.79
2013-11-12,656.28,659.49,651.23,656.69,29700,651.57
2013-11-11,660.00,661.20,652.97,655.81,27200,650.70
2013-11-08,656.16,668.17,656.16,662.78,30200,657.62
2013-11-07,643.70,659.00,642.00,653.81,64700,648.72
2013-11-06,639.55,651.36,635.86,643.72,40600,638.70
2013-11-05,632.09,643.34,626.23,640.30,91500,635.31
2013-11-04,647.75,648.01,629.97,631.60,44800,626.68
2013-11-01,648.06,649.90,632.37,639.06,45800,634.08
2013-10-31,647.93,651.40,642.29,643.32,39900,638.31
2013-10-30,677.90,678.98,647.86,649.10,35300,644.04
2013-10-29,655.54,671.00,652.39,671.00,21100,665.77
2013-10-28,662.34,662.34,651.54,651.56,24400,646.48
2013-10-25,656.30,662.34,655.00,662.02,34300,656.86
2013-10-24,643.00,649.80,641.58,649.23,41600,644.17
2013-10-23,653.86,655.64,642.00,643.00,25600,637.99
2013-10-22,659.85,664.26,651.02,652.90,41100,647.81
2013-10-21,649.50,651.75,649.50,651.62,20800,646.54
2013-10-18,649.00,649.33,645.71,647.20,22200,642.16
2013-10-17,646.83,647.90,641.69,647.00,35800,641.96
2013-10-16,639.15,649.15,639.15,647.10,54500,642.06
2013-10-15,630.83,640.81,630.83,639.12,47600,634.14
2013-10-14,615.00,630.11,615.00,628.41,16000,623.51
2013-10-11,609.70,618.79,609.62,618.61,28300,613.79
2013-10-10,611.36,613.68,608.12,610.00,49100,605.25
2013-10-09,603.34,606.36,594.77,604.31,22700,599.60
2013-10-08,613.11,613.59,600.48,600.90,17100,596.22
2013-10-07,611.69,613.00,610.00,610.35,34400,605.59
2013-10-04,619.37,622.06,614.02,615.52,46000,610.72
2013-10-03,631.70,635.58,616.58,616.58,50300,611.78
2013-10-02,625.46,637.84,622.45,633.21,63600,628.28
2013-10-01,609.47,631.85,609.31,628.54,52300,623.64
2013-09-30,608.24,611.73,599.60,611.35,21600,606.59
2013-09-27,600.48,613.84,599.58,610.99,35200,606.23
2013-09-26,593.47,603.88,593.47,603.38,36300,598.68
2013-09-25,590.33,595.14,587.93,593.50,29400,588.88
2013-09-24,590.63,596.00,586.07,590.56,60000,585.96
2013-09-23,578.77,593.28,578.77,590.12,39300,585.52
2013-09-20,574.31,580.35,571.00,580.35,95900,575.83
