Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,49.93,50.01,49.63,49.91,1928800,49.14
2013-12-30,49.90,50.00,49.69,49.96,2052100,49.19
2013-12-27,49.81,50.11,49.63,49.84,1805500,49.07
2013-12-26,49.45,49.74,49.33,49.70,2162900,48.93
2013-12-24,49.23,49.50,49.16,49.28,1114600,48.52
2013-12-23,49.30,49.45,48.68,49.16,3259100,48.40
2013-12-20,49.32,49.56,49.07,49.30,5604800,48.54
2013-12-19,50.28,50.28,48.53,49.36,5780700,48.60
2013-12-18,48.85,49.75,48.24,49.73,7334500,48.96
2013-12-17,49.85,50.13,49.35,49.58,3729000,48.81
2013-12-16,49.78,50.12,49.60,49.91,3360200,49.14
2013-12-13,49.59,49.91,49.37,49.64,2781900,48.87
2013-12-12,50.45,50.46,49.50,49.57,4073200,48.80
2013-12-11,50.79,50.93,50.35,50.59,3494100,49.81
2013-12-10,51.27,51.30,50.45,50.73,2762200,49.95
2013-12-09,51.55,51.96,51.25,51.44,2958200,50.64
2013-12-06,50.63,51.51,50.59,51.50,3245200,50.70
2013-12-05,50.49,50.67,50.18,50.26,2578400,49.48
2013-12-04,50.31,50.94,50.19,50.71,2143100,49.93
2013-12-03,50.20,50.60,50.00,50.60,2226600,49.82
2013-12-02,50.22,50.43,49.94,50.26,1996400,49.48
2013-11-29,50.51,50.92,50.35,50.43,1216100,49.65
2013-11-27,50.49,50.61,50.38,50.53,1663000,49.75
2013-11-26,50.06,50.68,50.04,50.48,4162900,49.70
2013-11-25,50.26,50.41,49.82,49.88,2222500,49.11
2013-11-22,49.45,50.22,49.31,50.12,3025500,49.34
2013-11-21,49.34,49.69,49.23,49.42,2737700,48.66
2013-11-20,50.46,50.46,49.20,49.24,5515700,48.48
2013-11-19,50.54,50.58,49.95,50.38,4195400,49.60
2013-11-18,51.25,51.32,50.52,50.95,3182100,50.16
2013-11-15,51.52,51.66,50.90,51.31,2338000,50.52
2013-11-14,50.97,51.57,50.88,51.53,2125100,50.73
2013-11-13,50.27,50.89,50.09,50.88,2484600,50.09
2013-11-12,50.44,50.48,50.10,50.46,1974200,49.68
2013-11-11,50.60,50.82,50.28,50.45,1642500,49.67
2013-11-08,50.20,50.54,49.65,50.54,2618000,49.76
2013-11-07,51.05,51.24,50.30,50.40,2694000,49.62
2013-11-06,50.97,51.25,50.67,51.15,1727200,50.36
2013-11-05,50.24,50.77,50.09,50.70,2347400,49.92
2013-11-04,50.50,50.75,50.24,50.46,1976200,49.68
2013-11-01,50.55,50.75,50.11,50.32,3600600,49.54
2013-10-31,50.65,50.80,50.36,50.42,2620900,49.64
2013-10-30,51.11,51.11,50.49,50.64,2060900,49.86
