Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,39.02,39.16,38.64,39.08,2879000,38.68
2013-12-30,38.72,39.19,38.48,39.02,2563400,38.62
2013-12-27,38.95,39.20,38.60,38.62,1952600,38.22
2013-12-26,38.67,39.14,38.64,38.97,2413300,38.57
2013-12-24,38.79,38.99,38.56,38.61,1093700,38.21
2013-12-23,38.74,38.83,38.37,38.57,2904200,38.17
2013-12-20,38.39,39.00,38.30,38.57,6260100,38.17
2013-12-19,38.48,38.70,38.18,38.29,2883000,37.89
2013-12-18,38.37,38.77,38.01,38.58,5232800,38.18
2013-12-17,38.81,38.85,38.23,38.25,3369100,37.85
2013-12-16,38.51,38.80,38.49,38.69,4189200,38.29
2013-12-13,38.57,38.79,38.42,38.49,3597800,38.09
2013-12-12,38.41,38.89,38.26,38.38,5949400,37.98
2013-12-11,38.84,39.00,38.27,38.32,5135300,37.92
2013-12-10,39.27,39.27,38.52,38.72,4980700,38.32
2013-12-09,39.59,39.80,39.26,39.59,3495500,39.18
2013-12-06,40.08,40.20,38.83,39.46,7083900,39.05
2013-12-05,40.88,40.88,40.13,40.24,5114700,39.82
2013-12-04,40.61,41.05,40.26,40.90,8189000,40.48
2013-12-03,41.31,41.62,40.82,41.11,5199900,40.68
2013-12-02,41.27,42.33,41.24,41.58,5677000,41.15
2013-11-29,40.95,41.37,40.90,40.97,1642300,40.55
2013-11-27,40.90,41.14,40.31,40.77,4380000,40.35
2013-11-26,41.13,41.74,41.07,41.18,4478100,40.75
2013-11-25,41.44,41.70,41.03,41.03,4514700,40.61
2013-11-22,41.49,41.68,40.36,41.31,7499000,40.88
2013-11-21,41.25,41.97,40.74,41.86,4028100,41.43
2013-11-20,41.78,41.91,41.22,41.24,2990700,40.81
2013-11-19,41.79,42.11,41.34,41.72,3526100,41.29
2013-11-18,42.21,42.45,41.86,41.94,3203000,41.51
2013-11-15,42.20,42.24,41.59,42.15,3186900,41.71
2013-11-14,41.34,42.15,41.10,42.05,3703300,41.61
2013-11-13,40.80,41.48,40.67,41.36,4125200,40.93
2013-11-12,41.03,41.19,40.66,40.87,3771900,40.45
2013-11-11,41.27,41.51,41.03,41.20,4620800,40.77
2013-11-08,40.25,41.44,40.02,41.43,11925600,41.00
2013-11-07,38.13,38.85,37.72,37.75,7058300,37.36
2013-11-06,37.63,38.09,37.25,38.02,4434200,37.63
2013-11-05,37.35,37.68,36.90,37.54,4826000,37.15
2013-11-04,36.43,37.25,36.39,37.23,4853200,36.84
2013-11-01,37.00,37.11,36.45,36.78,4390300,36.40
2013-10-31,37.50,37.60,36.98,36.99,4327400,36.61
2013-10-30,37.67,37.85,37.30,37.66,4156400,37.27
2013-10-29,36.95,37.67,36.92,37.64,4913400,37.25
2013-10-28,36.59,37.12,36.42,36.72,4586200,36.34
2013-10-25,37.08,37.11,36.21,36.66,5000100,36.28
2013-10-24,37.00,37.19,36.81,37.06,5745700,36.68
2013-10-23,36.80,37.03,36.61,36.93,4223500,36.55
2013-10-22,36.71,36.87,36.13,36.83,9420200,36.45
2013-10-21,37.11,37.21,36.65,36.93,4259000,36.55
2013-10-18,37.19,37.39,36.85,37.22,4236100,36.83
