Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,46.61,46.85,46.15,46.19,693200,45.81
2013-12-30,46.67,46.89,46.40,46.66,1299700,46.27
2013-12-27,46.24,47.01,46.16,46.67,1285800,46.28
2013-12-26,46.25,46.53,45.99,46.10,508700,45.72
2013-12-24,46.10,46.54,46.00,46.20,357100,45.82
2013-12-23,46.28,46.36,45.92,46.14,987100,45.76
2013-12-20,45.64,46.23,45.39,46.03,1889800,45.65
2013-12-19,45.77,45.86,45.34,45.70,1066400,45.32
2013-12-18,46.26,46.26,43.67,45.80,2017500,45.42
2013-12-17,46.38,46.77,46.25,46.57,745600,46.18
2013-12-16,46.68,46.80,46.36,46.51,927400,46.12
2013-12-13,47.31,47.70,46.39,46.58,1497300,46.19
2013-12-12,47.74,47.95,47.06,47.12,1539800,46.73
2013-12-11,48.84,49.13,48.14,48.20,704000,47.35
2013-12-10,49.00,49.33,48.80,48.95,546700,48.09
2013-12-09,48.75,49.72,48.02,49.02,1259600,48.16
2013-12-06,48.45,48.88,48.20,48.83,634900,47.97
2013-12-05,47.08,47.98,47.08,47.88,762000,47.04
2013-12-04,47.35,47.76,46.29,47.16,1046700,46.33
2013-12-03,48.10,48.10,47.29,47.80,1270600,46.96
2013-12-02,48.59,49.00,48.19,48.37,762700,47.52
2013-11-29,48.76,49.00,48.40,48.56,356100,47.71
2013-11-27,49.08,49.26,48.48,48.74,657800,47.88
2013-11-26,47.88,49.15,47.73,48.82,1369700,47.96
2013-11-25,48.25,48.46,47.83,48.34,937400,47.49
2013-11-22,48.10,48.25,48.00,48.08,746100,47.23
2013-11-21,48.08,48.34,47.87,48.16,746800,47.31
2013-11-20,47.99,48.49,47.52,47.86,811600,47.02
2013-11-19,47.14,47.82,46.81,47.70,1407000,46.86
2013-11-18,47.71,47.98,47.10,47.23,703500,46.40
2013-11-15,46.27,47.77,46.24,47.77,2035800,46.93
2013-11-14,46.00,46.47,45.85,46.33,1877900,45.52
2013-11-13,45.78,46.00,45.58,45.89,1488900,45.08
2013-11-12,45.90,46.12,45.61,45.85,1424400,45.04
2013-11-11,46.11,46.20,45.66,45.90,1398000,45.09
2013-11-08,46.59,46.74,46.10,46.25,1621300,45.44
2013-11-07,47.47,47.77,46.20,46.35,1298400,45.54
2013-11-06,48.08,48.09,47.39,47.95,874400,47.11
2013-11-05,47.71,48.10,47.47,47.99,1289500,47.15
2013-11-04,46.95,48.02,46.68,47.91,1463600,47.07
2013-11-01,46.82,47.03,46.10,46.61,1451900,45.79
2013-10-31,47.87,47.87,45.84,46.75,2687100,45.93
2013-10-30,50.00,50.39,47.63,48.27,2542200,47.42
2013-10-29,48.05,48.35,47.80,48.07,1408800,47.22
2013-10-28,48.82,48.89,47.56,47.80,1408800,46.96
2013-10-25,48.94,49.00,48.57,48.90,767100,48.04
2013-10-24,48.77,49.10,48.65,48.83,511100,47.97
2013-10-23,48.85,49.12,48.53,48.77,772200,47.91
2013-10-22,49.13,49.87,48.95,49.33,1336900,48.46
2013-10-21,48.90,49.11,48.86,49.04,1124200,48.18
2013-10-18,48.56,48.93,48.24,48.86,997600,48.00
2013-10-17,48.49,48.90,48.29,48.54,882800,47.69
2013-10-16,47.60,50.00,47.21,48.71,1643400,47.85
2013-10-15,47.38,47.66,46.82,47.22,1047600,46.39
2013-10-14,47.31,47.71,47.04,47.66,523900,46.82
2013-10-11,47.30,47.63,47.10,47.61,967500,46.77
2013-10-10,46.46,47.98,46.40,47.56,1442500,46.72
2013-10-09,46.43,46.65,45.88,46.06,992200,45.25
2013-10-08,46.68,47.03,46.04,46.07,1031900,45.26
2013-10-07,46.91,47.34,46.29,46.78,1136100,45.96
2013-10-04,47.13,47.56,46.75,47.13,1328300,46.30
2013-10-03,47.20,47.27,46.22,47.07,2167000,46.24
2013-10-02,45.84,47.25,45.25,47.20,2301700,46.37
2013-10-01,45.06,46.33,45.00,46.31,1713800,45.50
2013-09-30,44.77,45.21,44.52,45.19,1407000,44.40
2013-09-27,45.18,45.32,44.83,45.19,860900,44.40
