Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,81.71,82.25,81.08,81.85,555800,81.61
2013-12-30,83.03,83.27,81.31,81.70,1017900,81.46
2013-12-27,84.91,85.40,82.92,83.36,429400,83.11
2013-12-26,84.09,85.65,84.09,84.50,494600,84.25
2013-12-24,83.46,84.39,83.30,83.79,154500,83.54
2013-12-23,83.89,83.99,83.15,83.65,338400,83.40
2013-12-20,83.00,83.53,82.50,83.39,685300,83.14
2013-12-19,84.39,84.39,82.63,83.03,500500,82.78
2013-12-18,82.92,84.49,81.35,84.39,699300,84.14
2013-12-17,81.07,83.59,80.90,83.04,911600,82.79
2013-12-16,79.14,81.08,79.14,80.68,577100,80.44
2013-12-13,79.59,80.11,78.49,78.97,562200,78.73
2013-12-12,80.00,80.44,78.64,79.36,719100,79.12
2013-12-11,82.63,83.18,79.99,80.29,710700,80.05
2013-12-10,82.03,84.33,81.35,82.43,1172700,82.18
2013-12-09,81.21,81.95,80.63,80.99,352000,80.75
2013-12-06,81.59,82.24,80.44,81.28,393400,81.04
2013-12-05,81.01,82.32,80.15,81.19,645400,80.95
2013-12-04,79.35,81.68,79.28,81.34,723600,81.10
2013-12-03,80.25,80.63,78.72,79.58,651900,79.34
2013-12-02,81.14,81.55,80.29,80.51,365500,80.27
2013-11-29,80.99,81.64,80.63,81.04,231000,80.80
2013-11-27,81.11,81.18,80.17,80.95,408000,80.71
2013-11-26,80.39,81.41,80.03,81.05,336100,80.81
2013-11-25,81.36,81.36,80.07,80.20,301900,79.96
2013-11-22,81.02,81.41,80.57,81.35,252500,81.11
2013-11-21,79.75,81.86,79.41,81.12,506400,80.88
2013-11-20,80.23,80.64,79.18,79.55,498900,79.31
2013-11-19,80.44,81.20,79.72,80.12,586200,79.88
2013-11-18,81.72,81.73,80.14,80.70,528200,80.46
2013-11-15,81.17,81.75,79.95,81.13,632600,80.89
2013-11-14,81.58,81.75,79.92,81.03,562600,80.79
2013-11-13,78.96,81.65,78.88,81.14,496300,80.90
2013-11-12,79.20,80.00,78.88,79.70,647500,79.46
2013-11-11,77.82,79.53,77.67,79.21,421900,78.97
2013-11-08,77.20,78.72,76.39,77.78,1303900,77.55
2013-11-07,80.49,81.17,77.28,77.38,890100,77.15
2013-11-06,81.50,81.50,79.74,80.36,581300,80.12
2013-11-05,81.11,81.65,80.52,81.33,812100,80.79
2013-11-04,82.12,83.10,80.84,81.20,1108500,80.66
2013-11-01,81.40,84.50,81.40,81.96,1595100,81.41
2013-10-31,74.00,85.76,74.00,81.02,3028400,80.48
2013-10-30,74.34,74.65,71.29,72.02,898200,71.54
2013-10-29,72.42,74.42,72.42,74.13,907400,73.64
2013-10-28,72.50,72.89,71.74,72.31,335800,71.83
2013-10-25,72.86,73.30,72.14,72.63,434500,72.15
2013-10-24,71.75,72.96,71.62,72.90,316600,72.41
2013-10-23,72.60,72.85,71.23,71.76,293500,71.28
2013-10-22,71.80,73.39,71.48,73.04,401700,72.55
2013-10-21,71.81,71.94,70.90,71.59,398100,71.11
2013-10-18,72.27,72.91,71.49,71.76,585900,71.28
2013-10-17,69.55,72.07,69.18,72.01,947700,71.53
2013-10-16,68.23,69.78,68.19,69.71,598400,69.25
2013-10-15,68.00,68.60,66.99,67.41,474000,66.96
2013-10-14,67.24,68.32,66.63,68.11,457000,67.66
2013-10-11,66.64,67.79,66.45,67.79,386100,67.34
