Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,55.16,55.16,54.69,55.01,776800,54.58
2013-12-30,54.43,55.05,54.39,54.97,892700,54.54
2013-12-27,54.01,54.55,54.00,54.40,1178000,53.98
2013-12-26,53.46,54.25,53.19,54.16,1066500,53.74
2013-12-24,53.33,53.75,53.20,53.45,449300,53.03
2013-12-23,52.90,53.22,52.59,53.16,1585900,52.75
2013-12-20,50.22,52.72,50.22,52.49,1510700,52.08
2013-12-19,52.10,52.97,52.10,52.27,1662500,51.86
2013-12-18,51.70,52.48,51.13,52.45,1275400,52.04
2013-12-17,51.08,51.61,51.00,51.53,850800,51.13
2013-12-16,51.76,52.02,51.11,51.31,791000,50.91
2013-12-13,51.45,52.11,51.37,51.76,598300,51.36
2013-12-12,51.42,51.85,51.37,51.48,938100,51.08
2013-12-11,52.29,52.42,51.56,51.61,898700,51.21
2013-12-10,52.29,52.69,52.07,52.25,974100,51.84
2013-12-09,51.76,52.44,51.52,52.41,1489400,52.00
2013-12-06,52.77,52.92,51.70,51.76,1898500,51.36
2013-12-05,52.11,52.58,51.41,52.37,2764600,51.96
2013-12-04,52.67,52.88,51.01,52.07,4121300,51.66
2013-12-03,53.40,53.84,52.45,52.97,1427000,52.56
2013-12-02,53.98,54.14,53.54,53.66,1163300,53.24
2013-11-29,53.73,54.11,53.71,53.82,340600,53.40
2013-11-27,53.69,54.07,53.29,53.85,1015800,53.43
2013-11-26,53.72,53.91,53.37,53.75,1316700,53.33
2013-11-25,53.00,53.86,52.41,53.59,1812200,53.17
2013-11-22,51.78,52.93,51.50,52.88,1330000,52.47
2013-11-21,52.15,52.25,51.59,52.10,888500,51.69
2013-11-20,51.88,52.14,51.73,51.90,969200,51.49
2013-11-19,52.14,52.23,51.62,51.78,853500,51.38
2013-11-18,52.85,52.93,52.02,52.08,820000,51.67
2013-11-15,52.62,52.97,52.23,52.73,950400,52.32
2013-11-14,52.75,53.00,52.42,52.74,915100,52.33
2013-11-13,51.12,52.95,50.99,52.95,2594500,52.54
2013-11-12,51.15,51.38,50.72,51.25,899500,50.85
2013-11-11,50.51,51.60,50.51,51.25,1463600,50.85
2013-11-08,50.59,50.98,50.17,50.48,2721200,50.09
2013-11-07,51.70,52.16,50.42,50.60,1840400,50.20
