Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,53.36,53.73,53.11,53.57,2408300,52.82
2013-12-30,53.20,53.55,53.00,53.44,1468400,52.69
2013-12-27,53.22,53.24,52.86,53.20,1540700,52.46
2013-12-26,53.09,53.47,52.82,53.05,1467800,52.31
2013-12-24,53.00,53.33,52.76,53.09,787500,52.35
2013-12-23,53.48,53.56,52.90,52.96,2116800,52.22
2013-12-20,52.81,53.32,52.67,53.11,3759600,52.37
2013-12-19,54.26,54.26,52.43,52.58,3333300,51.85
2013-12-18,53.85,54.75,53.06,54.66,3257700,53.90
2013-12-17,53.80,53.98,53.69,53.83,2060400,53.08
2013-12-16,54.00,54.21,53.58,53.68,2034500,52.93
2013-12-13,53.61,54.40,53.60,53.91,1790300,53.16
2013-12-12,54.22,54.33,53.31,53.64,2400900,52.89
2013-12-11,55.55,55.64,54.20,54.22,2186400,53.46
2013-12-10,55.45,55.85,55.40,55.52,1663100,54.74
2013-12-09,55.15,55.49,54.85,55.38,1919700,54.61
2013-12-06,55.47,55.58,54.97,55.16,1433000,54.39
2013-12-05,55.11,55.48,54.65,55.18,2137100,54.41
2013-12-04,55.01,55.55,54.51,55.11,2301600,54.34
2013-12-03,55.74,55.85,55.30,55.34,1558300,54.57
2013-12-02,56.16,56.24,55.27,55.75,1923600,54.97
2013-11-29,56.03,57.17,55.90,55.99,1251100,55.21
2013-11-27,56.30,56.87,56.09,56.77,1508200,55.98
2013-11-26,57.22,57.42,55.90,56.18,2854900,55.40
2013-11-25,57.70,57.88,56.85,57.33,2293200,56.53
2013-11-22,58.64,58.80,57.56,57.76,2048800,56.95
2013-11-21,58.50,58.87,58.33,58.73,1561300,57.91
2013-11-20,59.49,59.79,58.16,58.48,1703400,57.66
2013-11-19,60.01,60.09,59.34,59.44,1505600,58.61
2013-11-18,60.44,60.73,60.05,60.10,1278700,59.26
2013-11-15,60.46,60.91,60.19,60.51,1469900,59.66
2013-11-14,60.01,60.99,59.98,60.56,1467400,59.71
2013-11-13,59.58,59.99,59.26,59.99,2491000,59.15
2013-11-12,60.00,60.19,59.34,59.64,1683900,58.81
2013-11-11,60.41,60.84,59.92,60.08,1692900,59.24
2013-11-08,61.00,61.00,59.50,60.41,2373300,59.57
2013-11-07,62.71,62.83,61.37,61.43,1526300,60.57
2013-11-06,63.00,63.56,62.85,63.27,1411100,61.63
2013-11-05,64.71,64.75,62.70,62.85,2310900,61.22
2013-11-04,64.99,65.13,64.36,65.11,1408600,63.42
2013-11-01,64.90,65.40,64.35,64.99,1552100,63.31
2013-10-31,64.76,65.33,64.56,64.85,1599000,63.17
2013-10-30,65.15,65.45,64.54,64.62,2059100,62.95
2013-10-29,65.90,66.12,64.86,65.29,1561400,63.60
2013-10-28,66.46,66.76,65.01,65.82,1322400,64.12
2013-10-25,65.57,66.76,65.43,66.47,1666800,64.75
2013-10-24,65.31,65.62,64.80,65.58,1164100,63.88
2013-10-23,65.00,65.41,64.57,65.29,1703100,63.60
2013-10-22,64.45,65.85,64.39,65.11,1789500,63.42
