Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,82.90,83.29,82.45,83.00,1489300,82.74
2013-12-30,83.07,83.54,82.59,82.61,1471400,82.35
2013-12-27,82.77,83.39,82.27,83.07,1333500,82.81
2013-12-26,81.28,82.85,81.16,82.60,1548600,82.34
2013-12-24,80.25,81.26,80.02,81.14,1036100,80.89
2013-12-23,80.72,81.40,80.14,80.22,2309000,79.97
2013-12-20,80.68,81.42,80.16,80.17,3826500,79.92
2013-12-19,80.42,81.08,80.14,80.54,2118200,80.29
2013-12-18,79.60,80.90,78.67,80.83,2749700,80.58
2013-12-17,81.15,81.18,78.95,79.51,3307600,79.26
2013-12-16,78.00,79.73,77.52,79.35,2790000,79.10
2013-12-13,78.50,79.30,78.41,78.95,2665500,78.70
2013-12-12,78.94,79.43,77.88,78.56,2650000,78.07
2013-12-11,79.67,79.87,78.81,78.94,2470200,78.44
2013-12-10,80.60,81.30,79.58,79.94,2505500,79.44
2013-12-09,80.91,81.21,80.02,80.51,2083000,80.00
2013-12-06,82.43,82.79,80.46,80.86,2295600,80.35
2013-12-05,81.83,82.38,81.40,81.47,2106600,80.96
2013-12-04,80.98,82.65,80.98,82.21,2304500,81.69
2013-12-03,80.63,81.54,80.25,81.15,3157300,80.64
2013-12-02,81.01,81.60,80.33,80.91,1959000,80.40
2013-11-29,81.62,82.51,81.10,81.13,1352500,80.62
2013-11-27,83.54,83.54,81.09,81.48,2484000,80.97
2013-11-26,82.82,84.33,82.20,83.61,2394700,83.08
2013-11-25,82.22,83.28,81.70,82.63,2001200,82.11
2013-11-22,82.66,83.35,81.60,83.33,2224700,82.81
2013-11-21,81.45,82.49,81.15,82.33,1915800,81.81
2013-11-20,81.90,82.75,80.99,81.31,1631500,80.80
2013-11-19,81.75,82.27,80.93,81.89,1814800,81.38
2013-11-18,83.15,83.32,81.59,81.91,2078100,81.40
2013-11-15,81.90,82.86,81.52,82.86,3378400,82.34
2013-11-14,80.76,81.80,80.49,81.70,2215500,81.19
2013-11-13,79.37,80.88,79.36,80.78,1978200,80.27
2013-11-12,80.95,81.34,79.72,79.94,2233700,79.44
2013-11-11,80.38,81.24,80.19,80.87,2127300,80.36
2013-11-08,78.92,80.33,78.89,80.30,2156700,79.80
2013-11-07,81.03,81.39,78.68,78.78,3303300,78.29
2013-11-06,81.02,82.56,80.55,81.00,3069800,80.49
2013-11-05,81.35,81.61,80.37,80.49,2906000,79.98
2013-11-04,81.12,81.95,81.02,81.73,2202500,81.22
2013-11-01,81.22,81.49,80.04,80.93,3550400,80.42
2013-10-31,80.83,81.94,79.98,81.20,3306700,80.69
2013-10-30,82.16,82.67,79.96,80.32,6151900,79.82
2013-10-29,83.30,83.80,83.01,83.50,1497700,82.98
2013-10-28,83.33,83.63,82.69,83.16,2066200,82.64
2013-10-25,83.42,83.78,82.43,83.20,1548600,82.68
2013-10-24,82.28,83.33,81.74,83.09,1883500,82.57
2013-10-23,83.00,83.02,81.06,81.92,4193100,81.41
2013-10-22,84.53,85.15,83.33,83.56,4171900,83.04
2013-10-21,84.08,84.85,83.69,84.00,3127000,83.47
2013-10-18,82.87,84.07,82.81,84.06,3568200,83.53
2013-10-17,81.37,82.59,81.37,82.39,2791000,81.87
2013-10-16,81.32,82.44,81.32,82.31,3995900,81.79
2013-10-15,80.28,81.64,80.28,80.81,3646300,80.30
2013-10-14,80.53,81.53,80.35,81.31,3135500,80.80
2013-10-11,80.25,81.40,79.93,81.10,3736000,80.59
2013-10-10,81.04,81.23,79.53,80.79,3704100,80.28
2013-10-09,78.13,79.14,77.95,78.53,2850800,78.04
2013-10-08,79.36,80.34,78.54,78.77,2598200,78.28
2013-10-07,79.54,80.43,79.27,79.54,2416200,79.04
2013-10-04,79.77,80.61,79.76,80.14,3173000,79.64
2013-10-03,79.94,81.12,79.54,79.89,3755600,79.39
2013-10-02,78.26,80.36,78.26,79.96,2428500,79.46
2013-10-01,76.97,78.91,76.83,78.69,2179000,78.20
2013-09-30,77.51,77.80,76.62,77.34,1899500,76.85
2013-09-27,78.03,78.67,77.88,78.33,1184400,77.84
2013-09-26,79.06,79.35,78.10,78.79,1328500,78.30
2013-09-25,78.71,79.32,78.56,78.72,1740400,78.23
2013-09-24,78.59,79.35,78.20,78.51,2877100,78.02
2013-09-23,78.39,78.85,77.51,78.53,2324700,78.04
2013-09-20,79.64,80.41,78.17,78.63,4256400,78.14
2013-09-19,79.45,80.35,79.45,79.64,2643000,79.14
2013-09-18,77.50,79.50,77.20,79.22,2601400,78.72
