Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,69.17,69.60,68.93,69.24,451000,68.95
2013-12-30,68.97,69.23,68.68,68.99,530400,68.70
2013-12-27,69.31,69.61,68.77,69.05,461300,68.76
2013-12-26,69.46,69.75,69.12,69.26,463100,68.97
2013-12-24,68.68,69.30,68.52,69.22,360800,68.93
2013-12-23,68.40,68.96,68.15,68.73,921500,68.44
2013-12-20,68.48,68.55,67.24,68.05,2637100,67.76
2013-12-19,67.65,68.56,67.43,68.20,930600,67.91
2013-12-18,66.97,67.76,66.51,67.69,1923900,67.40
2013-12-17,67.51,67.68,66.79,67.14,1085700,66.85
2013-12-16,68.06,68.19,67.47,67.71,1051100,67.42
2013-12-13,68.05,68.42,67.31,67.51,1049600,67.22
2013-12-12,68.05,68.37,67.46,68.23,919500,67.73
2013-12-11,69.23,69.56,68.07,68.21,855100,67.71
2013-12-10,68.63,69.65,68.63,69.36,830000,68.85
2013-12-09,68.46,69.06,68.39,68.95,1255500,68.45
2013-12-06,68.13,68.56,68.02,68.53,1111400,68.03
2013-12-05,66.70,67.84,66.26,67.61,1171800,67.12
2013-12-04,65.94,66.68,65.60,66.48,1000600,65.99
2013-12-03,66.34,67.03,65.75,66.23,1323800,65.75
2013-12-02,66.93,67.26,66.44,66.55,644600,66.06
2013-11-29,67.55,67.63,66.96,67.02,340100,66.53
2013-11-27,67.46,67.53,67.13,67.40,358600,66.91
2013-11-26,67.33,67.68,67.19,67.31,862200,66.82
2013-11-25,67.51,67.75,67.09,67.44,711900,66.95
2013-11-22,67.25,67.42,66.63,67.22,1043000,66.73
2013-11-21,66.98,67.50,66.85,67.29,1241600,66.80
2013-11-20,66.56,67.68,66.52,66.59,1784600,66.10
2013-11-19,66.48,66.78,66.27,66.54,1159100,66.05
2013-11-18,66.74,66.90,66.07,66.50,1397200,66.01
2013-11-15,65.92,66.86,65.82,66.72,1222400,66.23
2013-11-14,65.43,66.09,65.11,65.92,1762700,65.44
2013-11-13,64.49,65.64,64.36,65.38,1829900,64.90
2013-11-12,64.10,64.50,63.70,64.00,1042400,63.53
2013-11-11,64.23,64.70,64.07,64.35,476500,63.88
2013-11-08,63.66,64.26,63.12,64.26,932900,63.79
2013-11-07,64.36,64.60,63.40,63.54,1146300,63.08
2013-11-06,64.55,64.80,63.85,64.32,837700,63.85
2013-11-05,64.93,64.93,64.35,64.47,1281200,64.00
2013-11-04,64.78,65.20,64.64,65.00,783900,64.52
2013-11-01,64.31,64.96,63.93,64.76,1064300,64.29
2013-10-31,64.19,64.82,63.91,64.04,975500,63.57
2013-10-30,64.67,64.85,63.85,64.19,997400,63.72
2013-10-29,64.56,64.91,64.29,64.85,921100,64.38
2013-10-28,64.84,65.16,64.04,64.54,1082900,64.07
2013-10-25,64.90,65.41,64.48,64.98,1010200,64.50
2013-10-24,64.29,65.11,63.97,64.90,1238100,64.43
2013-10-23,64.12,64.28,63.50,64.00,1283800,63.53
2013-10-22,66.07,66.49,63.76,64.71,2475000,64.24
2013-10-21,66.00,66.04,65.08,65.57,1921200,65.09
2013-10-18,65.98,66.20,65.57,65.75,1452400,65.27
2013-10-17,65.75,65.91,64.95,65.48,1888300,65.00
2013-10-16,65.69,66.59,65.31,66.52,975800,66.03
2013-10-15,65.65,65.71,64.85,65.23,1072900,64.75
2013-10-14,65.10,65.89,64.76,65.69,885100,65.21
2013-10-11,64.47,65.76,64.40,65.75,943100,65.27
2013-10-10,64.93,65.11,64.44,64.69,1173200,64.22
2013-10-09,63.16,64.10,62.80,63.93,1354300,63.46
2013-10-08,64.06,64.30,62.76,62.94,1211400,62.48
2013-10-07,64.54,64.75,64.00,64.01,1200800,63.54
2013-10-04,64.74,65.77,64.68,65.30,994500,64.82
2013-10-03,65.06,65.81,64.15,64.47,1130600,64.00
2013-10-02,65.02,65.36,64.32,65.36,925900,64.88
2013-10-01,64.51,65.86,64.41,65.45,1827300,64.97
2013-09-30,63.93,64.70,63.37,64.24,1100600,63.77
2013-09-27,64.25,64.97,64.13,64.65,978900,64.18
2013-09-26,64.17,64.68,64.02,64.63,668300,64.16
2013-09-25,64.53,64.78,63.68,63.99,993000,63.52
2013-09-24,64.15,64.83,63.79,64.35,769700,63.88
2013-09-23,64.10,64.40,63.38,64.01,821200,63.54
2013-09-20,64.55,65.00,64.20,64.27,1370900,63.80
2013-09-19,65.15,65.15,64.15,64.50,808300,64.03
2013-09-18,64.34,65.10,63.54,64.79,882700,64.32
2013-09-17,63.59,64.36,63.51,64.34,787200,63.87
2013-09-16,64.08,64.44,63.25,63.38,734100,62.92
2013-09-13,62.89,63.37,62.78,63.30,893100,62.84
2013-09-12,63.42,63.50,62.91,63.02,695800,62.35
2013-09-11,63.74,63.74,63.02,63.35,868800,62.68
2013-09-10,62.92,63.73,62.89,63.52,1253800,62.85
2013-09-09,62.33,63.17,62.33,62.70,1372500,62.03
2013-09-06,62.33,62.69,61.05,61.97,1218700,61.31
2013-09-05,62.15,62.56,61.91,62.28,967500,61.62
2013-09-04,61.01,62.74,60.52,62.15,1980400,61.49
2013-09-03,60.66,61.29,60.66,61.07,1656000,60.42
2013-08-30,59.97,60.32,59.77,59.98,1399900,59.34
2013-08-29,59.11,60.24,59.00,60.00,1228500,59.36
2013-08-28,58.80,59.37,58.55,59.20,1050700,58.57
2013-08-27,58.98,59.30,58.67,58.85,1371600,58.23
2013-08-26,59.86,60.32,59.52,59.70,1364500,59.07
2013-08-23,59.33,59.95,58.95,59.84,1269100,59.20
2013-08-22,58.22,59.16,58.22,58.98,690100,58.35
2013-08-21,58.30,58.78,58.14,58.17,907800,57.55
2013-08-20,58.02,59.25,57.97,58.62,1434500,58.00
2013-08-19,58.57,58.99,58.01,58.05,1283600,57.43
2013-08-16,57.39,58.62,57.30,58.44,1601000,57.82
2013-08-15,58.11,58.32,57.34,57.50,1277800,56.89
2013-08-14,58.69,59.22,58.69,58.83,977300,58.21
2013-08-13,58.03,58.97,58.03,58.86,1391700,58.23
2013-08-12,58.47,58.79,57.73,57.98,955300,57.36
2013-08-09,59.00,59.21,58.31,58.77,868400,58.15
2013-08-08,58.68,59.47,58.49,59.19,1310400,58.56
2013-08-07,58.53,58.61,57.99,58.22,1004700,57.60
2013-08-06,58.87,59.32,58.52,58.71,1336800,58.09
2013-08-05,58.53,59.46,58.45,58.89,964600,58.26
2013-08-02,58.25,58.84,58.12,58.60,1373800,57.98
2013-08-01,57.33,58.71,57.32,58.44,1722500,57.82
2013-07-31,57.40,57.67,56.69,56.77,1344300,56.17
2013-07-30,56.78,57.43,56.52,57.20,1314500,56.59
2013-07-29,55.20,57.11,55.00,56.42,1502400,55.82
2013-07-26,55.39,55.78,54.83,55.37,1483700,54.78
2013-07-25,57.47,59.52,55.57,55.74,3183600,55.15
2013-07-24,56.11,56.40,55.40,55.86,1506700,55.27
2013-07-23,55.81,56.61,55.81,55.96,1058100,55.37
2013-07-22,55.97,56.26,55.49,55.63,753300,55.04
2013-07-19,56.25,56.37,55.43,55.87,888000,55.28
2013-07-18,55.68,56.44,55.56,56.25,829700,55.65
2013-07-17,55.28,56.05,55.26,55.57,886600,54.98
2013-07-16,55.31,55.50,54.76,55.07,988900,54.49
2013-07-15,55.02,55.79,54.88,55.44,1651300,54.85
2013-07-12,54.90,56.03,54.77,55.96,1403500,55.37
2013-07-11,54.59,55.19,54.57,55.10,1260400,54.51
2013-07-10,54.21,54.35,53.35,53.99,1870100,53.42
2013-07-09,55.55,55.64,54.16,54.20,1948900,53.62
2013-07-08,55.77,55.81,55.00,55.17,797800,54.58
2013-07-05,55.20,55.57,54.96,55.25,692800,54.66
2013-07-03,54.57,55.05,54.31,54.67,418600,54.09
2013-07-02,55.66,56.13,54.68,54.87,1776200,54.29
2013-07-01,55.08,56.14,55.08,55.54,1842500,54.95
2013-06-28,53.61,55.50,53.56,54.82,4002800,54.24
2013-06-27,52.67,54.06,52.67,53.58,2116300,53.01
2013-06-26,52.17,52.54,51.56,52.39,1496400,51.83
2013-06-25,50.72,51.75,50.54,51.54,1573800,50.99
2013-06-24,50.03,50.68,49.15,50.15,1528600,49.62
2013-06-21,52.25,52.39,50.22,50.54,3062600,50.00
2013-06-20,52.90,52.99,51.70,52.04,1615000,51.49
2013-06-19,54.21,54.64,53.57,53.57,903000,53.00
2013-06-18,53.63,54.55,53.38,54.19,1079900,53.61
2013-06-17,53.52,54.18,53.06,53.52,1375900,52.95
2013-06-14,53.50,53.63,52.99,53.13,950400,52.57
2013-06-13,52.50,53.56,52.19,53.47,905400,52.90
2013-06-12,53.60,53.70,52.31,52.45,1102700,51.89
2013-06-11,53.36,53.72,52.75,53.05,1568800,52.49
2013-06-10,54.25,54.55,53.73,54.01,1174200,53.44
2013-06-07,54.26,54.40,52.97,53.92,1916600,53.35
2013-06-06,53.85,54.44,53.34,54.35,975500,53.77
2013-06-05,53.68,54.21,53.36,53.90,1476100,53.33
2013-06-04,54.72,55.03,53.68,54.07,1089600,53.50
2013-06-03,54.71,55.24,54.01,54.59,1671000,54.01
2013-05-31,54.65,55.89,54.45,54.54,1473800,53.96
2013-05-30,55.15,55.98,55.10,55.41,1224800,54.82
2013-05-29,55.87,55.87,55.00,55.47,1103300,54.88
2013-05-28,56.50,56.99,55.82,56.35,1046600,55.75
2013-05-24,56.25,56.41,54.88,55.44,1997700,54.64
2013-05-23,56.81,57.52,56.36,57.03,1148400,56.21
2013-05-22,59.12,59.56,57.31,57.61,1285300,56.78
2013-05-21,59.51,59.75,58.80,59.19,800900,58.34
2013-05-20,59.38,59.84,59.04,59.46,1057200,58.61
2013-05-17,58.19,59.48,58.10,59.48,1029700,58.63
2013-05-16,58.55,58.83,57.91,57.97,905800,57.14
2013-05-15,58.36,58.98,58.27,58.88,915200,58.03
2013-05-14,57.40,58.66,57.40,58.47,1367800,57.63
2013-05-13,57.10,57.54,56.59,57.43,846800,56.60
2013-05-10,57.28,57.97,56.87,57.37,1196200,56.55
2013-05-09,57.48,57.59,56.75,57.17,964100,56.35
2013-05-08,57.46,57.84,56.90,57.40,2074000,56.58
2013-05-07,55.38,57.54,55.31,57.54,2425400,56.71
2013-05-06,54.97,55.29,54.47,55.16,1698800,54.37
2013-05-03,54.62,54.98,54.12,54.35,1896100,53.57
2013-05-02,54.21,54.51,53.79,54.16,1327200,53.38
2013-05-01,54.60,54.60,53.80,54.01,1318000,53.23
2013-04-30,54.62,54.76,54.11,54.65,1665300,53.86
2013-04-29,54.14,54.91,54.03,54.76,1360400,53.97
2013-04-26,54.21,54.51,53.61,54.04,1573200,53.26
2013-04-25,53.25,55.68,53.25,54.31,4062400,53.53
2013-04-24,53.00,53.48,52.37,53.20,1770700,52.44
2013-04-23,51.88,52.90,51.64,52.86,1505100,52.10
2013-04-22,51.84,51.99,51.12,51.49,1669700,50.75
2013-04-19,51.25,52.05,51.23,51.83,2032700,51.09
2013-04-18,51.08,51.52,50.62,51.05,1547500,50.32
2013-04-17,51.28,51.47,50.59,51.15,1692300,50.42
2013-04-16,50.43,51.69,50.43,51.63,1454300,50.89
2013-04-15,51.55,52.04,49.92,49.95,2281300,49.23
2013-04-12,52.09,52.15,51.56,52.00,984600,51.25
2013-04-11,52.13,52.88,51.99,52.21,1764900,51.46
2013-04-10,51.38,52.52,51.29,52.21,1167800,51.46
2013-04-09,51.44,51.60,50.89,51.16,1496100,50.42
2013-04-08,50.66,51.42,50.66,51.39,1653500,50.65
2013-04-05,50.04,50.81,49.75,50.71,1608400,49.98
2013-04-04,50.57,51.06,50.41,50.84,1777400,50.11
2013-04-03,51.76,51.76,50.40,50.53,1704200,49.80
2013-04-02,51.90,52.10,51.22,51.60,1582900,50.86
2013-04-01,53.37,53.37,51.42,51.56,1754600,50.82
2013-03-28,52.82,53.48,52.57,53.30,1050100,52.53
2013-03-27,52.65,53.10,52.37,52.82,1186800,52.06
2013-03-26,52.84,53.15,52.54,53.08,839900,52.32
2013-03-25,52.97,53.33,52.07,52.49,1194500,51.74
2013-03-22,52.99,53.05,52.52,52.79,983600,52.03
2013-03-21,53.68,53.68,52.59,52.73,1061200,51.97
2013-03-20,53.02,54.16,52.99,53.98,1207400,53.20
2013-03-19,53.75,53.84,52.60,52.79,2684700,52.03
2013-03-18,54.63,54.92,54.19,54.49,1610800,53.71
2013-03-15,54.70,55.51,54.50,55.41,1693200,54.61
2013-03-14,54.99,55.02,54.23,54.92,863200,54.13
2013-03-13,54.47,55.02,54.00,54.79,870400,54.00
2013-03-12,54.82,54.90,54.22,54.55,689000,53.77
2013-03-11,54.69,54.93,54.38,54.77,779700,53.98
2013-03-08,54.53,54.98,53.83,54.82,1045000,54.03
2013-03-07,54.30,54.45,53.87,54.43,1501800,53.65
2013-03-06,53.54,54.13,53.40,53.71,1365100,52.94
2013-03-05,53.24,53.90,53.08,53.39,1313700,52.62
2013-03-04,52.00,52.88,51.68,52.87,2077800,52.11
2013-03-01,52.30,52.74,51.83,52.02,1859100,51.27
2013-02-28,52.38,53.22,52.25,52.63,1622300,51.87
2013-02-27,51.22,52.46,51.20,52.23,1744900,51.48
2013-02-26,50.91,51.36,50.05,51.33,1967100,50.59
2013-02-25,51.58,52.35,50.57,50.65,2977500,49.92
2013-02-22,51.17,51.51,50.90,51.21,1443500,50.47
2013-02-21,51.49,51.50,50.80,51.05,1301400,50.32
2013-02-20,52.41,52.58,51.53,51.57,1718800,50.83
2013-02-19,52.66,52.84,52.23,52.40,2056800,51.65
2013-02-15,53.45,53.56,52.43,52.66,2198700,51.90
2013-02-14,53.19,53.78,52.91,53.45,1269900,52.68
2013-02-13,53.45,53.98,52.98,53.63,1203100,52.65
2013-02-12,53.30,53.63,52.94,53.28,1180900,52.31
2013-02-11,53.51,54.11,53.09,53.49,1671300,52.52
2013-02-08,52.69,53.25,52.66,52.86,749900,51.90
2013-02-07,52.76,52.96,51.58,52.54,1439300,51.58
2013-02-06,52.50,53.08,51.85,52.89,1295000,51.93
2013-02-05,52.23,52.79,51.81,52.54,1772100,51.58
2013-02-04,52.26,52.52,51.48,51.78,2017900,50.84
2013-02-01,52.97,52.98,52.38,52.76,2656800,51.80
2013-01-31,52.84,52.88,52.26,52.42,2449600,51.46
2013-01-30,53.72,54.50,52.89,53.00,2435700,52.03
2013-01-29,52.66,54.62,52.66,54.52,3597700,53.53
2013-01-28,53.44,54.10,52.86,53.20,2266400,52.23
2013-01-25,53.00,53.94,52.85,53.94,2100400,52.96
2013-01-24,51.92,53.00,51.72,52.86,1131600,51.90
2013-01-23,51.26,51.88,50.85,51.76,1100300,50.82
2013-01-22,51.99,52.25,51.59,51.71,1146500,50.77
2013-01-18,52.09,52.13,51.61,52.11,914500,51.16
2013-01-17,50.98,52.08,50.75,52.02,1480200,51.07
2013-01-16,51.00,51.05,50.25,50.75,923800,49.83
2013-01-15,50.00,51.39,49.91,51.33,1195600,50.39
2013-01-14,50.17,50.55,50.01,50.29,949100,49.37
2013-01-11,50.64,50.64,49.59,50.14,1285500,49.23
2013-01-10,51.00,51.00,49.97,50.36,1971900,49.44
2013-01-09,49.29,50.88,49.25,50.81,3099300,49.88
2013-01-08,49.00,49.30,48.54,48.88,1852700,47.99
2013-01-07,48.40,49.18,48.40,49.03,2099100,48.14
2013-01-04,49.14,49.17,48.53,48.69,1233600,47.80
2013-01-03,49.91,50.02,48.66,48.96,2010600,48.07
2013-01-02,49.94,51.00,49.37,49.99,1798200,49.08
2012-12-31,47.07,48.87,46.96,48.83,1128200,47.94
2012-12-28,47.61,47.79,47.21,47.27,690600,46.41
2012-12-27,47.98,48.26,46.88,47.88,992800,47.01
2012-12-26,48.59,48.70,47.65,47.90,582800,47.03
2012-12-24,48.54,48.81,48.28,48.57,339900,47.68
2012-12-21,48.70,48.75,47.70,48.69,1750300,47.80
2012-12-20,48.85,48.99,48.53,48.93,1094300,48.04
2012-12-19,49.52,49.76,48.73,48.73,1255000,47.84
2012-12-18,49.18,49.74,49.14,49.39,1670600,48.49
2012-12-17,47.95,49.23,47.75,49.22,1441000,48.32
2012-12-14,47.72,48.40,47.72,47.83,1847700,46.96
2012-12-13,49.17,49.25,47.96,48.00,1596900,46.97
2012-12-12,48.00,49.25,47.93,49.20,3863200,48.15
2012-12-11,46.80,48.32,46.73,47.62,2612200,46.60
2012-12-10,46.36,46.71,46.25,46.66,834800,45.66
2012-12-07,46.45,46.64,46.10,46.46,1502900,45.47
2012-12-06,46.18,46.29,45.69,46.18,2610000,45.19
2012-12-05,46.63,46.72,45.90,46.28,1360800,45.29
2012-12-04,46.00,46.75,45.96,46.51,1929700,45.51
2012-12-03,47.31,47.40,45.93,46.00,1328500,45.02
2012-11-30,47.30,47.37,46.58,46.96,1629000,45.96
2012-11-29,47.84,48.20,47.23,47.37,956400,46.36
2012-11-28,46.69,47.58,46.54,47.54,958100,46.52
2012-11-27,47.77,47.99,46.94,46.99,1563600,45.98
2012-11-26,48.07,48.29,47.52,47.99,1039600,46.96
2012-11-23,47.96,48.45,47.79,48.26,563700,47.23
2012-11-21,47.82,48.16,47.66,47.76,975300,46.74
2012-11-20,47.86,48.49,47.57,47.78,2579600,46.76
2012-11-19,46.86,48.46,46.80,47.97,2683200,46.94
2012-11-16,46.55,46.68,44.48,46.22,3342700,45.23
2012-11-15,45.68,47.04,45.61,46.59,2678000,45.59
2012-11-14,46.00,46.97,45.47,45.67,3856900,44.69
2012-11-13,45.55,46.11,45.20,45.53,1833900,44.56
2012-11-12,45.42,45.94,45.08,45.84,1717600,44.86
2012-11-09,44.83,45.68,44.75,45.29,1941800,44.32
2012-11-08,46.45,46.69,44.93,44.97,2601400,44.01
2012-11-07,47.22,47.46,45.73,46.51,2741400,45.51
2012-11-06,47.41,47.94,47.41,47.61,1368000,46.59
2012-11-05,47.09,47.61,47.07,47.34,1365200,46.33
2012-11-02,48.03,48.49,47.28,47.29,1934900,46.28
2012-11-01,46.74,48.00,46.51,47.61,2089900,46.59
2012-10-31,46.43,46.88,46.26,46.76,2032600,45.76
2012-10-26,46.56,46.70,45.66,46.12,1445500,45.13
2012-10-25,46.65,47.16,46.27,46.52,1875800,45.52
2012-10-24,47.00,47.30,45.78,46.34,2922800,45.35
2012-10-23,43.25,47.36,43.16,46.89,6995600,45.89
2012-10-22,43.79,44.07,43.14,43.53,2409700,42.60
2012-10-19,44.55,44.62,43.60,43.88,2569100,42.94
2012-10-18,44.67,44.78,43.89,44.53,2392700,43.58
2012-10-17,43.18,44.07,43.07,44.00,2042800,43.06
2012-10-16,42.15,43.25,42.05,43.20,1947500,42.28
2012-10-15,41.46,41.90,41.21,41.86,1710900,40.96
2012-10-12,41.85,42.08,41.26,41.42,1435500,40.53
2012-10-11,42.32,42.84,41.62,41.79,2352700,40.90
2012-10-10,41.91,42.20,41.75,41.90,1977500,41.00
2012-10-09,42.32,42.70,41.84,41.90,2149100,41.00
2012-10-08,43.26,43.79,42.42,42.48,2244700,41.57
2012-10-05,41.95,42.35,41.84,41.99,2242300,41.09
2012-10-04,41.11,41.82,40.66,41.62,2308400,40.73
2012-10-03,41.86,41.99,40.59,40.79,4039500,39.92
2012-10-02,42.39,42.61,41.87,42.11,992300,41.21
2012-10-01,42.53,43.11,42.07,42.28,1551900,41.38
2012-09-28,42.15,42.65,41.98,42.37,2470500,41.46
2012-09-27,42.27,42.62,41.73,42.48,1798900,41.57
2012-09-26,42.26,42.28,41.70,41.93,2929100,41.03
2012-09-25,43.46,43.74,42.38,42.40,2061600,41.34
2012-09-24,43.70,44.14,42.87,43.34,2670400,42.26
2012-09-21,44.31,44.45,43.57,44.09,2240400,42.99
2012-09-20,45.57,45.70,44.17,44.26,2290200,43.15
2012-09-19,45.26,45.90,44.90,45.64,1763100,44.50
2012-09-18,46.35,46.55,45.17,45.57,1631000,44.43
2012-09-17,46.33,46.52,45.92,46.34,1655000,45.18
2012-09-14,45.89,46.55,45.78,46.33,2245800,45.17
2012-09-13,45.65,45.95,44.71,45.73,2273600,44.59
2012-09-12,45.20,45.82,45.20,45.65,1502300,44.51
2012-09-11,45.00,45.70,44.73,45.03,2200400,43.91
2012-09-10,43.78,45.07,43.66,44.72,2347800,43.60
2012-09-07,43.59,44.25,43.43,43.97,1689200,42.87
2012-09-06,42.01,43.75,41.93,43.54,2109000,42.45
2012-09-05,41.76,41.85,41.22,41.61,1410700,40.57
2012-09-04,41.85,41.92,41.17,41.68,1736400,40.64
2012-08-31,42.65,42.65,41.70,41.96,1702400,40.91
2012-08-30,42.76,42.98,42.29,42.42,1758000,41.36
2012-08-29,43.27,43.50,42.81,43.06,1569200,41.98
2012-08-28,42.77,43.55,42.59,43.22,1623100,42.14
2012-08-27,42.51,43.52,42.47,43.10,1637800,42.02
2012-08-24,42.43,42.75,42.22,42.55,2646100,41.49
2012-08-23,42.89,43.09,42.16,42.43,1567900,41.37
2012-08-22,42.69,43.19,42.49,43.04,2896100,41.97
2012-08-21,42.50,43.40,42.50,42.90,2064100,41.83
2012-08-20,42.31,42.58,41.80,42.41,1948800,41.35
2012-08-17,42.47,42.75,42.21,42.28,1785500,41.22
2012-08-16,41.42,42.50,41.32,42.41,2717100,41.35
2012-08-15,41.20,41.62,41.12,41.43,1765400,40.40
2012-08-14,41.55,41.83,41.05,41.18,2641200,40.15
2012-08-13,41.12,41.49,40.97,41.40,2086700,40.37
2012-08-10,41.19,41.43,40.87,41.36,2648600,40.33
2012-08-09,41.58,41.91,41.50,41.68,1703200,40.64
2012-08-08,42.03,42.19,41.57,41.69,1859600,40.65
2012-08-07,42.16,42.62,42.10,42.37,4319200,41.31
2012-08-06,42.55,42.59,41.92,41.94,1901200,40.89
2012-08-03,41.68,42.64,41.52,42.39,3096800,41.33
2012-08-02,41.10,42.38,40.68,41.20,3457000,40.17
2012-08-01,43.34,43.38,37.84,41.67,14151800,40.63
2012-07-31,44.30,44.43,43.23,43.23,2907600,42.15
2012-07-30,44.73,45.20,44.31,44.49,1200900,43.38
2012-07-27,43.58,44.87,43.50,44.64,1912300,43.53
2012-07-26,42.77,43.47,42.35,43.20,1811000,42.12
2012-07-25,42.52,42.70,41.83,42.07,1425900,41.02
2012-07-24,43.26,43.34,41.99,42.39,2170200,41.33
2012-07-23,43.02,43.53,42.58,43.24,1983100,42.16
2012-07-20,44.42,44.56,43.79,43.91,1308100,42.81
2012-07-19,44.22,45.18,44.09,44.78,1800300,43.66
2012-07-18,43.51,44.35,42.96,44.02,2581700,42.92
2012-07-17,43.96,44.21,43.62,43.84,1538700,42.75
2012-07-16,43.86,44.03,43.11,43.80,1539600,42.71
2012-07-13,43.51,44.28,42.91,43.95,2483200,42.85
2012-07-12,44.43,44.45,43.19,43.53,3085100,42.44
2012-07-11,46.68,46.68,44.46,44.82,3685000,43.70
2012-07-10,46.10,47.62,46.10,47.09,3320100,45.91
2012-07-09,45.92,46.07,45.47,45.69,1129900,44.55
2012-07-06,46.23,46.64,45.69,46.12,1044300,44.97
2012-07-05,46.10,47.32,46.01,46.87,1509900,45.70
2012-07-03,45.64,46.54,45.59,46.47,1044500,45.31
2012-07-02,46.12,46.66,45.36,45.81,2853400,44.67
2012-06-29,45.66,45.92,44.96,45.73,2568900,44.59
2012-06-28,44.70,44.87,43.79,44.69,2847500,43.57
2012-06-27,46.26,46.27,44.81,44.93,3403000,43.81
2012-06-26,47.53,48.26,45.44,46.18,4520000,45.03
2012-06-25,48.56,48.56,47.70,47.92,1255200,46.72
2012-06-22,49.06,49.27,48.33,49.08,1681600,47.85
