Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,90.87,91.56,90.73,91.37,1456500,90.93
2013-12-30,91.32,91.44,90.79,91.00,1450300,90.56
2013-12-27,91.33,91.43,91.07,91.14,1065900,90.70
2013-12-26,90.58,91.22,90.55,91.10,2173300,90.66
2013-12-24,89.96,90.61,89.71,90.45,854300,90.02
2013-12-23,90.00,90.21,89.36,89.72,2298500,89.29
2013-12-20,88.82,90.00,88.61,89.55,3839700,89.12
2013-12-19,88.07,88.72,87.97,88.64,2558000,88.21
2013-12-18,86.78,88.48,85.90,88.45,3583500,88.03
2013-12-17,87.58,87.98,86.44,86.48,3656500,86.06
2013-12-16,86.94,87.73,86.46,87.37,3131400,86.95
2013-12-13,86.56,87.38,85.77,86.61,4191700,86.19
2013-12-12,86.22,86.70,85.92,86.29,2926700,85.88
2013-12-11,87.78,87.80,86.27,86.45,2887800,86.04
2013-12-10,87.66,88.28,87.42,87.84,1770400,87.42
2013-12-09,88.38,88.52,87.73,87.87,1805000,87.45
2013-12-06,88.08,88.48,87.72,88.32,1653900,87.90
2013-12-05,86.70,87.30,86.50,86.86,1793400,86.44
2013-12-04,86.84,87.29,86.19,86.83,2423600,86.41
2013-12-03,87.95,87.95,86.68,87.07,2317500,86.65
2013-12-02,88.48,88.99,88.00,88.14,2052500,87.72
2013-11-29,88.83,89.16,88.39,88.51,1156200,88.09
2013-11-27,88.99,89.41,88.69,88.87,1171000,88.44
2013-11-26,88.65,89.10,88.42,88.53,1834000,88.11
2013-11-25,89.00,89.27,88.48,88.59,1664900,88.16
2013-11-22,87.87,88.87,87.68,88.80,1914600,88.37
2013-11-21,87.41,88.05,87.36,87.94,1618200,87.52
2013-11-20,88.15,88.15,87.10,87.22,1796600,86.80
2013-11-19,88.02,88.46,87.70,87.86,1777700,87.44
2013-11-18,88.88,89.52,88.54,88.68,2416600,87.81
2013-11-15,88.28,88.77,88.21,88.62,2572300,87.75
2013-11-14,87.75,88.82,87.40,88.67,2799200,87.80
2013-11-13,86.36,87.51,86.13,87.51,2659200,86.65
2013-11-12,87.23,87.40,86.46,86.59,2438100,85.74
2013-11-11,87.37,87.67,87.08,87.42,2042700,86.56
2013-11-08,85.52,87.46,85.37,87.44,2741500,86.58
2013-11-07,86.73,86.99,85.33,85.46,2392100,84.62
2013-11-06,86.82,87.19,86.39,86.72,1793900,85.87
2013-11-05,86.05,86.69,85.42,86.34,1975300,85.49
2013-11-04,87.00,87.00,85.90,86.31,3240400,85.46
2013-11-01,86.77,87.77,86.54,86.91,3092500,86.05
2013-10-31,86.85,87.65,86.50,86.73,2290000,85.88
2013-10-30,87.52,87.94,86.57,86.72,1827800,85.87
2013-10-29,87.11,87.52,86.93,87.46,1940800,86.60
2013-10-28,87.14,87.55,86.91,87.33,1941500,86.47
2013-10-25,87.20,87.54,86.65,87.50,2747700,86.64
2013-10-24,86.85,87.43,86.72,87.28,2255900,86.42
2013-10-23,86.13,86.69,85.54,86.69,2698800,85.84
2013-10-22,84.97,86.48,84.90,86.16,3334300,85.31
2013-10-21,84.58,84.84,84.06,84.65,3512500,83.82
2013-10-18,85.71,85.94,83.70,84.58,7040200,83.75
2013-10-17,85.39,86.78,85.19,86.74,2679400,85.89
2013-10-16,85.79,86.17,85.01,85.75,2419100,84.91
2013-10-15,85.76,86.00,84.97,85.14,1974300,84.30
2013-10-14,85.68,86.14,85.33,85.98,2850700,85.13
2013-10-11,85.01,86.51,84.90,86.46,3390900,85.61
2013-10-10,82.85,85.09,82.80,85.09,3602600,84.25
2013-10-09,82.00,82.50,81.45,81.90,2634400,81.09
2013-10-08,82.80,83.35,81.79,81.82,3047300,81.01
2013-10-07,81.45,83.40,81.10,82.91,3575700,82.09
2013-10-04,81.67,82.49,81.31,82.24,2536600,81.43
2013-10-03,82.63,82.80,81.04,81.45,2633200,80.65
2013-10-02,82.65,82.88,82.08,82.84,2930800,82.02
2013-10-01,83.13,83.52,82.86,83.22,2447400,82.40
2013-09-30,82.80,83.43,82.37,83.04,2489500,82.22
2013-09-27,83.55,83.81,83.15,83.58,1704500,82.76
2013-09-26,84.02,84.43,83.72,84.05,1387500,83.22
2013-09-25,84.33,84.67,83.84,83.84,2248500,83.01
2013-09-24,84.10,84.96,83.74,84.25,2279000,83.42
2013-09-23,85.21,85.48,83.98,84.13,3266900,83.30
2013-09-20,86.61,86.71,85.48,85.48,3460700,84.64
2013-09-19,86.92,87.55,86.67,86.79,2285300,85.94
2013-09-18,85.42,86.88,84.90,86.65,2276500,85.80
2013-09-17,85.14,85.67,85.01,85.45,1986500,84.61
2013-09-16,85.11,85.33,84.44,85.10,2135200,84.26
2013-09-13,84.02,84.09,83.32,84.05,1658800,83.22
2013-09-12,84.08,84.42,83.77,83.78,2016100,82.95
2013-09-11,84.20,84.40,83.65,84.03,2512700,83.20
2013-09-10,82.98,84.28,82.80,84.13,2362700,83.30
2013-09-09,81.84,82.73,81.77,82.43,2270100,81.62
2013-09-06,81.56,82.23,80.25,81.66,2060100,80.86
2013-09-05,80.90,81.91,80.69,81.39,1815800,80.59
2013-09-04,80.40,81.09,80.23,80.96,3338300,80.16
2013-09-03,80.44,81.03,80.31,80.98,4027900,80.18
2013-08-30,80.36,80.36,79.26,79.57,1968300,78.79
2013-08-29,79.25,80.49,79.09,80.06,1813100,79.27
2013-08-28,79.24,79.74,78.88,79.45,3046900,78.67
2013-08-27,80.17,80.50,79.09,79.25,3043000,78.47
2013-08-26,81.51,81.67,80.95,81.05,2047500,80.25
2013-08-23,80.83,81.58,80.41,81.40,1805600,80.60
2013-08-22,80.57,81.08,80.38,80.77,2637000,79.97
2013-08-21,81.60,81.69,80.52,80.58,2904100,79.79
2013-08-20,81.49,82.19,81.40,81.72,1765000,80.92
2013-08-19,81.69,82.01,81.40,81.46,2312300,80.66
2013-08-16,81.65,82.15,81.52,81.96,3577600,81.15
2013-08-15,82.60,82.70,81.78,82.01,2295300,80.80
2013-08-14,83.79,83.92,83.22,83.35,1723500,82.12
2013-08-13,83.48,83.94,83.16,83.69,1453400,82.45
2013-08-12,82.96,83.55,82.62,83.43,2115200,82.20
2013-08-09,83.53,83.69,83.11,83.32,2265000,82.09
2013-08-08,84.10,84.39,83.50,83.51,2108400,82.27
2013-08-07,83.99,84.00,83.34,83.65,2438400,82.41
2013-08-06,84.46,84.70,83.91,84.16,2074300,82.91
2013-08-05,84.28,84.71,84.01,84.53,1504000,83.28
2013-08-02,84.40,84.78,84.05,84.68,2392500,83.43
2013-08-01,83.80,84.71,83.63,84.56,2238600,83.31
2013-07-31,83.30,83.80,82.93,82.98,3018300,81.75
2013-07-30,83.24,83.74,82.74,83.00,2438800,81.77
2013-07-29,82.63,83.12,82.48,82.76,2265800,81.54
2013-07-26,82.55,82.95,82.30,82.88,2534200,81.65
2013-07-25,82.79,83.00,82.56,82.85,2573300,81.62
2013-07-24,83.41,83.59,82.84,83.01,1991500,81.78
2013-07-23,83.44,83.59,82.93,83.27,2027700,82.04
2013-07-22,83.05,83.29,82.75,83.04,2593100,81.81
2013-07-19,84.38,84.85,82.90,83.57,3182800,82.33
2013-07-18,82.44,83.29,82.01,82.97,3721100,81.74
2013-07-17,82.37,82.95,82.23,82.44,2249200,81.22
2013-07-16,82.35,82.64,81.86,82.03,1890500,80.82
2013-07-15,82.50,82.68,81.71,82.30,3386300,81.08
2013-07-12,82.56,82.75,81.87,82.37,2675900,81.15
2013-07-11,82.17,82.67,81.98,82.57,2489200,81.35
2013-07-10,81.25,81.75,80.93,81.21,2433500,80.01
2013-07-09,81.32,81.65,81.14,81.39,2928700,80.19
2013-07-08,80.48,81.04,80.05,80.67,3859300,79.48
2013-07-05,79.04,80.08,79.04,80.06,2101100,78.88
2013-07-03,77.36,78.97,77.32,78.51,2581700,77.35
2013-07-02,79.24,79.84,77.63,77.88,8982700,76.73
2013-07-01,79.86,81.09,79.86,80.32,2146600,79.13
2013-06-28,80.00,80.20,79.30,79.34,3475300,78.17
2013-06-27,80.15,81.00,80.15,80.20,3352000,79.01
2013-06-26,78.50,79.86,78.44,79.75,3634200,78.57
2013-06-25,77.46,77.99,77.17,77.65,2424400,76.50
2013-06-24,77.49,77.54,76.15,76.65,3581400,75.52
