Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,84.08,84.87,83.64,84.08,581600,83.48
2013-12-30,84.03,84.54,83.33,84.03,814200,83.43
2013-12-27,83.15,84.16,83.02,83.96,938100,83.36
2013-12-26,83.21,83.44,82.64,83.14,420500,82.55
2013-12-24,81.34,83.53,81.34,83.03,501700,82.44
2013-12-23,82.67,82.70,81.44,81.53,613900,80.95
2013-12-20,81.63,82.40,81.35,82.03,1549500,81.45
2013-12-19,81.55,81.86,80.68,81.67,754000,81.09
2013-12-18,81.03,81.62,80.03,81.52,1181800,80.94
2013-12-17,81.13,81.26,80.08,80.84,838000,80.27
2013-12-16,80.38,81.39,80.22,81.26,1250100,80.68
2013-12-13,79.62,80.03,78.63,79.52,973800,78.96
2013-12-12,78.52,80.67,78.52,79.81,1350300,79.24
2013-12-11,79.51,79.82,78.19,78.42,1000500,77.86
2013-12-10,79.71,81.03,79.20,79.34,1227000,78.78
2013-12-09,79.94,80.56,79.05,79.49,1139000,78.93
2013-12-06,81.35,81.35,79.51,79.83,788800,79.26
2013-12-05,81.00,81.00,79.66,80.23,1172700,79.66
2013-12-04,79.75,81.09,78.90,80.97,1581700,80.40
2013-12-03,78.07,79.83,77.71,79.67,1466300,79.10
2013-12-02,77.30,79.16,76.36,78.05,1078900,77.50
2013-11-29,77.26,77.67,76.31,77.00,324900,76.45
2013-11-27,78.53,78.67,76.44,77.35,757300,76.80
2013-11-26,77.09,78.79,77.09,78.72,1379500,78.16
2013-11-25,78.76,78.96,76.76,77.24,1241000,76.69
2013-11-22,79.63,79.63,78.70,78.97,953000,78.41
2013-11-21,79.10,79.32,78.41,79.00,878600,78.44
2013-11-20,78.98,79.33,78.49,78.85,846700,78.29
2013-11-19,78.76,79.32,77.61,78.55,1360600,77.99
2013-11-18,79.44,79.56,78.20,78.80,1212300,78.24
2013-11-15,79.08,79.52,78.13,79.27,1481200,78.71
2013-11-14,78.20,78.50,76.72,78.06,1341400,77.51
2013-11-13,75.79,77.14,75.17,76.96,1397100,76.41
2013-11-12,78.49,78.49,76.42,76.72,1082700,75.68
2013-11-11,78.15,78.68,77.82,78.38,1079500,77.32
2013-11-08,76.08,78.07,75.74,78.02,1009000,76.96
2013-11-07,78.10,78.21,75.31,75.67,1283200,74.64
2013-11-06,78.28,78.52,77.04,77.65,706200,76.60
2013-11-05,77.41,77.92,76.72,77.78,697600,76.72
2013-11-04,77.79,78.00,77.35,77.85,675300,76.79
2013-11-01,77.64,78.02,76.61,77.43,1070700,76.38
2013-10-31,77.45,78.39,77.08,77.55,792600,76.50
2013-10-30,78.85,79.12,76.81,77.51,992200,76.46
2013-10-29,77.17,78.69,77.11,78.66,1061600,77.59
2013-10-28,76.83,77.45,76.61,77.17,861700,76.12
2013-10-25,76.37,77.33,75.83,76.57,674500,75.53
2013-10-24,74.87,75.94,74.53,75.88,1022200,74.85
2013-10-23,76.55,76.73,74.56,75.00,1044300,73.98
2013-10-22,76.90,77.89,76.47,76.89,635000,75.85
2013-10-21,76.83,76.92,76.23,76.49,732000,75.45
2013-10-18,76.70,77.73,76.28,76.76,1172800,75.72
2013-10-17,75.15,75.94,74.90,75.84,976600,74.81
2013-10-16,75.31,75.80,74.60,75.26,780300,74.24
2013-10-15,74.73,75.38,74.08,74.58,964600,73.57
2013-10-14,73.37,75.25,73.17,75.11,783800,74.09
2013-10-11,73.00,74.19,72.33,73.98,897000,72.98
2013-10-10,72.09,73.17,71.95,73.17,1260300,72.18
2013-10-09,72.09,72.13,70.59,71.11,1035400,70.15
2013-10-08,72.19,73.64,71.74,71.82,1334100,70.85
2013-10-07,72.54,72.90,71.93,72.09,847500,71.11
2013-10-04,72.72,74.29,72.08,73.70,1334200,72.70
2013-10-03,71.90,72.72,71.15,72.62,1170000,71.63
2013-10-02,70.63,71.92,69.96,71.91,1187100,70.93
2013-10-01,68.91,71.34,68.87,70.92,1087100,69.96
2013-09-30,68.49,69.07,67.95,68.95,844600,68.01
2013-09-27,69.14,69.38,68.55,69.07,706300,68.13
2013-09-26,69.44,69.81,69.05,69.47,670000,68.53
2013-09-25,68.88,69.62,68.26,69.04,1268800,68.10
2013-09-24,69.45,69.54,68.69,68.80,947000,67.87
2013-09-23,70.00,70.02,68.92,69.41,1184200,68.47
2013-09-20,71.26,71.36,70.12,70.32,1301500,69.37
2013-09-19,69.95,70.96,69.28,70.82,1427000,69.86
2013-09-18,69.14,69.88,68.52,69.64,628300,68.70
2013-09-17,68.88,69.73,68.31,69.01,739000,68.07
2013-09-16,69.64,69.80,68.54,68.91,1055200,67.98
2013-09-13,66.97,69.49,66.24,68.99,2629700,68.05
2013-09-12,66.93,67.46,65.84,66.56,983700,65.66
2013-09-11,66.47,67.12,66.05,67.12,933700,66.21
2013-09-10,66.06,66.16,65.21,66.12,812900,65.22
2013-09-09,64.48,66.41,64.35,65.74,806300,64.85
2013-09-06,64.74,65.01,63.84,64.36,565400,63.49
2013-09-05,64.03,64.83,63.92,64.50,685600,63.62
2013-09-04,62.84,64.46,62.83,63.96,862100,63.09
2013-09-03,63.99,64.00,62.39,62.91,1153800,62.06
2013-08-30,63.52,63.52,62.84,63.04,819600,62.18
2013-08-29,63.95,64.00,63.00,63.27,818400,62.41
2013-08-28,63.32,64.68,63.28,64.16,960100,63.29
2013-08-27,63.20,64.05,63.00,63.22,629400,62.36
2013-08-26,64.93,65.15,63.95,64.07,736600,63.20
2013-08-23,64.83,65.07,64.06,64.67,701000,63.79
2013-08-22,64.06,64.71,64.00,64.55,995300,63.67
2013-08-21,64.95,65.25,63.84,63.90,748700,63.03
2013-08-20,64.04,65.31,64.00,64.94,1140900,64.06
2013-08-19,64.75,64.97,63.96,64.02,787300,63.15
2013-08-16,65.49,65.65,64.35,64.76,1285200,63.88
2013-08-15,65.54,66.26,65.18,65.50,983300,64.61
2013-08-14,67.01,67.70,66.45,66.49,1083700,65.59
2013-08-13,67.03,67.46,66.57,67.26,1172700,66.35
2013-08-12,67.12,67.74,66.50,67.30,1002800,65.89
2013-08-09,67.85,68.20,66.64,67.91,1354000,66.49
2013-08-08,67.65,68.41,66.98,67.87,1555900,66.45
2013-08-07,66.24,67.48,66.01,67.29,1887100,65.88
2013-08-06,66.40,66.56,65.68,66.38,1449500,64.99
2013-08-05,65.43,66.53,65.06,66.30,1259600,64.91
2013-08-02,64.85,65.59,64.23,65.59,1029000,64.22
2013-08-01,64.75,65.01,64.06,64.87,1047600,63.51
2013-07-31,63.25,64.39,62.80,63.20,1691400,61.88
2013-07-30,63.75,63.98,62.35,63.14,1566400,61.82
2013-07-29,64.55,64.77,63.18,63.44,1505400,62.11
2013-07-26,68.02,68.28,64.15,64.73,1980100,63.38
2013-07-25,65.21,66.56,64.67,66.56,1455800,65.17
2013-07-24,67.00,67.11,65.16,65.94,855200,64.56
2013-07-23,67.37,67.52,66.23,66.85,1238900,65.45
2013-07-22,67.55,67.78,66.96,67.00,848200,65.60
2013-07-19,66.47,67.46,65.69,67.39,974500,65.98
2013-07-18,65.65,67.00,65.46,66.51,790100,65.12
2013-07-17,64.58,65.55,64.21,65.21,801200,63.85
2013-07-16,65.38,65.75,63.99,64.34,639700,63.00
2013-07-15,65.77,65.99,64.94,65.26,677700,63.90
2013-07-12,64.83,65.51,64.34,65.48,858800,64.11
2013-07-11,65.75,65.76,64.03,64.73,929200,63.38
2013-07-10,65.50,65.50,64.03,64.59,1254400,63.24
2013-07-09,65.88,65.96,64.96,65.37,1283200,64.00
2013-07-08,65.68,66.24,65.40,65.85,1232700,64.47
2013-07-05,64.66,65.76,64.24,65.48,811800,64.11
2013-07-03,63.85,64.05,63.28,63.82,498500,62.49
2013-07-02,63.77,64.54,63.76,64.05,1155500,62.71
2013-07-01,63.30,64.29,62.79,63.76,1106200,62.43
2013-06-28,62.45,63.05,62.22,62.45,1309300,61.15
2013-06-27,63.51,63.63,62.66,62.71,805700,61.40
2013-06-26,63.98,64.37,62.78,62.94,995400,61.62
2013-06-25,62.42,64.25,62.42,63.66,1683400,62.33
2013-06-24,60.50,62.41,59.77,61.81,1797400,60.52
2013-06-21,61.64,62.46,60.69,61.69,1651300,60.40
2013-06-20,62.19,62.35,60.95,61.23,1005200,59.95
2013-06-19,64.09,64.62,63.27,63.27,780200,61.95
2013-06-18,63.45,64.25,63.38,64.04,922500,62.70
2013-06-17,61.45,64.00,61.45,63.51,1840300,62.18
2013-06-14,62.01,62.18,60.77,60.82,952500,59.55
2013-06-13,60.99,62.00,60.70,61.91,1392100,60.62
2013-06-12,62.81,63.11,60.95,60.97,989300,59.70
2013-06-11,63.12,63.32,62.05,62.38,1529500,61.08
2013-06-10,64.32,64.57,63.33,64.33,883300,62.99
2013-06-07,62.91,64.23,62.26,64.12,1181500,62.78
2013-06-06,62.52,63.00,61.45,62.55,1227000,61.24
2013-06-05,62.85,64.50,62.01,62.66,2241400,61.35
2013-06-04,62.64,63.30,62.48,62.81,783800,61.50
2013-06-03,62.27,62.79,61.77,62.73,845000,61.42
2013-05-31,62.85,63.45,61.74,61.74,848700,60.45
2013-05-30,64.11,64.20,62.90,63.27,1309200,61.95
2013-05-29,63.24,64.22,62.98,64.14,950200,62.80
2013-05-28,64.25,64.72,63.52,63.77,1150300,62.44
2013-05-24,61.85,63.07,61.57,63.02,1048300,61.70
2013-05-23,61.07,62.15,60.66,62.09,1113500,60.79
2013-05-22,64.63,64.69,61.80,62.39,2288800,61.09
2013-05-21,65.42,65.77,64.49,64.70,1087100,63.35
2013-05-20,65.18,66.02,65.07,65.50,902000,64.13
2013-05-17,64.17,65.64,64.17,65.39,2118700,64.02
2013-05-16,61.91,63.39,61.78,62.97,1055400,61.65
2013-05-15,61.80,62.58,61.48,61.99,912100,60.69
2013-05-14,61.81,62.63,61.59,62.12,946000,60.82
2013-05-13,62.24,62.64,61.36,61.93,668700,60.64
2013-05-10,62.64,62.84,61.81,62.46,975400,61.01
2013-05-09,62.61,63.20,61.96,62.96,946300,61.50
2013-05-08,62.62,62.97,62.16,62.72,749700,61.26
2013-05-07,62.54,63.00,61.71,62.60,766200,61.14
2013-05-06,62.00,62.82,61.44,62.27,1250500,60.82
2013-05-03,60.73,62.01,60.57,61.75,1587400,60.31
2013-05-02,58.46,59.99,58.28,59.80,1112400,58.41
2013-05-01,57.96,58.37,57.11,58.09,1165100,56.74
2013-04-30,58.22,58.67,57.48,58.62,1046200,57.26
2013-04-29,58.38,58.76,57.58,58.23,1212200,56.88
2013-04-26,59.25,59.74,57.65,57.99,1488700,56.64
2013-04-25,60.73,61.63,57.39,59.57,2901200,58.19
2013-04-24,59.89,61.65,59.78,60.71,1710400,59.30
2013-04-23,58.94,59.94,58.05,59.53,1833200,58.15
2013-04-22,57.48,58.84,57.23,58.79,1103900,57.42
2013-04-19,57.51,57.99,56.32,57.28,1201200,55.95
2013-04-18,56.81,58.16,55.78,57.34,1096000,56.01
2013-04-17,58.03,58.03,56.09,56.25,1397100,54.94
2013-04-16,58.46,59.19,57.52,58.70,1353400,57.34
2013-04-15,60.47,60.47,57.68,57.72,1597200,56.38
2013-04-12,62.17,62.35,60.73,61.35,1528200,59.92
2013-04-11,63.40,63.48,62.24,62.61,1142000,61.15
2013-04-10,61.90,63.63,61.84,63.38,1493300,61.91
2013-04-09,61.55,62.01,60.76,61.83,877100,60.39
2013-04-08,60.85,61.56,60.59,61.36,1383900,59.93
2013-04-05,58.30,61.10,58.11,60.92,1646300,59.50
2013-04-04,58.89,59.26,58.10,59.21,802200,57.83
2013-04-03,60.02,60.27,58.15,59.00,1493600,57.63
2013-04-02,59.88,60.89,59.35,59.89,1335700,58.50
2013-04-01,60.90,61.55,59.19,59.81,1090400,58.42
2013-03-28,60.94,61.15,60.15,60.70,1362100,59.29
2013-03-27,60.49,61.63,60.01,60.96,1121200,59.54
2013-03-26,60.59,61.20,60.41,61.14,1308700,59.72
2013-03-25,60.75,60.99,59.96,60.25,1476500,58.85
2013-03-22,60.79,61.21,60.10,60.57,1460000,59.16
2013-03-21,60.25,60.94,60.13,60.43,1334500,59.03
2013-03-20,61.64,61.96,60.00,60.67,2098700,59.26
2013-03-19,62.49,62.88,60.74,61.28,2713600,59.86
2013-03-18,64.64,64.72,62.13,62.60,3347000,61.14
2013-03-15,65.42,66.61,65.42,66.26,1498000,64.72
2013-03-14,63.50,65.74,63.48,65.41,1647900,63.89
2013-03-13,63.84,64.15,62.86,63.30,1457800,61.83
2013-03-12,63.89,64.37,63.23,63.79,1062700,62.31
2013-03-11,64.15,64.16,63.10,63.75,1812200,62.27
2013-03-08,65.24,65.24,63.86,64.28,1854300,62.79
2013-03-07,64.76,65.25,64.67,65.00,784200,63.49
2013-03-06,65.30,65.64,64.58,64.69,846800,63.19
2013-03-05,64.64,65.33,64.19,64.95,985100,63.44
2013-03-04,66.14,66.16,63.45,64.01,2099600,62.52
2013-03-01,65.84,66.33,65.00,66.10,1637700,64.56
2013-02-28,65.32,66.87,65.12,66.26,1894200,64.72
2013-02-27,64.18,65.57,64.14,65.40,1236100,63.88
2013-02-26,64.29,64.76,62.80,64.56,1457500,63.06
2013-02-25,65.89,66.15,63.54,63.54,2125700,62.06
2013-02-22,64.72,65.56,63.99,65.54,1536400,64.02
2013-02-21,65.40,65.40,63.64,64.27,2274100,62.78
2013-02-20,67.63,67.63,65.57,65.61,2105400,64.08
2013-02-19,68.24,69.38,67.80,67.94,2790300,66.36
2013-02-15,68.09,68.49,66.94,67.83,2118200,66.25
2013-02-14,65.50,68.16,65.48,67.86,1388000,66.28
2013-02-13,65.47,65.76,65.20,65.68,848200,64.15
2013-02-12,65.15,65.44,64.52,65.42,962000,63.75
2013-02-11,65.32,65.40,64.41,64.86,1237200,63.21
2013-02-08,64.47,64.50,63.84,64.39,1015700,62.75
2013-02-07,64.82,65.50,63.74,64.31,1873500,62.67
2013-02-06,64.00,64.44,63.25,64.44,1049000,62.80
2013-02-05,64.34,64.51,63.80,64.29,1475800,62.65
2013-02-04,64.16,64.34,62.89,63.75,1723300,62.13
2013-02-01,64.59,65.19,63.89,64.73,1813300,63.08
2013-01-31,63.50,65.51,63.35,64.34,2722600,62.70
2013-01-30,62.63,63.60,62.25,63.33,2044800,61.72
2013-01-29,62.36,62.74,62.04,62.58,974500,60.99
2013-01-28,62.53,62.53,61.47,62.25,745500,60.66
2013-01-25,62.27,62.80,61.61,62.20,855600,60.61
2013-01-24,61.31,62.11,61.18,61.93,1212200,60.35
2013-01-23,61.18,61.69,60.76,61.28,1093700,59.72
2013-01-22,61.02,61.60,60.17,61.18,1369700,59.62
2013-01-18,60.25,61.52,59.77,61.00,2117900,59.45
2013-01-17,59.43,60.04,58.90,59.70,1125000,58.18
2013-01-16,58.81,59.29,58.59,59.16,889300,57.65
2013-01-15,57.78,59.19,57.78,59.04,751800,57.54
2013-01-14,58.64,58.70,57.83,58.04,746900,56.56
2013-01-11,58.87,58.87,57.78,58.54,1096200,57.05
2013-01-10,58.45,59.00,58.13,58.87,1355400,57.37
2013-01-09,56.85,57.90,56.81,57.76,1569100,56.29
2013-01-08,56.87,57.01,56.13,56.58,806000,55.14
2013-01-07,57.45,57.45,56.69,57.05,835700,55.60
2013-01-04,57.29,57.83,56.98,57.66,1409600,56.19
2013-01-03,56.86,57.86,55.79,56.99,1346900,55.54
2013-01-02,57.62,57.82,55.81,57.05,1185300,55.60
2012-12-31,54.63,56.12,54.36,56.01,769400,54.58
2012-12-28,54.88,55.06,54.07,54.56,577400,53.17
2012-12-27,55.84,55.84,54.23,55.38,844400,53.97
2012-12-26,56.34,56.98,55.59,55.75,450900,54.33
2012-12-24,56.16,56.16,55.53,56.00,304500,54.57
2012-12-21,55.86,56.80,55.73,56.43,1689100,54.99
2012-12-20,56.13,57.03,55.83,56.98,1273100,55.53
2012-12-19,56.23,57.19,55.76,56.25,1680700,54.82
2012-12-18,54.25,56.93,54.12,56.23,1823000,54.80
2012-12-17,53.93,54.33,53.68,54.30,913800,52.92
2012-12-14,53.50,54.05,53.45,53.67,1281200,52.30
2012-12-13,54.76,55.21,53.69,54.17,1244500,52.79
2012-12-12,55.47,55.61,54.36,54.64,1227300,53.25
2012-12-11,55.64,55.75,54.95,55.23,868300,53.82
2012-12-10,55.05,55.69,54.36,55.49,1346100,54.08
2012-12-07,55.01,55.50,54.59,55.46,945500,54.05
2012-12-06,54.57,56.13,54.57,54.77,2728300,53.37
2012-12-05,54.18,55.42,53.89,54.98,1980500,53.58
2012-12-04,52.42,54.28,52.42,54.18,2270400,52.80
2012-12-03,52.52,53.00,52.23,52.65,1539000,51.31
2012-11-30,51.43,52.60,51.40,52.20,2317800,50.87
2012-11-29,51.22,52.42,51.18,51.39,1721300,50.08
2012-11-28,49.55,50.72,49.19,50.66,872000,49.37
2012-11-27,50.60,50.97,49.80,50.11,1051600,48.83
2012-11-26,50.99,51.59,50.21,50.70,1361600,49.41
2012-11-23,51.49,51.64,50.60,51.59,457500,50.28
2012-11-21,51.33,51.49,50.47,51.01,954900,49.71
2012-11-20,51.38,51.65,50.58,51.13,1402800,49.83
2012-11-19,50.56,51.90,50.46,51.64,1928500,50.32
2012-11-16,48.63,49.97,47.69,49.92,2744800,48.65
2012-11-15,47.78,48.99,47.04,48.85,3030600,47.61
2012-11-14,46.79,47.49,45.82,46.06,1668200,44.89
2012-11-13,46.08,47.82,45.70,46.81,1367300,45.62
2012-11-12,46.11,46.81,45.97,46.69,632100,45.43
2012-11-09,45.62,46.75,45.38,45.92,824300,44.68
2012-11-08,47.17,47.57,45.60,45.75,1171800,44.52
2012-11-07,48.52,48.52,46.64,47.06,1420300,45.79
2012-11-06,48.91,49.66,48.34,49.34,831800,48.01
