Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,27.92,28.30,27.83,27.98,9961400,27.85
2013-12-30,28.24,28.26,27.95,28.07,7302600,27.94
2013-12-27,28.43,28.44,28.16,28.19,6848300,28.06
2013-12-26,28.20,28.70,28.19,28.31,7792300,28.17
2013-12-24,28.00,28.20,27.87,28.16,4983400,28.03
2013-12-23,27.99,28.10,27.75,28.05,9427700,27.92
2013-12-20,28.08,28.19,27.79,27.79,20481500,27.66
2013-12-19,27.55,28.23,27.51,28.04,15935700,27.91
2013-12-18,27.37,27.52,26.65,27.51,15155400,27.38
2013-12-17,27.54,27.86,27.33,27.45,19131300,27.32
2013-12-16,26.74,27.04,26.68,26.90,12428500,26.77
2013-12-13,26.67,26.88,26.29,26.77,11757700,26.64
2013-12-12,27.05,27.11,26.42,26.60,13422400,26.47
2013-12-11,26.85,27.18,26.85,26.99,15751300,26.86
2013-12-10,27.00,27.27,26.80,27.04,14763100,26.91
2013-12-09,27.61,27.68,27.20,27.25,15482100,27.12
2013-12-06,27.61,28.11,27.59,27.70,17175400,27.42
2013-12-05,28.15,28.18,27.03,27.25,22038900,26.98
2013-12-04,28.05,28.70,27.99,28.13,34062500,27.85
2013-12-03,27.23,27.77,27.18,27.50,17916300,27.23
2013-12-02,27.24,27.50,27.15,27.32,14408500,27.05
2013-11-29,27.04,27.54,27.01,27.35,11988000,27.08
2013-11-27,26.82,27.68,25.09,27.36,52192400,27.09
2013-11-26,25.21,25.45,25.09,25.09,25622100,24.84
2013-11-25,25.33,25.49,25.16,25.32,13955600,25.07
2013-11-22,25.00,25.34,24.86,25.26,10744300,25.01
2013-11-21,25.20,25.24,24.97,25.03,11265800,24.78
2013-11-20,24.97,25.26,24.77,24.94,17707900,24.69
2013-11-19,25.23,25.38,24.89,24.99,13023300,24.74
2013-11-18,25.32,25.38,24.96,25.00,11593000,24.75
2013-11-15,25.15,25.31,24.88,25.21,19314800,24.96
2013-11-14,25.75,25.94,24.84,25.07,26392100,24.82
2013-11-13,26.14,26.51,26.05,26.49,9289300,26.23
2013-11-12,26.19,26.59,26.16,26.22,9934200,25.96
2013-11-11,25.90,26.59,25.76,26.35,12233400,26.09
2013-11-08,25.58,25.95,25.50,25.94,15117900,25.68
2013-11-07,25.66,26.28,25.63,25.69,14833500,25.43
2013-11-06,25.57,25.74,25.43,25.61,12642400,25.35
2013-11-05,25.71,25.71,25.15,25.47,13095300,25.22
2013-11-04,25.94,25.94,25.49,25.77,15111900,25.51
2013-11-01,24.50,26.15,24.50,25.92,34178400,25.66
2013-10-31,24.13,24.57,24.09,24.37,13802800,24.13
2013-10-30,23.86,24.30,23.86,24.20,11615700,23.96
2013-10-29,23.96,24.10,23.64,23.84,11287000,23.60
2013-10-28,23.99,24.09,23.72,23.86,12371400,23.62
2013-10-25,24.08,24.10,23.80,24.00,8360500,23.76
2013-10-24,23.78,24.04,23.75,23.88,9049000,23.64
2013-10-23,23.84,23.97,23.63,23.76,9147000,23.52
2013-10-22,23.58,24.39,23.49,24.05,16356400,23.81
2013-10-21,23.52,23.78,23.45,23.55,9412700,23.31
2013-10-18,23.53,23.63,23.23,23.48,14360400,23.25
2013-10-17,23.13,23.43,22.97,23.39,9806800,23.16
2013-10-16,22.93,23.35,22.81,23.28,17397300,23.05
2013-10-15,22.86,22.96,22.61,22.79,13452500,22.56
2013-10-14,22.62,22.99,22.40,22.90,11011000,22.67
2013-10-11,22.39,23.00,22.25,22.80,18149900,22.57
2013-10-10,23.02,23.51,22.06,22.32,33998100,22.10
2013-10-09,20.77,22.76,20.35,22.60,55970400,22.37
2013-10-08,20.89,20.94,20.25,20.75,17752400,20.54
2013-10-07,21.00,21.19,20.83,20.93,13986600,20.72
2013-10-04,20.94,21.31,20.88,21.26,10113700,21.05
2013-10-03,21.39,21.42,20.80,20.92,12740700,20.71
2013-10-02,21.30,21.62,21.20,21.40,16227800,21.19
2013-10-01,20.95,21.32,20.95,21.31,10257500,21.10
2013-09-30,20.94,21.08,20.82,20.99,13650500,20.78
2013-09-27,21.22,21.45,21.08,21.17,10044100,20.96
2013-09-26,21.27,21.59,21.24,21.30,10444500,21.09
2013-09-25,21.27,21.42,21.02,21.40,17279700,21.19
2013-09-24,21.24,21.47,21.02,21.24,13049300,21.03
2013-09-23,21.21,21.38,20.96,21.20,14024300,20.99
2013-09-20,21.42,21.59,21.22,21.22,28151400,21.01
2013-09-19,21.91,21.97,21.27,21.31,17026400,21.10
2013-09-18,21.52,21.94,21.52,21.80,13116200,21.58
2013-09-17,21.83,22.00,21.44,21.67,15380500,21.45
2013-09-16,22.29,22.34,21.69,21.74,14837300,21.52
2013-09-13,21.96,22.13,21.70,22.07,12872600,21.85
2013-09-12,22.21,22.30,21.81,21.96,19889200,21.74
2013-09-11,22.31,22.37,22.18,22.27,11297800,22.05
2013-09-10,22.07,22.42,21.91,22.27,17345600,22.05
