Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,45.27,45.45,44.97,45.17,524300,44.98
2013-12-30,44.87,45.15,44.82,45.13,333000,44.94
2013-12-27,44.87,44.96,44.65,44.82,253800,44.63
2013-12-26,44.88,44.93,44.62,44.83,348400,44.64
2013-12-24,44.76,44.97,44.66,44.86,172200,44.67
2013-12-23,44.99,45.09,44.57,44.80,421500,44.61
2013-12-20,44.96,45.14,44.69,44.73,1218900,44.54
2013-12-19,44.87,45.01,44.54,44.98,654300,44.79
2013-12-18,44.20,44.89,43.75,44.85,714600,44.66
2013-12-17,44.36,44.36,44.04,44.16,518600,43.97
2013-12-16,44.31,44.57,44.16,44.28,508500,44.09
2013-12-13,44.65,44.65,44.08,44.18,410700,43.99
2013-12-12,45.01,45.13,44.44,44.60,499800,44.41
2013-12-11,45.34,45.38,44.91,44.99,826800,44.80
2013-12-10,45.90,45.92,45.07,45.23,587400,45.04
2013-12-09,45.95,46.18,45.83,46.00,580500,45.80
2013-12-06,45.58,45.94,45.43,45.81,736600,45.61
2013-12-05,45.81,45.82,44.99,45.08,905800,44.89
2013-12-04,45.73,46.16,45.46,45.89,700100,45.69
2013-12-03,45.81,46.07,45.62,45.98,1003900,45.78
2013-12-02,45.02,46.12,44.98,45.80,1276500,45.60
2013-11-29,45.13,45.21,44.93,45.02,591100,44.83
2013-11-27,44.99,45.17,44.77,45.03,1191500,44.84
2013-11-26,44.02,45.53,44.01,44.95,2277300,44.76
2013-11-25,43.02,43.17,42.33,42.44,1180100,42.26
2013-11-22,42.78,43.45,42.72,42.90,1019700,42.72
2013-11-21,42.43,42.86,42.19,42.81,967900,42.63
2013-11-20,43.33,43.41,41.93,42.23,1303800,42.05
2013-11-19,43.60,43.60,43.34,43.40,708700,43.21
2013-11-18,44.06,44.16,43.59,43.76,666800,43.57
2013-11-15,43.97,44.00,43.39,43.91,471300,43.72
2013-11-14,43.42,43.79,43.31,43.76,463000,43.57
2013-11-13,42.70,43.44,42.70,43.43,484900,43.24
2013-11-12,42.74,42.95,42.51,42.95,699500,42.77
2013-11-11,43.28,43.38,42.74,42.93,614900,42.75
2013-11-08,42.87,43.29,42.63,43.20,702100,43.01
2013-11-07,43.99,43.99,42.92,42.95,539700,42.77
2013-11-06,43.58,43.92,43.42,43.87,385800,43.68
2013-11-05,43.14,43.59,43.03,43.52,656300,43.33
2013-11-04,43.57,43.66,43.10,43.18,655600,42.99
2013-11-01,43.40,43.64,43.18,43.35,568100,43.16
2013-10-31,43.62,43.62,43.15,43.46,518100,43.27
2013-10-30,44.11,44.22,43.64,43.69,308000,43.50
2013-10-29,43.59,44.13,43.35,44.11,645600,43.92
2013-10-28,43.62,44.00,43.39,43.55,1207500,43.36
2013-10-25,43.77,43.80,43.47,43.62,636800,43.43
2013-10-24,43.82,43.89,43.53,43.76,469900,43.57
2013-10-23,43.12,43.98,43.12,43.72,432700,43.53
2013-10-22,43.04,43.57,42.86,43.48,482100,43.29
2013-10-21,42.73,42.89,42.41,42.89,491200,42.71
2013-10-18,43.46,43.54,42.97,43.06,964400,42.88
2013-10-17,43.03,43.39,42.96,43.38,456000,43.19
2013-10-16,43.01,43.52,42.98,43.24,636400,42.89
2013-10-15,42.79,43.06,42.61,42.61,480900,42.26
2013-10-14,42.88,43.04,42.61,42.97,370700,42.62
2013-10-11,42.71,43.23,42.53,43.10,507000,42.75
2013-10-10,42.11,42.86,42.09,42.86,513600,42.51
2013-10-09,41.66,41.96,41.40,41.80,715100,41.46
2013-10-08,41.78,42.09,41.56,41.57,557700,41.23
2013-10-07,41.76,42.08,41.61,41.78,402500,41.44
2013-10-04,41.65,42.16,41.57,42.03,307300,41.69
2013-10-03,42.10,42.10,41.42,41.74,491400,41.40
2013-10-02,42.40,42.40,41.67,42.21,578900,41.86
2013-10-01,42.00,42.45,41.97,42.41,464500,42.06
2013-09-30,42.03,42.22,41.80,42.12,435200,41.77
2013-09-27,42.40,42.52,42.12,42.29,605900,41.94
2013-09-26,42.70,42.98,42.47,42.68,554700,42.33
2013-09-25,43.15,43.30,42.64,42.64,705400,42.29
2013-09-24,43.27,43.54,43.03,43.14,789400,42.79
2013-09-23,43.81,43.95,43.31,43.46,371300,43.10
2013-09-20,43.97,44.17,43.77,43.80,700200,43.44
2013-09-19,44.22,44.22,43.70,43.95,415900,43.59
2013-09-18,43.18,44.13,43.06,44.12,622000,43.76
2013-09-17,43.11,43.33,43.02,43.24,236100,42.89
2013-09-16,43.09,43.32,43.00,43.11,475600,42.76
2013-09-13,42.69,42.89,42.64,42.77,361300,42.42
2013-09-12,42.78,42.93,42.59,42.70,424300,42.35
2013-09-11,42.46,42.83,42.42,42.79,548500,42.44
2013-09-10,42.34,42.54,42.00,42.44,744400,42.09
