Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,70.00,70.45,69.53,69.81,322300,69.42
2013-12-30,70.21,70.53,69.50,69.79,353900,69.40
2013-12-27,70.73,70.73,69.81,70.16,304400,69.77
2013-12-26,68.92,69.82,68.82,69.67,422900,69.28
2013-12-24,69.22,69.47,68.77,68.97,264100,68.58
2013-12-23,69.14,69.46,68.74,69.07,641300,68.68
2013-12-20,67.90,68.81,67.69,68.74,1042000,68.35
2013-12-19,67.36,68.34,67.16,67.96,716500,67.58
2013-12-18,66.61,67.58,65.95,67.52,766900,67.14
2013-12-17,66.31,66.75,66.08,66.51,631300,66.14
2013-12-16,65.68,66.52,65.44,66.40,448600,66.03
2013-12-13,65.59,65.77,65.30,65.55,390100,65.18
2013-12-12,65.46,65.96,65.17,65.32,436300,64.95
2013-12-11,65.63,66.30,65.33,65.52,894600,65.15
2013-12-10,66.28,66.41,65.27,65.61,577400,65.24
2013-12-09,66.37,67.38,65.94,66.63,1135600,66.26
2013-12-06,65.02,66.88,65.02,66.42,945200,66.05
2013-12-05,64.56,64.86,64.12,64.81,612100,64.45
2013-12-04,64.07,64.98,63.87,64.72,669600,64.36
2013-12-03,64.05,64.64,63.65,64.21,573100,63.85
2013-12-02,64.62,64.73,63.93,64.04,550000,63.68
2013-11-29,64.75,64.96,64.38,64.51,204100,64.15
2013-11-27,64.80,64.95,64.10,64.81,372600,64.45
2013-11-26,64.38,64.85,64.26,64.51,460600,64.15
2013-11-25,65.29,65.33,64.24,64.44,500300,64.08
2013-11-22,64.65,65.87,64.37,65.49,828200,65.12
2013-11-21,64.01,64.87,63.75,64.76,685100,64.40
2013-11-20,63.70,64.08,63.48,63.59,325600,63.23
2013-11-19,63.77,63.94,63.40,63.63,527400,63.27
2013-11-18,64.63,65.00,64.06,64.19,491300,63.41
2013-11-15,64.15,64.80,64.02,64.42,729100,63.64
2013-11-14,63.84,64.41,63.56,64.35,451900,63.57
2013-11-13,63.06,63.86,62.92,63.86,431600,63.09
2013-11-12,63.51,63.51,63.01,63.34,583000,62.57
2013-11-11,63.61,63.61,62.92,63.56,457600,62.79
2013-11-08,62.49,63.66,62.48,63.62,750600,62.85
2013-11-07,62.93,63.00,62.32,62.45,734600,61.69
2013-11-06,62.32,63.21,62.26,62.74,815800,61.98
2013-11-05,61.90,62.27,61.41,62.17,840800,61.42
2013-11-04,61.91,62.14,61.59,62.11,528500,61.36
