Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,97.66,97.85,96.85,97.23,381700,96.79
2013-12-30,96.38,97.70,96.30,97.56,513900,97.12
2013-12-27,96.50,96.97,96.19,96.28,314700,95.85
2013-12-26,96.19,96.46,95.88,96.46,260400,96.03
2013-12-24,95.55,96.22,95.39,95.95,174300,95.52
2013-12-23,96.59,96.82,95.05,95.56,564900,95.13
2013-12-20,96.38,96.82,95.92,96.30,675700,95.87
2013-12-19,95.82,96.39,95.03,96.26,693700,95.83
2013-12-18,94.14,95.80,93.50,95.80,868600,95.37
2013-12-17,94.97,95.26,93.15,94.11,751000,93.69
2013-12-16,95.25,95.89,94.50,94.81,560400,94.38
2013-12-13,95.20,95.66,94.65,94.84,655400,94.41
2013-12-12,95.43,95.85,94.83,94.96,525300,94.53
2013-12-11,95.81,96.36,95.38,95.77,959700,95.34
2013-12-10,96.73,96.73,95.47,95.56,553200,95.13
2013-12-09,97.15,97.85,96.57,96.97,453100,96.53
2013-12-06,96.60,97.27,96.42,97.16,816300,96.72
2013-12-05,96.56,96.74,95.69,95.79,706800,95.36
2013-12-04,96.58,96.89,95.89,96.74,475800,96.30
2013-12-03,96.29,97.29,96.29,97.05,636300,96.61
2013-12-02,96.74,97.06,96.08,96.49,524800,96.06
2013-11-29,97.67,98.16,96.57,96.89,323700,96.45
2013-11-27,97.00,97.85,96.56,97.72,686800,97.28
2013-11-26,96.34,97.27,95.86,96.92,967300,96.48
2013-11-25,96.50,96.92,95.91,95.99,395700,95.56
2013-11-22,95.91,96.30,95.05,96.29,771100,95.86
2013-11-21,94.55,96.10,94.51,95.76,668700,95.33
2013-11-20,96.38,96.75,94.91,94.97,1342900,94.06
2013-11-19,97.16,97.18,96.40,96.43,866700,95.51
2013-11-18,98.63,98.85,97.15,97.50,620900,96.57
2013-11-15,98.82,98.96,97.71,98.56,553600,97.62
2013-11-14,97.90,98.68,97.53,98.65,448300,97.70
2013-11-13,96.22,97.83,96.13,97.82,590500,96.88
2013-11-12,96.35,96.94,96.04,96.88,521300,95.95
2013-11-11,97.55,97.82,96.63,96.81,466000,95.88
2013-11-08,96.67,97.58,96.23,97.55,604700,96.61
2013-11-07,99.32,99.52,96.59,96.70,1056500,95.77
2013-11-06,99.65,99.99,99.20,99.43,582100,98.48
2013-11-05,98.75,99.97,98.52,99.51,721400,98.56
2013-11-04,99.37,99.88,98.41,98.85,529800,97.90
2013-11-01,99.35,99.99,98.63,99.21,573100,98.26
2013-10-31,100.00,100.24,98.93,99.24,569400,98.29
2013-10-30,101.06,101.37,99.69,99.94,660500,98.98
2013-10-29,100.09,101.00,99.77,100.90,695000,99.93
2013-10-28,97.00,100.26,96.87,100.14,1577300,99.18
2013-10-25,96.72,97.21,96.02,97.11,544200,96.18
2013-10-24,96.50,96.64,94.58,96.41,1107400,95.49
2013-10-23,96.85,97.55,96.44,96.85,771100,95.92
2013-10-22,95.59,97.43,95.51,97.02,825500,96.09
2013-10-21,96.10,96.32,94.83,95.51,731300,94.59
2013-10-18,95.10,96.07,94.14,96.03,998500,95.11
2013-10-17,94.56,95.53,94.42,95.23,604400,94.32
2013-10-16,93.57,94.77,93.47,94.77,787200,93.86
2013-10-15,93.25,93.75,92.91,93.23,570100,92.34
2013-10-14,93.48,93.66,92.84,93.52,374400,92.62
2013-10-11,93.46,93.96,93.13,93.95,359800,93.05
2013-10-10,92.30,93.77,92.23,93.76,717000,92.86
2013-10-09,92.09,92.39,91.31,91.65,476900,90.77
2013-10-08,91.58,93.27,91.31,92.02,846600,91.14
2013-10-07,91.49,91.96,91.12,91.57,497000,90.69
2013-10-04,90.90,91.91,90.55,91.77,602700,90.89
2013-10-03,91.69,91.94,90.70,91.04,573400,90.17
2013-10-02,92.59,92.59,91.04,92.02,634300,91.14
2013-10-01,92.27,92.70,91.85,92.58,438900,91.69
2013-09-30,92.60,92.80,92.05,92.50,582000,91.61
2013-09-27,92.67,93.12,92.27,93.00,527200,92.11
2013-09-26,92.41,93.13,92.23,93.11,632500,92.22
2013-09-25,93.00,93.09,92.12,92.18,645100,91.30
