Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,17.89,18.16,17.79,18.16,3145500,18.03
2013-12-30,17.68,17.99,17.56,17.90,2505300,17.77
2013-12-27,17.81,17.83,17.52,17.66,1692400,17.53
2013-12-26,17.78,17.81,17.57,17.67,1990900,17.54
2013-12-24,17.71,17.85,17.61,17.81,1989600,17.68
2013-12-23,17.56,17.75,17.28,17.69,3102200,17.56
2013-12-20,17.25,17.60,17.22,17.44,4221800,17.31
2013-12-19,17.49,17.86,17.14,17.25,4819900,17.12
2013-12-18,16.90,17.42,16.84,17.37,5167100,17.24
2013-12-17,17.11,17.24,16.87,17.01,4626100,16.78
2013-12-16,17.58,17.77,17.06,17.14,5441600,16.91
2013-12-13,17.35,17.60,17.32,17.42,4449100,17.18
2013-12-12,17.53,17.63,17.06,17.26,6287000,17.02
2013-12-11,17.75,18.02,17.55,17.60,3259600,17.36
2013-12-10,18.10,18.25,17.74,17.76,5504400,17.52
2013-12-09,18.00,18.59,17.98,18.11,7282200,17.86
2013-12-06,17.88,17.99,17.71,17.87,3125500,17.63
2013-12-05,17.68,18.00,17.56,17.71,4841500,17.47
2013-12-04,17.20,18.05,17.20,17.78,6824800,17.54
2013-12-03,17.20,17.35,17.00,17.28,5096700,17.04
2013-12-02,17.47,17.61,17.24,17.33,3330900,17.09
2013-11-29,17.40,17.64,17.27,17.49,2572600,17.25
2013-11-27,17.09,17.41,17.02,17.39,3201900,17.15
2013-11-26,17.24,17.50,17.01,17.10,4039800,16.87
2013-11-25,17.00,17.39,16.72,17.16,5110700,16.93
2013-11-22,17.09,17.18,16.86,16.96,3508100,16.73
2013-11-21,16.50,17.39,16.50,17.22,7472000,16.98
2013-11-20,16.69,16.93,16.39,16.43,7575500,16.21
2013-11-19,16.84,16.98,16.68,16.69,6928200,16.46
2013-11-18,17.69,17.75,16.82,16.84,10338300,16.61
2013-11-15,17.73,17.94,17.58,17.84,2870900,17.60
2013-11-14,18.03,18.09,17.58,17.78,2611700,17.54
2013-11-13,17.80,18.00,17.60,17.96,4149900,17.71
2013-11-12,17.86,18.02,17.69,17.95,3630800,17.70
2013-11-11,17.54,18.03,17.44,17.91,5356000,17.66
2013-11-08,17.17,17.47,16.78,17.47,10926000,17.23
