Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,48.99,49.41,48.83,49.03,1699800,48.68
2013-12-30,48.99,49.14,48.68,49.00,1361800,48.65
2013-12-27,49.46,49.46,48.90,49.04,1382000,48.69
2013-12-26,49.23,49.36,49.01,49.24,1448900,48.88
2013-12-24,48.85,49.40,48.76,49.12,1190400,48.77
2013-12-23,48.56,49.42,48.48,48.88,2698500,48.53
2013-12-20,49.05,49.20,48.30,48.35,5829900,48.00
2013-12-19,49.23,49.32,48.49,48.85,4452200,48.50
2013-12-18,48.69,49.52,48.26,49.49,6179500,49.13
2013-12-17,48.22,48.59,47.76,48.36,5333100,48.01
2013-12-16,48.08,48.75,47.47,48.38,7539200,48.03
2013-12-13,46.40,48.24,46.27,47.83,7677500,47.48
2013-12-12,46.10,46.45,45.81,46.18,2100000,45.85
2013-12-11,47.00,47.25,46.09,46.23,2722900,45.90
2013-12-10,46.76,47.17,46.55,46.87,3912700,46.53
2013-12-09,46.54,46.97,46.45,46.82,2639300,46.48
2013-12-06,46.45,46.54,46.13,46.44,4774200,46.10
2013-12-05,45.90,46.19,45.76,46.07,2870400,45.74
2013-12-04,46.14,46.38,45.38,46.01,3928500,45.68
2013-12-03,46.66,46.92,45.76,46.27,3682600,45.94
2013-12-02,46.63,47.33,46.60,46.79,3709300,46.45
2013-11-29,46.80,47.04,46.56,46.65,1326200,46.31
2013-11-27,47.19,47.27,46.51,46.73,2350900,46.39
2013-11-26,46.93,47.25,46.48,46.92,3193800,46.58
2013-11-25,46.89,47.22,46.45,46.90,4070000,46.56
2013-11-22,46.74,46.99,46.14,46.89,3715900,46.55
2013-11-21,45.28,47.00,45.28,46.71,6611400,46.37
2013-11-20,45.15,45.56,45.04,45.22,2821800,44.89
2013-11-19,45.31,45.69,45.13,45.20,4017900,44.87
2013-11-18,45.76,45.89,45.20,45.28,3088100,44.95
2013-11-15,45.39,45.74,45.13,45.53,3541400,45.20
2013-11-14,44.62,45.21,44.40,45.10,4367100,44.77
2013-11-13,43.89,44.60,43.79,44.55,3415700,44.23
2013-11-12,44.45,44.68,44.14,44.43,3320200,43.76
2013-11-11,44.16,44.85,44.13,44.51,4150000,43.84
2013-11-08,43.11,43.98,43.05,43.96,3547800,43.30
2013-11-07,43.65,43.82,43.07,43.10,3848900,42.45
2013-11-06,43.76,43.88,43.30,43.43,4001100,42.78
2013-11-05,44.94,44.98,43.55,43.57,7088100,42.91
2013-11-04,45.08,45.36,44.80,45.34,3151400,44.66
2013-11-01,44.81,45.03,44.62,44.96,2755600,44.28
2013-10-31,44.48,44.99,44.39,44.61,3628200,43.94
2013-10-30,44.54,44.74,44.22,44.46,4250800,43.79
2013-10-29,45.10,45.37,44.30,44.50,3447900,43.83
2013-10-28,45.50,45.53,44.96,45.06,3312800,44.38
2013-10-25,45.41,45.60,45.07,45.57,4049400,44.88
2013-10-24,44.77,45.97,44.45,44.98,5912200,44.30
2013-10-23,44.42,44.75,43.86,44.39,3211800,43.72
2013-10-22,44.73,44.75,44.24,44.54,4032900,43.87
2013-10-21,45.35,45.35,44.28,44.46,4472300,43.79
2013-10-18,45.55,45.73,45.00,45.47,2632000,44.79
2013-10-17,44.85,45.46,44.85,45.28,3854500,44.60
2013-10-16,44.79,45.10,44.50,44.97,2890500,44.29
2013-10-15,45.41,45.77,44.46,44.58,4863600,43.91
2013-10-14,44.45,45.62,44.40,45.34,5045300,44.66
2013-10-11,44.21,45.09,43.90,44.89,4755600,44.21
2013-10-10,43.93,44.35,43.45,44.28,4822200,43.61
2013-10-09,43.21,43.49,42.92,43.17,3245000,42.52
2013-10-08,43.73,43.80,43.12,43.16,6118800,42.51
2013-10-07,43.35,43.95,43.05,43.69,5327600,43.03
2013-10-04,44.02,44.02,43.25,43.70,5726500,43.04
2013-10-03,44.64,44.64,43.67,43.86,6014200,43.20
2013-10-02,44.82,45.13,44.32,44.60,5258800,43.93
2013-10-01,44.78,45.53,44.62,45.28,4032300,44.60
2013-09-30,44.41,45.10,43.95,44.80,7045600,44.13
2013-09-27,46.06,46.06,45.22,45.44,7278900,44.76
2013-09-26,46.71,47.58,46.71,47.29,2140800,46.58
2013-09-25,47.08,47.18,46.64,46.70,2893200,46.00
2013-09-24,46.92,47.61,46.86,47.04,2963300,46.33
2013-09-23,47.73,47.73,46.91,47.09,3293900,46.38
2013-09-20,48.06,48.25,47.64,47.79,3418200,47.07
