Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,382.20,384.39,378.09,384.08,353600,384.08
2013-12-30,379.94,383.55,377.93,383.07,326500,383.07
2013-12-27,374.26,383.54,373.47,379.99,420600,379.99
2013-12-26,372.35,375.75,370.00,374.78,397200,374.78
2013-12-24,371.22,374.50,369.14,370.96,185600,370.96
2013-12-23,365.01,373.09,363.62,371.21,478100,371.21
2013-12-20,359.17,364.97,357.00,364.35,1054700,364.35
2013-12-19,359.41,361.54,355.25,359.10,409900,359.10
2013-12-18,356.52,362.81,354.50,361.24,552600,361.24
2013-12-17,360.86,364.00,351.14,355.93,750700,355.93
2013-12-16,363.97,369.65,362.00,362.28,511300,362.28
2013-12-13,366.77,371.03,362.54,362.94,423600,362.94
2013-12-12,365.44,370.86,365.03,368.30,483200,368.30
2013-12-11,378.62,378.62,364.72,366.62,567900,366.62
2013-12-10,376.59,381.52,375.10,379.52,319400,379.52
2013-12-09,376.39,377.59,372.50,376.59,360300,376.59
2013-12-06,380.74,381.60,373.69,377.38,511200,377.38
2013-12-05,370.88,371.95,365.35,367.84,269800,367.84
2013-12-04,367.49,372.48,362.22,370.68,776100,370.68
2013-12-03,373.98,375.51,372.12,372.81,273300,372.81
2013-12-02,378.22,378.50,374.38,375.48,195300,375.48
2013-11-29,378.42,378.99,374.28,376.90,138600,376.90
2013-11-27,376.45,378.60,374.10,378.01,217400,378.01
2013-11-26,381.54,383.78,373.34,374.51,474400,374.51
2013-11-25,388.93,390.34,383.11,384.50,197100,384.50
2013-11-22,389.10,391.83,387.02,389.71,141800,389.71
2013-11-21,394.27,395.11,388.22,390.52,214000,390.52
2013-11-20,395.66,397.97,393.07,394.51,139300,394.51
2013-11-19,393.35,398.35,391.25,394.58,142900,394.58
2013-11-18,394.49,398.79,389.88,392.97,296000,392.97
2013-11-15,393.50,396.81,387.67,394.44,351500,394.44
2013-11-14,397.03,398.00,395.14,397.27,141600,397.27
2013-11-13,396.00,397.73,391.71,396.25,247100,396.25
2013-11-12,392.07,398.55,391.50,396.04,455500,396.04
2013-11-11,390.83,398.00,387.61,395.38,545800,395.38
2013-11-08,378.64,390.66,377.10,389.83,398400,389.83
2013-11-07,379.85,380.16,375.83,379.58,310000,379.58
2013-11-06,376.01,378.27,374.14,377.17,194300,377.17
2013-11-05,380.42,381.89,374.73,374.88,408000,374.88
2013-11-04,372.84,384.68,372.25,382.23,546500,382.23
2013-11-01,373.85,374.11,368.75,372.03,432100,372.03
2013-10-31,375.00,378.38,370.24,371.50,495300,371.50
2013-10-30,379.00,379.00,373.60,374.71,350700,374.71
2013-10-29,374.88,381.21,372.61,377.67,664800,377.67
2013-10-28,370.00,377.63,367.71,375.60,535300,375.60
2013-10-25,369.89,371.21,365.08,369.13,389200,369.13
2013-10-24,377.26,378.77,366.00,370.29,324800,370.29
2013-10-23,366.79,376.88,365.57,374.98,495900,374.98
2013-10-22,371.41,373.88,367.46,368.30,560700,368.30
2013-10-21,376.57,376.57,366.00,372.02,877200,372.02
2013-10-18,370.22,385.50,369.99,376.52,2123400,376.52
2013-10-17,401.00,408.89,395.24,399.13,1032900,399.13
2013-10-16,393.05,403.46,392.86,401.33,420200,401.33
2013-10-15,401.16,403.77,389.68,390.21,418700,390.21
2013-10-14,388.14,405.45,385.21,401.68,485200,401.68
2013-10-11,385.21,392.19,383.77,390.18,192500,390.18
2013-10-10,392.38,392.43,384.41,387.21,399000,387.21
2013-10-09,383.45,391.63,382.90,389.16,751200,389.16
2013-10-08,381.29,401.30,380.96,381.23,1284300,381.23
2013-10-07,362.76,382.31,362.29,380.99,769500,380.99
2013-10-04,360.92,365.87,360.28,364.28,368100,364.28
2013-10-03,370.32,370.45,358.02,360.94,829100,360.94
2013-10-02,371.59,375.45,368.61,369.60,303600,369.60
