Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,61.88,63.06,61.74,62.99,643800,62.99
2013-12-30,61.80,62.01,61.55,61.68,486800,61.68
2013-12-27,61.86,62.06,61.48,61.73,316100,61.73
2013-12-26,61.63,61.94,61.62,61.83,326100,61.83
2013-12-24,61.25,61.58,61.10,61.47,194600,61.47
2013-12-23,61.33,61.68,60.72,61.12,523300,61.12
2013-12-20,60.72,61.41,60.65,61.20,1608200,61.20
2013-12-19,59.88,60.70,59.68,60.57,1465700,60.57
2013-12-18,58.30,60.30,57.96,60.21,1642000,60.21
2013-12-17,57.36,58.49,56.96,58.22,1137800,58.22
2013-12-16,57.05,57.46,56.89,57.33,499800,57.33
2013-12-13,56.76,57.09,56.43,56.76,575500,56.76
2013-12-12,57.48,57.72,56.48,56.49,888700,56.49
2013-12-11,58.58,58.63,57.59,57.64,785300,57.64
2013-12-10,58.33,58.72,58.14,58.59,549200,58.59
2013-12-09,58.51,58.80,58.18,58.38,801900,58.38
2013-12-06,58.61,59.57,58.08,58.48,588200,58.48
2013-12-05,57.90,58.35,57.42,57.54,1093700,57.54
2013-12-04,58.36,58.94,57.51,58.06,577300,58.06
2013-12-03,59.23,59.29,58.39,58.59,801900,58.59
2013-12-02,59.70,60.00,59.01,59.47,723300,59.47
2013-11-29,60.00,60.28,59.70,59.77,384700,59.77
2013-11-27,60.32,60.64,59.71,59.84,1050800,59.84
2013-11-26,59.31,60.39,59.31,60.13,836700,60.13
2013-11-25,60.13,60.26,58.86,59.31,1404500,59.31
2013-11-22,60.19,60.38,59.90,60.09,851600,60.09
2013-11-21,60.39,60.69,59.80,60.07,879200,60.07
2013-11-20,60.30,60.71,59.84,60.15,1846300,60.15
2013-11-19,61.50,61.76,59.21,60.03,2871300,60.03
2013-11-18,63.92,64.27,63.58,63.75,1094000,63.75
2013-11-15,63.45,64.13,63.25,63.76,861700,63.76
2013-11-14,63.37,63.75,62.68,63.45,601200,63.45
2013-11-13,61.89,63.30,61.84,63.29,779900,63.29
2013-11-12,62.00,62.16,61.46,62.10,531800,62.10
2013-11-11,61.99,62.16,61.75,62.05,348200,62.05
2013-11-08,61.03,62.02,60.87,61.99,455800,61.99
2013-11-07,62.19,62.26,61.13,61.20,604200,61.20
2013-11-06,61.79,62.02,61.23,62.00,517400,62.00
