Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,58.00,58.60,58.00,58.49,1120200,58.31
2013-12-30,57.58,58.49,57.54,57.99,1275800,57.81
2013-12-27,56.99,58.03,56.69,57.86,1721300,57.68
2013-12-26,56.47,57.05,56.42,56.74,983100,56.56
2013-12-24,55.75,56.44,55.48,56.36,599800,56.18
2013-12-23,54.77,55.78,54.74,55.58,1177300,55.41
2013-12-20,54.21,54.60,54.15,54.45,1874100,54.28
2013-12-19,54.32,54.42,53.48,54.08,1210700,53.91
2013-12-18,53.47,54.27,52.83,54.01,1865900,53.84
2013-12-17,53.93,54.04,52.98,53.52,1717500,53.35
2013-12-16,53.65,54.47,53.28,54.08,1422400,53.91
2013-12-13,53.50,53.97,53.16,53.53,1403800,53.36
2013-12-12,52.61,53.69,52.39,53.52,2714900,53.35
2013-12-11,54.50,55.22,52.45,53.15,7675100,52.98
2013-12-10,55.95,56.98,55.85,56.24,1787400,56.06
2013-12-09,55.93,56.48,55.69,55.93,1518300,55.76
2013-12-06,56.23,56.45,55.80,55.98,885400,55.81
2013-12-05,56.06,57.30,55.31,55.53,2206700,55.36
2013-12-04,55.51,56.92,55.33,56.08,1959900,55.90
2013-12-03,54.86,55.56,54.74,55.55,1034600,55.38
2013-12-02,56.22,56.27,55.26,55.41,1366800,55.24
2013-11-29,55.90,57.05,55.72,56.56,879400,56.21
2013-11-27,55.53,55.96,55.30,55.71,639000,55.36
2013-11-26,55.43,55.55,54.96,55.27,628900,54.93
2013-11-25,55.41,56.08,55.31,55.48,732200,55.14
2013-11-22,54.94,55.18,54.56,55.12,881400,54.78
2013-11-21,55.50,55.62,54.64,54.80,1144100,54.46
2013-11-20,55.49,55.79,54.49,55.28,1325300,54.94
2013-11-19,56.39,56.49,55.05,55.29,1277400,54.95
2013-11-18,56.94,56.97,56.11,56.35,1064600,56.00
2013-11-15,56.75,56.98,55.83,56.79,1769100,56.44
2013-11-14,56.98,56.99,56.14,56.72,957300,56.37
2013-11-13,55.81,56.98,55.78,56.92,1099900,56.57
2013-11-12,56.34,56.82,55.91,56.33,1202100,55.98
2013-11-11,57.17,57.40,56.03,56.28,1645900,55.93
2013-11-08,57.98,58.19,57.20,57.60,1128500,57.24
2013-11-07,57.55,59.35,57.49,58.00,2992900,57.64
2013-11-06,57.81,57.94,57.17,57.50,1130600,57.14
2013-11-05,57.65,57.80,56.96,57.44,841200,57.08
2013-11-04,57.06,58.12,57.05,57.77,1075700,57.41
2013-11-01,56.63,56.76,55.90,56.65,1357600,56.30
2013-10-31,56.86,57.44,56.75,56.75,1490400,56.40
2013-10-30,57.70,57.80,56.88,57.20,1880000,56.84
2013-10-29,58.42,58.50,56.87,57.78,2551600,57.42
2013-10-28,57.90,58.74,57.81,58.70,3112400,58.34
2013-10-25,57.13,58.96,56.81,58.09,3486800,57.73
2013-10-24,54.54,57.35,54.54,57.12,4591000,56.77
2013-10-23,52.98,54.77,52.82,54.60,2628400,54.26
2013-10-22,54.13,54.69,53.74,54.49,1707400,54.15
2013-10-21,54.38,54.40,53.56,53.88,1131700,53.55
2013-10-18,52.82,54.45,52.60,54.20,2321600,53.86
2013-10-17,51.67,52.72,51.52,52.69,1746200,52.36
2013-10-16,52.01,52.19,51.51,51.86,1087400,51.54
2013-10-15,51.78,52.48,51.29,51.50,1418900,51.18
2013-10-14,50.99,52.12,50.67,52.03,1010300,51.71
2013-10-11,51.34,51.70,51.04,51.29,964700,50.97
2013-10-10,51.63,51.90,51.19,51.41,1144500,51.09
2013-10-09,50.28,51.41,50.07,51.03,1302200,50.71
2013-10-08,51.50,51.50,50.12,50.24,1692400,49.93
2013-10-07,51.20,51.78,51.13,51.22,1139300,50.90
2013-10-04,51.13,52.26,51.13,51.93,967000,51.61
2013-10-03,51.98,52.05,50.96,51.24,1368700,50.92
2013-10-02,51.30,52.01,51.07,51.94,1514200,51.62
2013-10-01,51.34,52.09,50.79,51.61,1753700,51.29
2013-09-30,50.65,51.47,50.47,51.04,1724100,50.72
2013-09-27,51.48,51.74,50.97,51.21,1802500,50.89
2013-09-26,52.37,52.50,51.40,51.75,1961900,51.43
2013-09-25,53.53,53.76,52.22,52.24,2186900,51.92
2013-09-24,52.76,53.89,52.76,53.48,1411600,53.15
2013-09-23,52.90,53.19,52.36,52.89,1102000,52.56
