Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,61.28,61.58,60.92,61.07,1526300,60.61
2013-12-30,60.97,61.39,60.96,61.26,1593100,60.80
2013-12-27,60.72,61.18,60.69,60.98,1026400,60.52
2013-12-26,60.43,60.83,60.28,60.72,944300,60.26
2013-12-24,60.43,60.52,60.20,60.25,771500,59.79
2013-12-23,60.18,60.47,59.87,60.34,1766500,59.88
2013-12-20,60.59,61.13,60.43,60.52,1848800,60.06
2013-12-19,60.44,60.69,60.04,60.60,1412700,60.14
2013-12-18,59.92,60.57,59.58,60.53,2530300,60.07
2013-12-17,60.50,60.53,59.90,60.34,1328300,59.88
2013-12-16,60.83,60.95,60.26,60.43,1426100,59.97
2013-12-13,60.85,60.87,60.26,60.50,1308000,60.04
2013-12-12,61.12,61.20,60.59,60.64,1620400,60.18
2013-12-11,61.25,61.52,60.97,61.04,2012100,60.58
2013-12-10,61.76,61.88,60.97,61.09,1398500,60.63
2013-12-09,61.71,62.31,61.71,61.94,1722800,61.47
2013-12-06,60.99,61.71,60.98,61.64,1530400,61.17
2013-12-05,60.81,60.89,60.50,60.58,1161600,60.12
2013-12-04,60.91,61.16,60.63,60.90,1596000,60.44
2013-12-03,60.42,61.26,60.42,61.13,2826700,60.67
2013-12-02,60.64,60.88,60.23,60.59,1912000,60.13
2013-11-29,60.93,61.00,60.59,60.64,1071000,60.18
2013-11-27,61.34,61.52,60.86,60.88,1632700,60.42
2013-11-26,62.01,62.17,61.38,61.73,2366700,60.81
2013-11-25,62.71,62.75,62.01,62.13,1173400,61.20
2013-11-22,61.83,62.51,61.55,62.47,5072500,61.53
2013-11-21,61.45,61.99,61.28,61.74,4853800,60.82
2013-11-20,61.64,61.95,61.03,61.14,1792300,60.22
2013-11-19,62.14,62.25,61.67,61.71,1850500,60.79
2013-11-18,62.86,62.86,62.00,62.37,1233200,61.44
2013-11-15,63.00,63.10,62.33,62.61,1665500,61.67
2013-11-14,62.73,63.32,62.54,63.30,1659700,62.35
2013-11-13,61.64,62.48,61.46,62.47,1558900,61.53
2013-11-12,61.93,62.05,61.58,62.05,1175400,61.12
2013-11-11,62.35,62.56,61.70,61.94,900300,61.01
2013-11-08,61.92,62.19,61.27,62.19,1460600,61.26
2013-11-07,63.35,63.50,62.04,62.08,1495400,61.15
2013-11-06,63.16,63.58,62.95,63.35,1683700,62.40
2013-11-05,62.17,63.28,61.82,63.09,2350000,62.15
