Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,19.94,20.01,19.71,19.75,2668500,19.55
2013-12-30,19.92,20.06,19.92,19.93,1605500,19.73
2013-12-27,20.24,20.28,20.03,20.13,1411700,19.70
2013-12-26,20.66,20.74,20.11,20.26,1642000,19.83
2013-12-24,20.16,20.26,20.04,20.11,958700,19.68
2013-12-23,20.33,20.37,20.06,20.12,2452700,19.69
2013-12-20,20.17,20.32,20.05,20.21,4768700,19.78
2013-12-19,20.44,20.44,20.09,20.22,2925200,19.79
2013-12-18,20.17,20.50,19.73,20.47,4232300,20.03
2013-12-17,19.92,20.27,19.83,20.10,4762100,19.67
2013-12-16,19.97,20.12,19.81,19.91,3230100,19.49
2013-12-13,20.29,20.53,20.02,20.02,3202100,19.59
2013-12-12,20.19,20.40,20.06,20.20,3658300,19.77
2013-12-11,20.83,20.92,20.18,20.19,4346400,19.76
2013-12-10,21.09,21.21,20.85,20.86,2456900,20.41
2013-12-09,20.98,21.15,20.85,21.11,2127000,20.66
2013-12-06,20.88,21.03,20.77,20.98,3185700,20.53
2013-12-05,20.61,20.83,20.47,20.73,2348500,20.29
2013-12-04,20.49,20.80,20.40,20.70,2557900,20.26
2013-12-03,20.53,20.79,20.50,20.66,2773700,20.22
2013-12-02,20.58,20.75,20.27,20.66,5420600,20.22
2013-11-29,20.90,20.92,20.61,20.62,1386500,20.18
2013-11-27,21.00,21.06,20.86,20.88,2221700,20.43
2013-11-26,20.90,21.02,20.79,20.87,4387600,20.42
2013-11-25,20.98,21.00,20.79,20.84,2261500,20.40
2013-11-22,20.99,20.99,20.76,20.91,3186000,20.46
2013-11-21,20.90,21.02,20.82,20.96,3176200,20.51
2013-11-20,21.10,21.36,20.79,20.88,2363700,20.43
2013-11-19,21.12,21.21,20.91,21.11,2482500,20.66
2013-11-18,21.24,21.37,21.11,21.17,2654800,20.72
2013-11-15,21.04,21.18,20.97,21.18,5489300,20.73
2013-11-14,21.01,21.29,21.01,21.12,2652500,20.67
2013-11-13,20.80,20.93,20.71,20.92,2495100,20.47
2013-11-12,21.14,21.14,20.71,20.85,2807000,20.40
2013-11-11,20.97,21.14,20.93,21.04,2061900,20.59
2013-11-08,20.99,21.05,20.63,21.00,3428500,20.55
2013-11-07,21.46,21.46,21.05,21.12,3025500,20.67
2013-11-06,21.41,21.74,21.33,21.38,3474700,20.92
2013-11-05,21.52,21.59,21.29,21.36,5522900,20.90
2013-11-04,21.67,21.83,21.59,21.66,5195200,21.20
2013-11-01,21.53,21.70,21.32,21.56,4011700,21.10
2013-10-31,21.60,21.77,21.37,21.48,5679800,21.02
2013-10-30,21.50,21.75,21.26,21.65,8955400,21.19
2013-10-29,21.55,21.55,21.25,21.47,7680100,21.01
2013-10-28,21.59,21.63,21.34,21.60,4445200,21.14
2013-10-25,21.33,21.68,21.23,21.61,6388900,21.15
2013-10-24,21.06,21.27,21.03,21.22,4720100,20.77
2013-10-23,20.97,21.08,20.88,21.03,4003600,20.58
2013-10-22,20.81,21.10,20.75,21.03,2573700,20.58
2013-10-21,20.88,20.90,20.65,20.74,3177200,20.30
2013-10-18,21.03,21.06,20.75,20.86,3993400,20.41
2013-10-17,20.74,21.03,20.59,20.93,2838500,20.48
2013-10-16,20.40,20.79,20.36,20.78,2310200,20.34
2013-10-15,20.53,20.59,20.22,20.29,3372300,19.86
2013-10-14,20.24,20.54,20.23,20.52,4619400,20.08
2013-10-11,20.16,20.41,19.98,20.39,4310300,19.95
2013-10-10,19.76,20.19,19.65,20.19,3955600,19.76
2013-10-09,19.35,19.68,19.27,19.58,5441600,19.16
2013-10-08,19.60,19.67,19.22,19.25,4762800,18.84
2013-10-07,19.42,19.68,19.34,19.60,3695000,19.18
2013-10-04,19.71,19.78,19.52,19.58,2902900,19.16
2013-10-03,20.14,20.19,19.62,19.69,3434200,19.27
2013-10-02,20.50,20.79,20.07,20.18,3329100,19.75
2013-10-01,19.96,20.38,19.90,20.17,4220500,19.74
2013-09-30,20.26,20.42,20.12,20.18,4749200,19.54
2013-09-27,20.36,20.46,20.22,20.37,2190600,19.73
2013-09-26,20.21,20.45,20.19,20.42,2593000,19.78
2013-09-25,20.31,20.45,20.10,20.19,3840100,19.55
2013-09-24,20.51,20.56,20.22,20.26,3819300,19.62
2013-09-23,20.58,20.73,20.43,20.49,2977600,19.84
2013-09-20,21.16,21.16,20.62,20.63,4740700,19.98
2013-09-19,21.00,21.37,20.99,21.11,4444600,20.44
2013-09-18,20.69,20.95,20.32,20.94,8734600,20.28
2013-09-17,20.75,20.89,20.64,20.64,1840700,19.99
2013-09-16,20.73,20.83,20.60,20.71,2466400,20.06
2013-09-13,20.21,20.43,20.18,20.25,2526200,19.61
2013-09-12,20.49,20.68,20.22,20.23,3665500,19.59
2013-09-11,20.39,20.47,20.11,20.47,3626300,19.82
2013-09-10,20.45,20.57,20.19,20.33,2983400,19.69
2013-09-09,20.21,20.41,20.06,20.38,3672600,19.74
2013-09-06,20.02,20.21,19.98,20.10,3537100,19.47
2013-09-05,20.25,20.32,19.79,19.83,2925800,19.20
2013-09-04,19.86,20.36,19.80,20.29,2678600,19.65
2013-09-03,20.23,20.30,19.68,19.89,4865700,19.26
2013-08-30,20.26,20.32,19.99,20.03,3128500,19.40
2013-08-29,20.14,20.22,20.03,20.21,2229800,19.57
2013-08-28,20.30,20.33,20.09,20.16,2155400,19.52
2013-08-27,20.26,20.50,20.13,20.25,3151800,19.61
2013-08-26,20.59,20.62,20.41,20.48,3107200,19.83
2013-08-23,20.54,20.62,20.41,20.57,3747700,19.92
2013-08-22,20.46,20.56,20.25,20.51,2261700,19.86
2013-08-21,20.49,20.66,20.10,20.37,4216900,19.73
