Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,47.10,47.24,46.68,47.02,1165000,47.02
2013-12-30,46.92,47.27,46.61,47.10,1318000,47.10
2013-12-27,47.49,47.49,46.80,46.93,1286000,46.93
2013-12-26,47.79,48.15,47.37,47.47,1270900,47.47
2013-12-24,47.71,47.82,46.90,47.60,1222800,47.60
2013-12-23,48.46,48.66,47.28,47.44,3418700,47.44
2013-12-20,50.25,50.67,47.52,48.08,8382200,48.08
2013-12-19,52.51,53.08,52.21,53.05,1628400,53.05
2013-12-18,51.73,52.63,51.28,52.52,1788900,52.52
2013-12-17,51.93,51.93,51.32,51.75,894800,51.75
2013-12-16,51.16,52.22,51.16,51.83,1112900,51.83
2013-12-13,51.17,51.34,50.78,50.95,606400,50.95
2013-12-12,51.26,51.32,50.76,51.09,965200,51.09
2013-12-11,52.07,52.23,51.17,51.26,992600,51.26
2013-12-10,51.94,52.50,51.87,52.09,1031900,52.09
2013-12-09,51.48,52.63,51.27,51.95,1518300,51.95
2013-12-06,51.40,51.49,50.55,51.20,1299500,51.20
2013-12-05,50.70,51.45,50.44,50.80,936500,50.80
2013-12-04,51.00,51.47,50.12,50.69,1514600,50.69
2013-12-03,51.30,51.68,50.69,51.17,1317200,51.17
2013-12-02,50.39,52.09,50.10,51.51,1751900,51.51
2013-11-29,50.64,51.00,50.26,50.35,542500,50.35
2013-11-27,50.33,50.58,50.14,50.45,527100,50.45
2013-11-26,50.01,50.82,49.96,50.11,1189600,50.11
2013-11-25,50.00,50.50,49.95,50.09,978800,50.09
2013-11-22,49.30,49.74,49.10,49.69,925200,49.69
2013-11-21,48.90,49.62,48.66,49.28,1103700,49.28
2013-11-20,48.84,49.26,48.48,48.63,1156800,48.63
2013-11-19,49.10,49.42,48.58,48.83,1144600,48.83
2013-11-18,50.00,50.37,49.01,49.10,1538800,49.10
2013-11-15,49.51,49.95,49.37,49.94,1330200,49.94
2013-11-14,49.68,49.80,49.11,49.57,731900,49.57
2013-11-13,48.82,49.72,48.63,49.71,1047100,49.71
2013-11-12,48.62,49.42,48.46,49.03,1319800,49.03
2013-11-11,47.46,48.79,47.17,48.76,1084400,48.76
2013-11-08,47.46,47.99,47.27,47.56,1038400,47.56
2013-11-07,49.12,49.24,47.46,47.52,1044900,47.52
2013-11-06,48.89,49.17,48.32,48.83,783800,48.83
2013-11-05,48.21,49.25,48.13,48.74,1248300,48.74
2013-11-04,48.05,49.10,48.00,48.60,1268700,48.60
2013-11-01,47.01,48.18,47.01,47.82,1476800,47.82
2013-10-31,47.13,47.26,46.55,46.99,1415800,46.99
2013-10-30,47.61,47.80,46.95,47.20,894100,47.20
2013-10-29,47.66,47.83,47.02,47.49,890300,47.49
2013-10-28,47.75,47.78,47.18,47.53,1089100,47.53
2013-10-25,47.80,48.00,47.29,47.76,865700,47.76
2013-10-24,47.50,48.06,47.40,47.79,869600,47.79
2013-10-23,48.07,48.19,47.11,47.51,1016700,47.51
2013-10-22,48.87,49.29,48.20,48.39,896400,48.39
2013-10-21,48.54,48.76,47.98,48.75,1163800,48.75
2013-10-18,49.02,49.44,48.66,48.74,1041500,48.74
2013-10-17,48.11,48.95,48.03,48.87,1175800,48.87
2013-10-16,48.01,48.45,47.72,48.32,1224300,48.32
2013-10-15,48.25,48.34,47.35,47.50,1454000,47.50
2013-10-14,47.47,48.45,47.47,48.41,1479900,48.41
2013-10-11,47.34,47.95,47.02,47.93,1221700,47.93
2013-10-10,46.82,47.34,46.69,47.29,1021200,47.29
2013-10-09,46.60,46.74,45.91,46.27,1106600,46.27
2013-10-08,48.28,48.44,46.39,46.42,2417800,46.42
2013-10-07,48.48,49.37,48.28,48.28,2227900,48.28
2013-10-04,47.98,48.50,47.56,48.31,1220500,48.31
2013-10-03,48.85,49.05,47.88,48.04,1206200,48.04
2013-10-02,48.30,48.85,47.46,48.85,1538100,48.85
2013-10-01,48.57,49.15,48.47,48.80,1127100,48.80
2013-09-30,48.78,48.81,48.31,48.47,1871900,48.47
2013-09-27,49.23,49.52,49.04,49.22,814600,49.22
2013-09-26,49.80,50.02,49.20,49.49,1527400,49.49
2013-09-25,51.06,51.12,49.64,49.80,2114000,49.80
2013-09-24,52.00,52.47,50.21,51.79,4687400,51.79
2013-09-23,51.21,51.40,49.99,50.01,2398900,50.01
2013-09-20,51.40,51.88,51.05,51.19,1855400,51.19
2013-09-19,51.32,51.55,51.18,51.25,1378800,51.25
2013-09-18,51.07,51.35,50.31,51.13,1754100,51.13
2013-09-17,50.89,51.20,50.64,50.98,1062400,50.98
2013-09-16,51.72,51.81,50.78,50.92,1108900,50.92
2013-09-13,51.24,51.44,51.04,51.08,554600,51.08
2013-09-12,51.62,51.78,50.94,51.12,821900,51.12
2013-09-11,52.16,52.25,51.73,51.76,954600,51.76
2013-09-10,51.73,52.27,51.54,52.05,1305700,52.05
2013-09-09,51.31,51.48,50.73,51.35,1077500,51.35
2013-09-06,50.22,51.72,49.94,51.21,2005500,51.21
2013-09-05,49.05,50.64,48.91,49.99,1854700,49.99
2013-09-04,48.15,49.23,47.84,49.05,887100,49.05
2013-09-03,48.25,48.72,47.59,48.02,606600,48.02
2013-08-30,48.08,48.21,47.31,47.56,614800,47.56
2013-08-29,47.49,48.30,47.25,48.05,404500,48.05
2013-08-28,47.34,47.95,47.16,47.72,413200,47.72
2013-08-27,48.09,48.17,47.31,47.34,694700,47.34
2013-08-26,48.86,49.40,48.80,48.84,684500,48.84
2013-08-23,48.75,48.90,48.33,48.86,637100,48.86
2013-08-22,47.87,48.81,47.71,48.55,723500,48.55
2013-08-21,48.08,48.41,47.51,47.86,636200,47.86
2013-08-20,47.26,48.41,47.26,48.28,663100,48.28
2013-08-19,47.50,47.88,47.12,47.19,823600,47.19
2013-08-16,47.89,48.43,47.48,47.48,918700,47.48
2013-08-15,49.12,49.17,48.05,48.08,673100,48.08
2013-08-14,49.59,50.00,49.56,49.61,541700,49.61
2013-08-13,49.59,50.00,49.29,49.74,521300,49.74
2013-08-12,49.07,49.65,48.81,49.51,660700,49.51
2013-08-09,49.17,49.69,48.97,49.38,785300,49.38
2013-08-08,48.66,49.36,48.35,49.27,1012400,49.27
2013-08-07,49.10,49.13,48.23,48.34,693500,48.34
2013-08-06,49.39,49.51,48.82,49.24,769000,49.24
2013-08-05,49.46,49.63,49.24,49.40,742700,49.40
2013-08-02,49.50,49.57,48.95,49.57,883400,49.57
2013-08-01,49.51,49.84,49.38,49.73,1027500,49.73
2013-07-31,48.40,49.81,48.40,49.04,1619200,49.04
2013-07-30,47.93,48.31,47.78,48.26,886400,48.26
2013-07-29,47.67,47.94,47.45,47.66,518400,47.66
2013-07-26,46.55,47.81,46.51,47.78,903400,47.78
2013-07-25,47.01,47.39,46.49,46.75,1431600,46.75
2013-07-24,48.19,48.30,47.02,47.17,986400,47.17
2013-07-23,48.45,48.87,47.88,48.05,606600,48.05
2013-07-22,47.90,48.46,47.82,48.39,598500,48.39
2013-07-19,48.04,48.11,47.81,47.84,730400,47.84
2013-07-18,47.89,48.36,47.86,47.99,701700,47.99
