Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,80.60,81.53,80.20,81.19,1558500,81.19
2013-12-30,80.74,80.83,79.65,80.59,2384900,80.59
2013-12-27,81.27,81.44,80.25,80.58,1440800,80.58
2013-12-26,81.65,81.65,80.49,81.02,1699300,81.02
2013-12-24,80.89,81.95,80.86,81.40,1938500,81.40
2013-12-23,84.00,84.00,79.59,80.80,10262600,80.80
2013-12-20,84.26,84.40,82.99,83.88,8990800,83.88
2013-12-19,84.15,84.58,83.44,83.92,1883900,83.92
2013-12-18,83.19,84.40,82.00,84.19,3313100,84.19
2013-12-17,82.60,83.59,82.04,82.91,2311200,82.91
2013-12-16,82.46,83.04,81.50,82.20,2551800,82.20
2013-12-13,83.02,83.91,81.29,82.27,4186400,82.27
2013-12-12,80.67,82.77,80.45,82.65,3858500,82.65
2013-12-11,81.79,82.07,80.33,80.58,2093800,80.58
2013-12-10,80.61,82.04,80.28,81.81,2368000,81.81
2013-12-09,79.96,80.98,79.68,80.61,2777900,80.61
2013-12-06,81.00,81.34,78.59,79.68,2742300,79.68
2013-12-05,80.53,81.12,80.01,80.76,1741300,80.76
2013-12-04,80.39,80.89,79.10,80.76,2735400,80.76
2013-12-03,81.43,81.87,80.10,80.39,2351600,80.39
2013-12-02,81.65,82.19,80.55,81.76,1733200,81.76
2013-11-29,82.50,82.50,81.22,81.55,1130500,81.55
2013-11-27,80.90,82.09,80.67,81.84,2763100,81.84
2013-11-26,80.38,80.89,79.92,80.60,2232900,80.60
2013-11-25,81.00,81.20,79.83,80.15,2660700,80.15
2013-11-22,80.74,81.26,80.32,80.64,2410800,80.64
2013-11-21,79.37,80.66,78.97,80.44,2036100,80.44
2013-11-20,80.08,80.61,78.63,79.09,3071200,79.09
2013-11-19,81.00,81.50,79.78,79.93,3540500,79.93
2013-11-18,83.00,83.13,80.59,80.95,3172500,80.95
2013-11-15,81.85,82.75,81.22,82.73,3618600,82.73
2013-11-14,82.40,82.59,81.17,81.86,3497900,81.86
2013-11-13,81.88,82.34,81.44,82.19,6688300,82.19
2013-11-12,81.15,82.73,81.15,82.14,41486700,82.14
2013-11-11,80.45,81.60,79.79,81.10,6596600,81.10
2013-11-08,77.80,79.91,77.78,79.40,3858800,79.40
2013-11-07,79.52,80.16,77.59,77.91,4568600,77.91
2013-11-06,80.12,80.43,78.20,79.49,4513300,79.49
2013-11-05,76.74,80.00,76.70,79.13,13811700,79.13
2013-11-04,75.81,76.05,73.26,74.78,8362900,74.78
2013-11-01,77.15,77.64,75.30,75.43,5777200,75.43
2013-10-31,77.01,77.27,75.84,76.95,6136000,76.95
2013-10-30,77.95,78.75,77.60,77.98,6277100,77.98
2013-10-29,78.73,78.82,75.64,77.38,14479700,77.38
2013-10-28,76.36,77.03,75.10,76.40,2057900,76.40
2013-10-25,77.72,77.77,75.92,76.24,1940200,76.24
2013-10-24,77.69,78.00,76.57,76.94,2226900,76.94
2013-10-23,78.20,78.49,77.03,77.60,2829700,77.60
2013-10-22,76.19,78.83,75.93,78.70,4585500,78.70
2013-10-21,75.99,77.21,75.58,77.18,3300400,77.18
2013-10-18,74.47,75.49,74.24,75.24,2896400,75.24
2013-10-17,74.14,74.83,71.71,73.75,5834300,73.75
2013-10-16,73.75,75.13,73.28,74.32,2518500,74.32
2013-10-15,75.39,75.43,72.93,73.05,2948200,73.05
2013-10-14,72.95,74.36,72.32,74.03,2399900,74.03
2013-10-11,74.42,74.60,72.44,72.88,2929200,72.88
2013-10-10,73.30,74.63,73.23,74.23,2931200,74.23
2013-10-09,72.47,72.96,70.59,72.49,3688700,72.49
2013-10-08,74.34,74.86,70.67,70.92,3597200,70.92
2013-10-07,75.59,75.59,74.28,74.33,1753500,74.33
2013-10-04,75.03,77.05,74.81,76.35,1904200,76.35
2013-10-03,75.89,76.97,74.57,74.83,2466000,74.83
2013-10-02,75.72,76.41,74.91,75.89,2252700,75.89
2013-10-01,74.74,76.10,74.72,75.85,1453200,75.85
2013-09-30,73.86,74.79,73.36,74.52,1587900,74.52
2013-09-27,74.00,75.55,73.71,74.45,2556000,74.45
2013-09-26,73.92,74.16,73.07,73.99,1570500,73.99
