Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,56.45,56.89,56.24,56.75,1482500,56.35
2013-12-30,55.82,56.55,55.82,56.44,1196000,56.04
2013-12-27,55.86,56.08,55.65,55.94,1178800,55.55
2013-12-26,56.12,56.19,55.65,55.69,1048200,55.30
2013-12-24,55.50,56.13,55.50,55.82,900500,55.43
2013-12-23,54.37,55.85,54.37,55.55,1731800,55.16
2013-12-20,54.71,55.37,54.64,54.95,3049300,54.56
2013-12-19,54.76,54.90,54.26,54.62,1549500,54.24
2013-12-18,54.51,55.18,54.18,54.76,2460700,54.37
2013-12-17,54.24,54.99,54.00,54.60,2265600,54.22
2013-12-16,54.26,54.44,53.99,54.34,2651400,53.96
2013-12-13,54.97,55.19,54.00,54.08,2166600,53.70
2013-12-12,55.40,55.45,54.94,54.97,1650200,54.58
2013-12-11,55.00,55.75,54.79,55.40,2684800,55.01
2013-12-10,54.80,55.09,54.26,54.97,2136500,54.58
2013-12-09,54.28,55.09,54.04,54.99,2163200,54.60
2013-12-06,55.16,55.69,54.53,54.70,2879000,53.97
2013-12-05,55.42,55.80,54.72,55.04,4491600,54.30
2013-12-04,55.18,55.24,53.62,54.38,4225300,53.65
2013-12-03,55.12,55.56,55.00,55.25,2155100,54.51
2013-12-02,55.11,55.70,54.70,55.20,2986200,54.46
2013-11-29,56.17,56.21,55.23,55.28,1435300,54.54
2013-11-27,55.82,56.62,55.65,55.92,2277200,55.17
2013-11-26,55.85,56.28,55.59,55.89,2205400,55.14
2013-11-25,55.40,56.16,55.40,55.85,2428900,55.10
2013-11-22,54.77,55.29,54.68,55.15,1539800,54.41
2013-11-21,54.44,55.14,54.20,54.80,2916000,54.07
2013-11-20,53.92,55.09,53.63,54.71,2728300,53.98
2013-11-19,53.69,54.37,53.68,53.84,2913300,53.12
2013-11-18,54.08,54.40,53.49,53.69,3977400,52.97
2013-11-15,53.29,54.46,53.21,53.95,4930600,53.23
2013-11-14,53.61,54.55,53.03,53.55,14671600,52.83
2013-11-13,58.26,59.00,57.27,58.26,6387600,57.48
2013-11-12,57.62,57.83,57.29,57.60,1884500,56.83
2013-11-11,57.16,57.82,56.98,57.67,2243200,56.90
2013-11-08,56.38,57.68,56.36,57.03,2854400,56.27
2013-11-07,57.75,58.07,56.43,56.54,3467100,55.78
2013-11-06,57.77,58.24,57.54,58.06,2002200,57.28
2013-11-05,58.45,58.47,57.47,57.73,2310700,56.96
2013-11-04,57.64,58.93,57.64,58.47,3979000,57.69
2013-11-01,56.92,57.14,56.40,56.85,2544800,56.09
2013-10-31,57.02,57.04,56.23,56.80,1739200,56.04
2013-10-30,57.04,57.49,56.30,56.96,2643500,56.20
2013-10-29,55.98,57.42,55.95,57.04,5453500,56.28
2013-10-28,54.80,55.87,54.62,55.76,5324400,55.01
2013-10-25,54.88,54.89,54.36,54.74,2461400,54.01
2013-10-24,54.91,55.00,54.65,54.92,1995300,54.18
2013-10-23,53.96,55.08,53.73,54.86,3203100,54.13
2013-10-22,54.08,54.44,53.87,54.05,2432900,53.33
2013-10-21,53.85,54.16,53.49,53.64,1863100,52.92
2013-10-18,53.99,54.09,53.18,53.93,2262600,53.21
2013-10-17,53.23,54.10,53.14,53.96,2403100,53.24
2013-10-16,51.67,53.32,51.43,53.24,2649300,52.53
2013-10-15,51.35,51.64,51.04,51.44,1851600,50.75
2013-10-14,51.14,51.91,51.07,51.49,2193400,50.80
2013-10-11,51.82,51.82,50.81,51.45,2045200,50.76
2013-10-10,51.72,51.85,51.10,51.84,1535900,51.15
2013-10-09,50.83,51.71,50.60,51.31,2268500,50.62
2013-10-08,51.86,51.97,50.74,50.77,2820000,50.09
2013-10-07,52.23,52.35,51.87,51.92,1512300,51.22
2013-10-04,52.26,52.80,52.17,52.51,1699600,51.81
2013-10-03,52.48,52.74,52.01,52.34,2269900,51.64
2013-10-02,51.98,52.55,51.01,52.54,2985200,51.84
2013-10-01,51.62,52.32,51.52,52.32,1976600,51.62
2013-09-30,51.57,51.89,51.45,51.75,1922800,51.06
2013-09-27,51.93,52.20,51.08,52.03,2286000,51.33
2013-09-26,51.61,52.31,51.54,52.13,2525200,51.43
2013-09-25,51.65,51.84,50.50,51.56,5001000,50.87
2013-09-24,52.09,52.89,52.02,52.06,3188800,51.36
2013-09-23,52.58,52.65,51.80,52.05,1768300,51.35
2013-09-20,53.01,53.10,52.17,52.60,2898400,51.90
2013-09-19,52.69,52.99,52.39,52.83,1375500,52.12
2013-09-18,51.90,52.55,51.31,52.37,2685800,51.67
2013-09-17,51.57,51.95,51.57,51.88,1672900,51.19
2013-09-16,51.77,51.79,51.31,51.50,2366000,50.81
2013-09-13,51.68,51.72,50.98,51.24,1773100,50.55
2013-09-12,51.70,51.95,51.35,51.46,1620200,50.77
2013-09-11,52.39,52.61,51.46,51.71,2692800,51.02
2013-09-10,52.50,52.73,51.97,52.34,1661400,51.64
2013-09-09,52.32,52.67,52.13,52.45,1512500,51.75
2013-09-06,52.76,52.98,52.12,52.39,1618300,51.34
2013-09-05,51.55,53.32,51.50,52.76,2616100,51.71
2013-09-04,51.26,51.61,51.06,51.45,1848300,50.42
2013-09-03,51.70,51.96,51.15,51.40,1969800,50.37
2013-08-30,50.91,51.45,50.88,51.31,2147500,50.28
2013-08-29,50.19,51.30,50.09,50.88,2440000,49.86
2013-08-28,49.78,50.80,49.73,50.24,1611400,49.24
2013-08-27,49.94,50.36,49.57,49.84,1679300,48.84
2013-08-26,51.06,51.37,50.34,50.38,2461400,49.37
2013-08-23,51.75,51.82,50.89,51.00,2096000,49.98
2013-08-22,51.51,51.94,51.27,51.56,1454200,50.53
2013-08-21,52.21,52.48,51.49,51.78,1400400,50.75
2013-08-20,51.56,52.66,51.54,52.22,2482000,51.18
2013-08-19,52.21,52.53,51.16,51.56,2778000,50.53
2013-08-16,53.27,53.47,52.16,52.27,3126700,51.23
2013-08-15,52.00,54.52,52.00,53.51,9018100,52.44
2013-08-14,50.58,50.94,50.05,50.84,3585700,49.82
2013-08-13,51.29,51.45,50.43,50.83,2174900,49.81
2013-08-12,50.33,51.36,50.16,51.22,2045100,50.20
2013-08-09,50.92,50.92,50.41,50.69,2108400,49.68
2013-08-08,51.14,51.51,50.55,51.02,2226900,50.00
2013-08-07,51.50,51.54,50.89,50.96,1995900,49.94
2013-08-06,52.97,53.03,51.18,51.69,3840700,50.66
2013-08-05,53.47,53.52,52.77,53.19,1325200,52.13
2013-08-02,54.05,54.14,53.41,53.56,1752300,52.49
2013-08-01,53.40,54.38,53.31,54.16,2378400,53.08
2013-07-31,53.05,53.73,52.85,52.98,1284600,51.92
2013-07-30,53.31,53.70,52.87,53.00,895100,51.94
2013-07-29,53.38,53.44,53.03,53.31,774700,52.24
2013-07-26,52.94,53.40,52.39,53.39,1565900,52.32
2013-07-25,53.33,53.65,52.82,53.28,2372800,52.22
2013-07-24,53.68,54.03,53.33,53.59,2152500,52.52
2013-07-23,53.59,53.84,53.29,53.54,1418900,52.47
2013-07-22,52.76,53.61,52.65,53.60,1621600,52.53
2013-07-19,52.61,52.91,52.32,52.86,1627300,51.80
2013-07-18,53.02,53.11,52.33,52.56,1894000,51.51
2013-07-17,52.95,53.31,52.90,53.04,1097800,51.98
2013-07-16,53.61,53.76,52.86,52.94,2847200,51.88
2013-07-15,53.44,53.70,53.07,53.50,1671400,52.43
2013-07-12,53.91,54.00,53.35,53.49,1274200,52.42
2013-07-11,53.96,54.02,53.35,53.91,1458600,52.83
2013-07-10,53.73,53.92,53.25,53.55,2275400,52.48
2013-07-09,53.77,53.93,53.21,53.69,1114600,52.62
2013-07-08,52.91,53.49,52.78,53.47,1601800,52.40
2013-07-05,52.34,52.76,51.83,52.75,1162000,51.70
2013-07-03,52.22,52.24,51.76,52.11,860200,51.07
2013-07-02,52.00,53.25,51.82,52.47,3910700,51.42
2013-07-01,50.86,51.91,50.77,51.57,2350300,50.54
2013-06-28,50.67,51.13,50.51,50.51,3202500,49.50
2013-06-27,51.44,51.72,50.67,50.68,2217500,49.67
2013-06-26,51.00,51.20,50.71,51.13,1339700,50.11
2013-06-25,50.15,50.81,49.99,50.60,1596000,49.59
2013-06-24,50.18,50.36,49.39,49.83,1970200,48.83
2013-06-21,50.90,50.98,50.13,50.59,3670500,49.58
2013-06-20,51.39,51.60,50.47,50.56,2495800,49.55
2013-06-19,52.40,52.70,51.73,51.79,2299400,50.76
2013-06-18,52.76,52.79,51.93,52.44,2304900,51.39
2013-06-17,52.40,53.21,52.40,52.75,2872400,51.70
2013-06-14,51.80,52.21,51.65,52.15,2702400,51.11
2013-06-13,51.13,51.96,51.04,51.91,1041900,50.87
2013-06-12,51.58,51.90,51.06,51.20,1502700,50.18
2013-06-11,51.36,51.90,51.25,51.27,1117300,50.25
2013-06-10,51.57,51.99,51.33,51.71,2036400,50.68
2013-06-07,51.71,52.04,51.54,51.96,2270500,50.58
2013-06-06,50.76,51.45,50.61,51.34,1674200,49.98
2013-06-05,51.64,52.05,50.96,50.97,2847000,49.62
2013-06-04,51.47,52.08,51.44,51.85,2814700,50.47
2013-06-03,51.39,51.93,51.13,51.43,3057100,50.06
2013-05-31,51.08,51.82,51.00,51.41,2343200,50.04
2013-05-30,51.43,51.71,51.08,51.12,1300400,49.76
2013-05-29,51.36,51.77,50.80,51.54,1723400,50.17
2013-05-28,52.20,52.28,51.49,51.63,2436400,50.26
2013-05-24,51.73,52.01,51.46,51.91,1408000,50.53
2013-05-23,51.77,52.27,51.73,52.14,2814300,50.75
2013-05-22,52.17,52.44,51.66,52.08,3650900,50.70
2013-05-21,50.93,52.72,50.91,52.35,4257900,50.96
2013-05-20,51.37,51.45,50.75,51.20,3055400,49.84
2013-05-17,51.79,52.30,51.38,51.58,3350100,50.21
2013-05-16,52.82,52.94,51.45,52.03,11672600,50.65
2013-05-15,49.19,49.74,48.87,49.68,3239300,48.36
2013-05-14,48.19,49.31,48.10,49.19,2889600,47.88
2013-05-13,48.87,49.03,48.11,48.17,2493000,46.89
2013-05-10,48.19,48.91,47.99,48.90,2460900,47.60
2013-05-09,46.93,48.76,46.93,48.21,4345300,46.93
2013-05-08,47.42,47.49,46.86,47.00,4769700,45.75
2013-05-07,47.62,47.68,46.97,47.66,3207300,46.39
2013-05-06,48.37,48.73,48.03,48.24,2365600,46.96
2013-05-03,47.34,48.34,47.00,48.31,2602200,47.03
2013-05-02,46.83,47.55,46.55,47.00,2035600,45.75
2013-05-01,46.98,47.25,46.58,46.60,1950900,45.36
2013-04-30,47.37,47.42,46.81,47.06,2220700,45.81
2013-04-29,48.48,48.49,47.11,47.32,3148800,46.06
2013-04-26,48.09,48.55,47.99,48.28,1845500,47.00
2013-04-25,47.67,48.21,47.51,48.01,1187500,46.73
2013-04-24,47.84,48.20,47.31,47.50,1267000,46.24
2013-04-23,47.55,48.04,47.35,47.71,1529600,46.44
2013-04-22,47.41,47.71,47.04,47.34,1110800,46.08
2013-04-19,47.14,47.54,46.88,47.44,1817300,46.18
2013-04-18,47.11,47.58,46.43,46.96,2781200,45.71
2013-04-17,46.73,47.10,46.26,46.97,2055900,45.72
2013-04-16,47.56,47.67,46.46,47.08,3164400,45.83
2013-04-15,48.04,48.42,47.31,47.44,1672500,46.18
2013-04-12,48.88,49.30,48.29,48.42,1742800,47.13
2013-04-11,47.85,49.13,47.81,48.92,1987300,47.62
2013-04-10,47.57,47.93,47.51,47.86,1807000,46.59
2013-04-09,48.18,48.18,47.38,47.42,2061700,46.16
2013-04-08,48.10,48.12,47.44,48.02,1564700,46.74
2013-04-05,47.69,48.16,47.45,48.16,2662500,46.88
2013-04-04,46.99,48.28,46.99,48.11,2735600,46.83
2013-04-03,45.89,47.24,45.83,47.05,3876900,45.80
2013-04-02,45.65,45.81,45.33,45.71,1790000,44.50
2013-04-01,46.11,46.20,45.45,45.54,2019000,44.33
2013-03-28,46.47,46.47,45.76,46.13,2303400,44.90
2013-03-27,46.50,46.84,46.31,46.60,1572200,45.36
2013-03-26,46.66,46.77,46.15,46.73,1745300,45.49
2013-03-25,46.56,46.90,46.32,46.39,2120900,45.16
2013-03-22,45.82,46.40,45.81,46.32,3032000,45.09
2013-03-21,46.44,46.82,46.28,46.43,2168200,45.20
2013-03-20,46.73,46.96,46.13,46.76,2823000,45.52
2013-03-19,47.58,47.89,46.37,46.56,4982700,45.32
2013-03-18,48.91,49.13,48.47,48.54,1755900,47.25
2013-03-15,48.92,49.34,48.78,49.32,3086500,48.01
2013-03-14,48.90,49.20,48.69,49.08,2499700,47.78
2013-03-13,47.46,48.98,47.45,48.82,3966600,47.52
2013-03-12,47.01,47.56,46.92,47.33,2234500,46.07
2013-03-11,46.38,47.05,46.23,47.05,1792500,45.80
2013-03-08,46.31,46.91,46.07,46.66,2549300,45.08
2013-03-07,46.43,46.64,46.12,46.19,1397300,44.63
2013-03-06,46.66,46.77,46.15,46.27,1606600,44.70
2013-03-05,46.41,46.77,46.22,46.67,2248200,45.09
2013-03-04,46.14,46.76,46.08,46.39,2007400,44.82
2013-03-01,46.00,46.33,45.85,46.17,3322500,44.61
2013-02-28,45.00,46.64,44.57,46.10,7820100,44.54
2013-02-27,45.72,46.63,45.54,46.61,2856500,45.03
2013-02-26,45.80,45.95,45.23,45.64,1981600,44.09
2013-02-25,46.27,46.47,45.51,45.51,1849400,43.97
2013-02-22,46.63,46.75,46.06,46.19,2003600,44.63
2013-02-21,46.41,46.79,46.11,46.51,2213500,44.93
2013-02-20,46.86,48.24,46.57,46.57,4375000,44.99
2013-02-19,46.57,46.84,46.00,46.48,3173500,44.91
2013-02-15,46.74,46.97,45.84,46.34,3898700,44.77
2013-02-14,46.50,47.16,46.49,46.98,2299100,45.39
2013-02-13,46.19,46.61,46.08,46.60,2320500,45.02
2013-02-12,46.00,46.26,45.97,46.06,1623800,44.50
2013-02-11,46.10,46.34,45.78,46.11,2398400,44.55
2013-02-08,45.97,46.16,45.62,46.01,2357100,44.45
2013-02-07,47.25,47.29,45.10,45.81,5722300,44.26
2013-02-06,45.36,46.31,45.10,46.25,3610700,44.68
2013-02-05,44.96,45.70,44.95,45.38,2477200,43.84
2013-02-04,45.72,45.88,45.00,45.21,2675000,43.68
2013-02-01,46.42,46.55,45.91,46.01,3102600,44.45
2013-01-31,46.10,46.35,45.72,46.29,3331800,44.72
2013-01-30,45.48,46.04,45.31,45.73,3183000,44.18
2013-01-29,45.05,45.61,44.86,45.52,3210800,43.98
2013-01-28,45.30,45.30,44.70,45.10,2839000,43.57
2013-01-25,44.78,45.29,44.77,45.25,2929200,43.72
2013-01-24,43.51,45.09,43.51,44.90,4249600,43.38
2013-01-23,43.68,43.90,43.38,43.45,1882600,41.98
2013-01-22,43.80,43.96,43.38,43.70,2598100,42.22
2013-01-18,43.64,44.11,43.32,43.83,2931000,42.34
2013-01-17,43.01,43.78,42.97,43.45,3184400,41.98
2013-01-16,42.67,42.99,42.50,42.79,2685600,41.34
2013-01-15,42.03,42.88,42.03,42.75,3549100,41.30
2013-01-14,42.05,42.23,41.81,41.99,1880100,40.57
2013-01-11,42.64,42.65,41.96,42.02,2635900,40.60
2013-01-10,42.07,42.52,41.93,42.50,3413400,41.06
2013-01-09,41.50,42.19,41.49,41.95,3105100,40.53
2013-01-08,41.95,42.38,41.81,41.81,3717800,40.39
2013-01-07,42.14,42.52,41.85,41.97,2730200,40.55
2013-01-04,42.35,42.64,42.12,42.23,3426700,40.80
