Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,61.32,61.97,61.29,61.85,799900,60.35
2013-12-30,61.07,61.30,60.76,61.10,759200,59.62
2013-12-27,61.78,61.85,60.68,60.87,779600,59.40
2013-12-26,62.59,62.83,61.26,61.88,802700,60.38
2013-12-24,62.13,63.68,61.04,61.25,661600,59.77
2013-12-23,61.50,61.50,60.78,60.98,1250500,59.50
2013-12-20,61.00,61.52,60.91,61.04,1866400,59.56
2013-12-19,61.59,61.65,60.92,60.92,1004200,59.45
2013-12-18,60.81,61.64,60.51,61.57,1342600,60.08
2013-12-17,61.02,61.31,60.58,60.76,1048000,59.29
2013-12-16,55.68,62.04,55.68,60.51,1283300,59.05
2013-12-13,61.07,61.53,60.63,61.17,1290900,59.69
2013-12-12,61.14,61.20,60.15,60.80,1536300,59.33
2013-12-11,61.62,62.20,60.85,60.99,1389100,59.51
2013-12-10,62.23,62.47,61.53,61.78,1492100,60.29
2013-12-09,63.40,63.67,61.98,62.09,1550100,60.59
2013-12-06,63.65,63.65,62.47,63.34,915400,61.81
2013-12-05,61.79,63.01,61.49,62.18,2476300,60.68
2013-12-04,64.03,64.38,62.71,63.25,2084100,61.72
2013-12-03,65.35,65.71,63.14,65.60,961800,64.01
2013-12-02,64.82,67.12,64.82,65.46,932100,63.88
2013-11-29,65.60,66.16,64.79,64.99,693000,63.42
2013-11-27,64.90,65.40,64.57,65.26,901100,63.68
2013-11-26,64.50,65.49,64.45,64.98,1244100,63.41
2013-11-25,64.27,64.75,64.04,64.28,1001900,62.72
2013-11-22,64.59,64.73,63.27,63.94,1609800,62.39
2013-11-21,63.59,65.01,62.91,64.78,1925300,63.21
2013-11-20,64.04,64.98,63.53,64.41,2415000,62.56
2013-11-19,64.00,64.24,63.76,64.02,1867000,62.18
2013-11-18,64.97,65.36,63.99,64.30,1414700,62.45
2013-11-15,64.64,65.09,64.28,64.66,1353400,62.80
2013-11-14,64.25,65.37,64.00,64.83,1753100,62.97
2013-11-13,62.96,64.42,62.96,64.25,1331400,62.40
2013-11-12,63.61,63.72,62.50,63.05,1634900,61.24
2013-11-11,62.89,64.02,62.53,63.66,1377000,61.83
2013-11-08,62.00,63.08,62.00,62.93,1461500,61.12
2013-11-07,63.77,64.24,61.68,61.81,2311300,60.03
2013-11-06,62.94,63.14,62.18,63.03,1700600,61.22
2013-11-05,62.95,63.52,62.55,62.89,1842000,61.08
2013-11-04,62.67,63.27,62.65,63.03,1425700,61.22
2013-11-01,62.77,63.05,62.08,62.56,1432500,60.76
2013-10-31,62.04,62.93,61.73,62.61,2259100,60.81
2013-10-30,61.87,62.66,61.77,62.14,1668200,60.35
2013-10-29,61.37,61.96,61.01,61.96,1035400,60.18
2013-10-28,61.58,61.74,61.17,61.26,1861200,59.50
2013-10-25,61.96,62.44,61.20,61.54,3363400,59.77
2013-10-24,61.21,61.99,61.07,61.94,1550400,60.16
2013-10-23,61.00,61.64,60.71,60.88,2006200,59.13
2013-10-22,60.29,61.26,60.09,61.09,1903700,59.33
2013-10-21,59.43,60.34,59.26,60.31,2155000,58.58
2013-10-18,58.19,59.26,58.04,59.23,2849900,57.53
2013-10-17,57.05,58.02,56.82,57.86,3175700,56.20
2013-10-16,56.64,57.42,56.13,57.16,2759000,55.52
2013-10-15,57.42,57.69,56.49,56.55,2619000,54.92
2013-10-14,56.16,57.52,56.13,57.49,3289700,55.84
2013-10-11,56.03,56.32,54.73,56.31,5382100,54.69
2013-10-10,58.40,58.64,56.15,56.60,6506300,54.97
2013-10-09,58.78,59.45,58.35,59.00,1996400,57.30
2013-10-08,60.10,60.69,58.39,58.59,3109400,56.91
2013-10-07,61.15,61.55,60.47,60.52,2216500,58.78
2013-10-04,61.70,62.14,61.39,62.08,1757500,60.30
2013-10-03,61.51,61.75,61.06,61.63,1512300,59.86
2013-10-02,61.54,61.99,61.10,61.63,2554500,59.86
2013-10-01,61.04,61.87,60.88,61.86,1826700,60.08
2013-09-30,60.61,61.66,60.22,61.10,2828900,59.34
2013-09-27,60.16,61.26,59.75,61.11,1866500,59.35
2013-09-26,59.62,60.62,59.56,60.34,1029900,58.61
2013-09-25,59.76,59.97,59.06,59.46,1802700,57.75
2013-09-24,59.62,59.90,59.13,59.90,1218600,58.18
2013-09-23,59.98,60.13,59.62,59.65,921600,57.94
2013-09-20,60.54,60.54,59.63,59.99,1859000,58.27
2013-09-19,61.12,61.14,60.23,60.40,1124900,58.66
2013-09-18,59.82,61.13,59.46,61.02,1594000,59.27
2013-09-17,59.14,59.98,58.92,59.96,1332200,58.24
2013-09-16,59.43,59.51,58.76,58.95,1106900,57.26
2013-09-13,57.77,58.66,57.55,58.57,1276900,56.89
2013-09-12,58.54,58.54,57.29,57.55,1350100,55.90
2013-09-11,58.32,58.92,58.06,58.70,1479400,57.01
2013-09-10,57.90,58.26,57.53,58.25,1220100,56.58
2013-09-09,56.60,57.80,56.55,57.74,1210700,56.08
2013-09-06,57.12,57.15,56.26,56.45,2112100,54.83
2013-09-05,58.01,58.39,56.81,56.90,4246300,55.26
2013-09-04,57.55,58.47,57.55,58.14,2083100,56.47
2013-09-03,57.97,58.20,57.15,57.43,1502300,55.78
2013-08-30,57.58,57.73,57.08,57.36,1250400,55.71
2013-08-29,57.17,57.84,57.05,57.46,1362500,55.81
2013-08-28,56.91,57.58,56.47,57.20,1260400,55.56
2013-08-27,57.77,57.85,56.74,56.91,2404700,55.27
2013-08-26,59.20,59.49,58.47,58.47,1351200,56.79
2013-08-23,58.68,59.53,58.43,59.21,1756500,57.51
2013-08-22,59.97,59.97,57.01,58.60,3643000,56.92
2013-08-21,60.36,60.52,59.30,59.85,1912700,58.13
2013-08-20,59.24,60.97,59.24,60.66,1797100,58.63
2013-08-19,59.00,59.66,58.84,59.04,1437900,57.06
2013-08-16,59.98,60.07,59.07,59.08,2086600,57.10
2013-08-15,60.34,60.45,59.77,60.07,1931400,58.06
2013-08-14,61.34,61.34,60.72,60.78,2175000,58.74
2013-08-13,61.29,61.36,60.59,61.36,1741700,59.30
2013-08-12,60.93,61.27,60.65,61.19,1517000,59.14
2013-08-09,60.07,61.34,60.00,61.27,2429800,59.21
2013-08-08,60.17,60.80,59.59,60.25,4349600,58.23
2013-08-07,56.19,57.34,56.19,57.30,2850300,55.38
2013-08-06,57.24,57.28,56.05,56.96,3969100,55.05
2013-08-05,58.30,58.55,57.39,57.47,2409500,55.54
2013-08-02,57.40,58.69,57.26,58.40,3418000,56.44
2013-08-01,56.11,57.62,55.91,57.55,1966500,55.62
2013-07-31,55.24,56.01,55.12,55.77,1950400,53.90
2013-07-30,55.65,55.65,54.75,55.32,2108200,53.46
2013-07-29,53.66,55.80,53.61,55.41,4197600,53.55
2013-07-26,53.09,53.77,52.82,53.68,1485900,51.88
2013-07-25,52.51,53.26,52.48,53.25,1086200,51.46
2013-07-24,53.23,53.36,52.49,52.64,1245100,50.87
2013-07-23,52.94,53.45,52.76,53.17,1672500,51.39
2013-07-22,52.41,52.98,52.39,52.91,914600,51.14
2013-07-19,52.51,52.72,52.12,52.49,1327000,50.73
2013-07-18,52.04,52.70,52.03,52.57,1329100,50.81
2013-07-17,51.95,52.41,51.69,51.93,1089800,50.19
2013-07-16,52.22,52.51,51.58,51.81,1404800,50.07
2013-07-15,51.70,52.60,51.64,52.07,1469000,50.32
2013-07-12,52.33,52.33,51.57,51.82,1633100,50.08
2013-07-11,51.24,52.39,51.05,52.33,3639400,50.57
2013-07-10,50.52,50.80,50.08,50.61,2616700,48.91
2013-07-09,50.58,51.06,50.09,50.57,2195100,48.87
2013-07-08,49.85,50.60,49.76,50.37,2309400,48.68
2013-07-05,49.59,49.95,49.05,49.67,2196400,48.00
2013-07-03,49.50,49.50,48.77,49.20,1171500,47.55
2013-07-02,49.59,50.18,49.47,49.79,1487800,48.12
2013-07-01,49.67,50.08,49.55,49.59,2676600,47.93
2013-06-28,49.21,49.87,49.06,49.25,3553700,47.60
2013-06-27,49.89,50.08,49.15,49.19,3301300,47.54
2013-06-26,50.18,50.41,49.40,49.73,1826100,48.06
2013-06-25,49.79,50.14,49.38,49.73,1548300,48.06
2013-06-24,50.99,51.03,49.21,49.29,2583800,47.64
2013-06-21,51.64,51.97,51.18,51.51,4861100,49.78
2013-06-20,51.17,51.63,50.41,51.18,4451100,49.46
2013-06-19,52.32,53.14,51.75,51.82,3004200,50.08
2013-06-18,50.98,52.41,50.96,52.32,1972500,50.57
2013-06-17,50.98,51.27,50.65,51.00,2164300,49.29
2013-06-14,50.74,51.67,50.73,50.79,4201500,49.09
2013-06-13,50.25,51.09,50.18,50.99,1845800,49.28
2013-06-12,50.46,50.83,49.87,50.01,1781700,48.33
2013-06-11,50.29,50.33,49.78,50.07,1388600,48.39
2013-06-10,50.99,51.22,50.44,50.68,1794900,48.98
2013-06-07,50.92,51.24,50.53,50.88,2698000,49.17
2013-06-06,51.48,51.48,49.85,50.66,3993400,48.96
2013-06-05,51.38,51.90,51.16,51.66,3953600,49.93
2013-06-04,50.67,52.47,50.49,51.94,5961800,49.91
