Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,39.74,39.80,39.34,39.56,2742900,39.52
2013-12-30,39.56,39.91,39.30,39.75,3071000,39.71
2013-12-27,39.24,39.74,39.00,39.55,2619100,39.51
2013-12-26,38.91,39.58,38.90,39.26,3228700,39.22
2013-12-24,38.64,39.50,38.24,38.97,2792500,38.93
2013-12-23,37.75,39.00,37.67,38.75,6650000,38.71
2013-12-20,36.99,37.73,36.96,37.38,6001000,37.34
2013-12-19,37.16,37.35,36.62,37.04,4311000,37.00
2013-12-18,36.69,37.79,35.57,37.43,14224500,37.39
2013-12-17,34.98,35.35,34.35,35.20,3945100,35.16
2013-12-16,35.18,35.57,34.95,35.00,2594400,34.96
2013-12-13,34.96,35.35,34.92,35.00,2709200,34.96
2013-12-12,35.00,35.11,34.56,34.89,2199900,34.85
2013-12-11,35.65,35.68,34.74,35.03,3014200,34.99
2013-12-10,35.44,36.49,35.44,35.75,4383900,35.71
2013-12-09,34.64,35.82,34.64,35.24,5169700,35.20
2013-12-06,34.76,35.28,34.39,34.54,3831800,34.50
2013-12-05,34.50,34.71,34.09,34.22,3484400,34.18
2013-12-04,35.11,35.31,34.22,34.52,5796400,34.48
2013-12-03,34.95,35.46,34.81,35.31,4688200,35.27
2013-12-02,35.82,35.97,35.08,35.18,3561000,35.14
2013-11-29,36.00,36.04,35.27,35.76,1541700,35.72
2013-11-27,36.09,36.61,35.77,35.95,4238800,35.91
2013-11-26,34.53,36.26,34.50,36.05,7241900,36.01
2013-11-25,34.56,34.68,33.82,34.31,3771400,34.27
2013-11-22,34.99,35.00,34.36,34.55,3593600,34.51
2013-11-21,34.74,35.13,33.84,34.92,5429600,34.88
2013-11-20,35.19,35.60,34.40,34.55,7030000,34.51
2013-11-19,34.37,34.68,33.96,34.21,3469300,34.17
2013-11-18,34.44,35.15,34.29,34.52,5907300,34.48
2013-11-15,34.34,34.89,33.88,34.17,5513400,34.13
2013-11-14,33.37,34.90,33.21,34.22,8970400,34.18
2013-11-13,32.64,33.58,32.64,33.33,5927800,33.29
2013-11-12,32.57,33.29,32.25,32.91,7002400,32.87
2013-11-11,32.66,32.85,32.15,32.58,4655100,32.54
2013-11-08,33.90,33.90,32.38,32.79,12457300,32.75
2013-11-07,34.92,35.70,34.21,34.24,6177100,34.20
2013-11-06,34.44,34.89,34.03,34.52,3814600,34.48
2013-11-05,34.99,35.13,33.97,34.31,5036000,34.27
2013-11-04,34.95,35.78,34.95,35.13,3192100,35.09
2013-11-01,35.66,35.73,34.37,34.98,6271100,34.94
2013-10-31,36.64,36.64,35.53,35.55,5921100,35.51
2013-10-30,37.35,37.38,36.30,36.64,4694600,36.60
2013-10-29,36.93,37.39,36.42,37.38,3611400,37.34
2013-10-28,37.00,37.79,36.30,36.83,6098900,36.79
2013-10-25,37.30,37.41,36.58,36.99,3211600,36.95
2013-10-24,36.68,37.77,36.61,37.21,5643900,37.17
2013-10-23,35.86,37.54,35.84,36.55,5759200,36.51
2013-10-22,34.83,36.50,34.81,36.17,6600600,36.13
2013-10-21,35.15,35.30,33.87,34.71,4426300,34.67
2013-10-18,35.56,35.62,34.86,35.04,2900000,35.00
2013-10-17,33.65,35.47,33.50,35.36,6116900,35.32
2013-10-16,33.52,34.15,33.00,33.86,5201400,33.82
2013-10-15,33.89,34.05,33.12,33.34,6685600,33.26
2013-10-14,34.33,34.59,33.76,34.31,4459600,34.23
2013-10-11,33.88,34.99,33.88,34.82,4768500,34.74
2013-10-10,33.84,34.53,33.66,33.80,4832200,33.72
2013-10-09,33.82,33.90,32.66,33.38,9062200,33.30
2013-10-08,34.68,35.07,33.56,33.73,4709900,33.65
2013-10-07,34.32,35.21,34.27,34.70,3046300,34.62
2013-10-04,35.67,35.72,34.47,34.69,6049400,34.61
2013-10-03,36.07,36.49,35.38,35.72,4569300,35.64
2013-10-02,35.50,36.39,35.38,36.10,3703100,36.02
2013-10-01,35.34,35.82,35.22,35.72,3598300,35.64
2013-09-30,35.24,35.78,35.02,35.40,4351100,35.32
2013-09-27,36.29,36.50,35.67,35.86,4177600,35.78
2013-09-26,36.62,36.65,35.76,36.49,4320600,36.41
2013-09-25,36.30,36.92,35.62,36.39,5821000,36.31
2013-09-24,35.52,36.93,35.09,36.01,12851000,35.93
2013-09-23,35.00,35.01,34.09,34.54,6199300,34.46
2013-09-20,36.30,36.46,34.80,35.15,7953700,35.07
2013-09-19,37.62,37.84,36.22,36.27,6560400,36.19
2013-09-18,34.99,37.55,34.37,37.33,10730400,37.24
2013-09-17,34.72,35.57,34.72,35.04,3615800,34.96
2013-09-16,35.60,36.20,34.67,34.77,6906300,34.69
2013-09-13,34.98,35.17,33.83,34.48,4364200,34.40
2013-09-12,34.58,35.95,34.47,34.90,7206600,34.82
2013-09-11,33.45,35.23,33.42,34.61,6035100,34.53
2013-09-10,34.15,34.25,33.24,33.48,5955700,33.40
2013-09-09,32.26,34.09,32.24,33.99,6530200,33.91
2013-09-06,32.13,32.96,31.81,32.25,5532000,32.18
