Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,45.80,45.93,45.40,45.55,1172300,45.27
2013-12-30,45.38,45.67,45.17,45.50,1212900,45.23
2013-12-27,45.41,45.59,45.26,45.38,721000,45.11
2013-12-26,45.25,45.47,45.14,45.32,985500,45.05
2013-12-24,45.33,45.49,45.00,45.20,826200,44.93
2013-12-23,45.10,45.20,44.93,45.19,1100200,44.92
2013-12-20,44.56,45.00,44.33,44.80,2924300,44.53
2013-12-19,45.20,45.20,44.35,44.54,1850800,44.27
2013-12-18,44.66,45.13,44.05,45.11,2482600,44.84
2013-12-17,43.94,44.83,43.83,44.53,2459800,44.26
2013-12-16,43.70,43.99,43.59,43.95,1340900,43.68
2013-12-13,43.33,43.57,43.15,43.35,1199900,43.09
2013-12-12,43.59,43.72,43.28,43.34,1356700,43.08
2013-12-11,43.88,44.09,43.44,43.50,1833200,43.24
2013-12-10,43.88,44.21,43.82,43.92,1401100,43.65
2013-12-09,44.18,44.26,43.83,43.98,1681200,43.71
2013-12-06,43.91,44.13,43.74,43.93,1758300,43.66
2013-12-05,43.50,43.70,43.23,43.44,1890100,43.18
2013-12-04,43.10,43.88,43.00,43.52,3174800,43.26
2013-12-03,42.81,43.45,42.54,43.20,3816800,42.94
2013-12-02,42.51,42.71,42.37,42.46,1594900,42.20
2013-11-29,42.81,42.86,42.51,42.55,1392200,42.29
2013-11-27,42.35,42.63,41.79,42.56,1923100,42.30
2013-11-26,42.36,42.68,42.03,42.53,1549200,42.27
2013-11-25,42.32,42.53,42.08,42.42,1354900,42.16
2013-11-22,42.38,42.65,42.00,42.27,2105300,42.01
2013-11-21,41.97,42.27,41.87,42.25,1177200,41.99
2013-11-20,41.86,41.94,41.55,41.67,1703800,41.42
2013-11-19,42.04,42.14,41.60,41.70,2307700,41.45
2013-11-18,42.15,42.34,41.90,42.06,2369000,41.81
2013-11-15,43.36,43.36,40.97,42.21,4954100,41.96
2013-11-14,41.14,41.35,40.71,41.21,5248000,40.96
2013-11-13,40.31,41.05,40.31,41.05,1202000,40.80
2013-11-12,40.69,40.95,40.59,40.81,1130000,40.31
2013-11-11,40.90,40.97,40.59,40.86,1075900,40.35
2013-11-08,40.71,41.00,40.40,40.97,1100500,40.46
2013-11-07,41.43,41.45,40.54,40.64,1768900,40.14
2013-11-06,41.02,41.33,40.81,41.15,1367100,40.64
2013-11-05,40.54,41.10,40.26,40.94,2031100,40.43
2013-11-04,41.04,41.06,40.62,40.62,2432500,40.12
2013-11-01,41.27,41.27,40.63,40.81,1738400,40.31
2013-10-31,40.55,41.38,40.46,41.16,2755300,40.65
2013-10-30,40.72,41.29,40.48,40.55,2370900,40.05
2013-10-29,39.98,40.94,39.94,40.89,3413600,40.38
2013-10-28,39.14,39.84,39.08,39.77,1724700,39.28
2013-10-25,39.10,39.18,38.98,39.07,1086800,38.59
2013-10-24,38.80,39.09,38.67,38.95,1595200,38.47
2013-10-23,39.03,39.03,38.28,38.74,3136700,38.26
2013-10-22,39.58,39.58,38.99,39.42,2350400,38.93
2013-10-21,39.06,39.33,38.98,39.32,2140600,38.83
2013-10-18,39.29,39.36,38.90,39.27,1852300,38.78
2013-10-17,38.88,39.32,38.57,39.26,2411600,38.77
2013-10-16,38.51,39.47,38.31,39.11,5074400,38.63
2013-10-15,39.80,39.95,39.46,39.55,2030000,39.06
2013-10-14,39.45,40.35,39.34,40.01,2159200,39.51
2013-10-11,39.22,39.70,39.22,39.67,1585100,39.18
2013-10-10,38.96,39.50,38.84,39.35,1464600,38.86
2013-10-09,39.02,39.06,38.31,38.70,1786400,38.22
2013-10-08,39.65,39.65,38.68,38.80,2002500,38.32
2013-10-07,39.13,39.76,39.06,39.51,1187500,39.02
2013-10-04,39.49,39.70,39.32,39.57,1576500,39.08
2013-10-03,39.55,39.67,39.10,39.55,2163600,39.06
2013-10-02,39.48,39.83,39.42,39.60,1510000,39.11
2013-10-01,39.77,40.06,39.49,39.81,1349500,39.32
2013-09-30,39.34,39.69,39.17,39.66,1834700,39.17
2013-09-27,39.49,39.81,39.43,39.60,1254400,39.11
2013-09-26,39.95,40.13,39.62,39.79,1509100,39.30
2013-09-25,39.97,40.07,39.60,39.84,1384200,39.35
2013-09-24,40.23,40.31,39.92,40.00,1262400,39.51
2013-09-23,40.16,40.37,40.02,40.09,1739900,39.59
2013-09-20,40.53,40.58,40.09,40.10,2790000,39.60
2013-09-19,40.55,40.68,40.29,40.44,1353900,39.94
2013-09-18,40.46,40.60,40.05,40.53,1945300,40.03
2013-09-17,40.56,40.65,40.34,40.44,1045100,39.94
2013-09-16,40.63,40.69,40.18,40.33,1682100,39.83
2013-09-13,40.37,40.43,40.10,40.29,1267900,39.79
2013-09-12,40.06,40.38,39.99,40.19,1309500,39.69
2013-09-11,39.64,40.24,39.46,40.21,1911600,39.71
2013-09-10,39.37,39.82,39.21,39.82,1826600,39.33
2013-09-09,39.33,39.44,38.99,39.00,1860800,38.52
2013-09-06,39.66,39.66,39.00,39.12,1346400,38.64
2013-09-05,39.31,39.70,39.31,39.40,979100,38.91
2013-09-04,38.87,39.59,38.42,39.43,2159300,38.94
2013-09-03,38.77,39.42,38.67,38.88,2070800,38.40
2013-08-30,38.67,38.67,38.05,38.33,2198300,37.86
2013-08-29,38.50,38.74,38.35,38.49,1931700,38.01
2013-08-28,38.26,38.80,38.09,38.54,1288000,38.06
2013-08-27,38.43,38.74,38.22,38.26,2115900,37.79
2013-08-26,39.05,39.30,38.88,38.91,1198900,38.43
2013-08-23,39.20,39.21,38.80,39.12,1083500,38.64
2013-08-22,38.77,39.39,38.74,39.03,694100,38.55
2013-08-21,38.60,39.15,38.46,38.70,2163900,38.22
2013-08-20,39.10,40.80,39.08,39.29,1438100,38.80
2013-08-19,39.12,39.49,39.04,39.08,1423100,38.60
2013-08-16,39.52,39.93,39.10,39.14,2808000,38.66
2013-08-15,39.43,39.43,39.03,39.12,1584800,38.64
2013-08-14,39.96,40.00,39.56,39.64,1435300,39.15
2013-08-13,42.82,42.82,39.83,40.33,1026500,39.57
2013-08-12,39.72,40.33,39.70,40.18,986300,39.43
2013-08-09,40.03,40.29,39.76,39.91,991800,39.16
2013-08-08,40.43,40.49,39.95,40.14,1037100,39.39
2013-08-07,40.23,40.31,39.96,40.09,1161200,39.34
2013-08-06,40.44,40.50,40.08,40.19,1125100,39.44
2013-08-05,40.29,40.59,40.28,40.51,1175100,39.75
2013-08-02,39.81,40.57,39.74,40.55,2331200,39.79
2013-08-01,40.71,41.00,40.68,40.98,2403900,40.21
2013-07-31,40.22,40.70,40.19,40.55,2094400,39.79
2013-07-30,39.79,40.35,39.66,40.26,2282400,39.51
2013-07-29,39.52,39.95,39.51,39.62,1390600,38.88
2013-07-26,39.18,39.89,39.18,39.86,1644800,39.11
2013-07-25,39.46,40.33,39.43,40.25,2606100,39.50
