Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,147.31,148.86,147.31,148.66,693000,147.43
2013-12-30,148.04,148.77,146.01,146.98,835600,145.76
2013-12-27,149.26,149.99,147.52,148.13,711400,146.91
2013-12-26,146.34,149.21,146.18,148.84,1498600,147.61
2013-12-24,145.17,146.28,145.00,146.14,726700,144.93
2013-12-23,144.95,146.00,144.74,145.06,1806100,143.86
2013-12-20,143.39,144.93,142.90,144.21,1953600,143.02
2013-12-19,143.75,143.75,141.87,142.99,1530400,141.81
2013-12-18,140.93,143.99,140.00,143.73,2282800,142.54
2013-12-17,140.46,140.99,139.86,140.85,1161700,139.69
2013-12-16,139.13,140.41,139.03,140.05,1270700,138.89
2013-12-13,138.64,139.20,138.20,139.03,1017100,137.88
2013-12-12,137.22,138.68,137.22,137.98,1193900,136.84
2013-12-11,139.50,139.50,137.24,137.46,1163200,136.32
2013-12-10,138.71,139.86,138.40,139.31,1197900,138.16
2013-12-09,138.50,139.29,138.29,138.93,1389100,137.78
2013-12-06,137.90,138.50,137.22,138.19,1416600,137.05
2013-12-05,136.26,137.56,136.01,136.66,1190800,135.53
2013-12-04,138.57,138.68,135.39,136.23,2163400,135.10
2013-12-03,139.31,139.70,137.70,138.77,1987300,137.62
2013-12-02,141.85,142.50,139.43,139.70,1676600,138.54
2013-11-29,143.87,144.27,141.24,141.67,1553300,140.50
2013-11-27,142.09,144.43,142.09,143.94,1896400,142.75
2013-11-26,141.50,143.42,141.31,143.06,2432600,140.56
2013-11-25,141.16,142.13,140.80,141.76,6402400,139.28
2013-11-22,139.07,140.94,138.77,140.88,4836800,138.42
2013-11-21,137.63,139.01,137.26,138.67,3642300,136.24
2013-11-20,138.84,138.84,136.99,137.19,858600,134.79
2013-11-19,138.11,139.35,137.72,138.97,1047000,136.54
2013-11-18,137.62,138.85,137.62,137.85,897700,135.44
2013-11-15,137.93,138.04,136.39,137.45,2043000,135.05
2013-11-14,137.74,138.40,137.00,138.29,886200,135.87
2013-11-13,136.54,137.38,135.54,137.26,1667500,134.86
2013-11-12,137.15,137.24,136.40,137.23,1485100,134.83
2013-11-11,137.92,137.92,136.30,137.15,1029900,134.75
2013-11-08,136.17,138.15,136.01,138.11,1281400,135.69
2013-11-07,136.89,138.15,136.09,136.20,1285400,133.82
2013-11-06,135.53,136.93,135.53,136.87,921900,134.48
2013-11-05,135.33,136.36,135.05,135.47,885700,133.10
2013-11-04,135.00,136.00,134.91,135.74,833400,133.37
2013-11-01,133.54,136.84,133.43,134.55,2135000,132.20
2013-10-31,134.01,134.78,133.16,133.34,1516500,131.01
2013-10-30,134.12,134.96,133.32,133.72,1196100,131.38
2013-10-29,133.40,133.89,132.87,133.66,1231100,131.32
2013-10-28,133.76,134.38,132.95,133.23,1316400,130.90
2013-10-25,132.41,134.19,131.90,134.00,1578100,131.66
2013-10-24,132.02,132.99,131.39,132.62,1125400,130.30
2013-10-23,130.00,132.03,130.00,131.98,1672200,129.67
2013-10-22,129.59,130.18,127.29,130.05,2784200,127.78
2013-10-21,128.90,129.06,125.09,125.30,3450600,123.11
2013-10-18,129.61,129.61,128.65,128.90,1447500,126.65
2013-10-17,127.57,129.45,127.09,129.36,857700,127.10
2013-10-16,126.66,127.99,126.03,127.86,1494000,125.62
2013-10-15,127.47,127.63,125.72,125.90,1109500,123.70
2013-10-14,125.84,127.63,125.33,127.50,790600,125.27
2013-10-11,126.21,126.58,125.75,126.17,1260000,123.96
2013-10-10,122.71,126.70,122.71,126.68,1323200,124.46
2013-10-09,122.62,123.14,121.75,122.03,1531000,119.90
2013-10-08,123.63,123.95,122.39,122.46,1080200,120.32
2013-10-07,122.17,124.96,121.83,123.56,1950700,121.40
2013-10-04,123.15,123.41,121.52,122.50,2490300,120.36
2013-10-03,124.91,124.92,122.10,122.83,2668500,120.68
2013-10-02,127.11,127.15,124.10,125.08,3204200,122.89
2013-10-01,127.77,128.30,127.44,127.50,1377500,125.27
2013-09-30,128.08,128.58,127.25,127.55,1588500,125.32
2013-09-27,129.59,129.85,128.07,129.24,1308900,126.98
2013-09-26,128.15,129.95,128.01,129.85,1525700,127.58
2013-09-25,127.69,128.45,127.29,127.86,1062300,125.62
2013-09-24,127.88,129.22,127.88,128.14,1309100,125.90
2013-09-23,128.12,128.86,127.00,127.62,1138700,125.39
2013-09-20,130.44,130.63,128.00,128.00,2284900,125.76
2013-09-19,131.00,131.60,130.20,130.39,1403500,128.11
2013-09-18,129.65,130.89,128.45,130.84,1386500,128.55
2013-09-17,128.47,129.76,128.21,129.64,1169300,127.37
2013-09-16,128.21,129.17,127.90,128.46,1418000,126.21
2013-09-13,126.97,127.32,126.02,127.25,973200,125.02
2013-09-12,126.31,127.39,126.20,126.54,1886100,124.33
2013-09-11,124.91,126.57,124.91,126.57,1143300,124.36
2013-09-10,124.69,125.80,124.34,125.07,1352500,122.88
2013-09-09,123.97,124.87,123.82,124.07,1220200,121.90
2013-09-06,124.54,124.88,122.54,123.73,1662600,121.57
2013-09-05,123.58,124.36,123.07,124.14,1337200,121.97
2013-09-04,123.35,124.86,123.25,124.27,1360300,122.10
2013-09-03,123.35,124.36,123.10,123.63,1525400,121.47
2013-08-30,122.58,122.67,121.72,122.42,1847000,120.28
2013-08-29,122.43,123.05,122.03,122.34,1333600,120.20
2013-08-28,123.26,124.00,123.22,123.30,1207700,120.01
2013-08-27,124.45,125.82,122.80,123.14,1315200,119.86
2013-08-26,126.00,126.73,125.10,125.19,1311100,121.85
2013-08-23,123.72,126.30,123.59,126.00,4927100,122.64
2013-08-22,123.32,124.57,123.05,123.71,4718000,120.41
2013-08-21,122.37,123.93,121.87,122.93,1455900,119.65
2013-08-20,121.92,123.97,121.92,122.41,1545400,119.15
2013-08-19,121.92,122.58,121.25,121.91,1191700,118.66
2013-08-16,121.83,122.78,121.70,122.20,1400300,118.94
2013-08-15,122.75,123.36,121.83,122.13,1191700,118.87
2013-08-14,124.00,124.28,123.35,123.62,1045300,120.33
2013-08-13,123.27,124.30,123.00,124.06,1481600,120.75
2013-08-12,123.84,124.18,122.98,123.00,1376200,119.72
2013-08-09,124.51,124.70,123.60,124.02,1307800,120.71
2013-08-08,125.00,125.00,123.81,124.64,1358700,121.32
2013-08-07,124.00,124.70,123.70,124.54,1372100,121.22
2013-08-06,124.04,124.53,123.87,124.26,1597700,120.95
2013-08-05,123.55,124.63,123.23,124.15,1166200,120.84
2013-08-02,123.12,124.08,121.94,123.77,1842300,120.47
2013-08-01,120.76,122.24,120.75,122.17,1238500,118.91
