Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,49.22,49.61,49.18,49.55,3457300,49.36
2013-12-30,48.98,49.43,48.91,49.25,3202800,49.07
2013-12-27,49.15,49.45,48.65,48.83,3828600,48.65
2013-12-26,48.83,49.23,48.73,49.03,3124500,48.85
2013-12-24,48.43,48.95,48.28,48.70,2281800,48.52
2013-12-23,47.96,48.79,47.96,48.40,4715100,48.22
2013-12-20,48.58,48.92,47.92,47.97,8169900,47.79
2013-12-19,48.06,48.92,47.75,48.39,7668100,48.21
2013-12-18,46.70,48.48,46.62,48.32,10359700,48.14
2013-12-17,47.16,47.23,46.44,46.65,5502000,46.48
2013-12-16,47.47,47.72,47.08,47.13,4228200,46.95
2013-12-13,46.90,47.38,46.90,47.11,3815800,46.93
2013-12-12,47.31,47.39,46.82,46.89,4552400,46.71
2013-12-11,47.34,47.80,47.22,47.31,5307800,47.13
2013-12-10,47.68,47.97,47.32,47.36,5477500,47.18
2013-12-09,47.89,48.18,47.69,47.76,6269600,47.58
2013-12-06,47.19,48.48,47.14,47.98,8217900,47.80
2013-12-05,46.70,47.08,46.55,46.61,5232900,46.44
2013-12-04,46.19,47.04,46.08,46.86,8019100,46.68
2013-12-03,45.82,46.55,45.75,46.50,11475200,46.33
2013-12-02,47.58,47.60,46.72,46.83,6834800,46.66
2013-11-29,47.89,47.97,47.45,47.48,3343900,47.30
2013-11-27,47.98,48.21,47.61,47.89,4561900,47.71
2013-11-26,47.86,48.32,47.84,48.01,6901400,47.83
2013-11-25,48.05,48.29,47.51,47.75,6472200,47.57
2013-11-22,48.22,48.24,47.68,47.90,6142600,47.72
2013-11-21,47.54,48.79,47.17,48.20,11977200,48.02
2013-11-20,48.50,48.90,47.16,47.33,26083700,47.15
2013-11-19,51.50,51.85,50.18,50.44,12070900,50.25
2013-11-18,51.74,51.77,50.77,50.89,8655100,50.70
2013-11-15,52.05,52.08,51.53,51.77,10833100,51.58
2013-11-14,51.44,52.03,51.38,51.95,9024800,51.76
2013-11-13,49.81,51.28,49.81,51.28,7433500,51.09
2013-11-12,49.37,50.39,49.37,50.12,10150000,49.93
2013-11-11,48.82,49.44,48.72,49.10,5530100,48.92
2013-11-08,49.01,49.26,48.48,48.72,8931200,48.54
2013-11-07,50.11,50.43,49.03,49.07,4694500,48.89
2013-11-06,50.42,50.50,49.82,49.97,4104400,49.78
2013-11-05,49.54,50.42,49.40,50.18,5153500,49.99
2013-11-04,49.49,49.82,49.48,49.77,5592500,49.58
2013-11-01,49.83,49.99,49.15,49.18,9961600,49.00
2013-10-31,50.25,50.34,49.66,49.78,7212200,49.59
2013-10-30,50.67,50.74,49.77,50.15,6991100,49.96
2013-10-29,50.29,50.71,50.19,50.61,8843200,50.42
2013-10-28,50.49,50.52,49.83,50.11,5916400,49.92
2013-10-25,50.25,50.63,49.93,50.59,6014300,50.40
2013-10-24,49.29,50.48,49.22,50.44,8420900,50.25
2013-10-23,48.17,49.31,48.12,49.25,9541700,49.07
2013-10-22,48.19,48.53,48.12,48.19,7711400,48.01
2013-10-21,47.59,48.03,47.40,48.02,6482500,47.84
2013-10-18,48.48,48.48,47.58,47.66,12981900,47.30
2013-10-17,48.32,49.12,48.31,49.02,6769800,48.65
2013-10-16,48.72,48.79,47.84,48.47,9179900,48.11
2013-10-15,48.84,48.84,47.95,48.45,7282700,48.09
2013-10-14,48.45,48.97,48.36,48.88,4959300,48.51
2013-10-11,47.96,48.81,47.93,48.80,6949900,48.43
2013-10-10,47.27,47.89,47.16,47.82,5738400,47.46
2013-10-09,46.53,47.07,46.10,46.60,6652000,46.25
2013-10-08,47.25,47.60,46.49,46.53,7306200,46.18
2013-10-07,47.54,47.82,47.26,47.26,6404200,46.91
2013-10-04,47.97,48.22,47.85,48.14,5518600,47.78
2013-10-03,48.54,48.80,47.55,47.93,7403300,47.57
2013-10-02,47.85,48.48,47.66,48.41,5951600,48.05
2013-10-01,47.64,48.38,47.50,48.19,6662500,47.83
2013-09-30,47.31,47.96,47.20,47.61,5846500,47.25
2013-09-27,47.79,48.02,47.63,47.77,4107600,47.41
2013-09-26,47.73,48.16,47.73,47.89,4354400,47.53
2013-09-25,48.02,48.02,47.34,47.54,5916600,47.18
2013-09-24,47.19,48.43,47.02,48.04,7195300,47.68
