Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,28.35,28.58,28.21,28.34,738700,28.27
2013-12-30,28.24,28.61,28.23,28.29,752200,28.22
2013-12-27,28.39,28.67,28.15,28.18,627700,28.11
2013-12-26,28.27,28.56,28.27,28.39,550400,28.32
2013-12-24,28.13,28.28,28.02,28.24,263200,28.17
2013-12-23,28.03,28.29,27.93,28.14,759700,28.07
2013-12-20,27.47,28.21,27.45,27.95,2108400,27.88
2013-12-19,27.82,27.82,27.36,27.41,890600,27.35
2013-12-18,27.54,27.94,26.98,27.91,1212300,27.84
2013-12-17,27.65,27.65,27.17,27.55,1224300,27.49
2013-12-16,27.28,27.55,27.17,27.44,1366600,27.38
2013-12-13,27.56,27.67,27.14,27.20,674400,27.14
2013-12-12,27.10,27.64,26.98,27.45,1164000,27.39
2013-12-11,27.77,27.83,27.00,27.10,1196500,26.97
2013-12-10,28.04,28.09,27.74,27.80,733300,27.67
2013-12-09,28.16,28.25,27.95,28.04,739500,27.91
2013-12-06,28.10,28.14,27.84,28.11,615300,27.98
2013-12-05,27.83,27.98,27.56,27.77,939800,27.64
2013-12-04,27.62,28.12,27.52,27.94,917100,27.81
2013-12-03,28.31,28.39,27.50,27.80,1224300,27.67
2013-12-02,28.66,29.06,28.34,28.41,681900,28.28
2013-11-29,28.54,28.93,28.38,28.66,519500,28.53
2013-11-27,28.76,28.99,28.51,28.54,609600,28.41
2013-11-26,28.86,29.15,28.69,28.69,874300,28.56
2013-11-25,28.92,29.19,28.87,28.92,681900,28.78
2013-11-22,28.37,28.90,28.25,28.89,845800,28.75
2013-11-21,27.89,28.35,27.88,28.29,1163600,28.16
2013-11-20,28.35,28.45,27.75,27.84,864900,27.71
2013-11-19,28.20,28.83,28.15,28.35,967300,28.22
2013-11-18,28.39,28.75,28.19,28.23,656900,28.10
2013-11-15,27.95,28.49,27.95,28.27,1172500,28.14
2013-11-14,28.22,28.28,27.92,28.06,1047300,27.93
2013-11-13,28.04,28.11,27.78,28.11,904400,27.98
2013-11-12,28.71,28.72,28.12,28.17,827200,28.04
2013-11-11,28.88,28.93,28.65,28.75,574900,28.62
2013-11-08,28.40,28.90,28.32,28.88,947000,28.74
2013-11-07,29.26,29.27,28.38,28.46,823000,28.33
2013-11-06,29.11,29.45,28.98,29.08,733800,28.94
2013-11-05,29.04,29.30,28.84,29.11,1038600,28.97
2013-11-04,28.78,29.19,28.74,29.13,995700,28.99
2013-11-01,28.43,28.76,28.40,28.71,5128800,28.58
2013-10-31,28.85,28.93,28.34,28.34,1022600,28.21
2013-10-30,28.87,29.11,28.75,28.85,724800,28.72
2013-10-29,29.15,29.31,28.74,28.82,954300,28.69
2013-10-28,29.22,29.24,29.02,29.14,894300,29.00
2013-10-25,29.33,29.42,29.00,29.15,882400,29.01
2013-10-24,29.37,29.44,29.14,29.35,853700,29.21
2013-10-23,29.39,29.49,29.12,29.32,864900,29.18
2013-10-22,28.94,29.56,28.85,29.48,1293300,29.34
2013-10-21,28.68,28.78,28.60,28.78,586400,28.65
