Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,59.33,59.54,58.65,58.89,737600,58.29
2013-12-30,59.16,59.42,59.09,59.35,393500,58.75
2013-12-27,59.35,59.35,58.60,59.17,446400,58.57
2013-12-26,59.70,60.00,59.07,59.44,426700,58.84
2013-12-24,59.33,59.57,59.25,59.40,266200,58.80
2013-12-23,59.33,59.75,59.18,59.36,972700,58.76
2013-12-20,58.66,59.11,58.43,58.96,1561600,58.36
2013-12-19,59.33,59.46,58.29,58.64,651300,58.05
2013-12-18,58.93,59.72,57.71,59.54,1218900,58.94
2013-12-17,58.37,59.22,58.26,58.71,973500,58.12
2013-12-16,58.51,58.87,58.12,58.49,618400,57.90
2013-12-13,58.72,59.32,58.21,58.51,1005600,57.92
2013-12-12,58.53,58.78,57.95,58.50,1272000,57.91
2013-12-11,60.01,60.27,58.62,58.65,1078200,58.06
2013-12-10,60.28,60.58,59.81,60.01,712800,59.40
2013-12-09,60.48,60.76,59.93,60.34,1161700,59.73
2013-12-06,59.70,60.55,59.52,60.49,1314900,59.88
2013-12-05,58.21,59.35,57.97,59.28,1820900,58.68
2013-12-04,56.79,58.51,56.00,58.36,1858400,57.77
2013-12-03,56.51,57.33,56.01,57.27,1090300,56.69
2013-12-02,57.08,57.16,56.46,56.74,857100,56.17
2013-11-29,57.77,57.77,56.92,56.94,348000,56.36
2013-11-27,57.06,57.58,56.93,57.57,599900,56.99
2013-11-26,57.25,57.39,56.77,56.85,1081800,56.27
2013-11-25,57.58,57.83,57.16,57.30,541400,56.72
2013-11-22,57.70,57.74,57.24,57.67,372500,57.09
2013-11-21,57.45,57.69,57.13,57.68,561400,57.10
2013-11-20,57.81,58.62,57.09,57.38,614900,56.80
2013-11-19,58.00,58.89,57.31,57.79,609700,57.21
2013-11-18,58.81,58.90,58.17,58.25,875900,57.66
2013-11-15,57.89,58.92,57.63,58.89,2019100,58.29
2013-11-14,57.70,58.28,57.54,58.01,753800,57.42
2013-11-13,56.57,57.27,56.18,57.15,595500,56.57
2013-11-12,56.90,57.16,56.33,56.68,525000,56.11
2013-11-11,56.76,57.15,56.49,56.91,504900,56.33
2013-11-08,56.53,56.67,55.57,56.56,814000,55.99
2013-11-07,57.85,57.88,56.82,56.95,785700,56.37
2013-11-06,58.86,59.11,58.07,58.36,774900,57.16
2013-11-05,59.32,59.81,58.64,58.85,726200,57.64
2013-11-04,60.01,60.36,59.20,59.77,877400,58.54
2013-11-01,59.27,60.00,58.71,59.93,1654300,58.69
2013-10-31,58.60,59.40,58.41,59.21,1527600,57.99
2013-10-30,58.65,58.71,57.95,58.51,979200,57.30
2013-10-29,57.92,59.05,57.85,58.56,994700,57.35
2013-10-28,59.61,59.61,58.54,59.10,695400,57.88
2013-10-25,59.72,60.43,59.00,59.76,917800,58.53
2013-10-24,59.01,59.54,58.66,59.51,493200,58.28
2013-10-23,58.90,59.36,58.64,59.07,541000,57.85
2013-10-22,58.47,59.27,58.06,59.24,638600,58.02
2013-10-21,59.06,59.08,58.07,58.32,761200,57.12
2013-10-18,59.31,59.39,58.64,59.09,762200,57.87
2013-10-17,57.90,59.32,57.68,59.20,854700,57.98
2013-10-16,56.19,57.85,56.01,57.79,1561600,56.60
2013-10-15,56.48,56.84,55.87,55.88,1291500,54.73
2013-10-14,55.92,56.75,55.86,56.59,960100,55.42
2013-10-11,56.23,56.42,55.72,56.25,1521300,55.09
2013-10-10,55.63,56.36,55.60,56.23,1288900,55.07
2013-10-09,55.33,55.83,55.19,55.25,801100,54.11
2013-10-08,55.84,56.12,55.27,55.32,821500,54.18
2013-10-07,55.24,56.22,55.13,55.80,1353700,54.65
2013-10-04,56.26,56.49,55.41,55.68,878700,54.53
2013-10-03,56.99,57.10,55.93,56.29,988900,55.13
2013-10-02,56.69,57.45,56.59,57.05,744600,55.87
2013-10-01,56.39,57.55,56.36,56.91,1306500,55.74
2013-09-30,56.84,57.40,56.28,56.44,954800,55.28
2013-09-27,57.55,57.75,56.83,57.26,632900,56.08
2013-09-26,57.11,57.81,57.05,57.80,620000,56.61
2013-09-25,57.61,57.91,56.68,57.06,635100,55.88
2013-09-24,57.99,58.12,57.39,57.47,867100,56.28
2013-09-23,58.02,58.63,57.67,57.91,432900,56.71
2013-09-20,59.43,60.01,58.08,58.12,1175800,56.92
2013-09-19,60.03,60.52,59.56,59.61,610200,58.38
2013-09-18,57.98,60.00,57.22,59.96,780500,58.72
2013-09-17,58.04,58.42,57.75,57.98,385500,56.78
2013-09-16,58.06,58.93,57.78,58.08,386700,56.88
2013-09-13,57.17,57.40,56.95,57.20,403500,56.02
2013-09-12,57.37,57.91,56.80,57.00,493400,55.82
2013-09-11,57.30,57.43,56.74,57.33,578800,56.15
2013-09-10,57.85,58.34,56.87,57.30,704600,56.12
2013-09-09,56.83,57.67,56.54,57.67,788200,56.48
2013-09-06,56.63,57.40,56.56,56.61,986000,55.44
2013-09-05,56.31,56.74,55.73,55.98,695900,54.82
2013-09-04,55.63,56.66,55.30,56.44,685900,55.28
2013-09-03,56.63,56.63,55.19,55.73,863100,54.58
2013-08-30,56.60,57.09,56.08,56.28,925300,55.12
2013-08-29,56.04,56.60,55.72,56.57,658800,55.40
2013-08-28,56.22,56.42,55.73,56.10,464800,54.94
2013-08-27,55.96,56.53,55.45,56.17,519600,55.01
2013-08-26,56.78,56.78,56.32,56.55,507000,55.38
2013-08-23,56.38,56.74,55.84,56.72,642300,55.55
2013-08-22,56.27,56.65,55.57,56.45,579100,55.29
2013-08-21,56.65,56.88,55.76,56.05,967500,54.89
2013-08-20,55.66,57.35,55.66,56.77,947300,55.60
2013-08-19,56.77,56.98,55.53,55.57,882100,54.42
2013-08-16,58.02,58.07,56.38,56.72,2734600,55.55
2013-08-15,59.65,59.65,58.21,58.56,956900,56.78
2013-08-14,60.22,60.36,59.79,59.98,686900,58.16
2013-08-13,61.40,61.50,59.85,60.14,1469900,58.32
2013-08-12,61.43,61.72,61.30,61.49,645400,59.62
2013-08-09,61.51,62.06,61.44,61.81,1042300,59.93
2013-08-08,62.07,62.23,61.49,61.78,646100,59.91
2013-08-07,62.24,62.49,61.49,61.88,847900,60.00
2013-08-06,61.16,62.89,61.16,62.35,2166300,60.46
2013-08-05,61.87,62.35,61.08,61.12,1164000,59.27
2013-08-02,62.08,62.54,61.56,61.85,1316800,59.97
2013-08-01,62.42,62.57,61.84,62.14,1014600,60.25
2013-07-31,63.54,63.60,61.45,62.05,959400,60.17
2013-07-30,63.74,65.15,63.27,63.51,564600,61.58
2013-07-29,63.66,63.84,63.20,63.34,730700,61.42
2013-07-26,64.02,64.21,62.99,63.63,707500,61.70
2013-07-25,64.07,64.49,63.87,64.28,557600,62.33
2013-07-24,65.89,65.89,63.83,64.26,673800,62.31
2013-07-23,65.80,66.12,65.23,65.93,456200,63.93
2013-07-22,65.35,65.79,65.17,65.69,330200,63.70
2013-07-19,65.33,65.47,64.82,65.35,427500,63.37
2013-07-18,64.88,65.34,64.77,65.33,568200,63.35
2013-07-17,64.89,65.00,64.43,64.86,838700,62.89
2013-07-16,64.64,64.84,64.20,64.48,700000,62.52
2013-07-15,63.76,64.81,63.35,64.49,882100,62.53
2013-07-12,63.92,64.37,63.19,63.78,1018900,61.85
2013-07-11,63.59,64.36,63.58,64.13,697900,62.18
2013-07-10,62.92,62.96,61.97,62.80,594600,60.89
2013-07-09,62.46,63.32,62.13,62.96,766400,61.05
2013-07-08,61.47,62.38,61.47,62.04,838700,60.16
2013-07-05,61.51,61.70,59.95,61.40,575800,59.54
2013-07-03,61.25,61.58,60.66,61.18,489100,59.32
2013-07-02,60.54,61.73,60.54,61.72,1141100,59.85
2013-07-01,61.34,61.57,60.43,60.54,574800,58.70
2013-06-28,60.79,61.34,60.24,60.97,1030300,59.12
2013-06-27,60.72,61.37,60.63,61.01,758600,59.16
2013-06-26,59.87,60.75,59.83,60.52,1491300,58.68
2013-06-25,58.46,59.66,58.16,59.38,1039200,57.58
2013-06-24,57.90,59.17,56.68,57.84,812900,56.09
2013-06-21,58.43,58.95,57.38,58.45,1329000,56.68
2013-06-20,60.19,60.28,57.73,57.98,1026200,56.22
2013-06-19,62.70,62.85,60.58,60.79,553200,58.95
2013-06-18,62.49,63.09,61.87,62.70,613000,60.80
2013-06-17,62.44,62.75,62.11,62.40,876800,60.51
2013-06-14,62.63,63.29,61.95,62.25,1177400,60.36
2013-06-13,61.14,62.93,60.85,62.80,1020300,60.89
2013-06-12,61.83,62.10,60.65,60.76,489800,58.92
2013-06-11,62.19,62.46,61.45,61.58,670000,59.71
2013-06-10,63.21,63.21,62.43,62.69,1089700,60.79
2013-06-07,63.18,63.34,62.25,62.75,1393100,60.85
2013-06-06,61.58,62.82,61.42,62.82,2110100,60.91
2013-06-05,62.54,62.98,61.35,61.61,1378200,59.74
2013-06-04,64.06,64.32,62.68,62.69,1634900,60.79
2013-06-03,64.58,64.79,63.67,63.94,1088600,62.00
2013-05-31,65.47,66.28,64.90,64.91,1604200,62.94
2013-05-30,66.07,66.81,65.57,65.86,926200,63.86
2013-05-29,65.83,66.20,64.36,65.85,1203300,63.85
2013-05-28,67.65,67.74,66.08,66.43,1013000,64.41
2013-05-24,66.76,67.00,65.83,66.86,760100,64.83
2013-05-23,68.04,68.05,66.90,67.09,742800,65.05
2013-05-22,70.65,71.44,68.21,68.63,1286700,66.55
2013-05-21,70.97,71.12,70.45,70.65,1394300,68.51
2013-05-20,70.41,70.99,70.40,70.84,1088400,68.69
2013-05-17,70.06,70.60,69.92,70.41,752100,68.27
2013-05-16,70.46,70.92,69.78,70.05,593700,67.92
2013-05-15,70.04,70.70,69.71,70.70,963000,68.56
2013-05-14,70.46,70.72,70.04,70.34,1032700,68.21
2013-05-13,70.15,70.40,69.77,70.34,793700,68.21
2013-05-10,69.85,70.47,69.77,70.24,771800,68.11
2013-05-09,69.80,70.29,69.50,69.66,2207100,67.55
2013-05-08,69.90,70.86,69.68,70.00,30212500,67.88
2013-05-07,70.77,70.83,70.04,70.65,1846000,67.94
2013-05-06,72.01,72.19,70.07,70.81,2827700,68.10
2013-05-03,69.48,70.69,69.32,70.42,974100,67.72
2013-05-02,70.31,70.31,68.99,69.04,906400,66.40
2013-05-01,69.92,70.36,68.57,68.79,875300,66.16
2013-04-30,69.66,70.05,69.25,70.05,1172900,67.37
2013-04-29,69.12,69.56,68.80,69.56,551700,66.90
2013-04-26,68.34,68.89,68.33,68.80,942500,66.17
2013-04-25,67.69,68.53,67.03,68.45,729500,65.83
2013-04-24,67.25,67.64,66.99,67.63,485000,65.04
2013-04-23,67.07,67.35,66.58,67.16,598200,64.59
2013-04-22,67.38,67.39,66.41,66.72,489200,64.16
2013-04-19,66.38,67.34,65.92,67.18,517300,64.61
2013-04-18,66.44,66.49,65.86,66.18,618500,63.65
2013-04-17,67.08,67.08,65.76,66.41,768200,63.87
2013-04-16,66.48,67.46,65.71,67.42,583900,64.84
2013-04-15,67.23,67.64,65.97,65.99,794300,63.46
