Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,22.77,22.86,22.59,22.77,2502800,22.62
2013-12-30,22.46,22.90,22.46,22.80,2058800,22.65
2013-12-27,22.64,22.80,22.45,22.47,1979400,22.32
2013-12-26,22.62,22.79,22.58,22.60,1146300,22.45
2013-12-24,22.52,22.87,22.46,22.61,1360200,22.46
2013-12-23,21.86,22.56,21.78,22.49,3579300,22.34
2013-12-20,21.75,21.98,21.60,21.69,5121700,21.54
2013-12-19,21.70,21.74,21.45,21.67,3507600,21.52
2013-12-18,21.40,21.84,21.09,21.79,5136200,21.64
2013-12-17,21.42,21.43,21.01,21.17,2967600,21.03
2013-12-16,21.48,21.60,21.22,21.43,2050000,21.29
2013-12-13,21.50,21.65,21.04,21.28,3273400,21.14
2013-12-12,21.32,21.61,21.26,21.47,3462800,21.33
2013-12-11,21.47,21.54,21.10,21.29,4163200,21.15
2013-12-10,21.52,21.96,21.49,21.51,3480600,21.37
2013-12-09,21.71,21.84,21.37,21.51,4469100,21.37
2013-12-06,21.69,22.14,21.61,21.64,4082700,21.49
2013-12-05,21.50,21.67,21.17,21.32,3815700,21.18
2013-12-04,21.76,21.80,21.25,21.54,4655300,21.40
2013-12-03,21.87,21.92,21.52,21.75,3393800,21.60
2013-12-02,22.38,22.44,21.88,21.92,4578900,21.77
2013-11-29,22.48,22.59,22.30,22.42,2036700,22.27
2013-11-27,22.28,22.55,22.17,22.49,4203200,22.34
2013-11-26,21.74,22.11,21.70,22.07,6625400,21.92
2013-11-25,21.86,21.92,21.49,21.74,2616800,21.59
2013-11-22,21.96,22.08,21.67,21.79,3766300,21.64
2013-11-21,21.62,22.05,21.34,22.04,3757200,21.89
2013-11-20,21.25,21.90,21.24,21.32,7397100,21.18
2013-11-19,20.96,21.45,20.86,21.05,5258400,20.91
2013-11-18,21.26,21.29,20.69,20.82,2582200,20.68
2013-11-15,21.35,21.49,21.15,21.20,2135700,21.06
2013-11-14,20.99,21.46,20.96,21.19,3040500,21.05
2013-11-13,20.27,21.11,20.27,20.99,4835200,20.85
2013-11-12,20.12,20.53,20.07,20.46,4016900,20.32
2013-11-11,20.35,20.36,20.07,20.30,2044700,20.16
2013-11-08,20.28,20.38,19.78,20.35,4174200,20.21
2013-11-07,20.96,21.24,20.33,20.37,3149600,20.23
2013-11-06,20.86,20.92,20.54,20.76,2524400,20.62
2013-11-05,20.95,21.02,20.69,20.78,4060400,20.64
2013-11-04,21.13,21.28,20.95,21.02,3371300,20.88
