Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,44.65,44.95,44.57,44.75,815500,44.40
2013-12-30,44.22,44.71,44.14,44.46,701100,44.11
2013-12-27,44.40,44.49,44.15,44.28,783900,43.93
2013-12-26,44.72,44.73,44.17,44.35,1144900,44.00
2013-12-24,44.06,44.51,43.85,44.43,1057800,44.08
2013-12-23,43.70,44.19,43.40,44.08,2078700,43.74
2013-12-20,42.63,43.52,42.58,43.42,11114600,43.08
2013-12-19,42.69,42.87,42.43,42.69,2170900,42.36
2013-12-18,41.91,42.56,41.47,42.55,3317000,42.22
2013-12-17,41.70,42.19,41.54,41.94,2137200,41.61
2013-12-16,41.61,41.92,41.53,41.76,1837800,41.43
2013-12-13,41.99,42.06,41.32,41.53,2362600,41.21
2013-12-12,42.64,42.67,41.96,41.97,1623700,41.64
2013-12-11,43.00,43.10,41.96,42.15,2405200,41.82
2013-12-10,43.25,43.43,42.89,43.01,849600,42.67
2013-12-09,43.42,43.73,43.17,43.31,2076300,42.97
2013-12-06,42.94,43.60,42.67,43.56,1881400,43.22
2013-12-05,42.65,42.75,42.06,42.33,1881200,42.00
2013-12-04,42.62,42.88,42.08,42.42,1851000,42.09
2013-12-03,42.80,43.00,42.30,42.64,2923800,42.31
2013-12-02,43.46,43.46,42.69,42.75,1686900,42.42
2013-11-29,43.29,43.66,43.24,43.29,797500,42.95
2013-11-27,43.34,43.53,42.88,43.40,1237200,43.06
2013-11-26,43.76,43.92,43.47,43.49,2160000,43.15
2013-11-25,43.95,43.99,43.31,43.84,1755200,43.50
2013-11-22,43.17,43.90,43.17,43.81,1813700,43.47
2013-11-21,42.94,43.85,42.73,43.83,1661600,43.49
2013-11-20,42.22,43.00,42.20,42.78,1860400,42.45
2013-11-19,42.98,43.00,42.45,42.53,1462600,42.20
2013-11-18,42.64,43.69,42.60,43.35,2696300,42.66
2013-11-15,43.45,43.61,43.05,43.61,1535600,42.92
2013-11-14,43.34,43.50,42.99,43.42,2336200,42.73
2013-11-13,43.18,43.46,42.87,43.44,2443500,42.75
2013-11-12,42.74,43.59,42.71,43.50,2102400,42.81
2013-11-11,42.73,43.04,42.56,42.96,1073900,42.28
2013-11-08,42.22,42.95,42.09,42.89,1541400,42.21
2013-11-07,43.06,43.07,42.12,42.16,1463300,41.49
2013-11-06,42.69,43.10,42.51,42.97,1149400,42.29
2013-11-05,42.43,42.87,42.18,42.66,1691800,41.98
2013-11-04,42.57,42.62,42.25,42.62,2018400,41.94
2013-11-01,43.12,43.26,42.29,42.54,4145100,41.86
2013-10-31,42.50,44.10,41.81,42.96,10558300,42.28
2013-10-30,40.40,40.60,39.76,39.95,2709800,39.31
2013-10-29,39.53,40.41,39.53,40.30,3093400,39.66
2013-10-28,38.88,39.67,38.88,39.41,1904700,38.78
2013-10-25,39.16,39.19,38.55,38.87,2096600,38.25
2013-10-24,39.12,39.29,38.93,38.99,2711800,38.37
2013-10-23,40.24,40.34,38.76,38.94,2667400,38.32
2013-10-22,40.58,40.63,40.04,40.52,1485300,39.88
2013-10-21,40.43,40.62,40.27,40.50,744600,39.86
2013-10-18,40.26,40.30,39.85,40.30,1208600,39.66
2013-10-17,39.61,40.29,39.33,40.19,1032100,39.55
2013-10-16,39.73,39.94,39.46,39.91,1902700,39.28
2013-10-15,40.09,40.30,39.50,39.56,1632800,38.93
2013-10-14,39.97,40.50,39.97,40.39,852300,39.75
2013-10-11,39.58,40.22,39.45,40.10,835600,39.46
2013-10-10,39.07,39.78,39.00,39.69,1341300,39.06
2013-10-09,39.04,39.17,38.46,38.82,1382800,38.20
2013-10-08,39.45,39.58,38.69,38.89,1851200,38.27
2013-10-07,39.12,39.65,38.82,39.48,1478600,38.85
2013-10-04,39.43,39.67,39.32,39.39,1844700,38.76
2013-10-03,39.75,39.89,39.17,39.50,1379500,38.87
2013-10-02,39.96,40.23,39.71,39.89,997200,39.26
2013-10-01,40.31,40.63,40.09,40.30,1365600,39.66
2013-09-30,39.99,40.51,39.73,40.29,1896200,39.65
2013-09-27,40.36,40.47,40.20,40.30,919800,39.66
2013-09-26,40.71,40.84,40.33,40.59,1292000,39.94
2013-09-25,40.95,40.99,40.26,40.35,1473300,39.71
2013-09-24,40.97,41.13,40.51,40.94,1678000,40.29
2013-09-23,40.34,40.53,40.08,40.33,1278300,39.69
2013-09-20,40.45,40.61,40.24,40.24,2180600,39.60
2013-09-19,40.50,40.58,40.24,40.45,1009800,39.81
2013-09-18,40.27,40.44,39.91,40.43,843700,39.79
2013-09-17,40.25,40.49,40.24,40.28,885700,39.64
2013-09-16,40.08,40.15,39.79,40.07,1396700,39.43
2013-09-13,39.51,39.63,39.32,39.60,495500,38.97
2013-09-12,39.45,39.63,39.13,39.47,955700,38.84
2013-09-11,39.30,39.62,39.23,39.43,993900,38.80
2013-09-10,39.27,39.48,39.15,39.43,1101100,38.80
2013-09-09,39.08,39.22,38.77,38.94,1222200,38.32
2013-09-06,39.40,39.41,38.67,38.90,2043600,38.28
2013-09-05,39.45,39.55,38.90,39.11,2744700,38.49
2013-09-04,38.60,39.86,38.59,39.57,2328300,38.94
2013-09-03,39.19,39.76,38.86,39.19,2114100,38.57
2013-08-30,38.44,39.13,38.44,38.81,1518200,38.19
2013-08-29,38.90,39.26,38.82,39.03,1186900,38.41
2013-08-28,38.59,39.15,38.54,38.98,1082700,38.36
2013-08-27,38.79,38.99,38.53,38.54,1528500,37.93
2013-08-26,39.14,39.40,38.91,39.17,1025700,38.55
2013-08-23,39.06,39.15,38.69,39.08,1934800,38.46
2013-08-22,38.86,39.14,38.48,39.06,629800,38.44
2013-08-21,38.97,39.02,38.46,38.84,1256200,38.22
2013-08-20,39.00,39.29,38.92,39.11,892500,38.49
2013-08-19,38.98,39.41,38.90,38.92,1152800,38.30
2013-08-16,39.25,39.85,39.22,39.51,1557400,38.53
2013-08-15,40.01,40.01,39.30,39.41,2034000,38.44
2013-08-14,40.80,40.80,40.32,40.35,1153600,39.35
2013-08-13,40.89,41.00,40.40,40.88,1346800,39.87
2013-08-12,40.50,40.95,40.50,40.76,1290800,39.75
2013-08-09,40.84,41.01,40.50,40.61,1022700,39.61
2013-08-08,41.33,41.37,40.83,40.85,1565400,39.84
