Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,57.26,57.49,57.17,57.39,3299700,57.13
2013-12-30,57.47,57.57,57.29,57.37,1882600,56.83
2013-12-27,57.57,57.69,57.26,57.40,1834800,56.86
2013-12-26,57.50,57.50,57.28,57.47,1887300,56.93
2013-12-24,57.41,57.47,57.13,57.37,1249400,56.83
2013-12-23,57.30,57.44,57.00,57.40,3618800,56.86
2013-12-20,57.13,57.19,56.85,56.89,6769400,56.36
2013-12-19,57.43,57.60,57.09,57.17,4110000,56.63
2013-12-18,56.81,57.77,56.19,57.76,4786000,57.22
2013-12-17,57.31,57.38,56.05,56.59,4638100,56.06
2013-12-16,56.24,56.62,56.13,56.34,3156400,55.81
2013-12-13,55.92,56.18,55.56,55.89,2536100,55.36
2013-12-12,56.11,56.18,55.61,55.65,3496800,55.13
2013-12-11,57.39,57.43,56.20,56.26,4009900,55.73
2013-12-10,57.40,57.65,57.25,57.38,2740300,56.84
2013-12-09,58.17,58.20,57.60,57.87,3579300,57.33
2013-12-06,57.53,58.18,57.49,58.14,3318200,57.59
2013-12-05,56.95,57.07,56.66,56.91,4352800,56.37
2013-12-04,57.27,58.02,56.66,56.93,4469300,56.39
2013-12-03,57.37,57.70,57.08,57.64,4652900,57.10
2013-12-02,57.32,57.99,57.15,57.53,3952100,56.99
2013-11-29,57.49,57.52,57.14,57.32,2247200,56.78
2013-11-27,57.37,57.64,57.14,57.45,2239600,56.91
2013-11-26,57.35,57.49,56.91,57.36,3548500,56.82
2013-11-25,57.75,57.97,57.14,57.28,2647200,56.74
2013-11-22,57.19,57.64,56.83,57.60,3742200,57.06
2013-11-21,57.38,57.46,57.05,57.10,3776300,56.56
2013-11-20,58.04,58.08,56.52,56.89,5823900,56.36
2013-11-19,57.85,58.47,57.30,57.94,4986800,57.40
2013-11-18,58.43,58.62,58.08,58.31,3653000,57.76
2013-11-15,58.75,58.83,58.10,58.55,5443600,58.00
2013-11-14,58.34,58.85,58.00,58.84,3611100,58.29
2013-11-13,57.64,58.20,57.30,58.19,3398200,57.64
2013-11-12,57.99,58.02,57.55,57.89,2612300,57.35
2013-11-11,58.20,58.34,57.97,58.09,2849100,57.54
2013-11-08,57.30,58.04,57.13,58.03,3357500,57.48
2013-11-07,57.56,57.81,57.26,57.30,4102500,56.76
2013-11-06,57.62,58.09,57.35,57.47,4427800,56.93
2013-11-05,56.80,57.23,56.76,57.10,4104300,56.56
2013-11-04,56.45,57.47,56.45,57.27,8695700,56.73
2013-11-01,57.55,57.76,56.96,57.26,4723800,56.72
2013-10-31,58.00,58.09,57.38,57.40,6619000,56.86
2013-10-30,58.64,58.82,57.68,57.94,4035400,57.40
2013-10-29,57.82,58.58,57.63,58.50,5742400,57.95
2013-10-28,57.33,57.96,57.31,57.65,3738700,57.11
2013-10-25,57.62,57.78,57.01,57.36,2817600,56.82
2013-10-24,57.55,57.69,57.01,57.50,4375500,56.96
2013-10-23,56.97,57.88,56.90,57.65,4954100,57.11
2013-10-22,56.57,56.82,56.42,56.73,3183100,56.20
2013-10-21,56.43,56.53,56.01,56.49,3657800,55.96
2013-10-18,56.48,56.70,56.14,56.59,4941000,56.06
2013-10-17,55.41,56.37,55.26,56.32,3477800,55.79
2013-10-16,54.68,55.48,54.67,55.48,3352500,54.96
2013-10-15,55.04,55.37,54.52,54.58,3086100,54.07
2013-10-14,54.76,55.34,54.66,55.19,3452200,54.67
2013-10-11,54.03,55.04,54.02,54.99,4230100,54.47
2013-10-10,53.47,54.27,53.39,54.27,3543400,53.76
2013-10-09,52.56,53.28,52.53,53.06,4238200,52.56
2013-10-08,52.77,53.32,52.44,52.46,5094000,51.97
2013-10-07,52.96,52.98,52.63,52.72,2631300,52.22
2013-10-04,52.99,53.40,52.73,53.35,2228900,52.85
2013-10-03,53.33,53.40,52.62,53.04,3178000,52.54
2013-10-02,53.07,53.53,52.98,53.52,3440300,53.02
2013-10-01,53.34,53.58,53.05,53.52,2987300,52.74
2013-09-30,52.82,53.88,52.60,53.25,5588300,52.47
2013-09-27,52.78,53.11,52.64,53.00,2920300,52.23
2013-09-26,52.74,53.13,52.71,52.94,2067300,52.17
2013-09-25,53.46,53.48,52.76,52.81,3631200,52.04
2013-09-24,53.85,53.87,53.41,53.43,2919000,52.65
2013-09-23,53.72,53.89,53.52,53.76,2611200,52.98
2013-09-20,54.25,54.30,53.65,53.71,6328700,52.93
2013-09-19,54.14,54.15,53.80,54.00,2778200,53.21
2013-09-18,53.91,54.24,53.29,54.08,4809900,53.29
2013-09-17,54.04,54.21,53.80,53.94,2522100,53.15
2013-09-16,54.04,54.23,53.79,54.06,2515700,53.27
2013-09-13,53.71,53.80,53.44,53.58,2256400,52.80
2013-09-12,54.07,54.21,53.51,53.58,3907100,52.80
2013-09-11,54.00,54.25,53.96,54.09,3191600,53.30
2013-09-10,54.09,54.26,53.78,53.96,2956700,53.17
2013-09-09,53.48,53.99,53.45,53.92,3662700,53.13
2013-09-06,53.66,53.88,52.88,53.46,4443300,52.68
2013-09-05,53.22,53.74,53.22,53.66,4618100,52.88
2013-09-04,53.38,53.49,52.86,53.20,11290000,52.42
2013-09-03,52.25,52.58,51.78,52.09,5625300,51.33
2013-08-30,51.97,51.97,51.53,51.75,5442900,51.00
2013-08-29,51.47,52.35,51.22,51.83,4865700,51.07
2013-08-28,51.48,51.80,51.47,51.56,4532200,50.81
2013-08-27,51.89,52.11,51.47,51.51,5667000,50.76
2013-08-26,52.77,53.00,52.35,52.37,4871300,51.61
2013-08-23,53.34,53.72,52.62,52.74,5979800,51.97
2013-08-22,52.76,53.53,52.70,53.36,3485100,52.58
2013-08-21,52.72,53.18,52.52,52.68,5298000,51.91
2013-08-20,52.73,53.14,52.40,52.83,6160700,52.06
2013-08-19,53.65,54.26,53.57,54.10,4325200,53.31
2013-08-16,54.13,54.29,53.89,53.91,4583300,53.12
2013-08-15,54.79,54.95,54.08,54.33,4479400,53.54
2013-08-14,55.10,55.33,54.91,55.20,4784700,54.39
2013-08-13,55.20,55.35,54.65,54.84,4612600,54.04
2013-08-12,55.21,55.29,54.96,55.22,3247400,54.41
2013-08-09,55.76,55.78,55.29,55.37,3868100,54.56
2013-08-08,55.49,55.98,55.39,55.88,4641500,55.06
2013-08-07,55.04,55.35,54.84,55.18,3839300,54.38
2013-08-06,55.35,55.48,55.09,55.13,4429600,54.33
2013-08-05,54.76,55.46,54.67,55.36,5395300,54.55
2013-08-02,54.91,55.16,54.35,54.94,11814400,54.14
2013-08-01,55.34,55.62,55.23,55.49,4418300,54.68
2013-07-31,55.14,55.75,55.03,55.24,4376700,54.43
2013-07-30,55.57,55.90,55.03,55.07,4319100,54.27
2013-07-29,55.54,55.59,55.19,55.32,2831700,54.51
2013-07-26,55.23,55.60,54.84,55.60,2671700,54.79
2013-07-25,55.18,55.53,54.90,55.38,4180700,54.57
2013-07-24,55.51,55.62,55.02,55.09,3155400,54.29
2013-07-23,55.45,55.63,55.15,55.48,4099600,54.67
2013-07-22,54.95,55.58,54.95,55.48,4019000,54.67
2013-07-19,54.65,55.12,54.42,55.02,7319300,54.22
2013-07-18,54.44,54.75,54.32,54.70,4708000,53.90
2013-07-17,54.03,54.78,53.92,54.40,5190200,53.61
2013-07-16,53.63,53.99,53.33,53.52,3623600,52.74
2013-07-15,53.58,53.91,53.52,53.69,4725500,52.91
2013-07-12,53.00,53.55,52.80,53.44,5866200,52.66
2013-07-11,53.40,53.77,53.36,53.74,5063400,52.96
2013-07-10,52.80,53.16,52.69,53.00,4333300,52.23
2013-07-09,52.95,52.99,52.48,52.88,4269500,52.11
2013-07-08,52.61,52.98,52.51,52.79,4606400,52.02
2013-07-05,51.87,52.42,51.85,52.41,3673200,51.65
2013-07-03,51.66,51.87,51.28,51.53,2259100,50.78
2013-07-02,51.78,52.29,51.65,51.81,4872100,51.05
2013-07-01,52.06,52.63,51.91,52.05,4715800,51.01
2013-06-28,51.93,52.17,51.47,51.47,6747100,50.45
2013-06-27,52.13,52.22,51.71,51.93,4382200,50.90
2013-06-26,52.38,52.76,52.00,52.00,4362200,50.97
2013-06-25,52.00,52.19,51.37,51.83,3921300,50.80
2013-06-24,52.07,52.23,51.19,51.58,6412400,50.55
2013-06-21,51.67,52.55,51.66,52.49,8406400,51.45
2013-06-20,51.66,51.98,51.06,51.19,7158700,50.17
2013-06-19,52.99,53.18,52.05,52.05,5714900,51.01
2013-06-18,52.99,53.25,52.45,52.92,5610000,51.87
2013-06-17,53.17,53.80,53.10,53.51,6131000,52.45
2013-06-14,52.88,53.30,52.62,52.92,5463600,51.87
2013-06-13,51.47,52.85,51.09,52.78,5175400,51.73
2013-06-12,52.26,52.48,51.54,51.61,4856600,50.58
2013-06-11,51.66,52.38,51.39,52.07,5355600,51.03
2013-06-10,52.00,52.23,51.66,52.03,3972600,51.00
2013-06-07,51.67,52.13,51.60,52.08,4558100,51.04
2013-06-06,51.04,51.48,50.60,51.48,4679500,50.46
2013-06-05,51.24,51.55,50.94,50.96,5508000,49.95
