Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,69.30,69.34,68.68,68.92,322000,68.56
2013-12-30,68.83,69.35,68.81,69.14,347600,68.78
2013-12-27,68.63,68.90,68.49,68.76,524600,68.40
2013-12-26,68.64,69.12,68.50,68.95,386400,68.22
2013-12-24,68.46,68.89,68.30,68.68,145100,67.96
2013-12-23,68.96,69.00,68.17,68.38,401800,67.66
2013-12-20,68.45,68.99,68.14,68.61,683100,67.89
2013-12-19,68.04,68.53,67.62,68.40,439500,67.68
2013-12-18,67.49,68.26,66.60,68.05,1090300,67.33
2013-12-17,67.64,67.78,67.02,67.48,470400,66.77
2013-12-16,67.69,68.16,67.47,67.70,565500,66.99
2013-12-13,68.04,68.34,67.53,67.66,388700,66.95
2013-12-12,68.71,69.08,67.94,68.01,643700,67.29
2013-12-11,68.95,69.62,68.62,68.94,865900,68.21
2013-12-10,69.67,69.87,68.50,68.51,572900,67.79
2013-12-09,69.66,70.52,69.58,69.88,549600,69.14
2013-12-06,68.50,69.48,68.45,69.37,705800,68.64
2013-12-05,68.50,68.72,67.85,68.02,638500,67.30
2013-12-04,68.36,68.90,67.80,68.59,753400,67.87
2013-12-03,68.83,69.23,68.37,68.84,485500,68.12
2013-12-02,69.06,69.40,68.68,68.91,409000,68.18
2013-11-29,69.41,69.91,68.93,69.00,225600,68.27
2013-11-27,69.44,69.86,69.14,69.39,358600,68.66
2013-11-26,68.96,69.69,68.71,69.14,633400,68.41
2013-11-25,69.56,69.84,68.68,68.79,351700,68.07
2013-11-22,68.94,69.46,68.67,69.36,503900,68.63
2013-11-21,68.77,69.10,68.60,68.93,360700,68.20
2013-11-20,69.39,69.60,68.49,68.61,779600,67.89
2013-11-19,69.55,69.59,68.83,69.31,371500,68.58
2013-11-18,70.04,70.24,69.63,69.78,356200,69.05
2013-11-15,70.15,70.25,69.55,70.09,355800,69.35
2013-11-14,69.80,70.34,69.73,70.20,329200,69.46
2013-11-13,68.85,69.81,68.67,69.80,322000,69.07
2013-11-12,68.87,69.23,68.50,69.19,385500,68.46
2013-11-11,69.13,69.45,68.85,69.12,215400,68.39
2013-11-08,68.81,69.11,68.30,69.10,326600,68.37
2013-11-07,70.19,70.19,68.74,68.91,531600,68.18
2013-11-06,69.39,70.40,69.29,70.15,452700,69.41
2013-11-05,68.78,69.39,68.65,69.11,368700,68.38
2013-11-04,69.09,69.30,68.56,68.97,425400,68.24
2013-11-01,69.15,69.70,68.56,68.71,770700,67.99
2013-10-31,69.27,69.53,68.87,69.15,457700,68.42
2013-10-30,69.89,69.94,69.21,69.30,284200,68.57
2013-10-29,69.61,69.98,69.33,69.97,397900,69.23
2013-10-28,69.15,69.92,68.89,69.61,440800,68.88
2013-10-25,68.66,69.24,68.25,69.15,395000,68.42
2013-10-24,68.72,68.73,68.00,68.62,389300,67.90
2013-10-23,68.42,68.85,68.21,68.58,371100,67.86
2013-10-22,67.56,68.80,67.21,68.51,515600,67.79
2013-10-21,67.70,67.70,67.12,67.32,476100,66.61
2013-10-18,68.44,68.50,67.59,67.92,1302300,67.20
2013-10-17,67.15,68.07,67.06,68.06,519100,67.34
2013-10-16,66.31,67.39,66.12,67.39,659700,66.68
2013-10-15,66.26,66.41,65.79,65.87,475600,65.18
2013-10-14,66.00,66.52,65.87,66.44,411500,65.74
2013-10-11,66.03,66.35,65.83,66.28,477000,65.58
2013-10-10,65.13,66.42,65.13,66.27,644000,65.57
2013-10-09,65.10,65.30,64.43,64.67,608600,63.99
2013-10-08,65.02,65.61,64.78,65.03,807200,64.35
2013-10-07,64.35,65.22,64.27,64.89,571200,64.21
2013-10-04,64.00,64.87,63.81,64.66,705000,63.98
2013-10-03,64.55,64.55,63.38,64.07,1451500,63.40
2013-10-02,64.34,64.82,63.55,64.79,1409900,63.77
2013-10-01,64.74,64.98,64.50,64.88,966400,63.86
2013-09-30,65.00,65.25,64.43,64.70,723600,63.68
2013-09-27,65.96,66.15,64.04,65.40,993200,64.37
2013-09-26,66.45,66.66,66.07,66.56,1095500,65.51
2013-09-25,69.02,69.06,67.90,68.05,405100,66.98
2013-09-24,68.47,69.13,68.28,68.57,378200,67.49
2013-09-23,68.61,68.80,68.08,68.72,312600,67.64
2013-09-20,69.05,69.31,68.85,68.91,594500,67.83
2013-09-19,69.84,69.84,68.63,69.20,684900,68.11
2013-09-18,68.71,69.52,68.41,69.48,739900,68.39
2013-09-17,68.68,68.77,68.31,68.64,358900,67.56
2013-09-16,68.43,69.00,68.29,68.68,342200,67.60
2013-09-13,67.27,67.85,67.27,67.79,350700,66.72
2013-09-12,68.03,68.03,66.96,67.30,804300,66.24
2013-09-11,67.32,67.97,67.11,67.97,253400,66.90
2013-09-10,68.14,68.35,66.90,67.33,506200,66.27
2013-09-09,67.41,68.15,67.41,68.15,369000,67.08
2013-09-06,67.49,67.83,66.76,67.42,288400,66.36
2013-09-05,67.57,67.69,67.18,67.39,273700,66.33
2013-09-04,67.34,67.73,66.94,67.67,410100,66.61
2013-09-03,68.11,68.43,67.00,67.46,353900,66.40
2013-08-30,67.72,67.73,67.19,67.65,476000,66.59
2013-08-29,66.98,67.74,66.67,67.61,418100,66.55
2013-08-28,68.07,68.16,66.92,67.09,903900,66.04
2013-08-27,68.41,68.78,68.02,68.07,477300,67.00
2013-08-26,70.05,70.49,68.76,68.77,586800,67.69
2013-08-23,70.62,70.73,69.77,70.16,515700,69.06
2013-08-22,69.96,70.61,69.58,70.31,210600,69.20
2013-08-21,70.50,70.62,69.77,69.85,306900,68.75
2013-08-20,70.69,71.03,70.38,70.65,273500,69.54
2013-08-19,70.53,70.81,70.37,70.67,306200,69.56
2013-08-16,70.80,70.88,70.29,70.69,366400,69.58
2013-08-15,71.80,71.80,70.67,70.84,355800,69.73
2013-08-14,73.05,73.25,72.10,72.10,398200,70.97
2013-08-13,73.39,73.50,72.87,73.22,223000,72.07
2013-08-12,72.60,73.17,72.12,73.10,356400,71.95
2013-08-09,72.91,73.08,72.44,72.80,460600,71.66
2013-08-08,72.69,73.34,72.41,73.11,347600,71.96
2013-08-07,73.16,73.39,72.50,72.56,370300,71.42
2013-08-06,72.46,73.79,72.42,73.34,531500,72.19
2013-08-05,72.61,72.67,71.90,72.53,318400,71.39
2013-08-02,72.35,72.77,71.86,72.74,276400,71.60
2013-08-01,72.06,72.64,71.97,72.54,511900,71.40
2013-07-31,71.71,71.94,71.26,71.61,327700,70.48
2013-07-30,72.32,72.79,71.51,71.60,390500,70.47
2013-07-29,71.83,72.57,71.76,71.85,281200,70.72
2013-07-26,71.92,72.19,71.11,71.95,264900,70.82
2013-07-25,71.41,72.29,71.36,72.21,330200,71.07
2013-07-24,72.55,72.63,71.44,71.60,290700,70.47
2013-07-23,72.60,72.67,72.02,72.45,303700,71.31
2013-07-22,72.68,72.86,72.14,72.46,589800,71.32
2013-07-19,72.24,73.08,71.85,73.07,712800,71.92
2013-07-18,71.94,72.42,71.69,72.25,406300,71.11
2013-07-17,72.35,72.45,71.57,72.08,637200,70.95
2013-07-16,71.97,72.20,71.45,72.05,513700,70.92
2013-07-15,71.59,72.22,71.59,72.12,322400,70.99
2013-07-12,71.86,71.99,71.45,71.63,514900,70.50
2013-07-11,71.34,72.21,71.13,72.04,828100,70.91
2013-07-10,70.04,70.59,70.00,70.49,585100,69.38
2013-07-09,70.75,70.85,70.12,70.30,438200,69.19
2013-07-08,69.99,70.50,69.71,70.16,510700,69.06
2013-07-05,69.59,69.81,68.81,69.68,389600,68.58
2013-07-03,68.11,69.68,68.11,69.17,612500,68.08
2013-07-02,70.45,70.53,69.69,70.10,787800,68.66
2013-07-01,70.61,70.91,70.25,70.54,742000,69.09
2013-06-28,70.44,70.92,69.66,70.36,791300,68.92
2013-06-27,71.00,71.94,69.60,70.59,1204100,69.14
2013-06-26,71.62,72.35,71.59,72.03,583200,70.55
2013-06-25,71.78,71.78,70.60,71.17,551500,69.71
2013-06-24,70.85,71.83,70.54,71.20,517000,69.74
2013-06-21,70.50,71.53,70.43,71.44,1444800,69.98
2013-06-20,71.59,71.71,69.90,70.00,824800,68.57
2013-06-19,73.48,73.49,72.02,72.02,980700,70.54
2013-06-18,72.71,73.43,72.61,73.36,317300,71.86
2013-06-17,72.60,73.14,72.48,72.80,608000,71.31
2013-06-14,72.17,72.54,71.87,72.25,359500,70.77
2013-06-13,71.51,72.31,71.00,72.13,523800,70.65
2013-06-12,71.47,71.75,71.14,71.37,963200,69.91
2013-06-11,70.62,71.37,70.12,71.00,472400,69.54
2013-06-10,71.00,71.00,70.16,70.78,691200,69.33
