Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,67.94,68.01,67.29,67.77,584800,67.77
2013-12-30,67.56,68.22,67.43,67.80,627600,67.80
2013-12-27,67.73,68.33,67.02,67.42,518600,67.42
2013-12-26,67.23,67.72,66.95,67.46,597700,67.46
2013-12-24,67.35,67.43,66.60,67.36,295700,67.36
2013-12-23,66.43,67.36,66.36,67.11,1379700,67.11
2013-12-20,66.62,67.42,66.19,66.24,2139900,66.24
2013-12-19,65.41,66.55,64.63,66.24,1896000,66.24
2013-12-18,63.50,65.25,63.04,65.16,1869900,65.16
2013-12-17,61.70,64.02,61.66,63.39,1535400,63.39
2013-12-16,63.68,64.21,62.93,63.60,2013100,63.60
2013-12-13,61.93,62.28,61.29,61.46,858500,61.46
2013-12-12,62.37,62.74,61.34,61.59,1165700,61.59
2013-12-11,63.54,63.57,62.62,62.69,988000,62.69
2013-12-10,63.12,63.45,62.97,63.27,1078100,63.27
2013-12-09,63.04,63.30,62.69,63.11,798500,63.11
2013-12-06,62.90,63.37,62.18,63.05,1051500,63.05
2013-12-05,62.19,62.53,61.18,62.29,1453900,62.29
2013-12-04,61.04,62.56,60.57,62.49,2264800,62.49
2013-12-03,59.16,61.38,59.16,61.27,2351800,61.27
2013-12-02,61.64,61.65,59.29,59.51,2121400,59.51
2013-11-29,60.00,60.25,59.08,59.18,505500,59.18
2013-11-27,59.19,59.99,58.77,59.85,1183500,59.85
2013-11-26,57.71,59.00,57.57,58.80,2634800,58.80
2013-11-25,57.67,58.54,57.07,57.22,1737100,57.22
2013-11-22,57.07,57.48,56.92,57.32,1685900,57.32
2013-11-21,56.90,57.55,56.76,57.14,1388700,57.14
2013-11-20,57.09,57.44,56.74,56.85,1343200,56.85
2013-11-19,56.96,57.61,56.78,57.06,1275500,57.06
2013-11-18,57.64,57.95,56.98,57.03,1239900,57.03
2013-11-15,58.49,58.49,56.66,57.46,1200200,57.46
2013-11-14,57.27,58.15,57.09,57.72,1065600,57.72
2013-11-13,55.90,57.15,55.64,57.09,1247400,57.09
2013-11-12,55.55,56.54,55.44,55.99,1651600,55.99
2013-11-11,55.18,56.02,55.06,55.80,1501800,55.80
2013-11-08,55.91,57.68,54.41,55.16,3332600,55.16
2013-11-07,57.75,57.85,57.03,57.11,1883200,57.11
2013-11-06,57.51,58.00,56.86,57.83,1190500,57.83
2013-11-05,56.81,58.18,56.50,57.52,1075700,57.52
2013-11-04,56.76,57.33,56.59,56.70,1119300,56.70
2013-11-01,57.55,57.70,56.45,56.69,1036500,56.69
2013-10-31,57.96,58.20,57.15,57.23,979300,57.23
2013-10-30,58.32,58.92,57.50,58.00,708100,58.00
2013-10-29,58.72,58.98,58.03,58.53,1044300,58.53
2013-10-28,58.94,59.00,58.14,58.50,1056600,58.50
2013-10-25,57.63,58.37,57.44,58.15,815900,58.15
2013-10-24,56.84,57.61,56.43,57.36,1675200,57.36
2013-10-23,57.09,57.72,56.71,56.74,982600,56.74
2013-10-22,57.48,58.08,57.37,57.58,798300,57.58
2013-10-21,57.96,58.14,57.06,57.43,1411600,57.43
2013-10-18,57.95,58.59,57.20,57.72,1703900,57.72
2013-10-17,56.78,58.65,56.52,57.45,2303600,57.45
2013-10-16,55.84,56.84,55.68,56.47,1583900,56.47
2013-10-15,54.96,55.75,54.78,55.56,1755300,55.56
2013-10-14,53.35,55.40,53.27,55.13,1373700,55.13
2013-10-11,53.59,53.94,53.12,53.75,954900,53.75
2013-10-10,53.62,53.89,52.93,53.85,964100,53.85
2013-10-09,53.52,54.49,52.93,53.26,2814400,53.26
2013-10-08,51.52,54.65,51.26,53.59,3873600,53.59
2013-10-07,51.41,52.02,51.15,51.65,1460100,51.65
2013-10-04,51.81,52.44,51.51,51.87,1876200,51.87
2013-10-03,52.09,52.15,51.62,51.75,1811300,51.75
2013-10-02,51.97,52.25,51.71,52.22,2051200,52.22
2013-10-01,52.43,52.64,52.01,52.60,1670000,52.60
2013-09-30,52.90,52.98,51.85,52.25,1690900,52.25
2013-09-27,53.41,53.61,52.77,53.07,1038000,53.07
2013-09-26,54.40,54.90,53.06,53.57,1263700,53.57
2013-09-25,54.60,55.22,53.95,54.34,822800,54.34
2013-09-24,55.28,55.58,54.58,54.74,944600,54.74
2013-09-23,54.87,55.82,54.34,54.86,1511400,54.86
2013-09-20,55.64,56.02,53.85,55.90,5678600,55.90
2013-09-19,58.25,58.74,56.11,56.17,1885300,56.17
2013-09-18,57.04,58.17,56.49,58.03,1228900,58.03
2013-09-17,55.98,57.82,55.81,57.03,1136100,57.03
2013-09-16,55.81,56.59,55.49,55.75,738100,55.75
2013-09-13,55.15,55.35,54.34,55.05,996200,55.05
2013-09-12,55.34,55.43,54.89,55.10,952600,55.10
2013-09-11,55.77,56.24,55.26,55.52,1474300,55.52
