Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,38.32,38.54,38.20,38.39,10342600,37.89
2013-12-30,38.36,38.44,38.14,38.36,7086900,37.86
2013-12-27,38.36,38.46,38.21,38.31,4269500,37.81
2013-12-26,38.09,38.30,38.08,38.25,5246000,37.75
2013-12-24,38.21,38.44,38.05,38.08,10126100,37.58
2013-12-23,38.21,38.30,37.85,38.14,13530200,37.64
2013-12-20,38.33,38.58,38.16,38.57,16852000,37.59
2013-12-19,38.05,38.25,37.90,38.22,8964200,37.25
2013-12-18,37.56,38.17,37.19,38.16,12910600,37.19
2013-12-17,37.24,37.63,37.15,37.45,9325400,36.50
2013-12-16,37.14,37.34,37.07,37.24,7481400,36.30
2013-12-13,37.22,37.29,36.84,37.10,12439700,36.16
2013-12-12,37.58,37.74,37.10,37.20,9241400,36.26
2013-12-11,37.36,37.75,37.30,37.67,9825300,36.72
2013-12-10,37.58,37.63,37.10,37.32,7750300,36.37
2013-12-09,37.50,37.74,37.31,37.69,6813600,36.73
2013-12-06,37.22,37.46,37.18,37.46,6717600,36.51
2013-12-05,37.12,37.22,36.90,36.96,7198300,36.02
2013-12-04,37.00,37.33,36.92,37.23,7975500,36.29
2013-12-03,36.86,37.31,36.86,37.17,7807400,36.23
2013-12-02,37.01,37.20,36.88,36.95,7143500,36.01
2013-11-29,37.12,37.16,36.92,36.98,4002100,36.04
2013-11-27,37.08,37.24,36.91,37.15,4064400,36.21
2013-11-26,37.24,37.25,36.95,37.00,7358600,36.06
2013-11-25,37.39,37.43,37.05,37.12,4369500,36.18
2013-11-22,37.13,37.28,36.81,37.27,6371500,36.33
2013-11-21,37.64,37.64,36.68,37.14,12595000,36.20
2013-11-20,37.85,38.00,37.45,37.61,6026500,36.66
2013-11-19,37.90,37.92,37.68,37.83,5761400,36.87
2013-11-18,38.07,38.10,37.81,38.03,5357200,37.07
2013-11-15,37.64,38.00,37.64,38.00,5334200,37.04
2013-11-14,37.55,37.93,37.55,37.70,6891500,36.74
2013-11-13,37.14,37.59,37.11,37.58,5805000,36.63
2013-11-12,37.44,37.48,37.06,37.31,7475700,36.36
2013-11-11,37.50,37.60,37.33,37.45,4232400,36.50
2013-11-08,37.40,37.55,37.02,37.55,13586400,36.60
2013-11-07,37.83,37.87,37.25,37.50,6410000,36.55
