Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,47.00,47.30,46.92,47.27,1624900,47.03
2013-12-30,47.11,47.34,46.94,47.01,1305200,46.77
2013-12-27,47.01,47.21,46.78,47.02,1603900,46.78
2013-12-26,46.75,47.10,46.70,46.94,1471900,46.70
2013-12-24,46.49,46.81,46.45,46.69,888800,46.45
2013-12-23,45.86,46.53,45.58,46.50,3826900,46.26
2013-12-20,44.57,45.90,44.50,45.72,5053500,45.49
2013-12-19,44.51,44.74,44.38,44.68,2370300,44.45
2013-12-18,44.48,44.80,43.89,44.78,2390600,44.55
2013-12-17,44.38,44.74,44.20,44.52,3077400,44.29
2013-12-16,44.14,44.38,43.71,44.08,2895600,43.86
2013-12-13,43.82,44.32,43.72,43.97,3058900,43.75
2013-12-12,44.23,44.32,43.72,43.79,3954600,43.57
2013-12-11,45.37,45.41,44.33,44.34,3919500,44.11
2013-12-10,45.89,45.95,45.10,45.35,3526200,45.12
2013-12-09,47.22,47.26,45.67,46.00,6299300,45.77
2013-12-06,47.26,47.91,46.64,46.79,3533300,46.55
2013-12-05,47.84,47.84,46.91,46.97,2835200,46.73
2013-12-04,46.64,48.13,46.50,47.93,5096900,47.69
2013-12-03,46.98,47.21,46.19,46.40,3723800,46.16
2013-12-02,48.00,48.25,47.38,47.47,2612900,46.98
2013-11-29,47.23,48.23,47.16,47.90,2161800,47.40
2013-11-27,46.90,47.05,46.70,46.88,2163100,46.40
2013-11-26,47.20,47.53,46.93,46.94,2436200,46.45
2013-11-25,47.51,47.87,47.01,47.16,2650100,46.67
2013-11-22,46.59,47.65,46.26,47.51,4519900,47.02
2013-11-21,47.50,47.72,46.25,46.42,3887300,45.94
2013-11-20,47.56,47.64,46.59,47.31,3771300,46.82
2013-11-19,48.32,48.67,47.12,47.78,3372900,47.29
2013-11-18,49.81,49.81,48.32,48.43,3827200,47.93
2013-11-15,48.19,49.21,48.11,49.05,4763600,48.54
2013-11-14,48.25,48.25,47.74,48.16,3346900,47.66
2013-11-13,47.75,48.30,47.61,48.20,2588200,47.70
2013-11-12,47.99,48.10,47.58,48.02,3638200,47.52
2013-11-11,48.00,48.44,47.71,48.13,5170900,47.63
2013-11-08,46.76,48.09,46.62,48.01,5744500,47.51
2013-11-07,46.41,47.25,46.33,46.96,5230600,46.47
2013-11-06,46.08,46.39,45.85,46.35,2869700,45.87
2013-11-05,46.54,47.15,45.49,46.05,5418000,45.57
2013-11-04,46.40,46.90,46.26,46.73,3654400,46.25
2013-11-01,45.94,46.39,45.65,46.10,2837300,45.62
2013-10-31,46.66,46.98,45.81,45.85,3091400,45.38
2013-10-30,47.00,47.22,46.31,46.68,2239500,46.20
2013-10-29,46.87,47.03,46.56,46.93,2316100,46.44
