Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,49.74,50.08,49.53,50.05,8474900,49.66
2013-12-30,49.74,49.94,49.33,49.94,6321900,49.55
2013-12-27,49.77,49.90,49.53,49.79,4244300,49.40
2013-12-26,49.44,49.75,49.36,49.72,5069800,49.33
2013-12-24,49.43,49.67,49.23,49.41,4252900,49.03
2013-12-23,49.44,49.70,49.25,49.36,8263900,48.98
2013-12-20,48.86,49.45,48.63,49.32,16805100,48.94
2013-12-19,48.75,48.95,48.53,48.79,8762400,48.41
2013-12-18,47.87,48.93,47.65,48.90,13549700,48.52
2013-12-17,47.93,48.00,47.61,47.90,13900000,47.53
2013-12-16,48.30,48.59,47.89,48.09,11349200,47.72
2013-12-13,48.74,48.90,48.06,48.38,8396300,48.01
2013-12-12,48.57,48.78,48.03,48.32,11611700,47.95
2013-12-11,49.51,49.53,48.75,48.95,14504000,48.13
2013-12-10,49.28,49.55,49.10,49.43,10236400,48.61
2013-12-09,49.38,49.85,49.20,49.56,9331500,48.73
2013-12-06,49.13,49.57,48.96,49.39,7403200,48.57
2013-12-05,48.91,49.25,48.77,48.81,8721900,48.00
2013-12-04,49.60,49.65,48.82,49.31,11451600,48.49
2013-12-03,49.82,50.06,49.38,49.76,13604400,48.93
2013-12-02,49.74,50.42,49.74,50.18,14829900,49.34
2013-11-29,49.79,49.95,49.48,49.83,6900000,49.00
2013-11-27,49.59,49.91,49.56,49.83,11565500,49.00
2013-11-26,49.66,49.75,49.16,49.58,22939300,48.75
2013-11-25,48.95,49.84,48.94,49.66,18282100,48.83
2013-11-22,48.49,49.04,48.44,48.94,13967900,48.12
2013-11-21,48.22,48.70,48.16,48.62,12837100,47.81
2013-11-20,47.98,48.42,47.75,48.13,8251900,47.33
2013-11-19,48.05,48.17,47.65,48.07,8345300,47.27
2013-11-18,48.04,48.26,47.78,48.01,7930100,47.21
2013-11-15,47.63,48.28,47.63,48.07,11991500,47.27
2013-11-14,47.52,47.87,47.50,47.82,11280600,47.02
2013-11-13,46.74,47.37,46.65,47.34,14157400,46.55
2013-11-12,46.95,47.63,46.80,47.59,13950600,46.80
2013-11-11,46.91,47.15,46.88,47.00,7533400,46.22
2013-11-08,45.93,46.87,45.86,46.80,17423800,46.02
2013-11-07,46.15,46.24,45.78,45.82,11675400,45.06
2013-11-06,45.56,46.02,45.34,45.96,12361300,45.19
2013-11-05,45.59,45.78,45.32,45.36,10420500,44.60
2013-11-04,45.92,46.27,45.66,45.72,16177500,44.96
2013-11-01,44.87,45.35,44.62,45.23,20893500,44.48
2013-10-31,45.31,45.46,45.09,45.09,14994200,44.34
2013-10-30,45.75,45.76,45.11,45.24,9958500,44.49
2013-10-29,45.41,45.67,45.08,45.58,15890000,44.82
2013-10-28,45.57,45.82,45.21,45.35,27297600,44.59
2013-10-25,46.25,46.58,45.85,46.54,17894000,45.76
2013-10-24,46.80,46.86,46.19,46.22,11201100,45.45
2013-10-23,46.60,46.72,46.48,46.56,9650700,45.78
2013-10-22,46.31,46.72,46.14,46.47,15841500,45.70
2013-10-21,46.70,46.72,46.08,46.51,16678000,45.73
2013-10-18,47.37,47.45,46.47,46.61,20632400,45.83
2013-10-17,47.13,47.28,46.89,47.11,13878500,46.32
2013-10-16,46.61,47.17,46.57,47.17,11102700,46.38
2013-10-15,46.52,46.83,46.42,46.57,14161000,45.79
2013-10-14,46.80,47.08,46.44,46.75,20674500,45.97
2013-10-11,47.42,47.49,47.15,47.29,10253500,46.50
2013-10-10,47.60,47.63,46.96,47.49,17262400,46.70
2013-10-09,47.69,47.82,47.14,47.27,15353400,46.48
2013-10-08,47.84,48.15,47.64,47.75,14020700,46.95
2013-10-07,47.92,48.23,47.68,47.89,9195800,47.09
2013-10-04,48.27,48.36,47.94,48.23,11570800,47.43
2013-10-03,48.22,48.75,48.00,48.36,17900500,47.55
2013-10-02,48.45,48.55,48.12,48.37,13975300,47.56
2013-10-01,48.92,49.23,48.15,48.74,27339200,47.93
2013-09-30,47.64,47.87,47.29,47.61,16244000,46.82
2013-09-27,47.57,47.91,47.29,47.79,10510300,46.99
2013-09-26,47.78,48.00,47.51,47.68,10261100,46.89
2013-09-25,47.67,47.99,47.42,47.67,11356300,46.88
2013-09-24,47.63,48.22,47.52,47.53,13300600,46.74
2013-09-23,47.79,48.06,47.54,47.68,12605700,46.89
2013-09-20,48.33,48.40,47.87,48.01,27961000,47.21
2013-09-19,48.47,48.49,48.10,48.26,9328000,47.46
2013-09-18,47.81,48.71,47.63,48.40,14008700,47.59
2013-09-17,48.11,48.23,47.94,48.01,7703300,47.21
2013-09-16,48.25,48.45,48.10,48.19,9428200,47.39
2013-09-13,47.88,47.99,47.67,47.79,7681000,46.99
2013-09-12,47.80,47.98,47.65,47.85,9502400,47.05
2013-09-11,48.03,48.51,47.96,48.14,13379100,46.91
2013-09-10,47.86,48.40,47.86,47.98,30808600,46.76
2013-09-09,47.60,47.85,47.48,47.74,29180200,46.53
2013-09-06,47.57,47.82,47.06,47.49,26664900,46.28
2013-09-05,47.79,47.79,47.26,47.51,7898200,46.30
2013-09-04,47.13,47.88,47.11,47.68,11065200,46.47
2013-09-03,47.52,47.66,47.01,47.21,14212400,46.01
2013-08-30,47.09,47.48,47.02,47.29,8326300,46.09
2013-08-29,46.97,47.40,46.79,47.10,9695400,45.90
2013-08-28,46.78,47.40,46.47,47.09,9812200,45.89
2013-08-27,47.32,47.52,46.93,47.11,10842400,45.91
2013-08-26,47.80,47.90,47.53,47.62,9220200,46.41
2013-08-23,47.98,47.98,47.45,47.73,9176300,46.52
2013-08-22,47.63,47.98,47.40,47.81,8630300,46.59
2013-08-21,47.56,48.04,47.30,47.46,10800000,46.25
2013-08-20,47.65,48.38,47.56,47.56,14095000,46.35
2013-08-19,47.47,47.80,47.45,47.58,8378300,46.37
2013-08-16,47.79,48.00,47.48,47.70,13200400,46.49
2013-08-15,48.28,48.36,47.85,47.97,11341500,46.75
2013-08-14,48.55,48.76,48.41,48.57,8530900,47.33
2013-08-13,48.52,48.85,48.08,48.43,7455100,47.20
2013-08-12,48.16,48.81,48.09,48.47,9935100,47.24
2013-08-09,48.44,48.78,48.26,48.39,7888200,47.16
2013-08-08,48.66,48.84,48.19,48.47,8631400,47.24
2013-08-07,48.35,48.75,48.35,48.55,9666300,47.31
2013-08-06,48.48,48.59,48.09,48.44,9944500,47.21
2013-08-05,48.39,48.66,48.07,48.53,6789100,47.30
2013-08-02,48.44,48.54,48.18,48.54,8922200,47.30
2013-08-01,48.44,48.68,48.04,48.58,13547800,47.34
2013-07-31,48.50,48.73,47.97,48.17,21576400,46.94
2013-07-30,48.29,49.08,47.84,48.05,16778200,46.83
2013-07-29,48.27,48.79,48.15,48.34,10291600,47.11
2013-07-26,48.05,48.49,47.78,48.49,9846200,47.26
2013-07-25,47.53,48.19,47.35,48.17,10040400,46.94
2013-07-24,47.92,48.04,47.51,47.77,8941200,46.55
2013-07-23,47.81,48.22,47.54,47.93,9242000,46.71
2013-07-22,47.85,48.25,47.55,47.72,11318700,46.51
2013-07-19,47.47,47.92,47.20,47.79,14228700,46.57
2013-07-18,48.03,48.13,47.35,47.40,17822000,46.19
2013-07-17,48.28,48.77,48.13,48.13,9507800,46.91
2013-07-16,48.56,48.83,48.03,48.23,15273600,47.00
2013-07-15,48.51,48.89,48.26,48.52,9654400,47.29
2013-07-12,48.40,48.66,48.19,48.54,8855500,47.30
2013-07-11,48.43,48.50,48.13,48.31,11442000,47.08
2013-07-10,47.62,48.18,47.59,47.96,7780700,46.74
2013-07-09,47.72,48.00,47.61,47.62,10316700,46.41
2013-07-08,47.37,47.63,47.24,47.41,10977400,46.20
2013-07-05,46.93,47.30,46.61,47.16,8103000,45.96
2013-07-03,46.48,46.73,46.16,46.55,6874000,45.37
2013-07-02,46.09,46.73,46.03,46.55,11315900,45.37
2013-07-01,46.26,46.85,46.22,46.32,13112200,45.14
2013-06-28,47.46,47.48,46.45,46.45,16339800,45.27
2013-06-27,47.03,47.36,46.87,47.28,11639800,46.08
2013-06-26,46.60,46.91,46.28,46.69,11435900,45.50
2013-06-25,46.53,46.68,46.08,46.23,12023000,45.05
2013-06-24,46.47,46.86,46.06,46.41,18080700,45.23
2013-06-21,46.87,47.60,46.67,47.00,24287800,45.80
2013-06-20,47.42,47.42,46.21,46.31,17824900,45.13
2013-06-19,47.71,48.17,47.45,47.58,17994200,46.37
2013-06-18,47.88,48.05,47.66,47.75,11816800,46.53
2013-06-17,48.33,48.55,47.56,47.80,12485200,46.58
2013-06-14,47.77,48.53,47.50,47.95,13632300,46.73
2013-06-13,46.74,47.94,46.49,47.90,14773200,46.68
2013-06-12,47.89,48.10,47.23,47.25,16853900,45.63
2013-06-11,48.07,48.20,47.55,47.56,54150100,45.93
2013-06-10,48.65,48.89,48.36,48.46,48557200,46.80
2013-06-07,48.77,49.14,48.10,48.19,50431900,46.54
2013-06-06,48.64,48.73,47.75,48.60,19895900,46.93
2013-06-05,49.02,49.73,48.47,48.73,24923100,47.06
2013-06-04,48.20,50.16,48.17,49.44,37008600,47.74
2013-06-03,48.93,49.36,48.31,48.45,37982300,46.79
2013-05-31,46.93,47.68,46.69,46.70,21726100,45.10
2013-05-30,47.02,47.39,46.74,47.07,15203500,45.45
2013-05-29,47.29,47.47,46.51,46.87,16051700,45.26
2013-05-28,47.94,48.64,47.52,47.62,17663900,45.99
2013-05-24,47.05,47.16,46.60,47.16,15796000,45.54
2013-05-23,46.46,47.44,46.42,47.33,22579600,45.71
2013-05-22,47.60,48.30,46.49,46.71,42624900,45.11
2013-05-21,45.24,47.53,45.19,47.33,47020700,45.71
2013-05-20,45.96,46.02,45.10,45.21,16730000,43.66
2013-05-17,46.29,46.71,45.08,45.99,21730400,44.41
2013-05-16,46.58,46.70,45.01,46.37,11962700,44.78
2013-05-15,46.73,47.26,46.46,46.73,13197800,45.13
2013-05-14,46.12,46.77,46.00,46.65,13413900,45.05
2013-05-13,45.84,46.23,45.68,46.17,10246200,44.59
2013-05-10,45.54,45.95,45.49,45.95,13923800,44.37
2013-05-09,45.25,45.62,44.95,45.49,14175700,43.93
2013-05-08,45.12,45.60,44.97,44.99,18308300,43.45
2013-05-07,45.10,45.30,44.88,45.27,14528700,43.72
2013-05-06,45.51,46.00,44.97,44.98,14096300,43.44
2013-05-03,46.25,46.38,45.46,45.67,12874600,44.10
2013-05-02,45.90,46.01,45.49,45.73,14245600,44.16
2013-05-01,44.80,46.31,44.60,45.69,39740800,44.12
2013-04-30,47.75,47.84,47.00,47.00,19744700,45.39
2013-04-29,47.88,48.12,47.72,47.82,11375900,46.18
2013-04-26,47.27,48.07,47.11,47.87,10601600,46.23
2013-04-25,47.95,48.00,47.28,47.35,15937100,45.73
2013-04-24,48.67,48.79,47.87,47.95,15546200,46.30
2013-04-23,47.95,48.70,47.93,48.63,17653500,46.96
2013-04-22,47.45,47.97,47.18,47.92,14265400,46.28
2013-04-19,46.86,47.49,46.66,47.49,12705300,45.86
2013-04-18,46.86,46.98,46.49,46.56,11272600,44.96
2013-04-17,46.72,46.91,46.41,46.76,11777200,45.16
2013-04-16,46.64,47.05,46.50,46.96,10185700,45.35
2013-04-15,46.89,47.50,46.46,46.46,15347300,44.87
2013-04-12,46.67,47.13,46.65,47.11,10064400,45.49
2013-04-11,46.68,47.51,46.68,47.21,17537900,45.59
2013-04-10,45.91,46.97,45.78,46.84,18735100,45.23
2013-04-09,45.73,45.94,45.34,45.51,10599300,43.95
2013-04-08,45.09,45.48,44.96,45.48,10153500,43.92
2013-04-05,45.04,45.23,44.89,45.13,12601500,43.58
2013-04-04,45.39,45.88,45.01,45.32,13967400,43.76
2013-04-03,45.00,46.16,45.00,45.36,25872200,43.80
2013-04-02,44.51,45.00,44.42,44.91,12786500,43.37
2013-04-01,44.00,44.37,43.77,44.35,9901900,42.83
2013-03-28,44.05,44.31,43.96,44.20,16641700,42.68
2013-03-27,44.13,44.25,43.91,44.10,10970900,42.59
