Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,21.41,21.93,21.38,21.75,25122400,21.75
2013-12-30,21.45,21.68,21.23,21.30,19267100,21.30
2013-12-27,21.93,21.99,21.46,21.52,19386300,21.52
2013-12-26,21.83,22.25,21.74,21.74,17095500,21.74
2013-12-24,21.63,21.90,21.60,21.82,12857500,21.82
2013-12-23,21.44,21.67,21.22,21.49,40831000,21.49
2013-12-20,21.80,22.58,21.76,22.17,49176400,22.17
2013-12-19,21.73,22.28,21.56,21.62,37767000,21.62
2013-12-18,22.49,22.49,20.81,21.81,106635200,21.81
2013-12-17,22.85,22.98,22.55,22.92,26694900,22.92
2013-12-16,23.17,23.42,22.66,22.77,35065800,22.77
2013-12-13,22.73,23.20,22.65,23.08,31018700,23.08
2013-12-12,22.68,23.09,22.36,22.54,52600200,22.54
2013-12-11,22.47,22.91,22.29,22.50,52447500,22.50
2013-12-10,23.12,23.44,22.80,23.14,41919500,23.14
2013-12-09,22.66,23.67,22.60,23.12,65756700,23.12
2013-12-06,21.97,22.31,21.80,22.31,32237800,22.31
2013-12-05,21.86,22.09,21.59,21.65,30302800,21.65
2013-12-04,21.68,21.93,21.41,21.76,34609000,21.76
2013-12-03,21.44,21.90,21.33,21.83,43553100,21.83
2013-12-02,21.10,21.64,20.96,21.27,34102800,21.27
2013-11-29,21.30,21.31,20.90,21.10,20081800,21.10
2013-11-27,20.41,21.19,20.29,21.17,40572700,21.17
2013-11-26,19.93,20.41,19.83,20.31,33585000,20.31
2013-11-25,20.44,20.50,19.71,19.86,33866000,19.86
2013-11-22,19.91,20.32,19.66,20.19,40144800,20.19
2013-11-21,19.04,20.11,18.96,19.99,93347300,19.99
2013-11-20,19.19,19.22,18.51,18.80,44809000,18.80
2013-11-19,19.35,19.87,19.05,19.06,51853700,19.06
2013-11-18,19.58,19.88,19.09,19.29,47549900,19.29
2013-11-15,19.38,19.83,19.22,19.46,51592800,19.46
2013-11-14,18.91,19.20,18.90,19.19,31418000,19.19
2013-11-13,18.47,18.99,18.42,18.92,38821200,18.92
2013-11-12,18.17,18.67,18.12,18.63,32224800,18.63
2013-11-11,18.04,18.28,17.90,18.27,36990400,18.27
2013-11-08,17.70,18.12,17.61,18.11,33201300,18.11
2013-11-07,17.83,18.16,17.58,17.72,54192000,17.72
2013-11-06,17.77,17.82,17.39,17.50,21799500,17.50
2013-11-05,17.74,17.79,17.49,17.67,23797000,17.67
2013-11-04,17.62,17.99,17.52,17.89,37798300,17.89
2013-11-01,17.75,17.91,17.43,17.58,41364500,17.58
2013-10-31,17.28,17.80,17.18,17.68,42547400,17.68
2013-10-30,17.61,17.64,17.27,17.39,32373200,17.39
2013-10-29,17.02,17.50,16.93,17.50,51381400,17.50
2013-10-28,16.52,16.75,16.30,16.72,19926900,16.72
2013-10-25,16.92,16.99,16.52,16.58,28678300,16.58
2013-10-24,16.43,16.92,16.40,16.83,30291300,16.83
2013-10-23,16.49,16.59,16.35,16.55,39244600,16.55
2013-10-22,16.70,16.94,16.40,16.76,48362800,16.76
2013-10-21,17.03,17.14,16.51,16.57,44886200,16.57
2013-10-18,17.17,17.25,16.96,17.03,34970600,17.03
2013-10-17,17.00,17.16,16.74,17.15,40714800,17.15
2013-10-16,17.08,17.30,16.91,16.96,49096400,16.96
2013-10-15,17.08,17.43,16.84,16.92,63043900,16.92
2013-10-14,16.57,17.15,16.17,17.07,62909500,17.07
2013-10-11,17.89,18.01,16.56,16.84,153906100,16.84
2013-10-10,18.36,18.59,18.06,18.43,78690500,18.43
2013-10-09,18.03,18.45,17.15,18.15,67714300,18.15
2013-10-08,18.60,18.65,17.73,17.93,57008600,17.93
2013-10-07,18.77,18.85,18.48,18.49,61970900,18.49
2013-10-04,18.08,18.55,18.01,18.47,48080600,18.47
2013-10-03,17.94,18.10,17.37,18.02,59041700,18.02
2013-10-02,17.65,18.13,17.55,17.66,49128100,17.66
2013-10-01,17.54,17.75,17.34,17.61,32979500,17.61
2013-09-30,17.32,17.64,17.14,17.47,30082400,17.47
2013-09-27,17.47,17.95,17.41,17.62,45015600,17.62
2013-09-26,17.32,17.53,17.18,17.47,49153400,17.47
2013-09-25,17.06,17.33,16.94,16.97,44413400,16.97
2013-09-24,17.13,17.16,16.83,17.04,34793100,17.04
2013-09-23,17.23,17.35,16.74,17.05,30442400,17.05
2013-09-20,17.24,17.49,17.13,17.23,30036800,17.23
2013-09-19,17.51,17.59,17.02,17.16,43702900,17.16
2013-09-18,16.88,17.30,16.82,17.27,43515600,17.27
2013-09-17,16.47,16.86,16.23,16.84,32439700,16.84
2013-09-16,16.54,16.69,16.41,16.44,35709000,16.44
2013-09-13,16.00,16.24,15.67,16.20,55788100,16.20
2013-09-12,16.52,16.85,16.14,16.20,55883900,16.20
2013-09-11,16.30,16.60,16.00,16.49,48497900,16.49
2013-09-10,15.90,16.65,15.87,16.26,80821300,16.26
2013-09-09,15.40,15.69,15.30,15.62,32745800,15.62
2013-09-06,15.24,15.36,14.96,15.26,38111000,15.26
2013-09-05,14.95,15.21,14.94,15.17,38713900,15.17
2013-09-04,14.97,15.27,14.44,14.75,117540600,14.75
2013-09-03,13.78,14.15,13.70,14.01,37060500,14.01
2013-08-30,13.59,13.68,13.30,13.57,22278600,13.57
2013-08-29,13.23,13.74,13.23,13.57,23787700,13.57
2013-08-28,13.18,13.35,13.06,13.24,36138600,13.24
2013-08-27,13.56,13.59,13.05,13.18,39898700,13.18
2013-08-26,13.90,13.92,13.72,13.78,16331500,13.78
2013-08-23,13.91,13.93,13.73,13.86,15663000,13.86
2013-08-22,13.75,14.08,13.74,13.86,15091700,13.86
2013-08-21,13.81,13.90,13.56,13.63,29709100,13.63
2013-08-20,13.81,13.91,13.65,13.80,24379600,13.80
2013-08-19,14.00,14.03,13.77,13.80,25506900,13.80
2013-08-16,14.17,14.35,13.95,14.01,30624000,14.01
2013-08-15,14.41,14.41,13.97,14.13,53528900,14.13
2013-08-14,14.82,15.07,14.57,14.82,47850600,14.82
2013-08-13,14.14,14.98,14.08,14.97,84457700,14.97
2013-08-12,13.95,14.16,13.77,13.83,35376800,13.83
2013-08-09,13.75,14.52,13.74,13.99,64619700,13.99
2013-08-08,13.81,14.05,13.61,13.95,39511800,13.95
2013-08-07,14.00,14.04,13.60,13.81,34736800,13.81
2013-08-06,14.16,14.24,13.94,14.14,29094900,14.14
2013-08-05,13.51,14.18,13.50,14.17,43741000,14.17
2013-08-02,13.50,13.60,13.33,13.50,26500600,13.50
2013-08-01,13.38,13.63,13.30,13.57,32858900,13.57
2013-07-31,12.67,13.29,12.65,13.24,45062600,13.24
2013-07-30,12.50,12.69,12.31,12.60,48759000,12.60
2013-07-29,12.67,12.87,12.39,12.47,40786800,12.47
2013-07-26,13.06,13.10,12.51,12.59,68782400,12.59
2013-07-25,12.95,13.43,12.80,13.29,42692600,13.29
2013-07-24,13.80,13.83,13.08,13.11,46712000,13.11
2013-07-23,13.89,14.06,13.62,13.64,38691100,13.64
2013-07-22,13.62,13.91,13.62,13.83,24337500,13.83
2013-07-19,13.67,13.73,13.44,13.73,27734400,13.73
2013-07-18,13.79,13.86,13.63,13.69,38727500,13.69
2013-07-17,13.45,13.72,13.36,13.59,32539300,13.59
2013-07-16,13.16,13.41,13.10,13.38,42885300,13.38
2013-07-15,12.76,13.19,12.65,13.07,30926300,13.07
2013-07-12,12.74,12.85,12.57,12.69,33419400,12.69
2013-07-11,12.87,12.88,12.47,12.70,52215600,12.70
2013-07-10,12.93,13.24,12.47,12.55,89592900,12.55
2013-07-09,14.08,14.14,13.08,13.14,91816900,13.14
2013-07-08,14.36,14.36,13.87,14.03,53084600,14.03
2013-07-05,14.27,14.37,14.12,14.31,29746900,14.31
2013-07-03,14.29,14.29,14.11,14.14,24489300,14.14
2013-07-02,14.03,14.33,13.85,14.31,61198800,14.31
2013-07-01,14.47,14.60,14.18,14.27,33909600,14.27
2013-06-28,14.30,14.47,14.02,14.33,36612300,14.33
2013-06-27,14.30,14.53,14.27,14.34,38747100,14.34
2013-06-26,13.89,14.31,13.87,14.18,44886100,14.18
2013-06-25,13.74,13.82,13.42,13.75,32876400,13.75
