Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,43.26,43.57,42.98,43.40,1930900,43.40
2013-12-30,42.77,43.01,42.62,42.91,1372000,42.91
2013-12-27,42.92,42.93,42.57,42.78,1535500,42.78
2013-12-26,42.55,42.92,42.34,42.82,1171400,42.82
2013-12-24,42.72,42.81,42.31,42.57,856200,42.57
2013-12-23,42.93,42.93,42.33,42.72,2517400,42.72
2013-12-20,42.53,43.10,42.28,42.51,5997400,42.51
2013-12-19,41.84,42.60,41.79,42.53,3146300,42.53
2013-12-18,42.00,42.89,41.55,42.84,3043700,42.84
2013-12-17,41.79,41.98,41.41,41.86,3377400,41.86
2013-12-16,42.03,42.62,41.86,41.90,3521200,41.90
2013-12-13,42.01,42.25,41.67,41.78,2999100,41.78
2013-12-12,41.36,42.17,41.26,41.86,3993900,41.86
2013-12-11,42.75,42.80,41.29,41.42,6107600,41.42
2013-12-10,43.87,43.98,42.06,42.61,8075100,42.61
2013-12-09,44.50,44.54,43.73,43.86,3606500,43.86
2013-12-06,43.87,44.27,43.62,44.14,2536200,44.14
2013-12-05,43.02,43.75,42.68,43.35,4240000,43.35
2013-12-04,42.97,43.33,42.55,42.97,4245600,42.97
2013-12-03,44.12,44.33,43.16,43.22,4194300,43.22
2013-12-02,44.30,44.68,44.13,44.35,2505400,44.35
2013-11-29,44.05,44.33,44.01,44.13,1368000,44.13
2013-11-27,44.50,44.71,43.76,44.14,3189200,44.14
2013-11-26,44.22,44.73,43.91,44.50,4778900,44.50
2013-11-25,42.75,44.37,42.63,44.22,5708300,44.22
2013-11-22,42.58,42.68,42.37,42.67,2242200,42.67
2013-11-21,42.35,42.65,42.14,42.38,2812900,42.38
2013-11-20,41.77,42.45,41.77,42.32,3290000,42.32
2013-11-19,41.87,42.20,41.58,41.90,4373600,41.90
2013-11-18,42.31,42.44,41.51,41.81,4577700,41.81
2013-11-15,41.94,42.45,41.80,42.36,3927900,42.36
2013-11-14,41.91,42.18,41.59,41.98,4201000,41.98
2013-11-13,40.46,41.70,40.36,41.62,4756800,41.62
2013-11-12,41.13,41.51,40.71,41.42,4503000,41.42
2013-11-11,40.41,41.17,40.03,41.06,5084900,41.06
2013-11-08,38.73,40.54,38.73,40.41,4928000,40.41
2013-11-07,39.76,39.77,38.74,38.99,4109300,38.99
2013-11-06,39.88,39.93,39.18,39.51,5668100,39.51
2013-11-05,39.17,39.99,39.02,39.88,5232600,39.88
2013-11-04,38.25,39.46,38.15,39.38,5526500,39.38
2013-11-01,38.12,38.22,37.43,38.01,6227400,38.01
2013-10-31,37.81,38.22,36.97,37.87,9264900,37.87
2013-10-30,38.99,39.00,37.89,38.41,6157900,38.41
2013-10-29,38.25,38.74,38.25,38.65,2312600,38.65
