Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,67.47,68.23,66.76,68.11,1624300,67.95
2013-12-30,68.32,68.73,67.06,67.17,1452000,67.02
2013-12-27,68.00,68.47,67.70,68.21,1107100,68.05
2013-12-26,68.04,68.34,67.73,68.05,674300,67.89
2013-12-24,67.62,68.05,67.28,67.92,695800,67.76
2013-12-23,68.50,68.83,67.51,67.62,2266300,67.47
2013-12-20,68.03,68.75,67.88,67.94,3057500,67.78
2013-12-19,66.63,68.16,66.57,67.87,2349700,67.71
2013-12-18,67.92,67.98,65.79,67.45,4136800,67.30
2013-12-17,69.87,69.88,67.57,67.61,3601800,67.46
2013-12-16,68.97,69.66,68.70,69.40,2026200,69.24
2013-12-13,68.56,68.78,67.59,68.68,2266900,68.52
2013-12-12,68.24,69.24,67.59,68.68,2102700,68.52
2013-12-11,69.42,69.67,67.90,68.16,2329000,68.00
2013-12-10,68.39,69.76,68.31,69.48,2432000,69.32
2013-12-09,69.40,69.50,67.61,68.59,3781200,68.43
2013-12-06,69.74,69.89,69.19,69.50,2700500,69.34
2013-12-05,69.00,69.85,68.79,69.04,2373000,68.88
2013-12-04,70.25,70.74,69.31,69.64,3141900,69.48
2013-12-03,69.80,70.26,69.31,69.51,3196000,69.35
2013-12-02,70.10,70.58,69.07,69.80,2035200,69.64
2013-11-29,69.91,71.02,69.08,70.24,1523100,70.08
2013-11-27,72.75,72.96,68.58,69.87,5196300,69.71
2013-11-26,73.00,73.68,72.30,73.18,1787800,73.01
2013-11-25,73.66,73.66,71.91,72.94,1383500,72.77
2013-11-22,74.56,74.72,73.34,73.58,1793000,73.41
2013-11-21,73.25,74.64,73.20,73.98,1420900,73.81
2013-11-20,73.48,73.84,72.49,72.85,1450700,72.68
2013-11-19,73.11,73.75,72.39,73.00,2050600,72.83
2013-11-18,75.05,75.27,72.89,73.18,2509700,73.01
2013-11-15,74.26,74.97,73.94,74.93,1377100,74.76
2013-11-14,74.07,74.38,73.48,74.20,1628000,74.03
2013-11-13,73.37,74.53,73.00,74.00,1852700,73.83
2013-11-12,75.24,75.25,73.59,73.69,1621800,73.52
2013-11-11,75.55,75.97,74.88,75.21,933500,75.04
2013-11-08,72.70,75.69,72.70,75.60,2482200,75.43
2013-11-07,74.96,75.10,72.16,72.65,3689900,72.48
2013-11-06,75.16,75.97,74.01,74.59,1715300,74.42
2013-11-05,75.71,76.03,74.72,75.01,1592200,74.84
2013-11-04,75.65,76.92,75.53,76.13,1850700,75.96
2013-11-01,75.11,75.47,73.50,75.19,1788700,75.02
2013-10-31,76.00,76.18,74.64,74.93,2016500,74.76
2013-10-30,77.13,78.01,75.28,76.09,1695200,75.78
2013-10-29,76.57,77.33,76.50,77.13,1664600,76.81
2013-10-28,76.39,77.04,75.94,76.54,2346200,76.22
2013-10-25,75.66,76.60,74.88,76.51,3423900,76.19
2013-10-24,71.50,76.59,71.04,74.52,3838700,74.21
2013-10-23,72.89,73.14,70.57,71.38,2728300,71.09
2013-10-22,72.77,73.88,72.51,73.28,3068200,72.98
2013-10-21,72.30,73.09,71.92,72.36,1926500,72.06
2013-10-18,71.24,72.62,70.83,72.56,2246900,72.26
2013-10-17,69.97,70.78,69.86,70.73,1640100,70.44
2013-10-16,68.85,70.30,68.69,70.21,1921900,69.92
2013-10-15,67.96,69.07,67.56,68.31,2800300,68.03
2013-10-14,66.52,67.43,66.26,67.40,1291400,67.12
2013-10-11,66.17,67.41,65.88,67.00,1054800,66.72
2013-10-10,65.52,66.45,65.14,66.45,1455900,66.18
2013-10-09,65.31,65.63,64.36,64.80,1135600,64.53
