Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,16.85,17.05,16.78,16.99,2647600,16.96
2013-12-30,16.83,16.96,16.78,16.87,3287100,16.84
2013-12-27,16.45,16.92,16.41,16.84,3459300,16.81
2013-12-26,16.38,16.47,16.30,16.39,1525300,16.36
2013-12-24,16.23,16.50,16.21,16.48,918000,16.45
2013-12-23,16.35,16.48,16.23,16.24,2390800,16.21
2013-12-20,16.21,16.41,16.15,16.26,4827700,16.23
2013-12-19,15.84,16.17,15.73,16.15,3697500,16.12
2013-12-18,15.81,15.98,15.66,15.92,3168400,15.89
2013-12-17,15.79,15.87,15.63,15.77,3196800,15.74
2013-12-16,15.71,15.95,15.68,15.80,4086800,15.77
2013-12-13,15.55,15.77,15.32,15.72,3786200,15.69
2013-12-12,15.44,15.73,15.43,15.53,3881100,15.50
2013-12-11,15.82,15.87,15.41,15.45,3307400,15.42
2013-12-10,15.96,16.20,15.83,15.83,4047700,15.80
2013-12-09,15.72,15.96,15.65,15.93,3488600,15.90
2013-12-06,16.33,16.40,15.63,15.75,5240500,15.72
2013-12-05,16.84,16.84,16.09,16.13,5836800,16.06
2013-12-04,16.72,16.87,16.48,16.82,4037300,16.75
2013-12-03,16.52,16.89,16.42,16.78,3333500,16.71
2013-12-02,16.63,16.84,16.36,16.60,2991600,16.53
2013-11-29,16.62,16.76,16.45,16.55,1342800,16.48
2013-11-27,16.75,16.78,16.53,16.65,2058400,16.58
2013-11-26,16.84,16.94,16.70,16.87,1736600,16.80
2013-11-25,17.16,17.20,16.79,16.81,1886100,16.74
2013-11-22,17.32,17.39,17.10,17.21,1368900,17.14
2013-11-21,17.33,17.39,17.23,17.34,1422000,17.27
2013-11-20,17.27,17.40,17.14,17.22,1786900,17.15
2013-11-19,17.23,17.39,17.09,17.24,2634500,17.17
2013-11-18,17.83,17.84,17.23,17.27,2415000,17.20
2013-11-15,17.82,17.95,17.68,17.79,2234500,17.71
2013-11-14,17.63,17.74,17.49,17.66,2927400,17.59
2013-11-13,17.44,17.62,17.20,17.61,3079900,17.54
2013-11-12,18.06,18.06,17.49,17.61,3360300,17.54
2013-11-11,17.99,18.33,17.86,18.14,3240800,18.06
2013-11-08,17.30,17.94,17.30,17.92,4102400,17.84
2013-11-07,17.98,18.01,17.22,17.25,3637200,17.18
2013-11-06,17.93,18.08,17.70,17.92,3237200,17.84
2013-11-05,17.86,17.90,17.61,17.82,4360900,17.74
2013-11-04,17.80,18.04,17.66,17.95,3786700,17.87
2013-11-01,17.54,17.78,17.37,17.74,5993200,17.67
2013-10-31,17.48,17.54,17.11,17.48,5396500,17.41
2013-10-30,17.67,18.07,17.39,17.49,7086000,17.42
2013-10-29,17.10,17.65,17.07,17.63,5916100,17.56
2013-10-28,16.83,17.15,16.78,17.13,3841300,17.06
2013-10-25,16.72,16.84,16.65,16.76,2764000,16.69
2013-10-24,16.83,16.94,16.40,16.69,5416000,16.62
2013-10-23,17.50,17.55,16.74,16.86,6839000,16.79
2013-10-22,17.70,17.89,17.61,17.83,4610900,17.75
2013-10-21,17.65,17.96,17.54,17.59,4962600,17.52
2013-10-18,17.74,17.92,17.67,17.80,3263500,17.72
2013-10-17,17.37,17.54,17.25,17.49,2553900,17.42
2013-10-16,17.17,17.43,17.12,17.41,2862200,17.34
2013-10-15,17.19,17.24,16.93,17.01,4327500,16.94
2013-10-14,16.96,17.35,16.88,17.29,2178300,17.22
2013-10-11,17.01,17.20,16.89,17.09,2824300,17.02
2013-10-10,16.96,17.16,16.89,17.14,2642000,17.07
2013-10-09,16.80,16.90,16.48,16.77,3708200,16.70
2013-10-08,17.04,17.25,16.77,16.79,4049200,16.72
2013-10-07,17.16,17.18,16.95,16.97,3444800,16.90
2013-10-04,17.14,17.59,16.92,17.45,4480500,17.38
2013-10-03,16.79,17.18,16.71,17.12,6098700,17.05
2013-10-02,16.38,16.83,16.25,16.83,3915700,16.76
2013-10-01,16.06,16.56,16.06,16.51,2620800,16.44
2013-09-30,16.19,16.26,16.00,16.06,4368100,15.99
2013-09-27,16.32,16.47,16.13,16.42,2984600,16.35
2013-09-26,16.42,16.58,16.29,16.43,2743600,16.36
2013-09-25,16.32,16.72,16.31,16.36,3094900,16.29
2013-09-24,16.17,16.48,16.03,16.26,3656800,16.19
2013-09-23,16.26,16.34,16.13,16.15,2542800,16.08
2013-09-20,16.50,16.56,16.16,16.36,9020300,16.29
2013-09-19,16.50,16.61,16.38,16.45,2565300,16.38
2013-09-18,16.19,16.57,16.05,16.45,3004900,16.38
2013-09-17,16.27,16.33,16.12,16.16,2672100,16.09
2013-09-16,16.45,16.50,16.20,16.28,3256400,16.21
2013-09-13,16.29,16.41,16.13,16.37,2549300,16.30
2013-09-12,16.41,16.50,16.24,16.34,3458900,16.27
2013-09-11,16.40,16.41,16.00,16.39,3752100,16.32
2013-09-10,16.31,16.44,16.15,16.41,2673700,16.34
2013-09-09,16.01,16.31,16.01,16.29,2580400,16.22
2013-09-06,16.14,16.23,15.90,15.96,2710000,15.89
2013-09-05,15.65,16.27,15.65,16.14,4221200,16.07
2013-09-04,15.35,15.64,15.21,15.59,4547500,15.52
2013-09-03,15.63,15.74,15.30,15.42,2790100,15.32
2013-08-30,15.52,15.58,15.36,15.40,2867100,15.30
2013-08-29,15.68,15.70,15.45,15.50,1767700,15.39
2013-08-28,15.43,15.85,15.39,15.71,2115500,15.60
2013-08-27,15.63,15.77,15.38,15.38,2421900,15.28
2013-08-26,15.92,16.06,15.82,15.83,2064900,15.72
2013-08-23,15.85,16.01,15.68,15.90,2591000,15.79
2013-08-22,15.45,15.91,15.43,15.81,2241800,15.70
2013-08-21,15.69,15.72,15.39,15.41,2378700,15.31
2013-08-20,15.49,15.91,15.41,15.76,2515600,15.65
2013-08-19,15.55,15.65,15.46,15.53,2593200,15.42
2013-08-16,15.68,15.76,15.50,15.63,2562700,15.52
2013-08-15,15.59,15.79,15.53,15.71,2785400,15.60
2013-08-14,15.87,15.95,15.65,15.70,1955600,15.59
2013-08-13,15.61,15.99,15.50,15.85,3338800,15.74
2013-08-12,15.45,15.67,15.43,15.57,3518100,15.46
2013-08-09,15.59,15.71,15.37,15.58,2388100,15.47
2013-08-08,15.54,15.78,15.41,15.65,2526700,15.54
2013-08-07,15.27,15.50,15.16,15.46,3970600,15.35
2013-08-06,15.70,15.73,15.27,15.31,4625800,15.21
2013-08-05,15.68,15.89,15.57,15.75,3373900,15.64
2013-08-02,15.74,15.78,15.44,15.74,2533500,15.63
2013-08-01,15.57,15.84,15.52,15.79,3800400,15.68
2013-07-31,15.26,15.51,15.21,15.39,4971300,15.29
2013-07-30,14.96,15.21,14.77,15.18,5325100,15.08
2013-07-29,14.86,14.98,14.62,14.86,5476500,14.76
2013-07-26,15.05,15.10,14.73,14.93,4555200,14.83
2013-07-25,14.88,15.13,14.79,15.11,5712900,15.01
2013-07-24,15.34,15.46,14.97,15.09,4299400,14.99
2013-07-23,15.30,15.49,15.21,15.29,3455900,15.19
2013-07-22,15.59,15.62,15.17,15.25,3834300,15.15
2013-07-19,15.62,15.76,15.38,15.62,2517600,15.51
2013-07-18,15.26,15.73,15.25,15.69,3663200,15.58
2013-07-17,14.93,15.27,14.81,15.24,4062600,15.14
2013-07-16,14.90,15.02,14.73,14.87,4250900,14.77
2013-07-15,14.86,15.05,14.76,14.88,5645800,14.78
2013-07-12,14.60,14.81,14.50,14.80,5660100,14.70
2013-07-11,15.13,15.18,14.53,14.60,10869700,14.50
2013-07-10,15.14,15.50,14.89,14.99,13356800,14.89
2013-07-09,16.21,16.21,15.97,16.00,3929100,15.89
2013-07-08,16.26,16.26,15.90,16.06,3626100,15.95
2013-07-05,15.95,16.24,15.70,16.17,2446800,16.06
2013-07-03,15.90,15.98,15.54,15.78,2047800,15.67
2013-07-02,15.76,16.14,15.76,15.98,3575900,15.87
2013-07-01,15.41,15.85,15.38,15.82,4448400,15.71
2013-06-28,15.57,15.68,15.29,15.31,4055700,15.21
2013-06-27,15.84,15.86,15.49,15.64,3113900,15.53
2013-06-26,16.00,16.03,15.56,15.74,2658700,15.63
2013-06-25,15.51,15.91,15.46,15.84,3893700,15.73
2013-06-24,15.50,15.61,14.99,15.31,5762400,15.21
2013-06-21,15.84,15.86,15.47,15.68,4668800,15.57
2013-06-20,16.19,16.19,15.60,15.67,4436300,15.56
2013-06-19,16.80,16.90,16.39,16.44,3965300,16.33
2013-06-18,16.59,16.90,16.56,16.80,2338800,16.69
2013-06-17,16.05,16.83,16.05,16.56,3513800,16.45
2013-06-14,16.29,16.30,15.88,15.90,2951900,15.79
2013-06-13,15.79,16.30,15.76,16.24,3207100,16.13
2013-06-12,16.32,16.37,15.80,15.83,2609500,15.72
