Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,39.96,40.15,39.62,39.80,555600,39.67
2013-12-30,39.81,39.97,39.61,39.83,615800,39.70
2013-12-27,39.97,40.13,39.76,39.92,516200,39.79
2013-12-26,40.12,40.23,39.82,39.98,514500,39.85
2013-12-24,39.72,39.96,39.32,39.91,348000,39.78
2013-12-23,39.37,39.85,39.36,39.76,879300,39.63
2013-12-20,39.60,40.08,39.39,39.96,1700100,39.83
2013-12-19,39.45,39.58,39.23,39.46,860900,39.33
2013-12-18,39.25,39.60,38.54,39.60,1611700,39.47
2013-12-17,38.72,39.33,38.72,39.31,1048800,39.18
2013-12-16,38.73,38.96,38.47,38.72,1170000,38.59
2013-12-13,38.96,38.97,38.55,38.55,969700,38.42
2013-12-12,38.74,39.02,38.53,38.79,1453000,38.66
2013-12-11,38.78,39.00,38.62,38.71,1139100,38.58
2013-12-10,38.82,39.01,38.45,38.89,1082900,38.63
2013-12-09,39.01,39.12,38.71,38.91,1202400,38.65
2013-12-06,39.27,39.34,38.21,38.88,2022100,38.62
2013-12-05,39.58,39.88,38.82,38.86,1653100,38.60
2013-12-04,38.99,40.38,38.74,39.95,2418400,39.69
2013-12-03,39.22,39.51,38.70,39.03,1139700,38.77
2013-12-02,39.47,40.64,39.29,39.40,1676000,39.14
2013-11-29,38.79,39.67,38.59,39.29,866900,39.03
2013-11-27,38.83,39.08,38.46,38.64,965700,38.38
2013-11-26,39.26,39.42,38.78,38.79,980400,38.53
2013-11-25,39.61,39.83,39.26,39.30,1373000,39.04
2013-11-22,39.00,39.68,38.92,39.61,1575100,39.35
2013-11-21,38.74,39.00,38.56,38.92,1476800,38.66
2013-11-20,38.15,38.66,38.02,38.48,1728700,38.23
2013-11-19,37.00,38.60,36.90,38.21,2134300,37.96
2013-11-18,37.17,37.62,36.87,37.60,1400600,37.35
2013-11-15,37.19,37.20,36.78,37.08,1675700,36.83
2013-11-14,36.34,37.23,36.09,37.20,1596000,36.95
2013-11-13,35.55,36.18,35.51,36.18,658600,35.94
2013-11-12,35.90,36.25,35.66,35.85,749100,35.61
2013-11-11,35.83,36.20,35.52,35.91,796200,35.67
