Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,23.94,24.80,23.80,24.63,2973100,24.63
2013-12-30,24.55,24.84,23.99,24.03,1363400,24.03
2013-12-27,24.10,24.76,24.08,24.54,1576900,24.54
2013-12-26,24.12,24.26,23.92,24.07,979000,24.07
2013-12-24,23.93,24.20,23.90,24.13,511100,24.13
2013-12-23,24.11,24.30,24.02,24.12,1894100,24.12
2013-12-20,23.98,24.25,23.83,23.98,2955300,23.98
2013-12-19,23.12,24.07,23.12,23.85,3669400,23.85
2013-12-18,23.30,23.41,22.79,23.28,2536200,23.28
2013-12-17,23.05,23.18,22.82,23.15,2409700,23.15
2013-12-16,23.43,23.55,22.95,23.01,3320200,23.01
2013-12-13,23.42,23.58,22.86,23.36,2807400,23.36
2013-12-12,23.73,23.89,23.34,23.52,3270200,23.52
2013-12-11,23.75,24.77,23.75,23.85,5802400,23.85
2013-12-10,24.33,24.58,23.67,23.71,5181900,23.71
2013-12-09,26.48,26.59,23.85,24.33,12660700,24.33
2013-12-06,28.01,28.04,26.34,26.43,4382600,26.43
2013-12-05,28.23,28.35,27.54,27.66,2821000,27.66
2013-12-04,28.29,28.59,28.02,28.39,1771200,28.39
2013-12-03,28.28,28.90,28.12,28.32,1886100,28.32
2013-12-02,28.15,28.55,27.86,28.30,2710100,28.30
2013-11-29,28.09,28.57,27.86,28.10,927400,28.10
2013-11-27,29.29,29.29,27.77,28.26,3429300,28.26
2013-11-26,29.08,29.71,28.78,29.48,1927800,29.48
2013-11-25,29.91,29.91,28.80,28.98,2590900,28.98
2013-11-22,30.00,30.06,29.69,30.03,1438100,30.03
2013-11-21,29.55,29.97,29.42,29.79,2014000,29.79
2013-11-20,29.41,29.95,29.25,29.34,1577700,29.34
2013-11-19,29.24,29.67,28.85,29.23,1894900,29.23
2013-11-18,29.86,30.13,29.08,29.18,2648600,29.18
2013-11-15,29.66,29.91,29.45,29.67,2136600,29.67
2013-11-14,29.61,29.77,29.38,29.55,1702000,29.55
2013-11-13,29.28,29.76,29.28,29.61,2165200,29.61
2013-11-12,29.76,29.98,29.50,29.59,2158900,29.59
2013-11-11,29.59,30.31,29.51,29.77,2317500,29.77
2013-11-08,29.12,29.77,29.07,29.46,2614700,29.46
2013-11-07,30.25,30.42,28.75,29.03,4252400,29.03
2013-11-06,31.01,31.17,30.03,30.09,3133300,30.09
2013-11-05,31.51,31.75,30.66,30.80,4655000,30.80
2013-11-04,30.39,31.34,30.13,31.02,3484400,31.02
2013-11-01,30.49,30.53,29.70,30.45,3257600,30.45
2013-10-31,30.63,30.95,30.03,30.45,2281500,30.45
2013-10-30,31.49,31.67,30.05,30.56,2807300,30.56
2013-10-29,31.32,31.59,31.19,31.41,1163800,31.41
2013-10-28,31.20,31.45,30.97,31.32,1205200,31.32
2013-10-25,31.29,31.39,30.86,31.26,1740000,31.26
2013-10-24,30.55,31.44,30.00,31.29,3166300,31.29
2013-10-23,31.36,31.36,30.42,30.74,3129700,30.74
2013-10-22,31.47,32.55,30.88,31.68,6697800,31.68
2013-10-21,30.47,31.20,30.42,30.86,3175900,30.86
2013-10-18,30.18,30.44,29.83,30.34,1853800,30.34
2013-10-17,29.68,30.01,29.55,29.96,1652200,29.96
2013-10-16,29.49,30.15,29.47,29.78,3415300,29.78
2013-10-15,29.23,29.79,28.99,29.20,2892400,29.20
2013-10-14,29.00,29.49,28.68,29.40,1755600,29.40
2013-10-11,28.40,29.59,28.32,29.17,2406700,29.17
2013-10-10,28.45,28.70,28.31,28.48,2048700,28.48
2013-10-09,28.31,28.38,27.70,28.16,1733800,28.16
2013-10-08,28.52,28.80,28.08,28.29,2717200,28.29
2013-10-07,28.20,28.97,28.01,28.54,2997200,28.54
2013-10-04,28.17,28.86,27.85,28.70,2368700,28.70
2013-10-03,27.86,28.22,27.57,28.02,1770600,28.02
2013-10-02,27.69,28.24,27.34,27.88,1998100,27.88
2013-10-01,27.36,28.15,27.30,27.90,3369600,27.90
2013-09-30,27.01,27.54,26.95,27.37,2528200,27.37
2013-09-27,27.44,27.65,27.28,27.38,1494500,27.38
2013-09-26,28.12,28.26,27.49,27.60,2869800,27.60
2013-09-25,27.80,28.41,27.77,28.02,3918500,28.02
2013-09-24,27.04,28.14,26.71,27.74,4859100,27.74
2013-09-23,26.75,27.07,26.32,27.05,3307400,27.05
2013-09-20,26.51,27.21,26.51,26.83,4293400,26.83
2013-09-19,26.78,26.91,26.22,26.49,2451100,26.49
2013-09-18,26.17,26.84,25.90,26.67,1894600,26.67
2013-09-17,25.84,26.40,25.73,26.05,1887800,26.05
2013-09-16,25.87,26.11,25.46,25.79,1765000,25.79
2013-09-13,25.76,25.84,25.23,25.60,2143900,25.60
2013-09-12,26.10,26.27,25.52,25.76,3876500,25.76
2013-09-11,24.40,26.10,24.09,26.07,9224600,26.07
2013-09-10,24.33,24.36,23.94,24.25,4233700,24.25
2013-09-09,23.92,24.42,23.92,24.22,3096200,24.22
2013-09-06,24.00,24.11,23.82,23.86,2528500,23.86
2013-09-05,23.76,24.20,23.73,23.85,2462200,23.85
2013-09-04,23.69,23.90,23.62,23.70,1754800,23.70
2013-09-03,24.11,24.29,23.52,23.74,1306000,23.74
2013-08-30,23.76,24.30,23.73,23.82,1706300,23.82
2013-08-29,23.89,23.93,23.52,23.68,1000400,23.68
2013-08-28,23.46,24.38,23.46,23.98,1259700,23.98
2013-08-27,23.42,23.90,23.36,23.42,1328600,23.42
2013-08-26,23.49,24.07,23.43,23.61,1290300,23.61
2013-08-23,23.41,23.68,23.18,23.52,1363800,23.52
2013-08-22,22.83,23.60,22.73,23.37,1252700,23.37
2013-08-21,23.07,23.18,22.71,22.73,1071700,22.73
2013-08-20,22.94,23.41,22.82,23.11,1129000,23.11
2013-08-19,23.61,23.75,22.93,22.94,1580400,22.94
2013-08-16,23.99,24.36,23.68,23.78,1901400,23.78
2013-08-15,23.32,23.99,22.97,23.89,1977900,23.89
2013-08-14,24.25,24.25,23.50,23.54,1870200,23.54
2013-08-13,24.44,24.76,24.11,24.48,1545600,24.48
2013-08-12,24.45,24.73,24.29,24.47,964200,24.47
2013-08-09,24.53,24.82,24.46,24.65,995800,24.65
2013-08-08,23.97,24.70,23.85,24.56,1882200,24.56
2013-08-07,24.20,24.31,23.66,23.91,1401400,23.91
2013-08-06,24.79,24.87,23.94,24.24,1842100,24.24
2013-08-05,24.55,25.09,24.33,24.79,1993500,24.79
2013-08-02,24.90,25.03,24.02,24.55,1922300,24.55
2013-08-01,24.90,25.30,24.90,25.09,1789700,25.09
2013-07-31,24.64,24.89,24.52,24.60,1591500,24.60
2013-07-30,24.58,24.58,24.11,24.47,1543700,24.47
2013-07-29,24.66,24.73,24.14,24.46,2233500,24.46
2013-07-26,24.80,24.91,24.40,24.78,1836900,24.78
2013-07-25,25.81,25.99,24.51,24.80,6123400,24.80
2013-07-24,26.94,27.07,26.12,26.48,2651000,26.48
2013-07-23,27.20,27.30,26.70,26.89,1786400,26.89
2013-07-22,27.66,27.85,27.02,27.09,1794500,27.09
2013-07-19,27.16,27.76,26.70,27.69,2442400,27.69
2013-07-18,26.78,27.38,26.66,27.07,2513500,27.07
