Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,32.72,32.95,32.68,32.88,1363600,32.64
2013-12-30,32.68,32.94,32.53,32.64,1678900,32.40
2013-12-27,32.59,33.03,32.53,32.64,1853300,32.40
2013-12-26,32.77,32.83,32.43,32.47,1706100,32.23
2013-12-24,32.59,32.78,32.32,32.76,896500,32.52
2013-12-23,33.19,33.19,32.39,32.57,3037100,32.33
2013-12-20,32.02,33.48,31.84,32.86,10840900,32.62
2013-12-19,31.47,31.56,31.10,31.50,2123700,31.27
2013-12-18,31.19,31.69,30.71,31.61,2129700,31.38
2013-12-17,31.07,31.19,30.91,31.06,1972400,30.83
2013-12-16,31.02,31.27,30.96,31.08,1483600,30.85
2013-12-13,31.00,31.08,30.83,30.94,1444200,30.71
2013-12-12,30.79,31.23,30.70,30.98,1959200,30.75
2013-12-11,31.21,31.21,30.73,30.80,1525300,30.57
2013-12-10,31.44,31.47,31.02,31.09,1676600,30.86
2013-12-09,31.60,31.70,31.38,31.46,1868900,31.23
2013-12-06,31.45,31.69,31.34,31.56,1871300,31.33
2013-12-05,31.69,31.88,31.29,31.31,3226400,31.08
2013-12-04,31.56,31.80,31.31,31.77,3161400,31.53
2013-12-03,31.46,31.82,31.40,31.66,2319100,31.43
2013-12-02,31.60,31.73,31.32,31.58,1626700,31.35
2013-11-29,31.65,31.78,31.58,31.62,791400,31.39
2013-11-27,31.76,31.90,31.55,31.67,2782400,31.44
2013-11-26,31.86,31.97,31.59,31.76,2678900,31.52
2013-11-25,31.88,32.08,31.73,31.88,2262300,31.64
2013-11-22,31.48,32.07,31.40,31.86,2118100,31.62
2013-11-21,31.65,31.66,31.37,31.48,2164000,31.25
2013-11-20,32.02,32.18,31.53,31.58,1612600,31.35
2013-11-19,32.17,32.30,31.90,32.03,883200,31.79
2013-11-18,32.41,32.60,32.10,32.23,1356200,31.99
2013-11-15,32.26,32.47,32.10,32.45,2332900,32.21
2013-11-14,31.63,32.21,31.63,32.16,2445600,31.92
2013-11-13,30.82,31.53,30.65,31.50,4067100,31.27
2013-11-12,31.18,31.27,30.79,30.96,1628000,30.73
2013-11-11,31.39,31.43,31.09,31.31,1611300,31.08
2013-11-08,31.31,31.37,30.72,31.32,2097300,31.09
2013-11-07,31.87,32.06,31.33,31.42,1876800,31.19
2013-11-06,31.66,31.89,31.57,31.88,1778000,31.64
2013-11-05,31.60,31.91,31.46,31.58,2623600,31.35
2013-11-04,31.80,31.82,31.39,31.69,1334100,31.46
2013-11-01,31.54,31.86,31.48,31.72,1738800,31.49
2013-10-31,31.65,31.92,31.11,31.52,2527400,31.29
2013-10-30,31.95,32.21,31.67,31.70,2571500,31.47
