Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,45.70,46.20,45.65,45.89,1297900,45.69
2013-12-30,45.79,45.90,45.60,45.68,3024100,45.48
2013-12-27,46.04,46.04,45.59,45.70,925900,45.50
2013-12-26,45.82,46.06,45.76,45.93,999800,45.73
2013-12-24,45.50,45.74,45.50,45.64,541700,45.44
2013-12-23,45.95,46.02,45.45,45.55,2543000,45.35
2013-12-20,45.15,45.38,45.10,45.35,4201900,45.15
2013-12-19,45.09,45.48,44.98,45.13,4704600,44.94
2013-12-18,45.45,45.65,44.68,45.14,3877500,44.95
2013-12-17,45.58,45.65,45.06,45.15,2353200,44.96
2013-12-16,44.98,45.81,44.98,45.62,3435000,45.42
2013-12-13,43.35,45.84,43.29,45.62,5582000,45.42
2013-12-12,43.14,43.35,42.69,42.96,1818100,42.78
2013-12-11,43.70,44.01,43.27,43.30,2364800,43.11
2013-12-10,43.46,43.77,43.30,43.43,1969600,43.24
2013-12-09,43.69,43.83,43.49,43.65,1893900,43.46
2013-12-06,43.22,43.69,43.07,43.55,2396800,43.36
2013-12-05,42.83,42.91,42.52,42.70,1467600,42.52
2013-12-04,42.46,42.92,42.42,42.85,2331800,42.67
2013-12-03,42.71,42.82,42.38,42.68,2360200,42.50
2013-12-02,42.98,43.45,42.60,42.76,5410100,42.58
2013-11-29,43.23,43.33,42.96,43.16,1394000,42.97
2013-11-27,42.36,42.97,42.13,42.93,1892800,42.75
2013-11-26,42.13,42.56,42.00,42.51,3536200,42.33
2013-11-25,41.49,42.30,41.49,41.97,5074100,41.79
2013-11-22,39.94,41.65,39.65,41.12,17867200,40.94
2013-11-21,40.34,40.44,39.76,40.21,1244300,40.04
2013-11-20,40.70,40.81,40.32,40.49,1362900,40.12
2013-11-19,40.42,40.92,40.41,40.70,1439300,40.32
2013-11-18,40.26,40.72,40.25,40.37,1106400,40.00
2013-11-15,39.98,40.34,39.77,40.34,1113300,39.97
2013-11-14,40.09,40.35,39.91,39.96,1846500,39.59
2013-11-13,39.68,40.23,39.60,40.19,2147600,39.82
2013-11-12,39.67,40.08,39.49,40.00,1472800,39.63
2013-11-11,39.80,40.10,39.52,39.66,1047700,39.29
2013-11-08,39.07,39.78,39.04,39.77,1044700,39.40
2013-11-07,39.64,39.86,38.99,39.11,1321500,38.75
2013-11-06,40.32,40.32,39.40,39.70,1709900,39.33
2013-11-05,39.55,39.78,39.46,39.48,1312300,39.12
2013-11-04,39.96,40.05,39.70,39.82,1134500,39.45
2013-11-01,39.79,40.06,39.59,39.94,1502900,39.57
2013-10-31,38.99,39.66,38.99,39.44,1433600,39.08
2013-10-30,39.30,39.75,38.98,39.09,935500,38.73
2013-10-29,39.24,39.51,39.07,39.50,1380500,39.14
2013-10-28,39.24,39.48,38.59,38.94,1484400,38.58
2013-10-25,38.93,39.26,38.83,39.04,1705700,38.68
2013-10-24,38.25,39.14,38.11,38.98,2775700,38.62
2013-10-23,38.24,38.50,36.95,38.29,3653900,37.94
2013-10-22,38.58,39.10,38.55,38.83,2554100,38.47
2013-10-21,38.44,38.73,38.44,38.68,1630400,38.32
